Samples,VPA,FA,hVPA_FAnM10,hVPA_FAnM11,hVPA_FAnM12,hVPA_FAnM13,hVPA_FAnM14,hVPA_FAnM15,hVPA_FAnM16,hVPA_FAnM17,hVPA_FAnM18,hVPA_FAnM19,hVPA_FAnM2,hVPA_FAnM20,hVPA_FAnM21,hVPA_FAnM22,hVPA_FAnM23,hVPA_FAnM24,hVPA_FAnM25,hVPA_FAnM26,hVPA_FAnM27,hVPA_FAnM28,hVPA_FAnM29,hVPA_FAnM3,hVPA_FAnM30,hVPA_FAnM31,hVPA_FAnM32,hVPA_FAnM33,hVPA_FAnM34,hVPA_FAnM35,hVPA_FAnM36,hVPA_FAnM37,hVPA_FAnM38,hVPA_FAnM39,hVPA_FAnM4,hVPA_FAnM40,hVPA_FAnM41,hVPA_FAnM42,hVPA_FAnM43,hVPA_FAnM44,hVPA_FAnM45,hVPA_FAnM46,hVPA_FAnM47,hVPA_FAnM48,hVPA_FAnM49,hVPA_FAnM5,hVPA_FAnM50,hVPA_FAnM51,hVPA_FAnM53,hVPA_FAnM55,hVPA_FAnM6,hVPA_FAnM7,hVPA_FAnM8,hVPA_FAnM9
P1_C1,cntrl,base,-0.07473700356439981,0.033313194927851335,-0.12193347490932828,-0.20381488027966893,-0.5457755750491519,0.13276295238672345,0.007094894760192573,-0.0030569264130043687,-0.01126527152746666,0.005728876861873143,-0.15971064980344546,-0.23654439087253576,-3.1317993534325064,-0.27387897673036105,-0.1097036231429206,0.04823513427625586,0.011066316941417497,-0.04515882923029811,-0.06585194913174591,-0.3682887785331211,-0.08138859661324385,0.17195982132093265,0.10958517755909775,-0.08222173293930897,0.06341488073976045,0.08426076149927124,0.21088300666475746,-0.027331172806345488,-0.04653250779035374,0.2831602268218771,0.005275838806133314,0.06778099092128696,0.1773241593359975,0.04842584355061516,2.5027795578506122,-0.17048927599671043,-0.14047974182945672,0.3351733929615688,-0.050668879493450496,-0.2908143117862936,0.019262874349060655,-0.037608040583200206,-0.06162901063931314,-0.058962437651078156,0.10211684376276434,0.01835232572566526,-0.03929645734291206,0.1714279142676857,-0.3360463250448145,0.04610379794663263,0.061665569040469444,0.1650763993022848
P1_C2,cntrl,base,-0.08948139651051919,-0.007049128311745299,-0.07976293687500852,-0.03944010827410442,-0.6551488650452987,0.0834509612029919,0.06719443011651631,0.046966106523127424,-0.14199851339095593,-0.08627083333198989,-0.06242452223552104,-0.17634472039863072,-2.7298754559689273,0.0873966440655734,-0.016762140918816948,-0.023316292696958136,-0.2493240465869539,-0.022703138911443245,-0.11540407077484338,-0.39790941285955683,-0.11983558038088316,0.009847947210990346,-0.017857473754561905,-0.11066188207187555,-0.10306599335707375,0.03752160320497101,-0.22283132401325825,-0.0072782039308388145,-0.2562741272232596,-0.2242664878251117,-0.0072192767869587796,-0.022778667419325216,0.1869264609273174,-0.24865003994358623,-0.5055440190042615,-0.0868180268574906,-0.12847731357679149,0.1336256551050376,-0.008084049204531511,-0.3067592172390411,-0.17695437828583774,-0.14848717005258485,-0.04052119576071566,-0.14356783688525962,0.1020605113095798,-0.08185005402350892,0.009998178698508008,0.006592874620187067,-0.14692477112600652,-0.04320788400428025,-0.10822403411673025,-0.10477587219184824
P1_FA_VPA1,vpa,5X,0.25047196292033164,0.15205994076982443,0.18827229447004595,0.24163100355277473,0.4991444660133938,-0.016704870234907063,-0.07629917096399648,-0.07066308768346026,0.20226834516102665,0.09748919162801166,0.13913024897660403,0.24067308603980306,2.7256836152035318,0.024854092068150875,0.09620623732766825,0.10916818725937237,0.10960726674250816,0.07592399271505003,0.04250636998824597,0.11770219366851872,0.16548284731398855,-0.07152139564598138,0.03791536217362803,0.1861264113036557,0.07724606313001217,-0.08694956255047191,0.014549582724722364,0.06336350045780655,0.19223025452709241,-0.2160860310505048,-0.0735432760693442,-0.05436842251758678,-0.3014468994416077,0.1680388316656383,-0.6924280710779962,0.33265812310012677,0.1516613832477488,0.050598122408884234,0.019018745321139702,0.2882666434544999,0.12004271467933489,0.05265869883541528,-0.018825479381236125,0.24851243054561425,0.016724475849557472,-0.1491551526801626,-0.05591187164378823,-0.0047748001243202165,-0.13951309747251325,0.018078413463792097,0.08698553147361605,-0.15589449373086828
P1_FA1,cntrl,5X,0.18707466771161,-0.03473935593034459,0.13776842595949806,-0.021722493038269494,0.12258815912022435,-0.07771526525444548,-0.2915269225165949,-0.301222559737159,0.05880999509575669,-0.01635552349976783,0.16148436017025386,0.01438803428258692,-3.0171029822032738,0.07372085708728898,-0.18562055433640529,0.06274710609999222,-0.18129473020837977,0.12359629364051451,-0.03769777171319055,0.19662484740307892,0.01850696639240634,-0.12099766945730196,0.047838799190779956,0.042171449076066625,-0.029431907483132708,-0.09883181611667634,0.1962936679392495,-0.16491266015111797,0.02990770372772756,-0.21500579316908894,-0.41390176689795766,-0.13204692037545962,-0.40850468118185285,0.07138127085403091,-0.6843560991147404,-0.06265272876641345,-0.1528209044742842,-0.031231932743940365,-0.18455721188266702,0.47591753138304804,-0.018106523675956467,-0.11591940775185895,-0.07083796152279254,-0.00752542338478686,-0.29952380872333206,-0.12430285334410346,-0.15378075894471438,-0.012126506257996078,-0.21757221221729725,0.020038236568435473,-0.10638852360866262,0.17646813513104342
P1_FA2,cntrl,5X,-0.13077904813530902,-0.18927935619758407,-0.05038686777739459,0.13535248562822028,0.08759909670355391,-0.2931101681839685,-0.07636778021772013,-0.10803725491778955,-0.17501116090667457,-0.08713509566303564,0.16270289842013735,-0.20257643673064232,-2.593911765946239,-0.10435055410683963,-0.1478372647448109,-0.27134971081980774,-0.22348108667986594,-0.15570554410855406,-0.1317265097350775,-0.039388072529901196,-0.22446659798619717,-0.2939307340666141,-0.07558093242027461,-0.10850576603090911,-0.22302141930416738,-0.17836154079321995,-0.5309267235121098,-0.14320888864222162,-0.035368270325146105,-0.3311424200116251,-0.17130512952341448,-0.19272260671746844,-0.34306423448889584,-0.3206809563049213,-0.7957483085352643,0.09182838807321306,-0.08390575764975962,-0.22616715435318785,-0.10333890454711289,0.025811368179556517,-0.53282612086847,-0.09183939867982906,-0.24483289818938436,-0.01571980361986365,-0.05513894780076137,-0.27232283517310524,-0.7163037078146884,-0.057971931451623854,-0.043580363158997125,-0.23495262551821308,0.06183124237658473,-0.004346801320146743
P1_VPA1,vpa,base,0.05804383538433959,-0.18734307073570355,-0.22040489600614793,-0.15549792387519829,0.2913867608699027,-0.11506649143359303,-0.03505578273662121,-0.10765525000650562,-0.15695442925901337,-0.08286412601010702,-0.20301412508721522,0.007967795001168815,2.5712760001885213,-0.1970980219498441,-0.28719339872710753,-0.12278371973330994,-0.19670801553665512,-0.17248988001745244,-0.21401782797030555,0.20122524958028062,-0.1893219174748798,-0.15261157904493927,-0.18501749053211988,-0.18993107247321117,-0.16898808153335296,-0.009067574496481639,-0.11632325405219748,-0.18432053353603897,-0.18170761672427704,-0.17776393744216687,-0.2512582606699123,-0.06477706608718614,-0.14426468213362392,-0.046266102090628966,-0.7647199849994661,-0.4460802585375997,-0.30744230671740713,-0.08831297140721933,-0.16924396361132674,-0.38789370260022393,-0.18708109526944053,-0.1157884136387929,-0.22946400409829115,-0.1873970764737035,-0.28923464807769284,-0.1470163617534283,-0.06293326974985895,-0.3048739426348013,-0.1992027977241749,0.08133689586130363,0.07970703568241828,-0.08150793453628379
P2_C3,cntrl,base,0.09272532372600976,0.007134670633078834,-0.16128512894758112,-0.011862291503978259,-0.5209555539180487,0.08624282495021164,0.16704014275566595,0.15297387023090708,-0.10756579520036912,-0.028983032978394396,-0.16838004165433634,0.11819461241184923,-2.6904439841921386,0.13529740366378912,0.016228384435870657,0.08342969326380743,0.12062818561326212,-0.14898951693345194,0.0838308411386175,0.2307614291843014,-8.276096661125089e-4,0.15052147169558971,0.12364108685427247,0.006215477756731034,0.031043285970639684,-0.08578545803294023,0.22552713353427475,0.014791773254663595,0.00861340030043079,0.03556006391243851,0.028963032762764122,0.18560628761189923,0.41427354789147236,-0.05381007478685661,-0.5868163745049733,-0.24235450943610912,0.04673545466460981,0.16126685681613967,0.09292941860218809,0.4692312311706702,-0.5495907514677639,-0.05172791302010195,0.12153965215972429,-0.19915635344046909,0.16632111236593558,0.2547767454416206,0.20760709113728032,0.2139107044109669,0.17463588727133886,-0.025604020123974926,-0.031425156892696246,0.2309029440410354
P2_FA_VPA2,vpa,5X,0.24042466012171151,0.08199499814971058,0.20911287406268092,0.11005216449981677,0.4416296070332061,-0.18547537371705403,0.07695798659379964,0.06671681406977463,0.14358988903693837,0.14276007996139223,0.1504929424983455,0.24568453615147687,2.76013070126115,0.14773068757738012,0.010916774910744442,0.2433498930356772,0.03275407518640933,0.15625091193190857,0.059345899359716237,-0.04210103819100144,0.06898852924603804,0.03838182525399879,0.04660493781137567,0.10402996182344448,0.1329492769206341,0.023977328908487267,0.09492729010948683,0.002866639326000139,0.21640557920125336,-0.2601566474726462,0.012484256490846939,0.015245328556725666,-0.29678077644838646,0.23261767415650206,-0.6061722714304325,0.12959431086078413,0.21456064580633682,-0.0449865154316949,-0.08586379248922535,-0.23489246614250506,0.03449073189734872,0.09252160665621632,-0.007173588876939524,0.1701875754461614,0.2224383544985948,-0.0973256135086768,0.024594309121994295,0.18634226017852537,-0.0652353085519751,0.1781837537177626,-0.08901614493538505,-0.10589320628805209
P2_FA3,cntrl,5X,0.018329981004221934,0.08757182345625149,0.2611800853819835,0.37491256538840007,0.3485041127985026,0.11360442194181887,0.025804626834054746,0.038839526100968344,0.11410823528941418,0.0736564019219275,-0.003461206831792695,0.09116207295359144,-2.5712093986740507,0.20424907909602746,0.20521133096697236,0.21360556836616904,-0.05403956725811148,0.15041171000754341,0.17797174616351463,0.22455724971724475,0.1489214299529794,-0.029056123895400257,-0.025350653274459713,0.08983069932793686,0.08191181928467386,-0.09650468684353374,-0.34370773967938467,0.09443148105684691,0.10939817439592336,-0.39032108247323527,0.13296376170929136,-0.13976639138100866,-0.026917956891033087,0.12756013734900187,1.58342488721779,0.2847704712123641,0.20510909308026892,0.015174120754555216,0.1779017908181675,0.4153920998770898,0.3869607937478098,0.198826700253491,0.07943132479947801,0.14522601721700315,0.26903937346632434,0.19697448112113453,-0.03560444346257079,0.38274682860145126,0.002583551431001231,0.024391449015510568,0.03950595141448905,0.1130656254103032
P2_FA4,cntrl,5X,-0.16802036583100086,-0.013044840569264457,0.05079962017303236,0.22899792573168193,0.15947354145156056,-0.05466912465955785,0.012743731482102762,0.018379814762638988,-0.018047122503272884,-0.03048859072398975,0.24573859756632604,0.1959775570668568,-2.724339355424127,0.018299282760627263,0.13317435163884023,-0.04834789492189674,-0.02433001305803855,0.24568214320556594,0.04572788122807858,-0.05679809701930718,0.09541517726012738,-0.2331302408242032,-0.02479280965499684,0.037760513113855754,0.026932450600640007,-0.11354894011911408,-0.07912877898427342,0.04256698834393809,0.13724229381941488,-0.1972862289788677,0.07537283205139288,-0.03348079817412797,-0.1589944889819676,-0.16876292530019696,-0.5758432913668565,0.41139501133092693,0.2592014850147065,-0.31626784600028085,0.02594307445223512,-0.18081989035787296,-0.11277489207628935,0.15977327558919704,0.04157334041512906,0.09758337163687363,-0.14007863138970358,0.11628083962865216,-0.12005924213940126,-0.03321154606375412,-0.16481660677060947,0.0614316279393989,-0.03715349779011805,-0.15574959110008868
