compound_short,compound_full,formula,mass,rt,cas_id
FAnC1,Methylglyoxal,C3 H4 O2,72.023,2.37,78-98-8
FAnC2,Propionic Acid,C3 H6 O2,74.036,2.88,79-09-4
FAnC3,Glycine,C2 H5 N O2,75.036,8.92,56-40-6
FAnC4,Cysteamine,C2 H7 N S,77.037,2.68,60-23-1
FAnC5,Sulfite,H2 O3 S,81.974,2.07,7782-99-2
FAnC6,Pyruvate,C3 H4 O3,88.018,1.77,127-17-3
FAnC7,Alanine,C3 H7 N O2,89.051,8.45,56-41-7
FAnC8,Sarcosine,C3 H7 N O2,89.051,9.59,107-97-1
FAnC9,Oxalic Acid,C2 H2 O4,89.994,7.62,144-62-7
FAnC10,Lactic Acid,C3 H6 O3,90.035,2.32,79-33-4
FAnC11,Acetoacetic Acid,C4 H6 O3,102.032,3.45,541-50-4
FAnC12,2-Aminobutyric Acid,C4 H9 N O2,103.065,7.97,1492-24-6
FAnC13,GABA,C4 H9 N O2,103.066,11.59,56-12-2
FAnC14,BAIBA,C4 H9 N O2,103.067,8.68,144-90-1
FAnC15,2-Hydroxybutyric Acid,C4 H8 O3,104.048,1.88,3347-90-8
FAnC16,3-Hydroxybutyric Acid,C4 H8 O3,104.048,2.92,300-85-6
FAnC17,Serine,C3 H7 N O3,105.043,8.33,56-45-1
FAnC18,Glyceric Acid,C3 H6 O4,106.028,2.93,473-81-4
FAnC19,Hypotaurine,C2 H7 N O2 S,109.023,8.96,300-84-5
FAnC20,Uracil,C4 H4 N2 O2,112.028,2.34,66-22-8
FAnC21,1-Pyrroline-2-carboxylic Acid,C5 H7 N O2,113.048,7.93,02139-03-9
FAnC22,Thiosulfate,H2 O3 S2,113.945,4.68,14383-50-7
FAnC23,"5,6-Dihydrouracil",C4 H6 N2 O2,114.041,2.23,504-07-4
FAnC24,Proline,C5 H9 N O2,115.066,9.2,147-85-3
FAnC25,Fumaric Acid,C4 H4 O4,116.013,7.4,110-17-8
FAnC26,N-Acetylglycine,C4 H7 N O3,117.043,4.4,543-24-8
FAnC27,Valine,C5 H11 N O2,117.081,7.44,72-18-4
FAnC28,Methylmalonic Acid,C4 H6 O4,118.026,2.87,516-05-2
FAnC29,Succinic Acid,C4 H6 O4,118.03,7.57,110-15-6
FAnC30,Threonine,C4 H9 N O3,119.063,7.92,72-19-5
FAnC31,D-Erythrose,C4 H8 O4,120.044,3.03,583-50-6
FAnC32,Cysteine,C3 H7 N O2 S,121.021,6.9,52-90-4
FAnC33,Taurine,C2 H7 N O3 S,125.017,4.84,107-35-7
FAnC34,4-Imidazoleacetic Acid,C5 H6 N2 O2,126.044,8.84,645-65-8
FAnC35,4-Oxoproline,C5 H7 N O3,129.046,5.13,4347-18-6
FAnC36,Ketoleucine,C6 H10 O3,130.064,1.32,816-66-0
FAnC37,N-Acetylalanine,C5 H9 N O3,131.059,4.04,97-69-8
FAnC38,trans-4-Hydroxyproline,C5 H9 N O3,131.062,7.93,51-35-4
FAnC39,Creatine,C4 H9 N3 O2,131.072,9.59,57-00-1
FAnC40,Isoleucine,C6 H13 N O2,131.097,6.89,73-32-5
FAnC41,Leucine,C6 H13 N O2,131.097,6.66,61-90-5
FAnC42,Oxaloacetic Acid,C4 H4 O5,132.008,9.14,328-42-7
FAnC43,Asparagine,C4 H8 N2 O3,132.055,8.6,70-47-3
FAnC44,2-Hydroxy-3-methylpentanoic Acid,C6 H12 O3,132.077,1.51,448-15-3
FAnC45,Ornithine,C5 H12 N2 O2,132.089,23.01,70-26-8
FAnC46,Aspartic Acid,C4 H7 N O4,133.039,8.41,56-84-8
FAnC47,Malic Acid,C4 H6 O5,134.026,7.41,97-67-6
FAnC48,Adenine,C5 H5 N5,135.054,3.64,73-24-5
