compound_short,compound_full,formula,mass,rt,cas_id
FApC1,Glycine,C2 H5 N O2,75.033,8.9,56-40-6
FApC2,Sarcosine,C3 H7 N O2,89.047,9.56,107-97-1
FApC3,Alanine,C3 H7 N O2,89.048,8.43,56-41-7
FApC4,Beta-Alanine,C3 H7 N O2,89.048,10.66,107-95-9
FApC5,2-Aminobutyric Acid,C4 H9 N O2,103.061,6.66,1492-24-6
FApC6,BAIBA,C4 H9 N O2,103.062,7.96,144-90-1
FApC7,GABA,C4 H9 N O2,103.064,11.58,56-12-2
FApC8,Choline,C5 H13 N O,103.103,23.23,62-49-7
FApC9,Serine,C3 H7 N O3,105.041,8.32,56-45-1
FApC10,Hypotaurine,C2 H7 N O2 S,109.02,8.96,300-84-5
FApC11,"2,6-Dihydroxypyridine",C5 H5 N O2,111.035,3.69,626-06-2
FApC12,Cytosine,C4 H5 N3 O,111.043,5.21,71-30-7
FApC13,Uracil,C4 H4 N2 O2,112.027,1.74,66-22-8
FApC14,Creatinine,C4 H7 N3 O,113.058,7.8,60-27-5
FApC15,Proline,C5 H9 N O2,115.063,9.19,147-85-3
FApC16,Caproic Acid,C6 H12 O2,116.082,1.41,142-62-1
FApC17,Valine,C5 H11 N O2,117.079,7.42,72-18-4
FApC18,Betaine,C5 H11 N O2,117.079,10.1,107-43-7
FApC19,Threonine,C4 H9 N O3,119.06,7.91,72-19-5
FApC20,Cysteine,C3 H7 N O2 S,121.018,6.89,52-90-4
FApC21,Nicotinamide,C6 H6 N2 O,122.047,1.94,98-92-0
FApC22,Taurine,C2 H7 N O3 S,125.015,4.83,107-35-7
FApC23,Dihydrothymine,C5 H8 N2 O2,128.05,3.68,696-04-8
FApC24,4-Oxoproline,C5 H7 N O3,129.042,5.13,4347-18-6
FApC25,Agmatine,C5 H14 N4,130.112,22.45,306-60-5
FApC26,trans-4-Hydroxyproline,C5 H9 N O3,131.057,8.4,51-35-4
FApC27,Creatine,C4 H9 N3 O2,131.069,9.55,57-00-1
FApC28,Isoleucine,C6 H13 N O2,131.094,6.87,73-32-5
FApC29,Leucine,C6 H13 N O2,131.094,6.67,61-90-5
FApC30,Ethylmalonic Acid,C5 H8 O4,132.04,1.75,601-75-2
FApC31,Asparagine,C4 H8 N2 O3,132.052,8.63,70-47-3
FApC32,Aspartic Acid,C4 H7 N O4,133.036,8.41,56-84-8
FApC33,Adenine,C5 H5 N5,135.054,3.64,73-24-5
FApC34,Hypoxanthine,C5 H4 N4 O,136.038,2.63,68-94-0
FApC35,Urocanic Acid,C6 H6 N2 O2,138.04,2.54,104-98-3
FApC36,O-Phosphoethanolamine,C2 H8 N O4 P,141.019,14.9,1071-23-4 
FApC37,Deoxycarnitine,C7 H15 N O2,145.111,17.82,407-64-7
FApC38,Spermidine,C7 H19 N3,145.161,23.41,124-20-9
FApC39,Glutamine,C5 H10 N2 O3,146.069,8.81,56-85-9
FApC40,Lysine,C6 H14 N2 O2,146.106,23.15,56-87-1
FApC41,Glutamic Acid,C5 H9 N O4,147.054,8.66,56-86-0
FApC42,Methionine,C5 H11 N O2 S,149.05,6.66,63-68-3
FApC43,2-Phenylglycine,C8 H9 N O2,151.06,6.44,02835-06-5
FApC44,Xanthine,C5 H4 N4 O2,152.032,1.89,69-89-6
