compound_short,compound_full,formula,mass,rt,cas_id
FApM1,Urea,C H4 N2 O,60.034,2.24,57-13-6
FApM2,Glycine,C2 H5 N O2,75.033,8.94,56-40-6
FApM3,Sarcosine,C3 H7 N O2,89.046,9.55,107-97-1
FApM4,Alanine,C3 H7 N O2,89.048,8.48,56-41-7
FApM5,2-Aminobutyric Acid,C4 H9 N O2,103.062,6.69,1492-24-6
FApM6,Choline,C5 H13 N O,103.097,23.36,62-49-7
FApM7,Serine,C3 H7 N O3,105.042,8.36,56-45-1
FApM8,Uracil,C4 H4 N2 O2,112.025,1.57,66-22-8
FApM9,Creatinine,C4 H7 N3 O,113.059,7.59,60-27-5
FApM10,Proline,C5 H9 N O2,115.062,9.22,147-85-3
FApM11,Valine,C5 H11 N O2,117.079,7.45,72-18-4
FApM12,Threonine,C4 H9 N O3,119.053,7.94,72-19-5
FApM13,Nicotinamide,C6 H6 N2 O,122.048,1.94,98-92-0
FApM14,Taurine,C2 H7 N O3 S,125.012,4.84,107-35-7
FApM15,4-Oxoproline,C5 H7 N O3,129.042,5.14,4347-18-6
FApM16,Creatine,C4 H9 N3 O2,131.067,9.61,57-00-1
FApM17,Isoleucine,C6 H13 N O2,131.094,6.92,73-32-5
FApM18,Leucine,C6 H13 N O2,131.094,6.68,61-90-5
FApM19,Asparagine,C4 H8 N2 O3,132.054,8.67,70-47-3
FApM20,Hypoxanthine,C5 H4 N4 O,136.036,2.62,68-94-0
FApM21,2-Oxoglutaric Acid,C5 H6 O5,146.033,6.39,328-50-7
FApM22,Glutamine,C5 H10 N2 O3,146.069,8.86,56-85-9
FApM23,Lysine,C6 H14 N2 O2,146.103,23.31,56-87-1
FApM24,Glutamic Acid,C5 H9 N O4,147.056,8.69,56-86-0
FApM25,Methionine,C5 H11 N O2 S,149.05,6.68,63-68-3
FApM26,2-Phenylglycine,C8 H9 N O2,151.059,6.18,02835-06-5
FApM27,Xanthine,C5 H4 N4 O2,152.03,1.91,69-89-6
FApM28,Histidine,C6 H9 N3 O2,155.064,10.77,71-00-1
FApM29,Allantoin,C4 H6 N4 O3,158.042,1.81,97-59-6
FApM30,Carnitine,C7 H15 N O3,161.101,14.3,541-15-1
FApM31,Phenylalanine,C9 H11 N O2,165.073,6.24,63-91-2
FApM32,Quinolinic Acid,C7 H5 N O4,167.022,8.47,89-00-9
FApM33,Pyridoxal,C8 H9 N O3,167.059,3.76,66-72-8
FApM34,Uric Acid,C5 H4 N4 O3,168.025,2.63,69-93-2
FApM35,Pyridoxine,C8 H11 N O3,169.069,6.18,65-23-6
FApM36,Arginine,C6 H14 N4 O2,174.109,23.26,74-79-3
FApM37,Tyrosine,C9 H11 N O3,181.072,6.39,60-18-4
FApM38,D-Galactitol,C6 H14 O6,182.079,3.7,608-66-2
FApM39,"NE,NE,NE-Trimethyllysine",C9 H20 N2 O2,188.15,23.33,55528-53-5
FApM40,Kynurenic Acid,C10 H7 N O3,189.039,1.45,492-27-3
FApM41,Phenylacetylglycine,C10 H11 N O3,193.071,1.94,500-98-1
FApM42,Cysteine-S-sulfonic Acid,C3 H7 N O5 S2,200.972,1.6,1637-71-4
FApM43,Acetylcarnitine,C9 H17 N O4,203.114,13.62,5080-50-2
FApM44,Tryptophan,C11 H12 N2 O2,204.089,6,73-22-3
FApM45,Kynurenine,C10 H12 N2 O3,208.084,5.97,2922-83-0
FApM46,Propionylcarnitine,C10 H19 N O4,217.126,12.64,20064-19-1
FApM47,Pantothenic Acid,C9 H17 N O5,219.111,4.22,137-08-6
FApM48,Myristoleic Acid,C14 H26 O2,226.177,1.14,544-64-9
FApM49,Butyrylcarnitine,C11 H21 N O4,231.141,11.73,25576-40-6
FApM50,Uridine,C9 H12 N2 O6,244.065,2.22,58-96-8
FApM51,Palmitoleic Acid,C16 H30 O2,254.223,1.24,373-49-9
FApM52,Glycerol-3-phosphocholine,C8 H20 N O6 P,257.102,14.58,28319-77-9
FApM53,Thiamine,C12 H16 N4 O S,264.1,23.35,59-43-8
FApM54,Xanthosine,C10 H12 N4 O6,284.072,2.58,146-80-5
FApM55,Glutathione,C10 H17 N3 O6 S,307.085,8.48,70-18-8
FApM56,Geranyl Pyrophosphate,C10 H20 O7 P2,314.071,1.4,763-10-0
FApM57,Riboflavin,C17 H20 N4 O6,376.133,2.3,83-88-5
FApM58,Succinoadenosine,C14 H17 N5 O8,383.11,6.23,4542-23-8
FApM59,Folic Acid,C19 H19 N7 O6,441.138,8.3,59-30-3
FApM60,Tetrahydrofolic Acid,C19 H23 N7 O6,445.169,8.48,135-16-0
FApM61,LysoPC(16:0),C24 H50 N O7 P,495.327,9.31,00-00-015
FApM62,LysoPC(18:1),C26 H52 N O7 P,521.345,9.17,00-00-018
FApM63,LysoPC(18:0),C26 H54 N O7 P,523.361,9.13,00-00-019
FApM64,Trimyristin,C45 H86 O6,722.642,1.16,555-45-3
FApM65,Sphingomyelin,C41 H83 N2 O6 P,730.588,8.52,85187-10-6
FApM66,PC(34:2),C42 H80 N O8 P,757.553,7.48,8002-43-5
FApM67,PC(36:2),C44 H84 N O8 P,785.585,7.42,00-00-022
