compound_short,compound_full,formula,mass,rt,cas_id
VPA_FApM1,Urea,C H4 N2 O,60.035,2.24,57-13-6
VPA_FApM2,Glycine,C2 H5 N O2,75.032,8.93,56-40-6
VPA_FApM3,Alanine,C3 H7 N O2,89.048,8.48,56-41-7
VPA_FApM4,2-Aminobutyric Acid,C4 H9 N O2,103.063,6.68,1492-24-6
VPA_FApM5,Choline,C5 H13 N O,103.098,23.29,62-49-7
VPA_FApM6,Serine,C3 H7 N O3,105.042,8.38,56-45-1
VPA_FApM7,Cytosine,C4 H5 N3 O,111.042,4.67,71-30-7
VPA_FApM8,Uracil,C4 H4 N2 O2,112.025,1.72,66-22-8
VPA_FApM9,Creatinine,C4 H7 N3 O,113.058,7.7,60-27-5
VPA_FApM10,Proline,C5 H9 N O2,115.062,9.21,147-85-3
VPA_FApM11,Valine,C5 H11 N O2,117.078,7.45,72-18-4
VPA_FApM12,Threonine,C4 H9 N O3,119.055,7.94,72-19-5
VPA_FApM13,Nicotinamide,C6 H6 N2 O,122.048,1.94,98-92-0
VPA_FApM14,Taurine,C2 H7 N O3 S,125.011,4.84,107-35-7
VPA_FApM15,4-Oxoproline,C5 H7 N O3,129.042,5.14,4347-18-6
VPA_FApM16,Leucine,C6 H13 N O2,131.094,6.69,61-90-5
VPA_FApM17,Isoleucine,C6 H13 N O2,131.094,6.92,73-32-5
VPA_FApM18,Asparagine,C4 H8 N2 O3,132.055,8.67,70-47-3
VPA_FApM19,Hypoxanthine,C5 H4 N4 O,136.037,2.6,68-94-0
VPA_FApM20,Glutamine,C5 H10 N2 O3,146.069,8.86,56-85-9
VPA_FApM21,Lysine,C6 H14 N2 O2,146.103,23.25,56-87-1
VPA_FApM22,Glutamic Acid,C5 H9 N O4,147.057,8.86,56-86-0
VPA_FApM23,Methionine,C5 H11 N O2 S,149.05,6.68,63-68-3
VPA_FApM24,2-Phenylglycine,C8 H9 N O2,151.06,6.28,02835-06-5
VPA_FApM25,Allantoin,C4 H6 N4 O3,158.041,1.81,97-59-6
VPA_FApM26,Carnitine,C7 H15 N O3,161.1,14.29,541-15-1
VPA_FApM27,Phenylalanine,C9 H11 N O2,165.074,6.24,63-91-2
VPA_FApM28,Pyridoxine,C8 H11 N O3,169.07,6.32,65-23-6
VPA_FApM29,Arginine,C6 H14 N4 O2,174.11,23.21,74-79-3
VPA_FApM30,Tyrosine,C9 H11 N O3,181.073,6.4,60-18-4
VPA_FApM31,D-Galactitol,C6 H14 O6,182.079,3.68,608-66-2
VPA_FApM32,Acetylcarnitine,C9 H17 N O4,203.114,13.61,5080-50-2
VPA_FApM33,Tryptophan,C11 H12 N2 O2,204.089,6.01,73-22-3
VPA_FApM34,Pantothenic Acid,C9 H17 N O5,219.109,4.2,137-08-6
VPA_FApM35,Cytidine,C9 H13 N3 O5,243.085,4.66,65-46-3
VPA_FApM36,Uridine,C9 H12 N2 O6,244.068,1.76,58-96-8
VPA_FApM37,Biotin,C10 H16 N2 O3 S,244.086,4.66,58-85-5
VPA_FApM38,Glycerol-3-phosphocholine,C8 H20 N O6 P,257.101,14.57,28319-77-9
VPA_FApM39,Ribothymidine,C10 H14 N2 O6,258.082,5.15,1463-10-1
VPA_FApM40,Thiamine,C12 H16 N4 O S,264.101,23.28,59-43-8
VPA_FApM41,Inosine,C10 H12 N4 O5,268.079,2.69,58-63-9
VPA_FApM42,6-Phosphogluconic Acid,C6 H13 O10 P,276.027,9.87,53411-70-4
VPA_FApM43,Guanosine,C10 H13 N5 O5,283.092,3.12,118-00-3
VPA_FApM44,Glutathione,C10 H17 N3 O6 S,307.084,8.49,70-18-8
VPA_FApM45,Riboflavin,C17 H20 N4 O6,376.133,2.29,83-88-5
VPA_FApM46,Folic Acid,C19 H19 N7 O6,441.133,8.29,59-30-3
VPA_FApM47,LysoPE(18:0),C23 H48 N O7 P,481.305,6.01,00-00-012
VPA_FApM48,LysoPC(18:1),C26 H52 N O7 P,521.341,9.15,00-00-018
VPA_FApM49,LysoPC(18:0),C26 H54 N O7 P,523.358,9.12,00-00-019
VPA_FApM50,Sphingomyelin,C41 H83 N2 O6 P,730.588,8.49,85187-10-6
VPA_FApM51,PC(36:2),C44 H84 N O8 P,785.584,7.42,00-00-022
