compound_short,compound_full,formula,mass,rt,cas_id
hVPA_FApC1,Glycine,C2 H5 N O2,75.032,6.29,56-40-6
hVPA_FApC2,Pyruvate,C3 H4 O3,88.0174,1.64,127-17-3
hVPA_FApC3,Alanine,C3 H7 N O2,89.0476,5.98,56-41-7
hVPA_FApC4,Beta-Alanine,C3 H7 N O2,89.0478,6.43,107-95-9
hVPA_FApC5,Sarcosine,C3 H7 N O2,89.0479,5.78,107-97-1
hVPA_FApC6,N-Methyl-L-alanine,C4 H9 N O2,103.063,4.91,3913-67-5
hVPA_FApC7,"N,N-Dimethylglycine",C4 H9 N O2,103.0631,4.47,1118-68-9
hVPA_FApC8,2-Aminobutyric Acid,C4 H9 N O2,103.0632,5.15,1492-24-6
hVPA_FApC9,BAIBA,C4 H9 N O2,103.0635,6.62,144-90-1
hVPA_FApC10,GABA,C4 H9 N O2,103.0635,6.86,56-12-2
hVPA_FApC11,Choline,C5 H13 N O,103.1004,5.51,62-49-7
hVPA_FApC12,Serine,C3 H7 N O3,105.0428,6.58,56-45-1
hVPA_FApC13,Diethanolamine,C4 H11 N O2,105.0788,6.08,111-42-2
hVPA_FApC14,Hypotaurine,C2 H7 N O2 S,109.0199,5.76,300-84-5
hVPA_FApC15,Cytosine,C4 H5 N3 O,111.0433,2.12,71-30-7
hVPA_FApC16,Uracil,C4 H4 N2 O2,112.0274,1.2,66-22-8
hVPA_FApC17,Creatinine,C4 H7 N3 O,113.0591,1.73,60-27-5
hVPA_FApC18,Proline,C5 H9 N O2,115.0634,4.72,147-85-3
hVPA_FApC19,5-Aminopentanoate,C5 H11 N O2,117.079,6.97,660-88-8
hVPA_FApC20,Betaine,C5 H11 N O2,117.0791,3.69,107-43-7
hVPA_FApC21,Valine,C5 H11 N O2,117.0791,4.43,72-18-4
hVPA_FApC22,Threonine,C4 H9 N O3,119.0578,5.88,72-19-5
hVPA_FApC23,Homoserine,C4 H9 N O3,119.0581,6.25,1927-25-9
hVPA_FApC24,Nicotinamide,C6 H6 N2 O,122.0479,1.02,98-92-0
hVPA_FApC25,Taurine,C2 H7 N O3 S,125.0147,4.21,107-35-7
hVPA_FApC26,4-Imidazoleacetic Acid,C5 H6 N2 O2,126.0425,4.52,645-65-8
hVPA_FApC27,Ketoleucine,C6 H10 O3,130.063,0.96,816-66-0
hVPA_FApC28,Acetylputrescine,C6 H14 N2 O,130.1104,6.95,5699-41-2
hVPA_FApC29,N-Acetylalanine,C5 H9 N O3,131.0583,1.94,97-69-8
hVPA_FApC30,Creatine,C4 H9 N3 O2,131.0692,5.99,57-00-1
hVPA_FApC31,Leucine,C6 H13 N O2,131.0946,3.15,61-90-5
hVPA_FApC32,Isoleucine,C6 H13 N O2,131.0946,3.53,73-32-5
hVPA_FApC33,Asparagine,C4 H8 N2 O3,132.0539,6.6,70-47-3
hVPA_FApC34,Ornithine,C5 H12 N2 O2,132.0901,10.94,70-26-8
hVPA_FApC35,Aspartic Acid,C4 H7 N O4,133.0374,6.73,56-84-8
hVPA_FApC36,5-Hydroxyindol,C8 H7 N O,133.053,1.27,217-782-6
hVPA_FApC37,Homocysteine,C4 H9 N O2 S,135.0349,4.46,6027-13-0
hVPA_FApC38,Adenine,C5 H5 N5,135.0544,1.58,73-24-5
hVPA_FApC39,Hypoxanthine,C5 H4 N4 O,136.0385,1.82,68-94-0
hVPA_FApC40,N-Methylnicotinate,C7 H7 N O2,137.0472,4.49,535-83-1
hVPA_FApC41,Urocanic Acid,C6 H6 N2 O2,138.0428,2.57,104-98-3
hVPA_FApC42,4-Guanidinobutyric Acid,C5 H11 N3 O2,145.0848,6.31,463-00-3
hVPA_FApC43,Acetylcholine,C7 H15 N O2,145.1097,3.18,51-84-3
hVPA_FApC44,Deoxycarnitine,C7 H15 N O2,145.1102,6.89,407-64-7
hVPA_FApC45,Glutamine,C5 H10 N2 O3,146.069,6.57,56-85-9
hVPA_FApC46,Lysine,C6 H14 N2 O2,146.1054,11.8,56-87-1
hVPA_FApC47,Glutamic Acid,C5 H9 N O4,147.0533,6.62,56-86-0
hVPA_FApC48,Methionine,C5 H11 N O2 S,149.051,3.87,63-68-3
hVPA_FApC49,Xanthine,C5 H4 N4 O2,152.0336,2.01,69-89-6
hVPA_FApC50,4-Hydroxyphenylacetic Acid,C8 H8 O3,152.0447,0.78,156-38-7
hVPA_FApC51,3-Sulfinoalanine,C3 H7 N O4 S,153.0092,6.08,1115-65-7
hVPA_FApC52,Histidine,C6 H9 N3 O2,155.0693,6.85,71-00-1
hVPA_FApC53,Allantoin,C4 H6 N4 O3,158.0435,1.9,97-59-6
hVPA_FApC54,Methyl-L-Lysine,C7 H16 N2 O2,160.1211,12.15,1188-07-4
hVPA_FApC55,Carnitine,C7 H15 N O3,161.105,6.19,541-15-1
hVPA_FApC56,5-Hydroxylysine,C6 H14 N2 O3,162.0999,11.26,28902-93-4
hVPA_FApC57,Pterin,C6 H5 N5 O,163.0475,2,2236-60-4
hVPA_FApC58,Phenylalanine,C9 H11 N O2,165.0789,2.93,63-91-2
hVPA_FApC59,Pyridoxal,C8 H9 N O3,167.0583,1.26,66-72-8
hVPA_FApC60,Pyridoxamine,C8 H12 N2 O2,168.0895,4.51,85-87-0
hVPA_FApC61,Pyridoxine,C8 H11 N O3,169.0739,1.26,65-23-6
hVPA_FApC62,3-Methylhistidine,C7 H11 N3 O2,169.085,6.76,368-16-1
hVPA_FApC63,Dihydroxyacetone-phosphate,C3 H7 O6 P,169.9978,7.7,57-04-5
hVPA_FApC64,Glycerol 2-Phosphate,C3 H9 O6 P,172.0132,7.51,17181-54-3
hVPA_FApC65,Arginine,C6 H14 N4 O2,174.1117,11.44,74-79-3
hVPA_FApC66,Citrulline,C6 H13 N3 O3,175.0959,7.04,372-75-8
hVPA_FApC67,Tyrosine,C9 H11 N O3,181.0734,4.57,60-18-4
hVPA_FApC68,D-Galactitol,C6 H14 O6,182.0767,4.57,608-66-2
hVPA_FApC69,D-Sorbitol,C6 H14 O6,182.0788,4.14,50-70-4
hVPA_FApC70,Phosphocholine,C5 H14 N O4 P,183.0659,9.28,107-73-3
hVPA_FApC71,2-Phosphoglyceric Acid,C3 H7 O7 P,185.988,8.01,23295-92-3
hVPA_FApC72,N-alpha-Acetyl-L-glutamine,C7 H12 N2 O4,188.0796,3.51,2490-97-3
hVPA_FApC73,"NE,NE,NE-Trimethyllysine",C9 H20 N2 O2,188.1522,11.89,55528-53-5
hVPA_FApC74,Methyl-L-tyrosine,C10 H13 N O3,195.0895,4.8,1080-06-4
hVPA_FApC75,Acetylcarnitine,C9 H17 N O4,203.1157,4.93,5080-50-2
hVPA_FApC76,Tryptophan,C11 H12 N2 O2,204.0898,3.11,73-22-3
hVPA_FApC77,Kynurenine,C10 H12 N2 O3,208.0849,3.15,2922-83-0
hVPA_FApC78,Phosphocreatine,C4 H10 N3 O5 P,211.0357,7.58,67-07-2
hVPA_FApC79,Propionylcarnitine,C10 H19 N O4,217.1313,4.11,20064-19-1
hVPA_FApC80,Pantothenic Acid,C9 H17 N O5,219.1105,2.21,137-08-6
hVPA_FApC81,N-Acetylmannosamine,C8 H15 N O6,221.0911,3.09,3615-17-6
hVPA_FApC82,N-Acetylglucosamine,C8 H15 N O6,221.0914,3.54,7512-17-6
hVPA_FApC83,Cystathionine,C7 H14 N2 O4 S,222.0674,8.42,56-88-2
hVPA_FApC84,Methyl Jasmonate,C13 H20 O3,224.1372,0.77,1211-29-6
hVPA_FApC85,Carnosine,C9 H14 N4 O3,226.107,7.9,305-84-0
hVPA_FApC86,Deoxycytidine,C9 H13 N3 O4,227.0907,2.12,951-77-9
hVPA_FApC87,Cytidine,C9 H13 N3 O5,243.0854,2.74,65-46-3
hVPA_FApC88,Uridine,C9 H12 N2 O6,244.0683,1.65,58-96-8
hVPA_FApC89,Biotin,C10 H16 N2 O3 S,244.0884,2.74,58-85-5
hVPA_FApC90,2'-Deoxyadenosine,C10 H13 N5 O3,251.1018,1.48,958-09-8
hVPA_FApC91,Glycerol-3-phosphocholine,C8 H20 N O6 P,257.1028,7.08,28319-77-9
hVPA_FApC92,D-Fructose 6-phosphate,C6 H13 O9 P,260.0292,8.47,643-13-0
hVPA_FApC93,D-Glucose 6-phosphate,C6 H13 O9 P,260.0295,8.44,56-73-5
hVPA_FApC94,D-Glucose 1-phosphate,C6 H13 O9 P,260.0296,8.21,59-56-3
hVPA_FApC95,Thiamine (Vit B1),C12 H16 N4 O S,264.1044,7.47,59-43-8
hVPA_FApC96,Adenosine,C10 H13 N5 O4,267.0967,1.7,58-61-7
hVPA_FApC97,Inosine,C10 H12 N4 O5,268.0807,2.29,58-63-9
hVPA_FApC98,Guanosine,C10 H13 N5 O5,283.0914,3.28,118-00-3
hVPA_FApC99,Xanthosine,C10 H12 N4 O6,284.0757,3.28,146-80-5
hVPA_FApC100,Ophthalmic Acid,C11 H19 N3 O6,289.1273,6.71,495-27-2
hVPA_FApC101,5'-Methylthioadenosine,C11 H15 N5 O3 S,297.0894,1.09,2457-80-9
hVPA_FApC102,N-Acetylaspartyl Glutamic Acid,C11 H16 N2 O8,304.0908,7.21,3106-85-2
hVPA_FApC103,Glutathione (GSH),C10 H17 N3 O6 S,307.084,6.73,70-18-8
hVPA_FApC104,N-Acetylneuraminic Acid,C11 H19 N O9,309.1061,5.79,131-48-6
hVPA_FApC105,UMP,C9 H13 N2 O9 P,324.0359,7.52,58-97-9
hVPA_FApC106,"3',5'-cAMP",C10 H12 N5 O6 P,329.0524,2.54,60-92-4
hVPA_FApC107,Nicotinamide Mononucleotide,C11 H15 N2 O8 P,334.0565,8.71,1094-61-7
hVPA_FApC108,3-Phosphoglyceroinositol,C9 H19 O11 P,334.0668,7.43,00-00-006
hVPA_FApC109,AICAR,C9 H15 N4 O8 P,338.0585,7.95,3031-94-5
hVPA_FApC110,"D-Fructose 1,6-bisphosphate",C6 H14 O12 P2,339.996,9.12,488-69-7
hVPA_FApC111,Thiamine Monophosphate,C12 H17 N4 O4 P S,344.0706,9.85,532-40-1
hVPA_FApC112,Corticosterone,C21 H30 O4,346.2132,0.75,50-22-6
hVPA_FApC113,dGMP,C10 H14 N5 O7 P,347.0629,8.63,902-04-5
hVPA_FApC114,AMP,C10 H14 N5 O7 P,347.0631,7.48,61-19-8
hVPA_FApC115,1-Oleoylglycerol,C21 H40 O4,356.2892,0.73,111-03-5
hVPA_FApC116,Cortisol,C21 H30 O5,362.2072,0.74,50-23-7
hVPA_FApC117,GMP,C10 H14 N5 O8 P,363.0544,8.08,85-32-5
hVPA_FApC118,5a-Allotetrahydrocortisol,C21 H34 O5,366.2366,0.76,302-91-0
hVPA_FApC119,Riboflavin,C17 H20 N4 O6,376.1385,2.07,83-88-5
hVPA_FApC120,S-Adenosylhomocysteine (SAH),C14 H20 N6 O5 S,384.1216,6.92,979-92-0
hVPA_FApC121,S-Adenosylmethionine (SAM),C15 H22 N6 O5 S,398.1373,9.45,29908-03-0
hVPA_FApC122,CDP,C9 H15 N3 O11 P2,403.0172,8.38,63-38-7
hVPA_FApC123,dADP,C10 H15 N5 O9 P2,411.0334,7.84,02793-06-8
hVPA_FApC124,ADP,C10 H15 N5 O10 P2,427.0294,7.93,58-64-0
hVPA_FApC125,GDP,C10 H15 N5 O11 P2,443.0243,8.56,146-91-8
hVPA_FApC126,UTP,C9 H15 N2 O15 P3,483.9686,8.61,63-39-8
hVPA_FApC127,CDP-Choline,C14 H26 N4 O11 P2,488.1073,7.88,987-78-0
hVPA_FApC128,dATP,C10 H16 N5 O12 P3,491.0006,8.36,1927-31-7
hVPA_FApC129,ATP,C10 H16 N5 O13 P3,506.996,8.45,56-65-5
hVPA_FApC130,GTP,C10 H16 N5 O14 P3,522.9907,9.09,86-01-1
hVPA_FApC131,Cyclic adenosine diphosphate ribose (cADP-ribose),C15 H21 N5 O13 P2,541.0611,7.69,119340-53-3
hVPA_FApC132,ADP-Ribose,C15 H23 N5 O14 P2,559.0717,7.02,20762-30-5
hVPA_FApC133,Didecanoylphosphatidylcholine (DDPC),C28 H56 N O8 P,565.3737,0.94,3436-44-0
hVPA_FApC134,ADP-Glucose,C16 H25 N5 O15 P2,589.0819,7.67,102129-65-7
hVPA_FApC135,GDP-Glucose,C16 H25 N5 O16 P2,605.0777,8.05,5750-57-2
hVPA_FApC136,UDP-N-Acetylgalactosamine,C17 H27 N3 O17 P2,607.082,7.09,7277-98-7
hVPA_FApC137,GSSG,C20 H32 N6 O12 S2,612.1522,8.67,27025-41-8
hVPA_FApC138,NAD,C21 H27 N7 O14 P2,663.1094,7.68,53-84-9
hVPA_FApC139,NADH,C21 H29 N7 O14 P2,665.1249,6.62,59-68-4
hVPA_FApC140,Sphingomyelin,C41 H83 N2 O6 P,730.5982,0.94,85187-10-6
hVPA_FApC141,NADP,C21 H28 N7 O17 P3,743.0755,8.61,53-59-8
hVPA_FApC142,Coenzyme A (CoA),C21 H36 N7 O16 P3 S,767.1152,7.23,85-61-0
hVPA_FApC143,Flavin adenine dinucleotide (FAD),C27 H33 N9 O15 P2,785.1572,6.61,146-14-5
hVPA_FApC144,Acetyl-CoA,C23 H38 N7 O17 P3 S,809.1312,7.06,72-89-9
