compound_short,compound_full,formula,mass,rt,cas_id
hVPA_FAnM1,Glycine,C2 H5 N O2,75.0328,6.24,56-40-6
hVPA_FAnM2,Pyruvate,C3 H4 O3,88.0163,1.08,127-17-3
hVPA_FAnM3,Alanine,C3 H7 N O2,89.048,5.74,56-41-7
hVPA_FAnM4,Lactic Acid,C3 H6 O3,90.0321,1.73,79-33-4
hVPA_FAnM5,2-Ketobutyric Acid,C4 H6 O3,102.032,4.47,600-18-0
hVPA_FAnM6,BAIBA,C4 H9 N O2,103.0644,6.69,144-90-1
hVPA_FAnM7,Serine,C3 H7 N O3,105.0428,6.69,56-45-1
hVPA_FAnM8,Uracil,C4 H4 N2 O2,112.0272,1.17,66-22-8
hVPA_FAnM9,Creatinine,C4 H7 N3 O,113.0589,1.73,60-27-5
hVPA_FAnM10,Proline,C5 H9 N O2,115.0635,4.7,147-85-3
hVPA_FAnM11,Valine,C5 H11 N O2,117.0793,4.39,72-18-4
hVPA_FAnM12,Threonine,C4 H9 N O3,119.0584,5.93,72-19-5
hVPA_FAnM13,Homoserine,C4 H9 N O3,119.0584,6.12,1927-25-9
hVPA_FAnM14,Taurine,C2 H7 N O3 S,125.015,4.17,107-35-7
hVPA_FAnM15,Ketoleucine,C6 H10 O3,130.063,0.82,816-66-0
hVPA_FAnM16,5-Aminolevulinic Acid,C5 H9 N O3,131.0586,5.79,106-60-5
hVPA_FAnM17,Creatine,C4 H9 N3 O2,131.0683,5.79,57-00-1
hVPA_FAnM18,Leucine,C6 H13 N O2,131.0947,3.12,61-90-5
hVPA_FAnM19,Isoleucine,C6 H13 N O2,131.0947,3.51,73-32-5
hVPA_FAnM20,Ornithine,C5 H12 N2 O2,132.0901,11.11,70-26-8
hVPA_FAnM21,Caprylic Acid,C8 H16 O2,144.1152,0.84,124-07-2
hVPA_FAnM22,4-Acetamidobutanoic Acid,C6 H11 N O3,145.0741,2.6,3025-96-5
hVPA_FAnM23,Glutamine,C5 H10 N2 O3,146.0693,6.53,56-85-9
hVPA_FAnM24,Lysine,C6 H14 N2 O2,146.1055,11.48,56-87-1
hVPA_FAnM25,Glutamic Acid,C5 H9 N O4,147.0532,6.68,56-86-0
hVPA_FAnM26,Methionine,C5 H11 N O2 S,149.0515,3.85,63-68-3
hVPA_FAnM27,Xanthine,C5 H4 N4 O2,152.0335,2.03,69-89-6
hVPA_FAnM28,Ribitol,C5 H12 O5,152.0684,2.89,488-81-3
hVPA_FAnM29,Histidine,C6 H9 N3 O2,155.0694,7.35,71-00-1
hVPA_FAnM30,Allantoin,C4 H6 N4 O3,158.0441,1.87,97-59-6
hVPA_FAnM31,Indole-3-acetaldehyde,C10 H9 N O,159.0685,0.75,20095-27-6
hVPA_FAnM32,Phenylalanine,C9 H11 N O2,165.079,2.92,63-91-2
hVPA_FAnM33,Pyridoxal,C8 H9 N O3,167.0581,1.26,66-72-8
hVPA_FAnM34,Uric Acid,C5 H4 N4 O3,168.0283,4.26,69-93-2
hVPA_FAnM35,Pyridoxine,C8 H11 N O3,169.0739,1.26,65-23-6
hVPA_FAnM36,Arginine,C6 H14 N4 O2,174.1119,11.11,74-79-3
hVPA_FAnM37,Citrulline,C6 H13 N3 O3,175.0953,7.02,372-75-8
hVPA_FAnM38,myo-Inositol,C6 H12 O6,180.0635,6.78,87-89-8
hVPA_FAnM39,D-Fructose,C6 H12 O6,180.0636,3.3,57-48-7
hVPA_FAnM40,D-Glucose,C6 H12 O6,180.0636,4.27,50-99-7
hVPA_FAnM41,D-Allose,C6 H12 O6,180.0637,3.34,2595-97-3
hVPA_FAnM42,D-Galactose,C6 H12 O6,180.0638,4.47,59-23-4
hVPA_FAnM43,Tyrosine,C9 H11 N O3,181.074,4.53,60-18-4
hVPA_FAnM44,4-Hydroxyphenyllactic Acid,C9 H10 O4,182.0581,1.26,6482-98-0
hVPA_FAnM45,D-Sorbitol,C6 H14 O6,182.0792,4.12,50-70-4
hVPA_FAnM46,4-Pyridoxic Acid,C8 H9 N O4,183.0531,0.79,82-82-6
hVPA_FAnM47,Ferulic Acid,C10 H10 O4,194.057,0.86,1135-24-6
hVPA_FAnM48,Tryptophan,C11 H12 N2 O2,204.0904,3.07,73-22-3
hVPA_FAnM49,Pantothenic Acid,C9 H17 N O5,219.1108,2.32,137-08-6
hVPA_FAnM50,Carnosine,C9 H14 N4 O3,226.1076,7.9,305-84-0
hVPA_FAnM51,Uridine,C9 H12 N2 O6,244.0698,2.79,58-96-8
hVPA_FAnM52,Palmitoleic Acid,C16 H30 O2,254.2246,0.72,373-49-9
hVPA_FAnM53,Thiamine (Vit B1),C12 H16 N4 O S,264.1049,7.07,59-43-8
hVPA_FAnM54,Oleic Acid,C18 H34 O2,282.2561,0.71,112-80-1
hVPA_FAnM55,Docosahexaenoic Acid (22:6 n-3),C22 H32 O2,328.2415,0.7,6217-54-5
hVPA_FAnM56,Sucrose,C12 H22 O11,342.1162,6.24,57-50-1
