compound_short,compound_full,formula,mass,rt,cas_id
hVPAnC1,Glyoxylic Acid,C2 H2 O3,74.0008,1,298-12-4
hVPAnC2,Glycine,C2 H5 N O2,75.0325,6.41,56-40-6
hVPAnC3,Pyruvate,C3 H4 O3,88.0163,1.21,127-17-3
hVPAnC4,Alanine,C3 H7 N O2,89.0479,6.05,56-41-7
hVPAnC5,Beta-Alanine,C3 H7 N O2,89.0481,6.52,107-95-9
hVPAnC6,Sarcosine,C3 H7 N O2,89.0482,5.87,107-97-1
hVPAnC7,Lactic Acid,C3 H6 O3,90.032,1.97,79-33-4
hVPAnC8,GABA,C4 H9 N O2,103.0636,7.12,56-12-2
hVPAnC9,BAIBA,C4 H9 N O2,103.0638,6.69,144-90-1
hVPAnC10,Serine,C3 H7 N O3,105.0429,6.75,56-45-1
hVPAnC11,Glyceric Acid,C3 H6 O4,106.0268,3.24,473-81-4
hVPAnC12,Hypotaurine,C2 H7 N O2 S,109.0199,5.82,300-84-5
hVPAnC13,Uracil,C4 H4 N2 O2,112.0271,1.19,66-22-8
hVPAnC14,Proline,C5 H9 N O2,115.0634,4.73,147-85-3
hVPAnC15,Fumaric Acid,C4 H4 O4,116.0109,6.54,110-17-8
hVPAnC16,Valine,C5 H11 N O2,117.0793,4.4,72-18-4
hVPAnC17,5-Aminopentanoate,C5 H11 N O2,117.0797,7.05,660-88-8
hVPAnC18,Succinic Acid,C4 H6 O4,118.0263,6.57,110-15-6
hVPAnC19,Threonine,C4 H9 N O3,119.0582,6.05,72-19-5
hVPAnC20,Homoserine,C4 H9 N O3,119.0585,6.4,1927-25-9
hVPAnC21,Taurine,C2 H7 N O3 S,125.0148,4.14,107-35-7
hVPAnC22,Ketoleucine,C6 H10 O3,130.0631,0.85,816-66-0
hVPAnC23,Heptanoic Acid,C7 H14 O2,130.0993,0.91,111-14-8
hVPAnC24,5-Aminolevulinic Acid,C5 H9 N O3,131.0584,5.88,106-60-5
hVPAnC25,N-Acetylalanine,C5 H9 N O3,131.0585,2.34,97-69-8
hVPAnC26,cis-4-Hydroxyproline,C5 H9 N O3,131.0602,6.06,2584-71-6
hVPAnC27,Creatine,C4 H9 N3 O2,131.0687,6.07,57-00-1
hVPAnC28,Leucine,C6 H13 N O2,131.0948,3.06,61-90-5
hVPAnC29,Isoleucine,C6 H13 N O2,131.0948,3.42,73-32-5
hVPAnC30,Asparagine,C4 H8 N2 O3,132.0533,6.76,70-47-3
hVPAnC31,Aspartic Acid,C4 H7 N O4,133.0375,7.25,56-84-8
hVPAnC32,Malic Acid,C4 H6 O5,134.0216,7.13,97-67-6
hVPAnC33,Adenine,C5 H5 N5,135.0546,1.09,73-24-5
hVPAnC34,Phenylacetic Acid,C8 H8 O2,136.0525,0.93,103-82-2
hVPAnC35,Caprylic Acid,C8 H16 O2,144.1149,0.87,124-07-2
hVPAnC36,Glutamine,C5 H10 N2 O3,146.0694,6.73,56-85-9
hVPAnC37,Lysine,C6 H14 N2 O2,146.1045,10.98,56-87-1
hVPAnC38,N-Acetylserine,C5 H9 N O4,147.0533,3.29,16354-58-8
hVPAnC39,O-Acetylserine,C5 H9 N O4,147.0533,3.29,5147-00-2
hVPAnC40,Glutamic Acid,C5 H9 N O4,147.0534,7.12,56-86-0
hVPAnC41,Methionine,C5 H11 N O2 S,149.0509,3.76,63-68-3
hVPAnC42,Xanthine,C5 H4 N4 O2,152.0335,2.09,69-89-6
hVPAnC43,4-Hydroxyphenylacetic Acid,C8 H8 O3,152.0473,0.8,156-38-7
hVPAnC44,Ribitol,C5 H12 O5,152.0687,2.75,488-81-3
hVPAnC45,3-Sulfinoalanine,C3 H7 N O4 S,153.0096,6.65,1115-65-7
hVPAnC46,3-Hydroxyanthranilic Acid,C7 H7 N O3,153.044,0.76,548-93-6
hVPAnC47,Histidine,C6 H9 N3 O2,155.0697,7.08,71-00-1
hVPAnC48,Orotic Acid,C5 H4 N2 O4,156.0169,1.95,65-86-1
hVPAnC49,Dihydroorotic Acid,C5 H6 N2 O4,158.0328,3.05,5988-19-2
hVPAnC50,Allantoin,C4 H6 N4 O3,158.0439,1.91,97-59-6
hVPAnC51,Nonanoic Acid,C9 H18 O2,158.1306,0.83,112-05-0
hVPAnC52,Indole-3-acetaldehyde,C10 H9 N O,159.0683,0.74,20095-27-6
hVPAnC53,Phenylalanine,C9 H11 N O2,165.079,2.89,63-91-2
hVPAnC54,Quinolinic Acid,C7 H5 N O4,167.017,6.72,89-00-9
