Samples,Mode,Type,Group,Treatment,Plate,Experiment,FApC1,FApC2,FApC3,FApC4,FApC5,FApC6,FApC7,FApC8,FApC9,FApC10,FApC11,FApC12,FApC13,FApC14,FApC15,FApC16,FApC17,FApC18,FApC19,FApC20,FApC21,FApC22,FApC23,FApC24,FApC25,FApC26,FApC27,FApC28,FApC29,FApC30,FApC31,FApC32,FApC33,FApC34,FApC35,FApC36,FApC37,FApC38,FApC39,FApC40,FApC41,FApC42,FApC43,FApC44,FApC45,FApC46,FApC47,FApC48,FApC49,FApC50,FApC51,FApC52,FApC53,FApC54,FApC55,FApC56,FApC57,FApC58,FApC59,FApC60,FApC61,FApC62,FApC63,FApC64,FApC65,FApC66,FApC67,FApC68,FApC69,FApC70,FApC71,FApC72,FApC73,FApC74,FApC75,FApC76,FApC77,FApC78,FApC79,FApC80,FApC81,FApC82,FApC83,FApC84,FApC85,FApC86,FApC87,FApC88,FApC89,FApC90,FApC91,FApC92,FApC93,FApC94,FApC95,FApC96,FApC97,FApC98,FApC99,FApC100,FApC101,FApC102,FApC103,FApC104,FApC105,FApC106,FApC107,FApC108,FApC109,FApC110,FApC111,FApC112,FApC113,FApC114,FApC115,FApC116,FApC117,FApC118,FApC119,FApC120,FApC121,FApC122,FApC123,FApC124,FApC125,FApC126,FApC127,FApC128,FApC129,FApC130,FApC131,FApC132,FApC133,FApC134,FApC135,FApC136,FApC137,FApC138,FApC139,FApC140,FApC141,FApC142,FApC143,FApC144,FApC145,FApC146,FApC147,FApC148,FApC149,FApC150,FApC151
QC1,pos,cells,QC,QC,QC,QC,1296678.543,565895.0146,6366145.895,68617.73566,34500.0877,96234.76281,375840.1645,15662726.54,951749.1418,258318.1913,16103.52735,191043.0196,245894.7192,786588.8265,1950484.502,63647.87317,2577962.088,637189.0072,3554064.343,70782.05214,75417.79668,4778925.375,48558.53777,1168007.346,21906.38519,861292.4424,13773096.24,2785397.152,3306628.421,17123.42002,255446.3209,243467.5297,434229.8181,2341386.723,34095.13349,14586.32987,117533.2387,96297.65028,10008469.95,49396.34824,8605485.731,285676.319,113928.056,114925.8995,67329.22193,14146.98349,12869.79656,72973.19781,25494.47251,290813.0721,7408560.662,1153205.322,52805.39726,5195900.754,35194.93767,314328.6966,15578.30356,639103.4987,36811.49861,2858.91073,5562.610196,7689.233205,,95207.22324,85190.27986,3417938.822,576553.4283,6807748.296,145126.4729,48803.13926,36194.60036,776621.9885,1773425.965,47965.03153,12198.84132,22323.19031,29948.72796,69888.08151,1950280.15,155475.4432,22423.21322,12278.08454,143743.8498,588877.2073,494787.0131,347627.1665,55386.91479,47612.56026,215019.9784,3244873.412,16890.99513,12775.37925,25702.60169,1524886.785,3044709.626,251088.1014,187286.4647,82295.3688,95208.11463,1250070.486,43545.67653,510633.2805,38148.57013,36181.98612,3663795.261,27502.16049,7812.718298,48165.36543,10842.90217,28434.22826,11077.29787,157479.6569,28866.21603,9995.087148,42833.56709,136700.6017,85433.23153,181208.1128,33681.75261,13610.99519,30637.13688,181899.0287,18752.39824,4268.807359,146658.5989,28137.02157,25216.82135,13511.25576,120423.6886,894794.4853,413822.57,90380.73396,1434942.705,40820.18624,1417542.636,156400.3873,39691.68789,26862.56289,749532.1111,721038.9708,34116.67305,473571.9774,293158.7242,79157.39224,5981.617828,3093658.015,5241.048365,166218.3608,375645.6481,1798218.527,5510323.56
QC2,pos,cells,QC,QC,QC,QC,1234893.878,552096.4829,6075373.39,67120.02227,30796.9956,81784.88442,353715.13,15472643.83,875242.2805,243857.3649,12854.68691,198697.6558,207730.4719,786706.3616,1856572.764,56488.8105,2459971.671,581621.0043,3399111.266,72705.55931,63970.85293,4443669.326,51241.01538,992244.528,21374.8,808293.3982,13297509.08,2637877.981,3234619.739,14254.39829,239167.991,227304.5059,429456.8494,2083414.361,32675.7305,14261.6718,113403.6122,81298.40818,9565705.854,48850.03252,8135185.128,277826.5154,113723.4462,93413.88319,49924.07828,14584.71126,10402.24545,69782.87394,19268.32473,252476.1489,7077608.172,1106547.784,46591.95645,4743046.925,31201.55769,301173.9314,14810.4511,602797.9294,36523.72438,3656.896866,5164.188544,6797.809312,1008.867664,92140.06415,80262.39219,3243570.262,512603.6262,6531200.365,133085.7147,48271.19358,35979.82076,739364.8353,1692269.9,44959.55268,11749.83389,21031.34964,28528.77375,68946.93102,1625280.296,126317.0171,21957.05017,11348.82411,144449.0675,562773.9655,493552.628,277990.7671,58086.85092,46483.50625,199381.3675,3082810.162,15773.0601,12087.66015,26223.86111,1457394.673,2751426.222,230305.7914,177003.8861,80107.12047,86890.70296,1106058.507,30851.85657,483886.5021,35206.36385,30258.86627,3501097.14,22446.72013,8003.449044,44508.47326,10741.2293,25946.22188,10503.48386,148892.6151,25488.84166,9448.89501,34008.05093,127219.383,84456.18033,176590.3319,31501.89071,13349.16992,30916.41619,174358.2927,18563.14052,4514.497026,134122.8281,29696.31596,26344.42274,12853.34831,117218.1571,861824.9618,421980.2255,90757.50118,1421098.296,45195.97419,1391791.222,151803.0945,39490.47034,25008.16913,686815.572,662693.5169,32924.81133,445941.531,261736.7628,75311.14064,6894.050845,2996446.635,4629.393059,157457.8878,367206.2406,1732142.379,5313923.498
QC3,pos,cells,QC,QC,QC,QC,1217514.748,531346.1847,5927633.239,65004.18663,31041.76435,78162.27423,337723.7749,15305491.18,852006.2634,234806.9202,12620.6409,183115.7018,209189.2989,747757.9629,1824765.502,53839.98093,2375275.962,577967.0057,3279368.031,67388.92563,67480.61311,4305346.062,43948.73598,944610.359,22230.92564,768689.1481,12944663.42,2587392.825,3187508.943,12422.33039,229831.3987,231279.8768,429797.629,1990223.632,29418.29963,12798.04291,109010.4221,71532.25809,9271848.746,47652.06412,7732417.962,280121.5064,88814.75399,94825.41149,63316.70359,14347.02454,11177.85478,66399.50632,18726.00576,255795.8592,6907261.979,1065867.944,43047.79287,4559535.939,31200.23678,289999.2895,14142.04792,574460.2846,35147.36618,2788.156722,5244.297844,6596.157638,487.5207249,89059.82182,79538.45503,3131602.795,478591.8169,6223648.875,133427.3152,44693.65262,33629.11448,704002.2972,1614556.14,42960.02249,10873.99752,20138.1108,28198.60016,64330.38563,1533114.469,121086.8604,19497.9864,10150.06285,138770.8498,542414.3308,461157.1172,268711.9663,52985.33562,43997.3325,193923.7345,2907046.422,15186.10676,11284.82569,24064.73464,1365530.688,2649866.085,221894.1678,168839.9611,75255.54545,84367.45018,1037833.014,30564.25625,460921.2463,32034.21466,29226.30575,3346102.869,22118.26865,7802.67714,44232.54723,9833.985547,25993.33121,10491.62804,143916.0616,25224.34722,8666.290941,32237.42754,121750.7565,83114.92994,173995.4862,31755.09136,12251.25289,32707.80934,171140.8208,18484.43735,4648.383338,127951.68,27784.27673,24629.83465,11738.07405,114939.6241,827509.8579,411181.7624,85616.48949,1376256.41,45748.46235,1344054.56,146062.139,38560.49532,22996.65041,664021.7419,648512.0142,32209.65223,426435.5777,248704.0171,75284.22882,6507.223062,2886090.316,3783.193012,155595.0317,358306.1893,1669758.859,5150923.342
QC4,pos,cells,QC,QC,QC,QC,1192839.664,521639.0858,5689525.147,66795.33371,35953.37318,77968.50192,323047.3787,15171169.33,835448.5488,233698.7607,11656.77769,163314.5395,185428.7975,734802.6046,1776681.567,48691.9177,2311025.517,565093.0507,3201845.726,65145.73737,59228.77,4136092.563,36510.44512,907179.6358,21367.92643,743994.2354,12564232.74,2529159.996,3071858.29,13226.39134,225312.4888,225823.6463,425159.608,1915194.157,30755.49208,12467.65909,104388.3256,70209.56749,9185818.453,47294.84901,7567665.694,273660.6999,100789.9393,88449.43135,61890.53445,13425.5035,9213.090837,65296.13983,17773.08838,265629.2903,6725203.711,1045304.703,40224.41501,4416020.419,30460.73004,280160.0018,14509.19815,561200.428,34235.70108,3169.113241,4970.975403,6498.270945,464.2944321,86255.21539,71659.58953,3014952.527,464658.1141,6083546.649,120838.8375,42742.96239,31732.24206,672233.4448,1573980.006,42072.11226,10625.22672,19272.58056,25394.60252,62655.11499,1469415.874,114770.0256,18944.52138,9970.63722,135856.8473,533097.3987,444275.4251,250621.1651,52227.05784,42442.74122,187084.9555,2871810.228,13848.20745,11625.71817,23996.4071,1306706.84,2556494.039,218612.0945,166650.5549,77248.6757,83527.73091,982627.4811,30568.33861,466112.8569,30812.17418,27347.97978,3199927.548,20066.60909,6872.481837,42625.16329,9056.289141,24788.83118,10959.68712,141918.6756,25649.08193,8155.587287,32922.10937,117921.1161,82001.94575,167476.5356,30649.11019,12123.36667,28997.46194,164435.3508,18324.20677,3891.548348,123645.5503,27908.30423,24106.29837,12217.20311,111671.5865,824657.5736,397537.7936,84096.23586,1347889.793,44588.3837,1309068.267,143470.7685,38759.25157,21991.06621,629359.4504,625922.1349,32556.95854,418949.3685,244304.2777,70834.54369,6607.366223,2819017.91,5472.000545,155924.0824,344584.3846,1626059.476,5017593.34
QC5,pos,cells,QC,QC,QC,QC,1176406.294,517663.6805,5510950.479,66550.07951,30932.17712,77010.56154,318064.5811,14985109.27,809326.9594,221926.3587,12901.30415,165034.5471,174318.5616,706696.3714,1714468.607,50072.73482,2245494.949,531975.2822,3108017.173,60688.04626,67067.76285,4016657.543,39943.61572,885327.551,18042.04058,725197.0334,12269021.29,2421959.524,2952694.125,12500.43166,218078.3041,206269.2264,427490.6517,1869998.799,30228.66478,12713.50257,99845.35217,59594.14649,8935478.173,47150.73436,7359849.064,268173.0335,100437.144,82797.66764,61119.10656,13783.82409,8661.128048,63740.63217,16403.34315,251325.3346,6477484.286,1001754.667,41772.4073,4270318.093,32244.68205,278156.9775,12357.01224,548209.9814,34001.53027,3184.238975,4781.310912,6359.095074,497.204148,87380.07225,69361.40716,2890368.641,452631.9122,5832833.453,114782.5538,40610.64472,30053.38804,651984.0664,1475911.702,39431.40972,10078.56585,18502.74547,26600.23075,64746.26457,1430107.447,116005.7452,18353.86437,9826.360526,130351.3779,520387.2258,419801.6069,238789.7384,51776.8624,41338.29535,182496.891,2799002.755,13605.7636,10679.96968,24050.10965,1275641.059,2507741.786,201465.7688,163328.3127,70743.46935,77613.20958,956130.3626,30327.03807,448454.7816,28917.74508,26948.02411,3061972.693,21475.77906,7405.860032,43152.94506,8899.268229,24203.25686,9821.697636,139875.8875,23896.2309,8458.083898,38308.44305,114363.5529,78228.71915,159613.6734,30366.60776,10885.64345,29531.63358,161064.838,17187.84159,4487.951779,120172.9114,27858.75533,24398.43722,11459.60649,111196.7052,805198.7901,391121.8872,82204.24899,1308276.85,43386.40098,1271567.201,141149.6974,38031.66683,22653.67109,621371.9238,604113.989,33326.06219,407399.6363,232517.1457,71046.1037,6043.665197,2731831.399,5270.31724,147318.9805,340228.1223,1574786.556,4837792.884
QC6,pos,cells,QC,QC,QC,QC,987068.031,431975.2075,4586173.564,44148.33304,25983.77037,63179.24265,258788.4377,13363152.87,638796.8424,180988.1637,9344.541177,149137.0859,144590.7971,560643.307,1200273.985,40038.09984,1807120.523,465615.3578,2546558.204,45350.39422,50137.43564,3233909.555,33739.79317,625557.1167,15228.39623,587350.3131,9880215.905,1820299.717,2446115.067,9571.837617,173702.1637,155725.254,372842.771,1499561.215,23819.3065,9159.38808,83853.32106,178692.0063,7741882.25,40621.92632,5896141.375,211922.649,81520.08321,65701.81888,50379.47984,10146.67803,6338.442266,53139.6991,13151.87968,191360.2672,5235809.87,801710.552,33065.65647,3389257.417,23066.91241,42887.31714,8350.835889,433747.0142,25731.72976,2003.390788,4216.016498,5269.146306,642.0644729,78267.40374,57680.32065,172384.759,353709.36,4545602.072,105892.5775,32886.522,21320.87697,537940.1743,1129229.07,32249.96551,6216.22383,14861.17425,22125.92845,46410.16136,1009880.21,89685.2467,15853.93336,8275.095115,108384.4021,424513.3064,351252.1105,185440.5832,41820.98788,36464.30156,152327.2404,2101340.95,10151.46269,7554.237304,20611.37912,1032295.323,1916668.734,174994.4471,126976.0322,61464.28042,66916.39929,698326.4361,21486.40983,428979.6761,25632.27632,22836.32774,2433818.366,16141.72427,5819.747088,33378.84451,6695.330683,20446.44382,7027.1062,111706.6374,21367.66074,6726.641857,21220.1616,91678.75723,66216.33819,134302.4183,25022.57056,9654.204051,24016.71171,136985.2416,13949.55188,3162.112278,98241.92124,22840.21518,22019.1804,9790.865956,87746.21957,634367.967,329799.6473,70558.65249,1071971.256,37966.74215,1049665.265,115994.9546,31011.41175,17861.02181,483321.277,460128.0495,28861.78535,326957.8972,182479.7839,59303.86711,4347.075426,2169255.607,3933.25171,125018.704,281460.2882,1263496.277,3838953.93
QC7,pos,cells,QC,QC,QC,QC,907887.2675,422337.6333,4146215.378,52108.69016,21713.07362,60050.52433,240700.027,12475217.04,586810.5815,169725.7602,8864.241429,131238.89,122201.2715,517927.5324,1094636.863,36807.55317,1654090.855,451731.4064,2273136.698,34509.33825,43596.23892,2891049.556,21226.53923,553977.1445,13312.14218,539489.5924,9082633.069,1649783.048,2116973.452,8742.30516,158151.3569,165420.8416,361680.5199,1355970.99,20551.8486,8603.604512,74873.4166,117405.6614,7044385.82,36948.7177,5344611.509,184649.1871,64473.30588,54825.48139,43564.6645,8974.761919,5768.203371,50441.74581,11172.51763,158179.7598,4707993.061,728424.5525,29971.42336,3073534.768,20834.77328,47190.27043,9877.143659,400523.7464,24252.52957,2775.668287,3674.341483,4032.82843,494.2625009,67970.47664,49375.7635,144595.3683,317746.7803,4202793.403,81053.42445,28703.66419,19418.09572,488541.9692,1005720.908,28433.4052,5499.045195,13027.84512,20560.59141,39608.81837,897939.103,82598.15706,14736.94064,5892.648492,99534.86251,382078.2631,309090.6347,163467.1209,36960.64436,31792.92891,137983.1195,2097179.409,9781.856091,6770.08092,18929.54109,919474.1631,1701900.63,155490.0002,113206.1702,54486.07246,60155.47909,632502.703,23959.51726,427479.5602,21761.34607,21025.09355,2181151.703,13218.06784,5400.662439,30770.50907,6771.496005,18541.10451,6027.846581,100075.2432,18916.70731,6344.940234,18093.14153,80041.77568,59344.76368,120595.5128,24493.57846,8763.388242,23373.01863,120994.8741,12661.99812,3416.762315,91436.68188,20602.85278,17416.08346,8231.060978,81933.50736,586966.9782,304030.7037,63554.52485,984352.0281,34549.12552,961433.6327,109725.1209,30564.29808,15150.53178,425537.0767,429962.3128,30076.84005,303950.6453,165645.6216,53081.30688,3876.824021,1998457.92,3892.948566,111998.008,260065.9774,1136662.214,3530619.352
QC8,pos,cells,QC,QC,QC,QC,889494.953,384858.4872,4033311.622,48788.59826,20537.98811,55788.15919,228892.585,12056044.77,561985.1118,163795.0056,8154.703457,128483.0242,110846.9125,485122.1686,1043876.106,33504.53539,1606396.849,413759.5083,2202853.923,34067.04916,43348.47191,2741687.914,29080.68202,536645.4176,14207.11328,533927.4938,8663527.467,1602958.614,1983082.054,9193.079999,137924.7705,145455.9371,373126.1426,1333872.046,22011.80133,8228.558494,73152.88218,120679.7845,6824648.253,35744.23898,5127451.749,191483.5519,75154.5681,51324.56672,41879.56431,8261.143831,6125.957738,44887.07991,10898.15682,154961.898,4478459.79,680901.3177,27715.84192,2934633.143,20149.95626,45379.20964,7473.396143,375645.6721,22769.32108,1741.78283,3069.432075,4593.7708,159.4405271,65116.88965,48382.45482,151145.1594,308607.8404,3888810.811,77849.56068,28670.66472,18757.87663,467774.1939,961398.035,28063.37282,4713.402812,12676.02918,18073.46714,38637.50118,870430.0492,79976.88071,13392.31801,5507.606388,92736.63643,364844.6368,282683.5643,160049.561,34690.76302,31832.22452,134790.7977,1745974.287,9213.048484,6227.952022,17027.58077,866646.5451,1671455.82,149195.7486,110880.091,74621.40175,57924.59922,618523.616,19315.22721,430675.3493,20374.16271,21900.98052,2019422.896,14164.41155,4993.79583,29670.93669,5776.563758,16664.87414,5361.702866,92814.046,19049.46357,5445.140734,22641.00509,76490.64342,57174.80337,111006.6184,23859.72484,7659.40196,22456.74334,112380.0964,11485.62034,2975.095874,92139.00483,19624.30905,17455.67964,7459.01913,77286.3683,564564.7083,287492.5407,59706.78878,954906.6948,33152.15033,933578.3959,102975.9552,28657.30027,15063.07344,420228.9834,395227.3071,29980.29056,278389.725,157660.5946,50202.51658,3748.406859,1889491.911,3448.437607,106832.8783,240817.5292,1084811.997,3319482.913
Solv2,pos,cells,solv,solv,solv,solv,64030.42091,38556.19683,65879.60704,9213.770221,4492.234896,22386.80315,18425.72036,337076.9138,34735.77677,280.1892303,4013.307809,20114.76285,700.1795437,61779.93131,35028.54722,7616.110571,138998.409,592447.9282,25295.54714,1945.541142,17185.22694,6797.880088,,31349.07472,6231.854893,72072.14336,289798.1619,80649.67738,10746.46485,1923.407829,30039.85071,107039.4534,15837.96287,11799.66053,12192.41494,299.276716,3228.998535,24835.58275,51813.43646,16462.32666,95373.21374,21512.33424,13826.01378,,28905.55787,4174.078039,1260.99331,10237.74969,75.10521623,2306.88232,32168.48246,19183.50899,2082.932756,15105.88082,2548.500443,57351.17369,6063.190515,4877.838163,1953.338117,,,,73.30520807,15583.85468,209.4123664,2450.908758,26553.65531,7981.633399,3430.976577,689.3680368,147.7025634,16116.74123,46367.53803,4960.298163,,,5600.612438,1797.181838,22023.08908,8207.573499,80.88428457,924.7466907,4749.533742,6097.271817,5213.072763,708.6369385,2767.607387,4692.771345,43360.94332,5181.702213,,,3470.151736,5903.114536,6053.793009,23081.82983,651.4780007,27339.57776,23257.02227,2258.503057,171.2013379,2345.179949,4939.48422,696.4078012,250204.9145,703.2187954,71.43618017,770.0361819,,517.9716724,230.5386265,1941.958491,19932.36791,176.1043651,675.5395435,738.0475443,9585.816329,1948.401909,11543.44264,,13701.82716,1896.652955,85.18774659,176.6678695,1698.576436,76.5850435,71.21901222,,18098.27172,6747.734562,10336.88012,3108.85733,12413.13809,80.39240608,4127.240331,6089.116628,3344.395276,338.4625122,7093.792725,5321.763848,75.07559846,4862.958215,3605.963497,890.337283,,4116.009713,319.9540587,2564.905411,5388.574874,5593.165927,6998.627885
Solv3,pos,cells,solv,solv,solv,solv,57243.52985,38706.53239,58399.27892,9393.46661,5860.071903,24493.56373,7573.446544,1362893.493,19688.8666,74.54679789,3219.26011,11495.5408,78.36292928,54198.23822,24010.07186,4509.019979,90801.69288,359463.5672,26309.41003,813.5502956,11136.60246,3541.073155,,10216.10199,3672.882679,34920.84602,206084.6159,55864.45389,37442.61274,1001.918717,21450.24765,59469.75947,12344.46572,8463.80406,7623.336171,92.90062466,1459.370818,16482.21583,67651.54436,10506.9069,95944.53701,12089.02098,27542.12343,507.2914798,23421.02431,396.5095497,564.4686114,4907.238631,,1123.070871,27281.7684,15943.59721,1137.550376,10213.73764,3974.723534,35620.38772,1354.693047,2553.419492,1340.719675,,,,,9832.491549,214.6146349,38804.53619,28182.54601,37964.09863,22130.70714,329.4265076,78.59696469,2909.708779,32636.7718,4773.974087,,,1992.493527,1513.414837,12284.72739,6198.471207,,,3204.675792,2748.73771,1953.721735,72.39017344,1812.115794,1991.168249,30192.48448,19800.58717,149.2911423,,2906.143922,4715.116862,3055.294534,18322.8962,946.2496581,16001.80534,16030.30272,1265.293287,,1238.198498,3029.074065,,286347.2605,188.7230163,,231.8744186,,1523.449203,147.3645906,1184.235343,14508.94799,,146.936564,900.7694459,7165.19743,1446.371402,8881.25546,,7414.410404,3072.066645,,162.60075,959.6298129,410.4253879,72.02184771,,16054.88648,3976.325878,18904.63512,1751.813754,10163.66351,545.1954502,4010.045888,3981.23351,1245.434975,,5875.056891,7708.373703,72.10118315,6869.826532,3924.969,404.2162023,84.16109982,1523.463155,256.8728868,677.0288656,837.7956982,5093.524495,3828.33161
