Samples,Mode,Type,Group,Treatment,Plate,Experiment,FAnM1,FAnM2,FAnM3,FAnM4,FAnM5,FAnM6,FAnM7,FAnM8,FAnM9,FAnM10,FAnM11,FAnM12,FAnM13,FAnM14,FAnM15,FAnM16,FAnM17,FAnM18,FAnM19,FAnM20,FAnM21,FAnM22,FAnM23,FAnM24,FAnM25,FAnM26,FAnM27,FAnM28,FAnM29,FAnM30,FAnM31,FAnM32,FAnM33,FAnM34,FAnM35,FAnM36,FAnM37,FAnM38,FAnM39,FAnM40,FAnM41,FAnM42,FAnM43,FAnM44,FAnM45,FAnM46,FAnM47,FAnM48,FAnM49,FAnM50,FAnM51,FAnM52,FAnM53,FAnM54,FAnM55,FAnM56,FAnM57,FAnM58,FAnM59,FAnM60,FAnM61,FAnM62
QC1,neg,media,QC,QC,QC,QC,74341.14651,118544.2367,26613.07373,53765.05341,240937.0546,12421393.76,61666.15906,27820.06146,16768.61487,26533.05269,102912.7401,17908.06877,30475.97575,49657.22033,32549.8169,154789.3108,79578.12914,101847.7782,31368.71131,338481.8383,19810.5581,5641.844525,2939095.297,124864.7593,17606.61625,209254.4894,187460.4506,21843.64688,6651.455814,38852.08547,85639.03303,813235.9919,149703.5895,11019.75744,17272.26884,44127.07035,49231.77819,61509.23061,58886.28392,20231.85819,9814.756405,154364.6019,52961.63868,6239.915611,17301.9554,64721.97886,1066515.183,139368.327,93117.3156,57158.10871,18254.35334,16600.56725,69621.13489,12477.21957,50652.2613,11243.04526,56463.53555,10402.37575,2639.323887,68362.96882,3073.284945,6708.710495
QC2,neg,media,QC,QC,QC,QC,74825.81608,116129.218,28036.80707,58451.35693,234700.2474,13351826.85,63549.83724,18971.74433,17429.75832,26691.08149,101655.2301,18242.74333,32525.27479,49952.21814,32298.37626,156097.6634,82450.33481,101819.3194,33673.0299,333396.9611,19833.71099,5010.246711,3049063.629,130969.6203,20235.25074,216643.3154,202637.8073,23466.25187,6211.399267,30636.22092,87221.69716,836297.7731,161183.1464,10889.71842,17159.99148,43565.80965,49059.0321,62331.8431,59098.71397,21263.50604,9725.413944,157744.8429,41960.46919,6429.479753,17731.62204,61725.03136,1072725.673,140800.7642,92835.8134,63220.24969,19115.87883,17182.20078,72818.19272,13224.0434,49928.23627,11489.52443,56519.54645,10840.6573,2712.734986,68824.53392,2807.203895,6324.106111
QC3,neg,media,QC,QC,QC,QC,76790.8354,111083.121,25452.89997,64492.15617,243278.99,13912152.38,63641.70917,25984.9067,17847.32292,26526.35184,101844.8643,20406.54882,32564.90704,53391.71125,28070.14924,158557.731,87545.9422,103837.7327,31043.45454,316213.3297,18550.02277,5677.423281,3090812.397,137140.1981,15816.24519,216267.7053,199894.4688,22133.91065,6377.791322,38474.79422,89503.32601,828672.2435,150517.6392,13774.98993,16641.42949,45227.46169,47344.95435,62650.27866,59712.42266,21137.28989,9526.928875,158928.3105,51441.69487,6939.803877,17814.32294,67535.48188,1066857.603,144047.6536,92069.371,61132.57299,18979.26044,18849.57204,73309.57422,13165.49459,49822.42727,11897.77982,58413.44656,11082.12155,2929.530133,70189.69291,2657.803146,6569.200608
QC4,neg,media,QC,QC,QC,QC,78346.55441,115836.4125,32542.24304,63145.75802,238719.4799,14260576.33,67260.45549,27728.30043,20446.23907,29007.36112,104078.2311,18850.23704,33578.95175,53332.96221,35055.05108,160434.0408,88351.34619,100267.5313,31702.95038,322542.7636,19775.25608,5673.11685,3144690.075,141905.9489,17614.08175,219469.5732,195646.1106,22459.73743,6653.971797,41883.60027,90429.08381,838245.7744,159381.1808,12557.93237,17256.67996,45808.36144,48021.8611,62113.28236,59551.8232,21291.50529,9647.626307,161940.8723,51852.2667,7133.60587,17764.72507,65617.07654,1074964.82,142948.5009,93767.68883,65368.20545,19982.74418,17880.8041,74989.63896,12683.33755,51320.06303,11130.67968,59021.65969,11449.00409,2697.616965,69896.0049,2959.220933,6547.914478
QC5,neg,media,QC,QC,QC,QC,85469.63106,109817.0447,42124.43233,60359.1595,241158.8397,14571896.19,66800.32163,26418.18849,19220.28523,28979.94006,101632.7581,18923.73143,33797.686,52780.57877,33150.72788,160139.7902,93643.38013,102081.049,32761.26539,320333.6175,19357.21406,6210.558073,3175841.769,136469.5059,21437.07111,220625.6317,192421.8997,23086.86672,6861.774696,20787.34177,90722.91205,822779.7722,159393.5481,12848.41124,16576.67366,44741.20633,48180.70999,64440.82051,60995.65611,22878.93496,9580.828588,161864.6997,41232.2343,6625.921049,18206.82732,66728.78497,1055852.758,145111.5362,95240.18698,65414.59364,20174.4804,18702.55305,77674.38714,13664.21688,51213.72567,12166.21938,60211.22463,11687.61599,2629.719366,71296.74814,2908.429071,7177.099375
QC6,neg,media,QC,QC,QC,QC,78419.09463,113853.7934,34586.14024,66103.13365,230193.0343,15409153.21,64050.40632,25774.82521,19681.63826,30110.93993,102791.5432,18761.14173,34623.00376,48253.99694,33506.51546,156491.0641,100489.5998,100327.474,32078.25898,311138.5377,19396.66301,5784.940707,3222134.285,154950.7229,18483.22913,210512.2139,196014.4457,22527.03954,6287.218578,36314.66962,90632.566,836401.7702,154947.9576,10937.61903,17400.24594,44534.63519,48487.81144,62939.05597,62252.70725,20933.87411,10364.45711,159287.478,50235.15761,6388.690519,18345.68197,68638.81869,1031648.786,145292.5404,96332.84774,68812.67384,20150.96378,19419.80844,77459.00689,13071.8362,50014.91849,10942.9342,59654.68285,12055.07119,2432.771627,67106.25829,2611.820011,7616.147976
QC7,neg,media,QC,QC,QC,QC,80651.32845,110978.1756,27091.11875,61778.04348,211116.7877,16076953.12,65169.26486,26133.98044,21145.02571,29846.2742,100830.6616,18940.07546,33348.10216,48452.71799,31245.14945,144006.8631,100453.0715,96603.69586,31032.99751,309791.5377,20255.34818,4906.456677,3285276.516,154406.387,18275.74103,230401.7376,208139.65,21921.94748,3100.353018,42522.09309,93695.34686,811817.0041,151697.1154,10731.05758,17557.28619,44848.90213,49535.43941,63178.53318,60735.49254,21814.36165,10225.44286,163477.3455,42444.8752,6491.489301,16990.80171,70151.66777,1044880.482,146742.5051,96502.60165,70062.75997,20310.65515,19198.35095,81162.89178,12242.35392,48656.86676,10915.71645,60966.29531,12574.81632,2692.691586,57964.54722,2239.871636,8812.072224
QC8,neg,media,QC,QC,QC,QC,83106.08382,115618.9522,27878.12706,61841.32388,233755.5911,16346951.98,64868.83521,25174.60228,21034.19091,30186.90096,105191.3306,19037.23383,32818.71984,49500.02295,33566.53872,149074.7961,98067.87986,95137.84876,30885.092,300940.1039,18693.1667,6981.047648,3267157.317,162591.2044,22855.53992,219729.458,203703.3387,22354.97263,7133.190665,44052.29997,95845.66584,820033.5579,150438.5052,12253.59739,17658.46899,45215.19364,49690.65922,62706.63649,59919.42123,19440.94738,9310.291524,163555.293,51165.03315,7132.810724,16882.72736,69268.08488,1023478.876,149240.8041,96498.98265,72435.77237,19817.17955,20737.20095,77263.13552,13753.71509,49329.25667,11228.96728,59764.03079,12019.92067,3143.361341,58496.01547,2100.218224,10687.52677
Solv2,neg,media,solv,solv,solv,solv,12107.67502,71156.20615,13667.41484,7322.061943,64203.06663,83210.52352,5136.670185,9156.463838,6930.908132,6908.851516,40515.37597,2435.837432,11479.85361,1446.4415,18072.71165,26356.98253,40661.69736,11501.40729,6221.368197,24480.58136,656.2807828,3684.374361,84670.85354,12521.48965,6976.887552,9935.782322,6448.184824,7843.484455,4610.151974,35471.83131,7905.641339,48826.03854,12966.32726,10119.65828,9737.345466,704.659851,4705.981626,5245.67399,1001.984813,12752.56591,496.0481326,3506.516357,8441.16961,,3173.86321,3060.984496,8814.478331,7875.782296,3568.689755,16460.4844,543.7095281,,168.5784029,1516.232359,1258.632876,1279.045778,1835.267873,,,1220.605872,,1418.664804
Solv3,neg,media,solv,solv,solv,solv,11802.91806,73665.44793,14306.63839,7325.84605,57716.62162,101922.1192,7037.51177,9583.785302,7868.654843,11540.37581,44242.24967,3687.371499,12407.57781,1608.001819,15149.07304,26843.59657,46512.00916,14727.74934,6900.148815,25825.92777,460.363437,2501.553185,97746.14378,6708.329752,9055.106938,15268.29286,7745.766953,9201.54461,4586.215634,44404.71377,10714.49037,57281.32591,12406.41527,9092.061437,10318.87079,1172.848274,6083.145368,6526.763123,676.0760836,13657.20967,1300.322132,4221.60479,9908.702139,333.0585983,3980.315033,4207.402188,13149.31653,8207.493022,5058.840418,17735.3096,581.8882025,,324.9056221,2820.395381,1487.137206,2111.930482,1643.837837,,,1532.733894,,1455.770162
