Samples,Mode,Type,Group,Treatment,Plate,Experiment,FApM1,FApM2,FApM3,FApM4,FApM5,FApM6,FApM7,FApM8,FApM9,FApM10,FApM11,FApM12,FApM13,FApM14,FApM15,FApM16,FApM17,FApM18,FApM19,FApM20,FApM21,FApM22,FApM23,FApM24,FApM25,FApM26,FApM27,FApM28,FApM29,FApM30,FApM31,FApM32,FApM33,FApM34,FApM35,FApM36,FApM37,FApM38,FApM39,FApM40,FApM41,FApM42,FApM43,FApM44,FApM45,FApM46,FApM47,FApM48,FApM49,FApM50,FApM51,FApM52,FApM53,FApM54,FApM55,FApM56,FApM57,FApM58,FApM59,FApM60,FApM61,FApM62,FApM63,FApM64,FApM65,FApM66,FApM67
QC1,pos,media,QC,QC,QC,QC,70312.73276,80646.8858,17459.80813,601893.6465,35897.07872,210815.8373,145609.8469,1542.744823,243278.6157,316787.5577,786764.8349,406886.1651,174452.3609,7637.96493,207320.0683,206037.7245,1194590.854,997571.1631,36864.94729,28588.96425,4716.24645,4022848.533,16915.28377,378139.1672,303745.5331,41180.95229,4201.264286,15602.63979,15259.75886,34101.99889,827300.1769,7286.808467,11464.41544,2640.693084,307141.274,25162.87004,596906.898,48311.92683,8124.152964,739.7559409,4620.52276,2190.799448,15702.96042,159395.6881,8293.026486,8960.458933,135944.3084,46692.81628,7367.42655,2210.177792,27288.20666,10002.70663,26698.66486,1327.878189,13151.32815,26911.60539,5900.33299,5018.21506,13347.81887,2940.730298,37822.30798,22449.28502,43257.41035,3001.49241,5252.241461,4329.631252,8604.890709
QC2,pos,media,QC,QC,QC,QC,83523.99514,98565.95703,16438.73983,571370.4815,33555.45064,208018.9465,136245.1142,1949.308503,238975.8558,292542.3225,748857.9113,383579.72,165380.4001,7972.108999,198951.1399,184619.5922,1121408.395,925266.4658,36368.13368,26997.59791,4197.089057,3846144.763,18538.26725,371519.9441,295447.8231,39631.06009,2660.72589,17309.63615,13962.43727,35177.78872,766766.8718,6185.400521,11766.50018,3340.076243,279710.5723,22980.16622,566869.8349,45951.82483,9096.065208,987.6083982,3135.364508,1973.36627,16777.74743,171633.5684,8419.471783,9225.146539,126274.7382,46230.99621,6381.694979,2654.589659,27741.81995,9795.016061,26581.43072,1494.286832,12485.47848,26338.79719,5814.852319,5017.144781,11945.95193,2571.542823,34842.96568,20068.6593,40307.46425,3674.074545,4952.969332,5550.130485,6262.609473
QC3,pos,media,QC,QC,QC,QC,81039.25005,98480.58868,16952.80913,561461.7529,33325.52584,198003.5144,132972.7076,2262.588684,198707.2873,278886.4025,720291.2204,399977.7373,156364.8466,7238.715289,194570.6126,208139.5101,1199194.548,923355.2955,39392.16501,28316.84589,4630.059067,3731218.522,17064.69516,361341.2117,284876.67,42675.20146,4700.898739,14947.50839,15968.70318,31876.52643,754358.2827,5694.931132,11326.79119,2822.843952,274197.0025,22036.93023,555098.4062,45255.07951,7854.708525,749.6269577,3581.289412,2165.087508,16813.89611,164971.4294,9406.272068,8518.016803,119446.1501,43929.45432,6971.233522,1642.774809,22123.84722,9277.545302,24696.84408,1263.601742,12382.79787,18194.31928,5008.988946,4654.876118,12245.96252,2841.703174,36153.15071,20263.92287,38672.32796,2857.042664,5430.919284,3943.935695,8066.433146
QC4,pos,media,QC,QC,QC,QC,86913.74788,82386.12055,16652.1271,534593.5953,31515.9284,212530.3409,132209.0951,1760.076893,217526.4466,281599.6555,693861.3284,393378.2962,143966.3406,7199.497032,180982.5112,174406.5003,1064368.207,859279.5955,33846.51023,27549.17338,4081.32671,3639625.678,16010.86918,342081.9547,271009.2352,36841.54382,3801.530073,16220.61159,15002.2993,35546.31204,732811.4026,5978.820369,11181.85028,2960.137889,265294.419,22257.94682,533050.2893,40123.5834,8639.936289,844.7674554,3736.051145,1746.607041,14555.14241,151803.1533,7534.556078,7645.988453,109081.4316,41790.72533,5912.423079,2321.249792,20722.22963,8994.446115,25229.20787,1072.901108,12358.90153,19698.53623,5013.78274,3690.14109,11735.65286,2387.461121,37083.17061,20335.94563,39162.56698,1479.533273,4998.751243,3972.511985,7174.142291
QC5,pos,media,QC,QC,QC,QC,87599.55044,98023.49362,15468.48147,516444.289,35059.33801,196523.2681,127767.7212,2001.239369,201707.0752,272373.9596,675133.0057,352948.7224,143743.5294,7303.165901,180229.6553,184594.5372,1036173.769,842838.9848,46687.52522,25792.41438,3834.663482,3549906.128,17622.04289,327786.5566,264792.1578,41589.49446,3683.950615,16077.61554,13970.84072,33723.97657,712410.4084,5745.480798,10895.81268,2793.744218,253201.4637,23063.41687,516468.7093,42786.72048,8776.430294,475.9606262,3703.451444,1765.592124,13479.91218,157513.0866,9554.048439,6914.346144,111855.8207,40891.20953,5906.348368,2444.217179,24243.12068,8720.603928,23855.90059,1126.845492,11854.04022,34801.29676,4981.476921,4345.974944,11913.60969,2249.373589,33511.6877,18798.15586,37086.61563,2499.263605,4816.605632,3900.093878,7441.179736
QC6,pos,media,QC,QC,QC,QC,69572.80057,88186.40636,14337.72204,445717.6456,29983.64053,172688.3879,113253.9362,1035.971907,181606.851,232472.668,596928.2238,328687.3359,114716.288,6563.701122,147241.4698,178178.9789,880900.0115,703195.4243,29432.99959,19949.26677,3739.094705,3090143.535,15525.97152,285244.8487,225003.4126,30977.2054,4146.467472,11978.6934,13035.99737,28598.13741,612089.1577,3965.429833,13436.66419,2393.646873,215935.0229,18316.55598,442779.7421,33746.02507,6225.647624,325.0348979,3643.767922,1396.682221,12052.85724,133894.9767,7195.761289,6132.633348,86414.20035,35801.91946,4275.784305,1534.533459,20891.1707,7406.397243,20819.07166,905.6621865,9132.412209,27373.88137,4184.183446,3256.613488,9433.562505,1447.876767,31158.64911,16407.56077,32979.76688,1719.13798,3794.372868,1908.852262,5339.082394
QC7,pos,media,QC,QC,QC,QC,55993.58078,78778.49587,13789.45168,445020.5747,26274.32236,157414.0616,109511.4907,1453.6755,161177.5596,228647.1284,550991.945,288541.0263,106821.1833,6094.534994,138826.8902,165230.0407,809291.2143,647503.4594,38445.11952,21524.03715,3706.974968,2888949.881,14884.23481,266925.8502,206802.11,35324.27863,3588.567905,11971.97494,12593.20385,27518.7288,547941.9791,3788.13746,10269.50749,1846.713847,215161.3376,18142.17665,405780.4377,30506.34987,6047.52299,293.5643747,3708.700057,1399.92108,11082.01143,124542.2668,6374.905528,5472.152717,77190.86457,32116.94392,4417.644107,1388.468722,21289.82874,7343.811033,19195.3557,439.9383003,8237.833412,31302.86441,3763.436849,3069.77597,9746.91043,1747.042713,27947.67711,16387.33141,31178.76992,1871.995584,3299.331063,1476.605851,5319.8554
QC8,pos,media,QC,QC,QC,QC,51491.54197,70376.02157,12467.3266,417506.8915,27415.79469,162295.6348,102817.2194,1067.448233,155356.5394,214637.0285,542314.1689,298560.4834,94745.10719,5482.722717,123795.2292,156961.6655,788027.332,627781.4589,25044.87857,18700.42244,3797.950004,2770288.279,14022.99235,253160.8775,195254.7725,27118.529,3904.757591,10393.14718,11964.46031,26781.94178,531564.1648,4098.612235,10072.55366,1633.929885,192409.1425,18460.69824,390556.3085,27962.69128,6203.248917,331.7755116,1652.553954,1724.604545,9663.543245,117327.8731,7880.327522,4872.62636,73715.57231,30636.19951,3901.595342,875.6818069,18186.4671,6611.636211,18820.50705,395.0738591,8091.768034,23201.16117,3538.506462,2602.422157,8837.567055,1908.550752,26418.85473,15794.10035,31303.98083,1875.059709,3154.309715,1846.30587,4266.628209
Solv2,pos,media,solv,solv,solv,solv,14925.80446,79205.43172,8006.296939,28660.69652,5722.415375,35454.66572,76745.05568,594.5253308,53290.04073,57128.28037,102319.8515,19670.74929,8831.556541,,21290.88984,157142.1397,87386.3347,7038.529663,14698.9821,5140.791475,300.3837648,36232.06746,6485.082072,26554.07909,19571.45555,13658.9902,,11390.52748,726.9420685,11306.18276,14584.01674,1434.580484,4853.65544,260.3679694,5243.854788,13318.043,21204.1979,12712.71732,3354.618066,84.19060723,153.5928913,596.6659718,13249.46796,52747.23352,3392.085268,3139.062545,8187.714601,5324.275314,3836.552694,1046.420976,11503.84334,1140.427911,4563.417486,76.07326801,6629.881844,4133.845351,72.47741661,95.90375005,333.7118824,492.6321137,8786.095827,3525.423095,3961.778508,1520.405259,262.63336,1169.635615,
Solv3,pos,media,solv,solv,solv,solv,16554.59467,34975.69527,6293.211147,24291.63944,7916.383485,28029.22293,52212.35539,73.22197608,39082.22233,37768.69153,64160.20042,17631.31454,3982.195741,,13886.84945,128416.094,58777.60885,34540.126,10615.23116,3362.404832,,28869.60058,4742.989448,19616.27616,11709.54058,20580.91979,428.5530007,6392.439024,1398.660799,11126.81969,13886.82279,319.6274513,4481.857612,87.70513157,3113.512636,9852.922491,13263.07805,8895.078709,3292.971804,,183.7295225,,3307.757454,35219.55848,4900.148108,1900.090217,5763.102901,3898.698289,1151.105412,160.6530831,7562.058352,534.9533623,3105.132328,,3701.461701,15951.39168,82.04762278,,78.7126367,85.06132989,5150.969685,2420.014347,2022.365825,597.8383027,,81.78420387,
