compound_short,compound_full,formula,mass,rt,cas_id
FAnM1,Methylglyoxal,C3 H4 O2,72.022,2.27,78-98-8
FAnM2,Glycine,C2 H5 N O2,75.032,8.92,56-40-6
FAnM3,Sulfite,H2 O3 S,81.973,1.39,7782-99-2
FAnM4,Pyruvate,C3 H4 O3,88.016,1.44,127-17-3
FAnM5,Alanine,C3 H7 N O2,89.048,8.47,56-41-7
FAnM6,Lactic Acid,C3 H6 O3,90.035,2.28,79-33-4
FAnM7,Acetoacetic Acid,C4 H6 O3,102.032,3.06,541-50-4
FAnM8,BAIBA,C4 H9 N O2,103.062,8.69,144-90-1
FAnM9,2-Hydroxybutyric Acid,C4 H8 O3,104.046,1.88,3347-90-8
FAnM10,3-Hydroxybutyric Acid,C4 H8 O3,104.046,2.88,300-85-6
FAnM11,Serine,C3 H7 N O3,105.042,8.35,56-45-1
FAnM12,Glyceric Acid,C3 H6 O4,106.026,2.89,473-81-4
FAnM13,Uracil,C4 H4 N2 O2,112.026,1.56,66-22-8
FAnM14,Creatinine,C4 H7 N3 O,113.067,6.79,60-27-5
FAnM15,Proline,C5 H9 N O2,115.06,9.23,147-85-3
FAnM16,Valine,C5 H11 N O2,117.079,7.44,72-18-4
FAnM17,Succinic Acid,C4 H6 O4,118.026,7.54,110-15-6
FAnM18,Threonine,C4 H9 N O3,119.052,7.94,72-19-5
FAnM19,3-Mercaptopyruvic Acid,C3 H4 O3 S,119.987,3.05,2464-23-5
FAnM20,D-Erythrose,C4 H8 O4,120.044,3.04,583-50-6
FAnM21,Taurine,C2 H7 N O3 S,125.015,4.85,107-35-7
FAnM22,4-Imidazoleacetic Acid,C5 H6 N2 O2,126.041,8.86,645-65-8
FAnM23,4-Oxoproline,C5 H7 N O3,129.045,5.16,4347-18-6
FAnM24,Ketoleucine,C6 H10 O3,130.063,1.29,816-66-0
FAnM25,N-Acetylalanine,C5 H9 N O3,131.054,5.17,97-69-8
FAnM26,Isoleucine,C6 H13 N O2,131.096,6.91,73-32-5
FAnM27,Leucine,C6 H13 N O2,131.096,6.67,61-90-5
FAnM28,Asparagine,C4 H8 N2 O3,132.053,8.67,70-47-3
FAnM29,Ornithine,C5 H12 N2 O2,132.088,23.27,70-26-8
FAnM30,Malic Acid,C4 H6 O5,134.022,7.43,97-67-6
FAnM31,Hypoxanthine,C5 H4 N4 O,136.039,2.61,68-94-0
FAnM32,Glutamine,C5 H10 N2 O3,146.071,8.86,56-85-9
FAnM33,Glutamic Acid,C5 H9 N O4,147.055,8.69,56-86-0
FAnM34,3-Hydroxyglutaric Acid,C5 H8 O5,148.036,7.44,638-18-6
FAnM35,Citramalic Acid,C5 H8 O5,148.039,6.23,2306-22-1
FAnM36,Methionine,C5 H11 N O2 S,149.053,6.68,63-68-3
FAnM37,D-Ribose,C5 H10 O5,150.054,3.04,50-69-1
FAnM38,Xanthine,C5 H4 N4 O2,152.037,1.91,69-89-6
FAnM39,Allantoin,C4 H6 N4 O3,158.046,1.81,97-59-6
FAnM40,3-Hydroxymethylglutaric Acid,C6 H10 O5,162.054,7.07,503-49-1
FAnM41,Pterin,C6 H5 N5 O,163.057,3.06,2236-60-4
FAnM42,Phenylalanine,C9 H11 N O2,165.081,6.23,63-91-2
FAnM43,Uric Acid,C5 H4 N4 O3,168.032,2.64,69-93-2
FAnM44,Pyridoxine,C8 H11 N O3,169.075,6.13,65-23-6
FAnM45,myo-Inositol,C6 H12 O6,180.066,5.22,87-89-8
FAnM46,D-Glucose,C6 H12 O6,180.066,2.56,50-99-7
FAnM47,D-Fructose,C6 H12 O6,180.068,3.05,57-48-7
FAnM48,Tyrosine,C9 H11 N O3,181.074,6.39,60-18-4
FAnM49,D-Galactitol,C6 H14 O6,182.083,3.69,608-66-2
FAnM50,Citric Acid,C6 H8 O7,192.029,9.13,77-92-9
FAnM51,Phenylacetylglycine,C10 H11 N O3,193.077,1.95,500-98-1
FAnM52,Cysteine-S-sulfonic Acid,C3 H7 N O5 S2,200.98,1.6,1637-71-4
FAnM53,Pantothenic Acid,C9 H17 N O5,219.115,4.22,137-08-6
FAnM54,Nitrotyrosine,C9 H10 N2 O5,226.06,5.2,621-44-3
FAnM55,Deoxycytidine,C9 H13 N3 O4,227.086,6.67,951-77-9
FAnM56,Uridine,C9 H12 N2 O6,244.073,2.22,58-96-8
FAnM57,Ribothymidine,C10 H14 N2 O6,258.091,5.16,1463-10-1
FAnM58,Adrenoyl ethanolamide,C24 H41 N O2,375.312,1.14,150314-35-5
FAnM59,Palmitoyl dopamine,C24 H41 N O3,391.304,1.17,136181-87-8
FAnM60,Folic Acid,C19 H19 N7 O6,441.144,8.3,59-30-3
FAnM61,Dihydrofolic Acid,C19 H21 N7 O6,443.145,8.3,4033-27-6
FAnM62,Cholesterol Sulfate,C27 H46 O4 S,466.308,0.69,1256-86-6
