compound_short,compound_full,formula,mass,rt,cas_id
VPA_FAnC1,Methylglyoxal,C3 H4 O2,72.022,2.31,78-98-8
VPA_FAnC2,Glycine,C2 H5 N O2,75.036,8.94,56-40-6
VPA_FAnC3,Cysteamine,C2 H7 N S,77.024,2.69,60-23-1
VPA_FAnC4,Sulfite,H2 O3 S,81.975,1.83,7782-99-2
VPA_FAnC5,Pyruvate,C3 H4 O3,88.018,1.75,127-17-3
VPA_FAnC6,Alanine,C3 H7 N O2,89.051,8.43,56-41-7
VPA_FAnC7,Sarcosine,C3 H7 N O2,89.051,9.57,107-97-1
VPA_FAnC8,Lactic Acid,C3 H6 O3,90.034,2.29,79-33-4
VPA_FAnC9,2-Ketobutyric Acid,C4 H6 O3,102.031,3.59,600-18-0
VPA_FAnC10,GABA,C4 H9 N O2,103.065,11.58,56-12-2
VPA_FAnC11,2-Aminobutyric Acid,C4 H9 N O2,103.066,8.64,1492-24-6
VPA_FAnC12,2-Hydroxybutyric Acid,C4 H8 O3,104.047,1.88,3347-90-8
VPA_FAnC13,3-Hydroxybutyric Acid,C4 H8 O3,104.047,2.92,300-85-6
VPA_FAnC14,Serine,C3 H7 N O3,105.044,8.3,56-45-1
VPA_FAnC15,Glyceric Acid,C3 H6 O4,106.028,2.94,473-81-4
VPA_FAnC16,Hypotaurine,C2 H7 N O2 S,109.022,9.01,300-84-5
VPA_FAnC17,Uracil,C4 H4 N2 O2,112.028,2.09,66-22-8
VPA_FAnC18,1-Pyrroline-2-carboxylic Acid,C5 H7 N O2,113.04,6.39,02139-03-9
VPA_FAnC19,Thiosulfate,H2 O3 S2,113.945,4.68,14383-50-7
VPA_FAnC20,Proline,C5 H9 N O2,115.066,9.19,147-85-3
VPA_FAnC21,Fumaric Acid,C4 H4 O4,116.013,7.39,110-17-8
VPA_FAnC22,Caproic Acid,C6 H12 O2,116.081,1.44,142-62-1
VPA_FAnC23,N-Acetylglycine,C4 H7 N O3,117.043,4.41,543-24-8
VPA_FAnC24,Valine,C5 H11 N O2,117.081,7.4,72-18-4
VPA_FAnC25,Methylmalonic Acid,C4 H6 O4,118.025,2.85,516-05-2
VPA_FAnC26,Succinic Acid,C4 H6 O4,118.028,7.55,110-15-6
VPA_FAnC27,Threonine,C4 H9 N O3,119.048,7.9,72-19-5
VPA_FAnC28,D-Erythrose,C4 H8 O4,120.043,2.17,583-50-6
VPA_FAnC29,Cysteine,C3 H7 N O2 S,121.021,6.91,52-90-4
VPA_FAnC30,Taurine,C2 H7 N O3 S,125.017,4.82,107-35-7
VPA_FAnC31,4-Imidazoleacetic Acid,C5 H6 N2 O2,126.044,8.83,645-65-8
VPA_FAnC32,4-Oxoproline,C5 H7 N O3,129.045,5.14,4347-18-6
VPA_FAnC33,Ketoleucine,C6 H10 O3,130.063,1.31,816-66-0
VPA_FAnC34,trans-4-Hydroxyproline,C5 H9 N O3,131.05,7.91,51-35-4
VPA_FAnC35,N-Acetylalanine,C5 H9 N O3,131.059,4.04,97-69-8
VPA_FAnC36,Creatine,C4 H9 N3 O2,131.073,9.57,57-00-1
VPA_FAnC37,Isoleucine,C6 H13 N O2,131.096,6.87,73-32-5
VPA_FAnC38,Leucine,C6 H13 N O2,131.096,6.65,61-90-5
VPA_FAnC39,Oxaloacetic Acid,C4 H4 O5,132.008,9.08,328-42-7
VPA_FAnC40,Asparagine,C4 H8 N2 O3,132.056,8.67,70-47-3
VPA_FAnC41,2-Hydroxy-3-methylpentanoic Acid,C6 H12 O3,132.078,1.51,448-15-3
VPA_FAnC42,Ornithine,C5 H12 N2 O2,132.089,24.47,70-26-8
VPA_FAnC43,Aspartic Acid,C4 H7 N O4,133.04,8.38,56-84-8
VPA_FAnC44,Malic Acid,C4 H6 O5,134.025,7.39,97-67-6
VPA_FAnC45,Adenine,C5 H5 N5,135.054,3.62,73-24-5
VPA_FAnC46,Hypoxanthine,C5 H4 N4 O,136.039,2.64,68-94-0
VPA_FAnC47,Phenylacetic Acid,C8 H8 O2,136.054,1.36,103-82-2
VPA_FAnC48,Anthranilic Acid,C7 H7 N O2,137.054,1.36,118-92-3
VPA_FAnC49,"2,4-diene-Valproic acid",C8 H12 O2,140.081,3.15,72010-18-5
VPA_FAnC50,Caprylic Acid,C8 H16 O2,144.114,1.29,124-07-2
VPA_FAnC51,2-Oxoglutaric Acid,C5 H6 O5,146.018,6.22,328-50-7
VPA_FAnC52,Glutamine,C5 H10 N2 O3,146.074,8.83,56-85-9
VPA_FAnC53,Lysine,C6 H14 N2 O2,146.106,24.46,56-87-1
VPA_FAnC54,N-Acetylserine,C5 H9 N O4,147.053,3.29,16354-58-8
VPA_FAnC55,Glutamic Acid,C5 H9 N O4,147.06,8.64,56-86-0
VPA_FAnC56,Mevalonic Acid,C6 H12 O4,148.081,4.38,17817-88-8
VPA_FAnC57,Methionine,C5 H11 N O2 S,149.053,6.64,63-68-3
VPA_FAnC58,D-Ribose,C5 H10 O5,150.053,3.27,50-69-1
VPA_FAnC59,Guanine,C5 H5 N5 O,151.054,4.96,73-40-5
VPA_FAnC60,Xanthine,C5 H4 N4 O2,152.035,1.89,69-89-6
VPA_FAnC61,Ribitol,C5 H12 O5,152.069,2.82,488-81-3
VPA_FAnC62,3-Sulfinoalanine,C3 H7 N O4 S,153.011,6.9,1115-65-7
VPA_FAnC63,Dopamine,C8 H11 N O2,153.079,9.28,51-61-6
VPA_FAnC64,Histidine,C6 H9 N3 O2,155.073,10.71,71-00-1
VPA_FAnC65,Orotic Acid,C5 H4 N2 O4,156.018,2.09,65-86-1
VPA_FAnC66,Allantoin,C4 H6 N4 O3,158.047,1.79,97-59-6
VPA_FAnC67,2-Aminoadipic Acid,C6 H11 N O4,161.071,9.37,542-32-5
VPA_FAnC68,3-Hydroxymethylglutaric Acid,C6 H10 O5,162.05,7.63,503-49-1
VPA_FAnC69,5-Hydroxylysine,C6 H14 N2 O3,162.1,24.43,28902-93-4
VPA_FAnC70,Pterin,C6 H5 N5 O,163.055,2.15,2236-60-4
VPA_FAnC71,Phenylalanine,C9 H11 N O2,165.077,6.18,63-91-2
VPA_FAnC72,Phosphoenolpyruvate,C3 H5 O6 P,167.986,10.55,138-08-9
