compound_short,term,estimate,statistic,p.value,lod,adj_pval,FC,change_in_vpa,compound_full,formula,mass,rt,cas_id
VPA_FAnC101,vpa_lowFA,-0.601287132,-5.525503348,1.92E-05,2.012063723,0.007551639,0.659165604,down,GalNAc,C8 H15 N O6,221.085,3.65,1811-31-0
VPA_FAnC102,vpa_lowFA,0.35340008,4.945208458,7.33E-05,0.656530152,0.028805966,1.277567998,up,Cystathionine,C7 H14 N2 O4 S,222.071,11.7,56-88-2
VPA_FAnC107,vpa_lowFA,-1.051979397,-15.03227146,1.60E-12,18.73141043,6.28E-10,0.48230598,down,Thymidine,C10 H14 N2 O5,242.096,3.69,50-89-5
VPA_FAnC109,vpa_lowFA,-0.913746782,-4.789890799,1.05E-04,0.290556591,0.041410344,0.530804762,down,Uridine,C9 H12 N2 O6,244.073,1.73,58-96-8
VPA_FAnC116,vpa_lowFA,-1.246674617,-6.672757114,1.52E-06,4.60073616,5.96E-04,0.42141845,down,Inosine,C10 H12 N4 O5,268.083,2.64,58-63-9
VPA_FAnC123,vpa_lowFA,-1.195155086,-6.668233726,1.53E-06,4.590825645,6.02E-04,0.436739497,down,Guanosine,C10 H13 N5 O5,283.094,3.07,118-00-3
VPA_FAnC132,vpa_lowFA,-0.470864273,-6.487548027,2.26E-06,4.192894505,8.88E-04,0.721532221,down,Neu5Ac,C11 H19 N O9,309.109,5.22,131-48-6
VPA_FAnC135,vpa_lowFA,-1.065024473,-10.74528224,7.27E-10,12.45079328,2.86E-07,0.477964551,down,UMP,C9 H13 N2 O9 P,324.04,9.62,58-97-9
VPA_FAnC138,vpa_lowFA,-0.375295114,-9.560855631,5.42E-09,10.38408729,2.13E-06,0.770947693,down,3-Phosphoglyceroinositol,C9 H19 O11 P,334.067,6.9,00-00-006
VPA_FAnC139,vpa_lowFA,-0.954930772,-6.586370248,1.83E-06,4.411029779,7.17E-04,0.515866343,down,AMP,C10 H14 N5 O7 P,347.068,10.42,61-19-8
VPA_FAnC140,vpa_lowFA,-1.170413088,-7.383455907,3.42E-07,6.125447424,1.34E-04,0.444294107,down,GMP,C10 H14 N5 O8 P,363.061,10.4,85-32-5
VPA_FAnC146,vpa_lowFA,-0.671654429,-6.304579801,3.37E-06,3.785929906,0.001322768,0.627786352,down,dTDP,C10 H16 N2 O11 P2,402.015,9.62,491-97-4
VPA_FAnC15,vpa_lowFA,-0.591353539,-12.42204815,5.46E-11,15.11145062,2.15E-08,0.663719911,down,Glyceric Acid,C3 H6 O4,106.028,2.94,473-81-4
VPA_FAnC152,vpa_lowFA,1.344944442,7.962410911,1.07E-07,7.318560532,4.20E-05,2.54020414,up,5-Methyl-DHF,C20 H23 N7 O6,457.171,9.65,59904-24-4
VPA_FAnC156,vpa_lowFA,0.516376054,5.262784624,3.51E-05,1.401174147,0.013792753,1.430357775,up,dTTP,C10 H17 N2 O14 P3,481.992,10.37,365-08-2
VPA_FAnC157,vpa_lowFA,0.479042746,5.237535246,3.72E-05,1.342193726,0.014619879,1.393818536,up,CTP,C9 H16 N3 O14 P3,482.987,11.28,65-47-4
VPA_FAnC158,vpa_lowFA,0.426005926,6.104029912,5.23E-06,3.335405276,0.002057123,1.343508945,up,UTP,C9 H15 N2 O15 P3,483.972,10.33,63-39-8
VPA_FAnC160,vpa_lowFA,0.41076955,6.438536151,2.51E-06,4.084270246,9.88E-04,1.329394739,up,ATP,C10 H16 N5 O13 P3,507,10.95,56-65-5
