compound_short,term,estimate,statistic,p.value,lod,adj_pval,FC,change_in_vpa,compound_full,formula,mass,rt,cas_id
VPA_FApC102,vpa_lowFA,-1.207460019651176,-9.1432783659193,1.1766039225314311e-8,9.76318566579591,4.235774121113152e-6,0.43303032955974746,down,Adenosine,C10 H13 N5 O4,267.097,2.75,58-61-7
VPA_FApC103,vpa_lowFA,-0.8212814391190264,-5.176978626372113,4.3190221582503144e-5,1.3942085435332459,0.015548479769701131,0.5659390376162663,down,Inosine,C10 H12 N4 O5,268.082,2.62,58-63-9
VPA_FApC108,vpa_lowFA,-1.0840182422416191,-5.844303385732928,9.455181612769689e-6,2.9327289946373583,0.003403865380597088,0.4717131608053859,down,Guanosine,C10 H13 N5 O5,283.092,3.05,118-00-3
VPA_FApC117,vpa_lowFA,-0.8905241964822821,-6.688077405691083,1.4909322385246726e-6,4.812736111829558,5.367356058688822e-4,0.5394180876066764,down,CMP,C9 H14 N3 O8 P,323.05,10.95,63-37-6
VPA_FApC118,vpa_lowFA,-0.7926079943719131,-7.877765914480842,1.2916256545249722e-7,7.311454079855459,4.6498523562898996e-5,0.5772995498950014,down,UMP,C9 H13 N2 O9 P,324.035,9.65,58-97-9
VPA_FApC119,vpa_lowFA,-1.2600074610610363,-13.869686607318332,7.548411818367116e-12,17.265607672902995,2.717428254612162e-9,0.4175418003438223,down,NMN,C11 H15 N2 O8 P,334.053,14.66,1094-61-7
VPA_FApC120,vpa_lowFA,-0.3670781199262443,-5.716046811362845,1.2614780369949441e-5,2.6401062498520425,0.004541320933181799,0.7753512210220308,down,3-Phosphoglyceroinositol,C9 H19 O11 P,334.066,6.89,00-00-006
VPA_FApC121,vpa_lowFA,-0.9171286757968389,-5.026839924011147,6.114369416968955e-5,1.0434407738453242,0.02201172990108824,0.5295619329364111,down,AMP,C10 H14 N5 O7 P,347.064,10.44,61-19-8
VPA_FApC123,vpa_lowFA,-0.9582295544900568,-6.6842703528134795,1.5031041875654126e-6,4.8044444492342695,5.411175075235485e-4,0.5146881405733493,down,GMP,C10 H14 N5 O8 P,363.056,10.42,85-32-5
VPA_FApC138,vpa_lowFA,0.48596284191173567,5.73821612093404,1.1999952189835326e-5,2.690802198587063,0.004319982788340717,1.4005202485893704,up,CTP,C9 H16 N3 O14 P3,482.984,11.31,65-47-4
VPA_FApC139,vpa_lowFA,0.4278789146756594,5.611737426961067,1.5969701070418128e-5,2.4009498151041058,0.005749092385350526,1.345254296656114,up,UTP,C9 H15 N2 O15 P3,483.969,10.45,63-39-8
VPA_FApC144,vpa_lowFA,0.41382813805108043,4.8281012831899615,9.712816435979399e-5,0.5773465551914843,0.03496613916952584,1.33221611456123,up,ATP,C10 H16 N5 O13 P3,506.997,10.96,56-65-5
VPA_FApC153,vpa_lowFA,1.745033150620495,7.418600414955762,3.246123762891808e-7,6.369234685935947,1.1686045546410509e-4,3.352025561498828,up,ADP-Glucose,C16 H25 N5 O15 P2,589.076,7.44,102129-65-7
VPA_FApC159,vpa_lowFA,-0.5737685829356902,-5.357024474880136,2.8541468929018252e-5,1.8129156533137873,0.01027492881444657,0.6718594745660292,down,NADH,C21 H29 N7 O14 P2,665.122,6.94,59-68-4
VPA_FApC16,vpa_lowFA,0.5408735830053715,8.031200117743278,9.552819269613283e-8,7.620014253618674,3.4390149370607816e-5,1.4548531956892001,up,Proline,C5 H9 N O2,115.063,9.16,147-85-3
VPA_FApC34,vpa_lowFA,0.5479125349121148,9.064806382188143,1.3569171979527221e-8,9.61724867056333,4.884901912629799e-6,1.4619688121302294,up,Aspartic Acid,C4 H7 N O4,133.036,8.38,56-84-8
VPA_FApC35,vpa_lowFA,-0.44640129365934555,-5.009759389598974,6.361748565245712e-5,1.00345512184888,0.02290229483488456,0.7338711592748705,down,Adenine,C5 H5 N5,135.054,3.63,73-24-5
VPA_FApC36,vpa_lowFA,-0.9082376986607805,-6.759879417607318,1.2794224220165188e-6,4.968777059808444,4.6059207192594676e-4,0.532835570729376,down,Hypoxanthine,C5 H4 N4 O,136.038,2.6,68-94-0
VPA_FApC47,vpa_lowFA,-1.264541988648304,-7.485987833065308,2.8304565552104803e-7,6.509279395930738,1.0189643598757729e-4,0.41623148709198426,down,Guanine,C5 H5 N5 O,151.05,3.25,73-40-5
VPA_FApC55,vpa_lowFA,-0.7627980994000705,-7.150964405630963,5.62768780235728e-7,5.8070826852245645,2.0259676088486207e-4,0.5893521761045842,down,Fucose,C6 H12 O5,164.066,3.65,2438-80-4
VPA_FApC61,vpa_lowFA,-0.9333935984561421,-4.7540145967801735,1.1549658351445603e-4,0.403196846499541,0.04157877006520417,0.523625187767959,down,G3P,C3 H7 O6 P,169.995,10.65,591-57-1
VPA_FApC62,vpa_lowFA,0.5902971270170081,4.683452991479718,1.3625270305363027e-4,0.23718775369184186,0.049050973099306894,1.5055567890501764,up,Glycerol 1-Phosphate / Glycerol 3-Phosphate,C3 H9 O6 P,172.013,10.44,17989-41-2
VPA_FApC65,vpa_lowFA,-1.0138048947049008,-6.791343778229292,1.1967145324334555e-6,5.036950158404551,4.3081723167604397e-4,0.495238405838413,down,N-Carbamoyl-L-aspartic Acid,C5 H8 N2 O5,176.041,8.02,13184-27-5
VPA_FApC68,vpa_lowFA,-0.8289082707958038,-8.469782409313702,4.1032650021038236e-8,8.484686960901984,1.4771754007573764e-5,0.5629550856502586,down,D-Galactitol,C6 H14 O6,182.078,3.66,608-66-2
VPA_FApC84,vpa_lowFA,-0.6180493912513114,-8.550634416630508,3.521021762443241e-8,8.641301250615777,1.2675678344795669e-5,0.6515512681772323,down,GalNAc,C8 H15 N O6,221.091,3.39,1811-31-0
VPA_FApC90,vpa_lowFA,1.3715180172344876,9.773472747543494,3.848100774393152e-9,10.906974949617796,1.385316278781535e-6,2.587426744103825,up,Dihydrobiopterin,C9 H13 N5 O3,239.1,4.44,6779-87-9
VPA_FApC97,vpa_lowFA,-2.2237633691094167,-15.79354894920751,6.626940614304658e-13,19.727079663850567,2.385698621149677e-10,0.21408218202400264,down,Glycerol-3-phosphocholine,C8 H20 N O6 P,257.103,14.57,28319-77-9
VPA_FApC99,vpa_lowFA,-0.46972542702551046,-5.533678933357214,1.9066519712030075e-5,2.2213292898336015,0.006863947096330827,0.7221020147664807,down,Glycerol 1-phosphoserine,C6 H14 N O8 P,259.045,8.04,26289-09-8
VPA_FApC102,vpa_highFA,-1.205722928637865,-9.133473415432398,1.1977032439740995e-8,9.767710377439162,4.3117316783067586e-6,0.4335520379660268,down,Adenosine,C10 H13 N5 O4,267.097,2.75,58-61-7
VPA_FApC103,vpa_highFA,-0.9557365648306195,-6.026731350728537,6.295025969608282e-6,3.372914865293491,0.0022662093490589813,0.5155782950615089,down,Inosine,C10 H12 N4 O5,268.082,2.62,58-63-9
VPA_FApC108,vpa_highFA,-1.1200734311017833,-6.040903865893457,6.10019780175206e-6,3.404860548203696,0.0021960712086307415,0.4600704077946916,down,Guanosine,C10 H13 N5 O5,283.092,3.05,118-00-3
VPA_FApC117,vpa_highFA,-0.8663529326302513,-6.508931235887154,2.1903489080515483e-6,4.446941302171665,7.885256068985573e-4,0.5485317627140549,down,CMP,C9 H14 N3 O8 P,323.05,10.95,63-37-6
VPA_FApC118,vpa_highFA,-0.8690036885535495,-8.640234113012482,2.974727325321514e-8,8.83733975138621,1.070901837115745e-5,0.5475248355325055,down,UMP,C9 H13 N2 O9 P,324.035,9.65,58-97-9
VPA_FApC119,vpa_highFA,-1.3191555446524053,-14.526092503864989,3.1939156345146794e-12,18.149342107202283,1.1498096284252847e-9,0.4007694532765408,down,NMN,C11 H15 N2 O8 P,334.053,14.66,1094-61-7
VPA_FApC120,vpa_highFA,-0.42893266994226664,-6.681679974477009,1.5114445762129883e-6,4.824935998885114,5.441200474366758e-4,0.7428111262491011,down,3-Phosphoglyceroinositol,C9 H19 O11 P,334.066,6.89,00-00-006
VPA_FApC121,vpa_highFA,-1.0117587368456498,-5.5475472923507665,1.8474609698749444e-5,2.280647160513756,0.0066508594915498,0.495941295131583,down,AMP,C10 H14 N5 O7 P,347.064,10.44,61-19-8
VPA_FApC123,vpa_highFA,-0.7607136212189172,-5.308415458420724,3.190950569060233e-5,1.7276982859529957,0.011487422048616839,0.5902043171587288,down,GMP,C10 H14 N5 O8 P,363.056,10.42,85-32-5
VPA_FApC14,vpa_highFA,-0.8937425959428182,-4.7627118644354205,1.1316986542595217e-4,0.45173633114978173,0.040741151553342785,0.538216081745194,down,Uracil,C4 H4 N2 O2,112.026,1.72,66-22-8
VPA_FApC150,vpa_highFA,0.4340223795622311,4.719619227528743,1.251818092796312e-4,0.35041404192913195,0.04506545134066723,1.3509950414546281,up,PAF C18,C28 H58 N O7 P,551.393,8.9,79549-26-1
VPA_FApC153,vpa_highFA,2.0280255471757176,8.624838789545889,3.06193716219722e-8,8.80778963800676,1.102297378390999e-5,4.078462952582863,up,ADP-Glucose,C16 H25 N5 O15 P2,589.076,7.44,102129-65-7
VPA_FApC16,vpa_highFA,0.716151434609607,10.637726257562626,8.964855350074939e-10,12.417162023114006,3.227347926026978e-7,1.6427938307280952,up,Proline,C5 H9 N O2,115.063,9.16,147-85-3
VPA_FApC164,vpa_highFA,0.4827525002921771,5.5440715704900585,1.8621172213834566e-5,2.272644297273131,0.006703621996980443,1.3974072208729504,up,CoA,C21 H36 N7 O16 P3 S,767.11,9.94,85-61-0
VPA_FApC34,vpa_highFA,0.4030135429140955,6.670005677236848,1.5496279138506704e-6,4.799508362841087,5.578660489862413e-4,1.3222670175125297,up,Aspartic Acid,C4 H7 N O4,133.036,8.38,56-84-8
VPA_FApC36,vpa_highFA,-0.9967755510944407,-7.421574795806011,3.226508783617135e-7,6.400639705708316,1.1615431621021686e-4,0.5011187585907706,down,Hypoxanthine,C5 H4 N4 O,136.038,2.6,68-94-0
VPA_FApC47,vpa_highFA,-1.1203345718663549,-6.634724091727564,1.671168616416027e-6,4.722558181942952,6.016207019097698e-4,0.4599871384537666,down,Guanine,C5 H5 N5 O,151.05,3.25,73-40-5
VPA_FApC5,vpa_highFA,-0.40080834323521763,-4.699263730282727,1.3129608596328018e-4,0.3025360942339761,0.047266590946780866,0.757433773564395,down,Beta-Alanine,C3 H7 N O2,89.048,10.66,107-95-9
VPA_FApC55,vpa_highFA,-1.110466143531406,-10.414048671395328,1.2965046550478977e-9,12.04035176955038,4.6674167581724317e-7,0.4631443620102665,down,Fucose,C6 H12 O5,164.066,3.65,2438-80-4
VPA_FApC68,vpa_highFA,-1.0902620361182898,-11.144380639122407,3.965566554181339e-10,13.249727137544838,1.4276039595052822e-7,0.46967605978612176,down,D-Galactitol,C6 H14 O6,182.078,3.66,608-66-2
VPA_FApC84,vpa_highFA,-0.7987803668779918,-11.055077826877925,4.5696689883722246e-10,13.105049961055744,1.645080835814001e-7,0.5748349291218761,down,GalNAc,C8 H15 N O6,221.091,3.39,1811-31-0
VPA_FApC90,vpa_highFA,1.489371784808343,10.617194617702845,9.271527776254615e-10,12.38281396646013,3.3377499994516614e-7,2.8076668990862204,up,Dihydrobiopterin,C9 H13 N5 O3,239.1,4.44,6779-87-9
VPA_FApC97,vpa_highFA,-2.157000439063456,-15.325006209584123,1.170072177012319e-12,19.16303028973013,4.212259837244348e-10,0.22422197167676583,down,Glycerol-3-phosphocholine,C8 H20 N O6 P,257.103,14.57,28319-77-9
VPA_FApC99,vpa_highFA,-0.4187166575315686,-4.934570897603144,7.577298623481237e-5,0.8552033460117086,0.027278275044532452,0.7480897881173977,down,Glycerol 1-phosphoserine,C6 H14 N O8 P,259.045,8.04,26289-09-8
