compound_short,term,estimate,statistic,p.value,lod,adj_pval,FC,change_in_vpa,compound_full,formula,mass,rt,cas_id
hVPA_FAnC115,vpa_lowFA,0.8936934152929368,5.5801661925615,2.041473467571336e-5,2.5770927622248596,0.008084234931582491,1.8579264817019077,up,Docosahexaenoic Acid (22:6 n-3),C22 H32 O2,328.2407,0.7,6217-54-5
hVPA_FAnC127,vpa_lowFA,0.9179278355295644,5.330883658208256,3.5479400124695384e-5,2.022163070525826,0.014049842449379372,1.8893995707319848,up,UTP,C9 H15 N2 O15 P3,483.9683,8.6,63-39-8
hVPA_FAnC128,vpa_lowFA,0.8118728739344157,4.991314090741792,7.608632018973138e-5,1.257734959684928,0.030130182795133627,1.7554888998583056,up,ATP,C10 H16 N5 O13 P3,506.9957,8.43,56-65-5
hVPA_FAnC133,vpa_lowFA,0.5938249506667681,5.019399560048426,7.140505840681519e-5,1.3212795249255294,0.028276403129098814,1.5092428335040047,up,UDP-N-Acetylgalactosamine,C17 H27 N3 O17 P2,607.0826,7.11,7277-98-7
hVPA_FAnC134,vpa_lowFA,0.8445426961519971,4.824436337109975,0.00011110774815107261,0.8791851288911925,0.04399866826782475,1.7956954580241808,up,GSSG,C20 H32 N6 O12 S2,612.1515,8.68,27025-41-8
hVPA_FAnC18,vpa_lowFA,0.6688281983477857,5.67107594807942,1.6716501814271174e-5,2.7779536367635504,0.006619734718451385,1.5897811733928526,up,Creatinine,C4 H7 N3 O,113.059,1.75,60-27-5
hVPA_FAnC19,vpa_lowFA,1.585891855271635,10.812916308254964,1.1530759660576474e-9,12.403977143277366,4.566180825588284e-7,3.001933161043709,up,Proline,C5 H9 N O2,115.0634,4.78,147-85-3
hVPA_FAnC39,vpa_lowFA,1.166023935140176,5.331957055283257,3.539456621944652e-5,2.0245648223453987,0.014016248222900821,2.243924188744543,up,Caprylic Acid,C8 H16 O2,144.1148,0.84,124-07-2
hVPA_FAnC50,vpa_lowFA,1.7225923561895247,5.047829691667538,6.69642551946997e-5,1.385550673482543,0.026517845057101083,3.3002889820180603,up,3-Sulfinoalanine,C3 H7 N O4 S,153.0094,6.11,1115-65-7
hVPA_FAnC65,vpa_lowFA,-0.588392247142675,-5.275650532460016,4.0136780126702675e-5,1.8984435628072767,0.01589416493017426,0.6650836696819241,down,"3,4-Dihydroxyphenylacetic Acid (DOPAC)",C8 H8 O4,168.0404,1.34,102-32-9
hVPA_FAnC78,vpa_lowFA,-1.1324020592486619,-10.548067905613884,1.7460176286630126e-9,11.990941403303633,6.91422980950553e-7,0.456155602268985,down,D-Sorbitol,C6 H14 O6,182.0791,4.25,50-70-4
hVPA_FAnC83,vpa_lowFA,0.723089317680385,5.679520711055974,1.6409801337494866e-5,2.796568510417849,0.006498281329647967,1.6507130099967942,up,N-Acetylglutamic Acid,C7 H11 N O5,189.0637,6.17,1188-37-0
hVPA_FAnC90,vpa_lowFA,1.1726110649890114,5.399948159204517,3.042192540451947e-5,2.1764883892589353,0.01204708246018971,2.2541930362565132,up,Cystathionine,C7 H14 N2 O4 S,222.0674,8.42,56-88-2
hVPA_FAnC10,vpa_highFA,0.4362827540647416,4.991206745027281,7.610479861876274e-5,0.9808453626643505,0.030137500253030046,1.353113402006938,up,BAIBA,C4 H9 N O2,103.0635,6.64,144-90-1
hVPA_FAnC103,vpa_highFA,0.9394578641476734,7.118588570019555,7.968569289272662e-7,5.610358687713658,3.1555534385519743e-4,1.917807429670136,up,Oleic Acid,C18 H34 O2,282.2565,0.71,112-80-1
hVPA_FAnC11,vpa_highFA,0.4313062589583012,4.953470493383772,8.289180314713654e-5,0.8947486007291694,0.03282515404626607,1.3484539545776693,up,GABA,C4 H9 N O2,103.0635,6.64,56-12-2
hVPA_FAnC115,vpa_highFA,1.5554065402811545,10.926535020009013,9.672544538252261e-10,12.458511292137402,3.8303276371478953e-7,2.939165383898284,up,Docosahexaenoic Acid (22:6 n-3),C22 H32 O2,328.2407,0.7,6217-54-5
