compound_short,logFC,AveExpr,t,P.Value,adj.P.Val,B,vpa_div_cntrl,change_in_vpa,compound_full,formula,mass,rt,cas_id
VPAnC58,-0.3207539885412076,17.484678973562016,-4.615314666672932,1.4455838279875207e-4,0.02587595052097662,0.4099155552755107,0.8006513278014279,down,N-Acetylserine,C5 H9 N O4,147.054,3.38,16354-58-8
VPAnC65,-0.3708957175927931,20.569046468954664,-4.826635996046203,8.71353976423314e-5,0.01559723617797732,0.9152869815569344,0.7733022320841377,down,Xanthine,C5 H4 N4 O2,152.034,1.92,69-89-6
VPAnC97,-0.37201526023146186,19.326919279538288,-7.495251282695867,2.1049944564009706e-7,3.767940076957737e-5,6.992029157548809,0.7727023762786039,down,myo-Inositol,C6 H12 O6,180.064,5.02,87-89-8
VPAnC105,-0.38797373631741905,15.245680923904246,-4.509934203659736,1.8619651782376563e-4,0.03332917669045405,0.15775349404629146,0.7642021722489319,down,N-alpha-Acetylglutamine,C7 H12 N2 O4,188.079,5.83,2490-97-3
VPAnC41,-0.41985132218427146,18.186601665900685,-6.550547305090407,1.6134843201805677e-6,2.8881369331232163e-4,4.930496254046608,0.7475016545862809,down,Asparagine,C4 H8 N2 O3,132.054,8.37,70-47-3
VPAnC23,-0.46226086848548253,18.275832160339252,-6.245694038841366,3.190767989359899e-6,5.711474700954219e-4,4.24136312297787,0.7258478800861634,down,Thiosulfate,H2 O3 S2,113.945,4.85,14383-50-7
VPAnC46,-0.47382819127804915,16.710328753124045,-6.593563243282125,1.4668573679780579e-6,2.6256746886807236e-4,5.026840930421483,0.7200514041597473,down,Deoxyribose,C5 H10 O4,134.058,2.29,533-67-5
VPAnC135,-0.5356284353999816,14.477131518188235,-5.0014905532942064,5.742234561432421e-5,0.010278599864964034,1.3325734367521536,0.6898581102711738,down,Glycerol 1-phosphoserine,C6 H14 N O8 P,259.046,8.01,26289-09-8
VPAnC86,-0.5686911592583423,17.72960574073567,-4.545995377744247,1.7074049381071238e-4,0.030562548392117517,0.24404108838832173,0.6742281838567485,down,G3P,C3 H7 O6 P,169.998,10.24,591-57-1
VPAnC18,-0.6065030426307779,21.203488049355325,-7.8116840365414255,1.0927665387854733e-7,1.9560521044259973e-5,7.656135536013092,0.6567867635401018,down,Glyceric Acid,C3 H6 O4,106.027,3.6,473-81-4
VPAnC148,-0.6677076472970657,14.875377103822977,-7.893929069232309,9.235896702801786e-8,1.6532255098015198e-5,7.826527099607209,0.6295061391251072,down,Sedoheptulose 7-phosphate,C7 H15 O10 P,290.041,9.99,2646-35-7
VPAnC136,-0.7000315931498038,17.50585190308264,-4.814438080188156,8.971368009162669e-5,0.016058748736401177,0.8861398288710758,0.6155587265873055,down,D-Glucose 6-phosphate,C6 H13 O9 P,260.03,10.25,56-73-5
VPAnC172,-0.9258143923769618,14.624616967586674,-4.705080066778894,1.1655894624052954e-4,0.020864051377054788,0.6246748738590071,0.5263832939994293,down,Succinoadenosine,C14 H17 N5 O8,383.107,7.75,4542-23-8
VPAnC144,-1.0293206400044848,17.528083817993004,-5.287621837947821,2.915591147605227e-5,0.005218908154213356,2.012353284241816,0.48994080587517835,down,Xanthosine,C10 H12 N4 O6,284.076,2.51,146-80-5
VPAnC119,-1.111793064946705,16.34931887268502,-16.03694502692576,2.285612382740375e-13,4.091246165105271e-11,20.769049605193818,0.46271857996904586,down,Glycerylphosphorylethanolamine,C5 H14 N O6 P,215.056,10.06,1190-00-7
VPAnC10,-1.1654929248450396,24.810613425993388,-7.324375695485171,3.015988722971883e-7,5.398619814119671e-5,6.6278042448096395,0.44581191336685216,down,Lactic Acid,C3 H6 O3,90.033,2.96,79-33-4
VPAnC176,-1.2309917362001928,13.028546123215493,-6.147456709403016,3.9845346358584705e-6,7.132316998186663e-4,4.017007560289753,0.4260244878112937,down,dTDP,C10 H16 N2 O11 P2,402.014,9.39,491-97-4
VPAnC159,-1.2909351862896221,13.395895581999683,-4.443476768894669,2.184586799321231e-4,0.03910410370785004,-0.001237194116132656,0.40868602423143296,down,CMP,C9 H14 N3 O8 P,323.052,10.56,63-37-6
VPAnC127,-1.2983126899738182,12.930507185393983,-6.045685527190517,5.02177011486541e-6,8.988968505609083e-4,3.783460289779552,0.4066014626433993,down,Ribose 5-Phosphate,C5 H11 O8 P,230.019,10.02,4300-28-1
VPAnC152,-1.3070183257507793,16.930982394211767,-10.520549856058425,6.782678015902857e-10,1.2140993648466114e-7,12.796738424644278,0.404155300610717,down,GlcNAc-1P,C8 H16 N O9 P,301.056,10.69,28446-21-1
VPAnC48,-1.3322752925229133,17.263217386460582,-5.463457912651467,1.928907478795106e-5,0.00345274438704324,2.42752925938031,0.39714141099379274,down,Adenine,C5 H5 N5,135.055,3.2,73-24-5
VPAnC160,-1.5263582371101165,16.066945332463597,-6.398570009451705,2.263421423761969e-6,4.0515243485339243e-4,4.58831490969247,0.3471525714209229,down,UMP,C9 H13 N2 O9 P,324.036,9.39,58-97-9
VPAnC138,-1.70362408033091,21.236865193906805,-4.847444812873116,8.290847053801957e-5,0.014840616226305503,0.9650005616862485,0.3070139084525663,down,Inosine,C10 H12 N4 O5,268.081,2.64,58-63-9
VPAnC168,-2.5520775448985917,16.27502910090978,-5.111211261084151,4.424706308751358e-5,0.00792022429266493,1.593770761119914,0.17050931423322405,down,AMP,C10 H14 N5 O7 P,347.063,10.09,61-19-8
VPAnC169,-2.8810188210256165,12.373079354720696,-4.636670563230825,1.373366436719848e-4,0.02458325921728528,0.4610151459320466,0.13574596112210627,down,GMP,C10 H14 N5 O8 P,363.058,10.08,85-32-5
VPAnC114,0.9324087057401462,15.080732665459728,11.00085375892223,3.0195267715265715e-10,5.404952921032563e-8,13.61218477798921,1.9084596782299381,up,Homocitric Acid,C7 H10 O7,206.043,8.4,3562-74-1
VPAnC54,0.8904384587559394,18.436864141549762,5.245324871558688,3.221522790717465e-5,0.005766525795384262,1.9121645212442422,1.85373942008355,up,Valproic acid,C8 H16 O2,144.115,1.41,99-66-1
VPAnC200,0.6726093465956742,13.808171728197548,7.278226468836198,3.325837473873553e-7,5.95324907823366e-5,6.528767359941049,1.593953283482389,up,ADP-Glucose,C16 H25 N5 O15 P2,589.082,7.49,102129-65-7
VPAnC53,0.6436928129079882,17.633378868619918,5.741096827021787,1.0107697461294412e-5,0.0018092778455716999,3.0780621803944355,1.562323065933339,up,O-Phosphoethanolamine,C2 H8 N O4 P,141.019,13.9,1071-23-4
VPAnC157,0.6164394837398975,14.476200748929468,4.624772835095808,1.4131398701249223e-4,0.02529520367523611,0.4325470521565773,1.5330869086173693,up,"11Z,14Z-Eicosadienoic Acid (20:2 n-6)",C20 H36 O2,308.269,1.18,2091-39-6
VPAnC189,0.5922420701957315,17.13855629837725,4.800376597070658,9.278160381649663e-5,0.016607907083152896,0.8525348337971996,1.507587846914987,up,CTP,C9 H16 N3 O14 P3,482.982,10.8,65-47-4
VPAnC194,0.570026378355795,17.236716432600893,4.490874418975495,1.9492595837479018e-4,0.03489174654908744,0.11215054416315162,1.4845507140292968,up,GTP,C10 H16 N5 O14 P3,522.991,10.54,86-01-1
VPAnC67,0.5617501993857714,17.30032761363733,6.459378354030259,1.9760450903214982e-6,3.537120711675482e-4,4.725558734899685,1.4760588060519413,up,3-Sulfinoalanine,C3 H7 N O4 S,153.01,6.98,1115-65-7
VPAnC193,0.5457639008107468,21.369763664090616,4.581022002878174,1.569633124652545e-4,0.028096432931280554,0.32785707670238917,1.4597930937944628,up,ATP,C10 H16 N5 O13 P3,506.996,10.51,56-65-5
VPAnC73,0.5418777742184546,14.784787653117265,5.696983230369085,1.1194814483386526e-5,0.0020038717925261883,2.975151245480416,1.455866202125829,up,2-Aminoadipic Acid,C6 H11 N O4,161.069,9.18,542-32-5
VPAnC44,0.5296999512110834,22.56005761724749,7.4967096979559935,2.0985788773505602e-7,3.756456190457503e-5,6.995120953742021,1.4436289212828977,up,Aspartic Acid,C4 H7 N O4,133.038,8.25,56-84-8
VPAnC124,0.4884549342883881,16.853097997731183,6.9912734629055775,6.148262882148216e-7,1.1005390559045307e-4,5.906649188496055,1.4029415794717497,up,Cystathionine,C7 H14 N2 O4 S,222.067,11.25,56-88-2
