ENTRY,FORMULA,mol_weight,exact_mass,pathway,name,reaction,enzyme,brite,dblinks
C00546,C3H4O2,72.0627,72.0211,"Glycine, serine and threonine metabolism;Pyruvate metabolism;Propanoate metabolism;Microbial metabolism in diverse environments",Methylglyoxal;Pyruvaldehyde;Pyruvic aldehyde;2-Ketopropionaldehyde;2-Oxopropanal,R00203 R00205 R01016 R02260 R02527 R02528 R02529 R02530;R02531 R07183 R09796 R10049 R10050 R10715 R10718 R11352,R00203 R00205 R01016 R02260 R02527 R02528 R02529 R02530;R02531 R07183 R09796 R10049 R10050 R10715 R10718 R11352,Carcinogens [BR:br08008]; Group 3: Not classifiable as to its carcinogenicity to humans;  Compounds;   C00546  Methylglyoxal,CAS: 78-98-8;PubChem: 3827;ChEBI: 17158;ChEMBL: CHEMBL170721;KNApSAcK: C00007562;3DMET: B00127;NIKKAJI: J1.489C
C00037,C2H5NO2,75.0666,75.032,"Primary bile acid biosynthesis;Purine metabolism;Glycine, serine and threonine metabolism;Lysine degradation;Phosphonate and phosphinate metabolism;Cyanoamino acid metabolism;Glutathione metabolism;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Thiamine metabolism;Porphyrin and chlorophyll metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism;Biosynthesis of amino acids;Vancomycin resistance;ABC transporters;Biofilm formation - Escherichia coli;Neuroactive ligand-receptor interaction;Synaptic vesicle cycle;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer",Glycine;Aminoacetic acid;Gly,R00364 R00365 R00366 R00367 R00368 R00369 R00371 R00372;R00373 R00374 R00395 R00478 R00497 R00565 R00588 R00610;R00611 R00652 R00751 R00775 R00830 R00899 R00945 R01221;R01424 R01723 R01766 R01957 R02452 R02551 R02729 R03121;R03284 R03425 R03579 R03654 R03718 R03956 R03975 R04144;R04486 R04777 R04951 R05055 R05704 R05835 R05841 R06171;R07226 R07463 R08195 R08196 R08252 R08701 R08744 R09099;R09717 R09718 R10060 R10062 R10179 R10685 R10722 R10908;R10994 R11664 R12026,R00364 R00365 R00366 R00367 R00368 R00369 R00371 R00372;R00373 R00374 R00395 R00478 R00497 R00565 R00588 R00610;R00611 R00652 R00751 R00775 R00830 R00899 R00945 R01221;R01424 R01723 R01766 R01957 R02452 R02551 R02729 R03121;R03284 R03425 R03579 R03654 R03718 R03956 R03975 R04144;R04486 R04777 R04951 R05055 R05704 R05835 R05841 R06171;R07226 R07463 R08195 R08196 R08252 R08701 R08744 R09099;R09717 R09718 R10060 R10062 R10179 R10685 R10722 R10908;R10994 R11664 R12026,Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00037  Glycine (Gly); Hormones and transmitters;  Neurotransmitters;   Amino acids;    C00037  Glycine;Anatomical Therapeutic Chemical (ATC) classification [BR:br08303]; B BLOOD AND BLOOD FORMING ORGANS;  B05 BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;   B05C IRRIGATING SOLUTIONS;    B05CX Other irrigating solutions;     B05CX03 Glycine;      D00011  Glycine (JP17/USP) &lt;US&gt;;Risk category of Japanese OTC drugs [BR:br08312]; Third-class OTC drugs;  Inorganic and organic chemicals;   Glycine;    D00011  Glycine (JP17/USP);Pharmaceutical additives in Japan [BR:br08316]; Stabilizing agent;  D00011  [102546] Glycine; Buffering agent;  D00011  [102546] Glycine; Sweetening agent;  D00011  [102546] Glycine; Base;  D00011  [102546] Glycine; Flavoring substance;  D00011  [102546] Glycine; Suspending agent;  D00011  [102546] Glycine; pH regulator;  D00011  [102546] Glycine; Diluting agent;  D00011  [102546] Glycine; Solubilization agent;  D00011  [102546] Glycine;Drugs listed in the Japanese Pharmacopoeia [BR:br08311]; Chemicals;  D00011  Glycine,CAS: 56-40-6;PubChem: 3339;ChEBI: 15428;ChEMBL: CHEMBL773;KNApSAcK: C00001361;PDB-CCD: GLY;3DMET: B01136;NIKKAJI: J1.163K
C00094,H2SO3,82.0791,81.9725,Cysteine and methionine metabolism;Taurine and hypotaurine metabolism;Sulfur metabolism;Metabolic pathways;Microbial metabolism in diverse environments,Sulfite;Sulfurous acid,R00528 R00533 R00858 R00859 R00860 R00861 R00864 R00901;R01636 R01875 R01931 R02021 R02026 R04859 R04861 R05072;R05294 R05320 R05651 R05717 R05775 R07176 R07210 R07311;R07365 R07476 R07682 R07683 R07698 R07699 R07795 R08553;R08678 R09513 R09530 R10146 R10206 R10409 R10803 R10974;R11487 R11488 R11606 R11947,R00528 R00533 R00858 R00859 R00860 R00861 R00864 R00901;R01636 R01875 R01931 R02021 R02026 R04859 R04861 R05072;R05294 R05320 R05651 R05717 R05775 R07176 R07210 R07311;R07365 R07476 R07682 R07683 R07698 R07699 R07795 R08553;R08678 R09513 R09530 R10146 R10206 R10409 R10803 R10974;R11487 R11488 R11606 R11947,,PubChem: 3394;ChEBI: 48854;ChEMBL: CHEMBL1161699;PDB-CCD: SO3;3DMET: B00024;NIKKAJI: J54.364K
C00022,C3H4O3,88.0621,88.016,"Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Pentose phosphate pathway;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Valine, leucine and isoleucine biosynthesis;Arginine and proline metabolism;Tyrosine metabolism;Phenylalanine metabolism;Benzoate degradation;Taurine and hypotaurine metabolism;Phosphonate and phosphinate metabolism;D-Alanine metabolism;Pyruvate metabolism;Dioxin degradation;Xylene degradation;Glyoxylate and dicarboxylate metabolism;Butanoate metabolism;C5-Branched dibasic acid metabolism;Methane metabolism;Carbon fixation in photosynthetic organisms;Carbon fixation pathways in prokaryotes;Thiamine metabolism;Nicotinate and nicotinamide metabolism;Pantothenate and CoA biosynthesis;Terpenoid backbone biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of phenylpropanoids;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from shikimate pathway;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of alkaloids derived from histidine and purine;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Biosynthesis of amino acids;Vancomycin resistance;Phosphotransferase system (PTS);HIF-1 signaling pathway;AMPK signaling pathway;Insulin secretion;Glucagon signaling pathway;Type II diabetes mellitus;Insulin resistance;Central carbon metabolism in cancer",Pyruvate;Pyruvic acid;2-Oxopropanoate;2-Oxopropanoic acid;Pyroracemic acid,R00006 R00008 R00014 R00195 R00196 R00197 R00198 R00199;R00200 R00203 R00205 R00206 R00207 R00208 R00209 R00210;R00211 R00212 R00213 R00214 R00215 R00216 R00217 R00218;R00219 R00220 R00221 R00223 R00224 R00226 R00237 R00258;R00297 R00324 R00325 R00344 R00350 R00353 R00368 R00369;R00396 R00398 R00400 R00409 R00430 R00452 R00453 R00470;R00471 R00532 R00543 R00562 R00572 R00576 R00585 R00659;R00666 R00673 R00692 R00703 R00704 R00724 R00728 R00750;R00782 R00906 R00907 R00930 R00985 R00986 R01012 R01031;R01032 R01064 R01085 R01138 R01147 R01148 R01196 R01215;R01261 R01286 R01302 R01335 R01344 R01355 R01447 R01576;R01584 R01645 R01647 R01683 R01699 R01712 R01782 R01784;R01811 R01858 R01874 R02050 R02261 R02271 R02293 R02320;R02408 R02628 R02721 R02754 R02953 R02970 R03001 R03037;R03050 R03081 R03105 R03145 R03277 R03465 R03502 R03528;R03732 R03796 R03854 R04152 R04187 R04672 R04861 R04941;R05136 R05298 R05538 R05544 R05553 R05605 R05636 R05648;R05652 R05861 R06602 R06603 R06913 R06923 R06934 R07399;R07633 R07634 R07685 R07692 R07713 R08166 R08170 R08197;R08200 R08253 R08570 R08648 R08654 R08660 R08667 R08686;R08698 R08714 R09048 R09088 R09238 R09254 R09366 R10147;R10178 R10180 R10283 R10487 R10527 R10539 R10542 R10550;R10552 R10583 R10597 R10616 R10674 R10691 R10866 R10992;R11023 R11038 R11099 R11141 R11213 R11257 R11352 R11463;R11591 R11593 R11676 R11864 R11996 R12188 R12212,R00006 R00008 R00014 R00195 R00196 R00197 R00198 R00199;R00200 R00203 R00205 R00206 R00207 R00208 R00209 R00210;R00211 R00212 R00213 R00214 R00215 R00216 R00217 R00218;R00219 R00220 R00221 R00223 R00224 R00226 R00237 R00258;R00297 R00324 R00325 R00344 R00350 R00353 R00368 R00369;R00396 R00398 R00400 R00409 R00430 R00452 R00453 R00470;R00471 R00532 R00543 R00562 R00572 R00576 R00585 R00659;R00666 R00673 R00692 R00703 R00704 R00724 R00728 R00750;R00782 R00906 R00907 R00930 R00985 R00986 R01012 R01031;R01032 R01064 R01085 R01138 R01147 R01148 R01196 R01215;R01261 R01286 R01302 R01335 R01344 R01355 R01447 R01576;R01584 R01645 R01647 R01683 R01699 R01712 R01782 R01784;R01811 R01858 R01874 R02050 R02261 R02271 R02293 R02320;R02408 R02628 R02721 R02754 R02953 R02970 R03001 R03037;R03050 R03081 R03105 R03145 R03277 R03465 R03502 R03528;R03732 R03796 R03854 R04152 R04187 R04672 R04861 R04941;R05136 R05298 R05538 R05544 R05553 R05605 R05636 R05648;R05652 R05861 R06602 R06603 R06913 R06923 R06934 R07399;R07633 R07634 R07685 R07692 R07713 R08166 R08170 R08197;R08200 R08253 R08570 R08648 R08654 R08660 R08667 R08686;R08698 R08714 R09048 R09088 R09238 R09254 R09366 R10147;R10178 R10180 R10283 R10487 R10527 R10539 R10542 R10550;R10552 R10583 R10597 R10616 R10674 R10691 R10866 R10992;R11023 R11038 R11099 R11141 R11213 R11257 R11352 R11463;R11591 R11593 R11676 R11864 R11996 R12188 R12212,Compounds with biological roles [BR:br08001]; Organic acids;  Carboxylic acids;   2-Oxocarboxylic acids;    C00022  Pyruvate; 2-Oxopropanoate,CAS: 127-17-3;PubChem: 3324;ChEBI: 15361 32816;ChEMBL: CHEMBL1162144;LIPIDMAPS: LMFA01060077;LipidBank: DFA0385;KNApSAcK: C00001200;PDB-CCD: PYR;3DMET: B00006;NIKKAJI: J2.015J
C00810,C4H8O2,88.1051,88.0524,Butanoate metabolism;C5-Branched dibasic acid metabolism,(R)-Acetoin;(R)-2-Acetoin;(R)-3-Hydroxy-2-butanone;(R)-Dimethylketol;(R)-3-Hydroxybutan-2-one,R02855 R02856 R02946 R02948 R02949 R10505,R02855 R02856 R02946 R02948 R02949 R10505,,CAS: 53584-56-8;PubChem: 4068;ChEBI: 15686;PDB-CCD: HBR;3DMET: B00180;NIKKAJI: J2.623I
C00041,C3H7NO2,89.0932,89.0477,"Alanine, aspartate and glutamate metabolism;Cysteine and methionine metabolism;Taurine and hypotaurine metabolism;Selenocompound metabolism;D-Alanine metabolism;Carbon fixation in photosynthetic organisms;Aminoacyl-tRNA biosynthesis;Biosynthesis of plant secondary metabolites;Metabolic pathways;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Vancomycin resistance;ABC transporters;Sulfur relay system;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer",L-Alanine;L-2-Aminopropionic acid;L-alpha-Alanine,R00258 R00369 R00396 R00397 R00398 R00400 R00401 R00453;R00576 R00585 R00692 R00863 R00907 R00987 R01215 R01261;R01712 R02050 R02271 R02293 R02668 R02970 R03001 R03038;R03193 R03210 R03502 R03599 R03854 R03936 R04112 R04152;R04187 R05652 R07460 R08197 R08714 R08872 R09048 R09254;R10124 R10178 R10180 R10992 R11038 R11064 R11528 R11583,R00258 R00369 R00396 R00397 R00398 R00400 R00401 R00453;R00576 R00585 R00692 R00863 R00907 R00987 R01215 R01261;R01712 R02050 R02271 R02293 R02668 R02970 R03001 R03038;R03193 R03210 R03502 R03599 R03854 R03936 R04112 R04152;R04187 R05652 R07460 R08197 R08714 R08872 R09048 R09254;R10124 R10178 R10180 R10992 R11038 R11064 R11528 R11583,Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00041  Alanine (Ala);Risk category of Japanese OTC drugs [BR:br08312]; Third-class OTC drugs;  Inorganic and organic chemicals;   L-Alanine;    D00012  Alanine (USP);Pharmaceutical additives in Japan [BR:br08316]; Stabilizing agent;  D00012  [003609] L-Alanine;Drugs listed in the Japanese Pharmacopoeia [BR:br08311]; Chemicals;  D00012  L-Alanine,CAS: 56-41-7;PubChem: 3343;ChEBI: 16977;ChEMBL: CHEMBL279597;KNApSAcK: C00001332;PDB-CCD: ALA;3DMET: B00011;NIKKAJI: J9.168E
C00213,C3H7NO2,89.0932,89.0477,"Glycine, serine and threonine metabolism;Arginine and proline metabolism;Metabolic pathways",Sarcosine;N-Methylglycine,R00367 R00610 R00611 R01563 R01564 R01565 R01566 R05862;R07227 R07243 R10061,R00367 R00610 R00611 R01563 R01564 R01565 R01566 R05862;R07227 R07243 R10061,,CAS: 107-97-1;PubChem: 3513;ChEBI: 15611;ChEMBL: CHEMBL304383;PDB-CCD: SAR;3DMET: B01190;NIKKAJI: J5.067I
C00099,C3H7NO2,89.0932,89.0477,Pyrimidine metabolism;beta-Alanine metabolism;Propanoate metabolism;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Neuroactive ligand-receptor interaction;Protein digestion and absorption,beta-Alanine;3-Aminopropionic acid;3-Aminopropanoate,R00489 R00904 R00905 R00906 R00907 R00908 R00909 R00910;R00911 R00912 R00913 R00914 R00915 R00916 R00917 R01164;R01166 R02473 R02474 R02741 R03286 R03288 R03935 R09379;R09648 R10821,R00489 R00904 R00905 R00906 R00907 R00908 R00909 R00910;R00911 R00912 R00913 R00914 R00915 R00916 R00917 R01164;R01166 R02473 R02474 R02741 R03286 R03288 R03935 R09379;R09648 R10821,Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Other amino acids;    C00099  beta-Alanine;  Amines;   Biogenic amines;    C00099  beta-Alanine,CAS: 107-95-9;PubChem: 3399;ChEBI: 16958;ChEMBL: CHEMBL297569;KNApSAcK: C00001333;PDB-CCD: BAL;3DMET: B00025;NIKKAJI: J4.070C
C00209,C2H2O4,90.0349,89.9953,Purine metabolism;Chloroalkane and chloroalkene degradation;Glyoxylate and dicarboxylate metabolism;Metabolic pathways;Microbial metabolism in diverse environments,Oxalate;Oxalic acid;Ethanedioic acid,R00273 R00338 R00466 R00522 R00646 R01558 R01559 R07290;R09157 R09396 R09486 R10614 R11617,R00273 R00338 R00466 R00522 R00646 R01558 R01559 R07290;R09157 R09396 R09486 R10614 R11617,Compounds with biological roles [BR:br08001]; Organic acids;  Carboxylic acids;   Dicarboxylic acids;    C00209  Oxalate,CAS: 144-62-7;PubChem: 3509;ChEBI: 16995 30623;ChEMBL: CHEMBL146755;KNApSAcK: C00001198;PDB-CCD: OXD OXL;3DMET: B00059;NIKKAJI: J2.954H
C00186,C3H6O3,90.0779,90.0317,Glycolysis / Gluconeogenesis;Fructose and mannose metabolism;Pyruvate metabolism;Propanoate metabolism;Styrene degradation;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;cAMP signaling pathway;HIF-1 signaling pathway;Glucagon signaling pathway;Central carbon metabolism in cancer,(S)-Lactate;L-Lactate;L-Lactic acid,R00196 R00319 R00703 R00753 R01446 R01447 R01449 R01450;R05508 R10691 R11074 R11996,R00196 R00319 R00703 R00753 R01446 R01447 R01449 R01450;R05508 R10691 R11074 R11996,Compounds with biological roles [BR:br08001]; Organic acids;  Carboxylic acids;   Hydroxycarboxylic acids;    C00186  L-Lactate; (S)-2-Hydroxypropanoate;Target-based classification of compounds [BR:br08010]; G Protein-coupled receptors;  Rhodopsin family: other receptors;   Lactate;    G protein-coupled receptor 81;     C00186  (S)-Lactate,CAS: 79-33-4;PubChem: 3486;ChEBI: 16651 422;ChEMBL: CHEMBL330546;LipidBank: DFA0268;KNApSAcK: C00001191;PDB-CCD: 2OP;3DMET: B01180;NIKKAJI: J9.134K
