ENTRY,FORMULA,mol_weight,exact_mass,pathway,name,reaction,enzyme,brite,dblinks
C00097,C3H7NO2S,121.1582,121.0197,"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Penicillin and cephalosporin biosynthesis;Carbapenem biosynthesis;Taurine and hypotaurine metabolism;Cyanoamino acid metabolism;Glutathione metabolism;Thiamine metabolism;Pantothenate and CoA biosynthesis;Sulfur metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism;Biosynthesis of amino acids;Sulfur relay system;Ferroptosis;Protein digestion and absorption;Central carbon metabolism in cancer",L-Cysteine;L-2-Amino-3-mercaptopropionic acid,R00782 R00891 R00892 R00893 R00894 R00895 R00896 R00897;R00899 R00900 R00901 R00903 R01001 R01113 R02409 R02508;R02743 R03217 R03260 R03524 R03650 R03923 R04230 R04231;R04859 R04870 R07274 R07360 R07460 R08168 R08608 R08632;R08653 R08659 R08666 R08685 R08848 R09562 R09591 R10409;R10670 R10672 R10736 R11014 R11015 R11524 R11528 R11583,R00782 R00891 R00892 R00893 R00894 R00895 R00896 R00897;R00899 R00900 R00901 R00903 R01001 R01113 R02409 R02508;R02743 R03217 R03260 R03524 R03650 R03923 R04230 R04231;R04859 R04870 R07274 R07360 R07460 R08168 R08608 R08632;R08653 R08659 R08666 R08685 R08848 R09562 R09591 R10409;R10670 R10672 R10736 R11014 R11015 R11524 R11528 R11583,Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00097  Cysteine (Cys);Therapeutic category of drugs in Japan [BR:br08301]; 3  Agents affecting metabolism;  39  Other agents affecting metabolism;   399  Miscellaneous;    3999  Others;     D00026  L-Cysteine (JP17);Classification of Japanese OTC drugs [BR:br08313]; Nourishing tonics and health supplements;  45 Protein and amino acid based drugs;   D00026  L-Cysteine (JP17);Risk category of Japanese OTC drugs [BR:br08312]; Third-class OTC drugs;  Inorganic and organic chemicals;   L-Cysteine;    D00026  L-Cysteine (JP17);Pharmaceutical additives in Japan [BR:br08316]; Stabilizing agent;  D00026  [003614] L-Cysteine;Drugs listed in the Japanese Pharmacopoeia [BR:br08311]; Chemicals;  D00026  L-Cysteine,CAS: 52-90-4;PubChem: 3397;ChEBI: 17561;ChEMBL: CHEMBL863;KNApSAcK: C00001351;PDB-CCD: CYS;3DMET: B01159;NIKKAJI: J9.167G
C02835,C5H6N2O2,126.1133,126.0429,Histidine metabolism,Imidazole-4-acetate;Imidazoleacetic acid;4-Imidazoleacetate,R04065 R04066 R04068,R04065 R04066 R04068,,CAS: 645-65-8;PubChem: 5778;ChEBI: 16974;ChEMBL: CHEMBL784;3DMET: B00507;NIKKAJI: J38.564F
C00036,C4H4O5,132.0716,132.0059,"Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Alanine, aspartate and glutamate metabolism;Benzoate degradation;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Carbon fixation in photosynthetic organisms;Carbon fixation pathways in prokaryotes;Biosynthesis of plant secondary metabolites;Biosynthesis of phenylpropanoids;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from shikimate pathway;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of alkaloids derived from histidine and purine;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Two-component system;Glucagon signaling pathway;Proximal tubule bicarbonate reclamation;Central carbon metabolism in cancer",Oxaloacetate;Oxalacetic acid;Oxaloacetic acid;2-Oxobutanedioic acid;2-Oxosuccinic acid;keto-Oxaloacetate,R00217 R00338 R00339 R00340 R00341 R00342 R00343 R00344;R00345 R00346 R00347 R00348 R00350 R00351 R00352 R00353;R00354 R00355 R00357 R00359 R00360 R00361 R00362 R00363;R00373 R00400 R00431 R00477 R00493 R00695 R00726 R00930;R00931 R01144 R01257 R01447 R01713 R01731 R03735 R05053;R05758 R07164 R07165 R09683 R12212,R00217 R00338 R00339 R00340 R00341 R00342 R00343 R00344;R00345 R00346 R00347 R00348 R00350 R00351 R00352 R00353;R00354 R00355 R00357 R00359 R00360 R00361 R00362 R00363;R00373 R00400 R00431 R00477 R00493 R00695 R00726 R00930;R00931 R01144 R01257 R01447 R01713 R01731 R03735 R05053;R05758 R07164 R07165 R09683 R12212,Compounds with biological roles [BR:br08001]; Organic acids;  Carboxylic acids;   2-Oxocarboxylic acids;    C00036  Oxaloacetate; 2-Oxosuccinate,CAS: 328-42-7;PubChem: 3338;ChEBI: 16452 30744;ChEMBL: CHEMBL1794791;KNApSAcK: C00001197;PDB-CCD: OAA;3DMET: B00010;NIKKAJI: J5.675H
C00077,C5H12N2O2,132.161,132.0899,"Arginine biosynthesis;Arginine and proline metabolism;D-Arginine and D-ornithine metabolism;Glutathione metabolism;Biosynthesis of secondary metabolites - unclassified;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters","L-Ornithine;(S)-2,5-Diaminovaleric acid;(S)-2,5-Diaminopentanoic acid;(S)-2,5-Diaminopentanoate",R00551 R00565 R00664 R00665 R00666 R00667 R00668 R00669;R00670 R00671 R00672 R01343 R01398 R01686 R01989 R02282;R03477 R05547 R10466 R10789 R10790 R10933 R11801,R00551 R00565 R00664 R00665 R00666 R00667 R00668 R00669;R00670 R00671 R00672 R01343 R01398 R01686 R01989 R02282;R03477 R05547 R10466 R10789 R10790 R10933 R11801,Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Other amino acids;    C00077  L-Ornithine,CAS: 70-26-8;PubChem: 3377;ChEBI: 15729;ChEMBL: CHEMBL446143;KNApSAcK: C00001384;PDB-CCD: ORN;3DMET: B00020;NIKKAJI: J9.177D
C01046,C6H11NO4,161.1558,161.0688,Methane metabolism;Microbial metabolism in diverse environments,N-Methyl-L-glutamate;N-Methyl-L-glutamic acid,R00609 R01586,R00609 R01586,,PubChem: 4288;ChEBI: 16440;PDB-CCD: EME;3DMET: B01370;NIKKAJI: J253.918G
C00715,C6H5N5O,163.1368,163.0494,,Pterin;2-Amino-4-oxopteridine;2-Amino-4-hydroxypteridine,R02815 R02816,R02815 R02816,,CAS: 2236-60-4;PubChem: 3981;ChEBI: 26374 44992;ChEMBL: CHEMBL278009;PDB-CCD: PE0;3DMET: B00159;NIKKAJI: J38.136E
C00111,C3H7O6P,170.0578,169.998,Glycolysis / Gluconeogenesis;Pentose and glucuronate interconversions;Fructose and mannose metabolism;Galactose metabolism;Glycerolipid metabolism;Inositol phosphate metabolism;Glycerophospholipid metabolism;Propanoate metabolism;Methane metabolism;Carbon fixation in photosynthetic organisms;Nicotinate and nicotinamide metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism;Biosynthesis of amino acids,Glycerone phosphate;Dihydroxyacetone phosphate;3-Hydroxy-2-oxopropyl phosphate,R00842 R00844 R00846 R00848 R00849 R01010 R01011 R01012;R01013 R01014 R01015 R01016 R01068 R01069 R01070 R01785;R01829 R02262 R02263 R02568 R04292 R05378 R05679 R05680;R08650 R08657 R10673 R10760 R11182 R11716 R11717 R11724;R11726,R00842 R00844 R00846 R00848 R00849 R01010 R01011 R01012;R01013 R01014 R01015 R01016 R01068 R01069 R01070 R01785;R01829 R02262 R02263 R02568 R04292 R05378 R05679 R05680;R08650 R08657 R10673 R10760 R11182 R11716 R11717 R11724;R11726,,CAS: 57-04-5;PubChem: 3411;ChEBI: 16108;ChEMBL: CHEMBL1161998;KNApSAcK: C00007560;PDB-CCD: 13P;3DMET: B00029;NIKKAJI: J213.543D
C00072,C6H8O6,176.1241,176.0321,Ascorbate and aldarate metabolism;Glutathione metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phosphotransferase system (PTS);HIF-1 signaling pathway;Vitamin digestion and absorption,Ascorbate;Ascorbic acid;L-Ascorbate;L-Ascorbic acid;Vitamin C,R00068 R00095 R00640 R00643 R00644 R00645 R00646 R00647;R01108 R02535 R03147 R03186 R03912 R07178 R07179 R07214;R07671 R07679 R08358 R09540 R09739 R10053 R10055,R00068 R00095 R00640 R00643 R00644 R00645 R00646 R00647;R01108 R02535 R03147 R03186 R03912 R07178 R07179 R07214;R07671 R07679 R08358 R09540 R09739 R10053 R10055,"Compounds with biological roles [BR:br08001]; Vitamins and Cofactors;  Vitamins;   Water-soluble vitamins;    C00072  Ascorbic acid (Vitamin C);Anatomical Therapeutic Chemical (ATC) classification [BR:br08303]; A ALIMENTARY TRACT AND METABOLISM;  A11 VITAMINS;   A11G ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS;    A11GA Ascorbic acid (vitamin C), plain;     A11GA01 Ascorbic acid (vit C);      D00018  Ascorbic acid (JP17/USP/INN) &lt;JP/US&gt;; G GENITO URINARY SYSTEM AND SEX HORMONES;  G01 GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;   G01A ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS;    G01AD Organic acids;     G01AD03 Ascorbic acid;      D00018  Ascorbic acid (JP17/USP/INN) &lt;JP/US&gt;; S SENSORY ORGANS;  S01 OPHTHALMOLOGICALS;   S01X OTHER OPHTHALMOLOGICALS;    S01XA Other ophthalmologicals;     S01XA15 Ascorbic acid;      D00018  Ascorbic acid (JP17/USP/INN) &lt;JP/US&gt;;Therapeutic category of drugs in Japan [BR:br08301]; 3  Agents affecting metabolism;  31  Vitamins;   314  Vitamin C preparations;    3140  Vitamin C preparations;     D00018  Ascorbic acid (JP17/USP/INN);Classification of Japanese OTC drugs [BR:br08313]; Nourishing tonics and health supplements;  38 Vitamin C based drugs;   D00018  Ascorbic acid (JP17/USP/INN);  41 Vitamin EC based drugs;   D00018  Ascorbic acid (JP17/USP/INN);  43 Vitamin containing supplements;   D00018  Ascorbic acid (JP17/USP/INN);Risk category of Japanese OTC drugs [BR:br08312]; Third-class OTC drugs;  Inorganic and organic chemicals;   Ascorbic acid;    D00018  Ascorbic acid (JP17/USP/INN);Pharmaceutical additives in Japan [BR:br08316]; Stabilizing agent;  D00018  [001008] Ascorbic acid; Buffering agent;  D00018  [001008] Ascorbic acid; Flavoring substance;  D00018  [001008] Ascorbic acid; Antioxidant agent;  D00018  [001008] Ascorbic acid;Drugs listed in the Japanese Pharmacopoeia [BR:br08311]; Chemicals;  D00018  Ascorbic acid;  D00018  Ascorbic acid powder;  D00018  Ascorbic acid injection;Animal drugs in Japan [BR:br08331]; 96  Agents affecting metabolism;  962  Vitamin preparations;   9624  Vitamin C and preparations;    C00072  Ascorbate;Major components of natural products [BR:br08323]; Medicinal herbs;  Cranberry;   C00072  Ascorbate;  Rose hip;   C00072  Ascorbate",CAS: 50-81-7;PubChem: 3372;ChEBI: 29073 38290;ChEMBL: CHEMBL196;KNApSAcK: C00001179;PDB-CCD: ASC;3DMET: B01147;NIKKAJI: J2.301I
C00095,C6H12O6,180.1559,180.0634,Fructose and mannose metabolism;Galactose metabolism;Starch and sucrose metabolism;Metabolic pathways;Microbial metabolism in diverse environments;ABC transporters;Phosphotransferase system (PTS);Taste transduction;Insulin resistance;Carbohydrate digestion and absorption,D-Fructose;Levulose;Fruit sugar;D-arabino-Hexulose,R00307 R00760 R00801 R00803 R00806 R00865 R00866 R00867;R00868 R00870 R00872 R00873 R00874 R00875 R00876 R00877;R00878 R00879 R01140 R01823 R02120 R02410 R03232 R03635;R03921 R06034 R06036 R06052 R06066 R06087 R06100 R06101;R06208 R08406 R08407 R08548 R08651 R08676 R10817,R00307 R00760 R00801 R00803 R00806 R00865 R00866 R00867;R00868 R00870 R00872 R00873 R00874 R00875 R00876 R00877;R00878 R00879 R01140 R01823 R02120 R02410 R03232 R03635;R03921 R06034 R06036 R06052 R06066 R06087 R06100 R06101;R06208 R08406 R08407 R08548 R08651 R08676 R10817,Compounds with biological roles [BR:br08001]; Carbohydrates;  Monosaccharides;   Ketoses;    C00095  D-Fructose; Fruit sugar;Animal drugs in Japan [BR:br08331]; 96  Agents affecting metabolism;  964  Saccharide preparations and blood substitutes;   9642  Fructose and preparations;    C00095  D-Fructose,CAS: 57-48-7;PubChem: 3395;ChEBI: 15824 37721;ChEMBL: CHEMBL604608;KNApSAcK: C00033848;PDB-CCD: FRU;3DMET: B04631;NIKKAJI: J4.580B
C00725,C8H14O2S2,206.3256,206.0435,,Lipoate;Lipoic acid;Thioctic acid;dl-alpha-Lipoic acid;DL-Thioctic acid,,,Compounds with biological roles [BR:br08001]; Vitamins and Cofactors;  Cofactors;   Coenzymes;    C00725  Lipoate;Anatomical Therapeutic Chemical (ATC) classification [BR:br08303]; A ALIMENTARY TRACT AND METABOLISM;  A16 OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS;   A16A OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS;    A16AX Various alimentary tract and metabolism products;     A16AX01 Thioctic acid;      D00086  Thioctic acid (JAN) &lt;JP&gt;;Therapeutic category of drugs in Japan [BR:br08301]; 3  Agents affecting metabolism;  39  Other agents affecting metabolism;   399  Miscellaneous;    3999  Others;     D00086  Thioctic acid (JAN);Classification of Japanese OTC drugs [BR:br08313]; Nourishing tonics and health supplements;  43 Vitamin containing supplements;   D00086  Thioctic acid (JAN);Risk category of Japanese OTC drugs [BR:br08312]; Third-class OTC drugs;  Inorganic and organic chemicals;   Thioctic acid;    D00086  Thioctic acid (JAN);Animal drugs in Japan [BR:br08331]; 96  Agents affecting metabolism;  967  Agents for liver disease and antidotes;   9679  Other agents for liver disease and antidotes;    C00725  Thioctic acid,CAS: 62-46-4;PubChem: 3990;ChEBI: 16494 30314;ChEMBL: CHEMBL33864;LIPIDMAPS: LMFA01130001;3DMET: B00160;NIKKAJI: J38.321J
