path_name,tot_compnd,tot_hits
Metabolic pathways,185,47
Biosynthesis of secondary metabolites,69,24
Biosynthesis of antibiotics,53,20
Microbial metabolism in diverse environments,54,15
Biosynthesis of amino acids,43,13
Purine metabolism,25,12
ABC transporters,29,10
Biosynthesis of plant secondary metabolites,46,10
Carbon metabolism,24,8
Pentose phosphate pathway,12,7
Pyrimidine metabolism,30,7
Aminoacyl-tRNA biosynthesis,21,6
Biosynthesis of alkaloids derived from histidine and purine,17,6
Central carbon metabolism in cancer,28,6
"Glycine, serine and threonine metabolism",18,6
Protein digestion and absorption,21,6
Amino sugar and nucleotide sugar metabolism,15,5
Glycerophospholipid metabolism,18,5
Mineral absorption,14,5
Neuroactive ligand-receptor interaction,17,5
2-Oxocarboxylic acid metabolism,19,4
Biosynthesis of plant hormones,19,4
Carbon fixation in photosynthetic organisms,8,4
Cyanoamino acid metabolism,8,4
Cysteine and methionine metabolism,21,4
Galactose metabolism,7,4
Methane metabolism,14,4
Nicotinate and nicotinamide metabolism,13,4
Taste transduction,9,4
Zeatin biosynthesis,8,4
AMPK signaling pathway,7,3
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",18,3
Choline metabolism in cancer,15,3
Fructose and mannose metabolism,6,3
Glycolysis / Gluconeogenesis,10,3
Glyoxylate and dicarboxylate metabolism,15,3
Lysine biosynthesis,6,3
Monobactam biosynthesis,8,3
Parkinson disease,6,3
Renin secretion,4,3
Thiamine metabolism,7,3
"Alanine, aspartate and glutamate metabolism",14,2
alpha-Linolenic acid metabolism,5,2
Antifolate resistance,7,2
Arachidonic acid metabolism,6,2
Arginine biosynthesis,11,2
Bacterial chemotaxis,2,2
beta-Alanine metabolism,9,2
Biosynthesis of alkaloids derived from shikimate pathway,20,2
Biosynthesis of alkaloids derived from terpenoid and polyketide,12,2
Biosynthesis of phenylpropanoids,18,2
Caffeine metabolism,3,2
cAMP signaling pathway,6,2
cGMP-PKG signaling pathway,3,2
Ether lipid metabolism,4,2
FoxO signaling pathway,4,2
Glucagon signaling pathway,12,2
HIF-1 signaling pathway,6,2
Inositol phosphate metabolism,4,2
Linoleic acid metabolism,7,2
Lysine degradation,8,2
Lysosome,2,2
Olfactory transduction,2,2
Oxidative phosphorylation,6,2
Pantothenate and CoA biosynthesis,7,2
Phosphonate and phosphinate metabolism,4,2
Phosphotransferase system (PTS),5,2
Photosynthesis,3,2
Platelet activation,3,2
Porphyrin and chlorophyll metabolism,3,2
Pyruvate metabolism,10,2
Retrograde endocannabinoid signaling,9,2
Sphingolipid metabolism,3,2
Sphingolipid signaling pathway,4,2
Sulfur metabolism,7,2
Sulfur relay system,4,2
Synaptic vesicle cycle,4,2
Thermogenesis,6,2
Two-component system,11,2
Vancomycin resistance,5,2
Vitamin digestion and absorption,10,2
