compound_short,compound_full_exp,mode,cas_id,KEGG,path_name
hVPA_FAnC1,Propionic Acid,cell.neg,79-09-4,C00163,Propanoate metabolism
hVPA_FAnC3,Pyruvate,cell.neg,127-17-3,C00022,Glycolysis / Gluconeogenesis
hVPA_FAnC4,Alanine,cell.neg,56-41-7,C00041,"Alanine, aspartate and glutamate metabolism"
hVPA_FAnC5,Beta-Alanine,cell.neg,107-95-9,C00099,Pyrimidine metabolism
hVPA_FAnC6,Sarcosine,cell.neg,107-97-1,C00213,"Glycine, serine and threonine metabolism"
hVPA_FAnC7,Lactic Acid,cell.neg,79-33-4,C00186,Glycolysis / Gluconeogenesis
hVPA_FAnC8,2-Ketobutyric Acid,cell.neg,600-18-0,C00109,"Glycine, serine and threonine metabolism"
hVPA_FAnC9,2-Aminobutyric Acid,cell.neg,1492-24-6,C02356,Cysteine and methionine metabolism
hVPA_FAnC11,GABA,cell.neg,56-12-2,C00334,"Alanine, aspartate and glutamate metabolism"
hVPA_FAnC12,2-Hydroxybutyric Acid,cell.neg,3347-90-8,C05984,Propanoate metabolism
hVPA_FAnC13,3-Hydroxybutyric Acid,cell.neg,300-85-6,C01089,Synthesis and degradation of ketone bodies
hVPA_FAnC14,Serine,cell.neg,56-45-1,C00065,"Glycine, serine and threonine metabolism"
hVPA_FAnC15,Glyceric Acid,cell.neg,473-81-4,C00258,Pentose phosphate pathway
hVPA_FAnC16,Hypotaurine,cell.neg,300-84-5,C00519,Taurine and hypotaurine metabolism
hVPA_FAnC17,Uracil,cell.neg,66-22-8,C00106,Pyrimidine metabolism
hVPA_FAnC18,Creatinine,cell.neg,60-27-5,C00791,Arginine and proline metabolism
hVPA_FAnC19,Proline,cell.neg,147-85-3,C00148,Arginine and proline metabolism
hVPA_FAnC20,Fumaric Acid,cell.neg,110-17-8,C00122,Citrate cycle (TCA cycle)
hVPA_FAnC21,Valine,cell.neg,72-18-4,C00183,"Valine, leucine and isoleucine degradation"
hVPA_FAnC22,Succinic Acid,cell.neg,110-15-6,C00042,Citrate cycle (TCA cycle)
hVPA_FAnC23,Threonine,cell.neg,72-19-5,C00188,"Glycine, serine and threonine metabolism"
hVPA_FAnC24,Homoserine,cell.neg,1927-25-9,C00263,"Glycine, serine and threonine metabolism"
hVPA_FAnC26,Ketoleucine,cell.neg,816-66-0,C00233,"Valine, leucine and isoleucine degradation"
hVPA_FAnC29,5-Aminolevulinic Acid,cell.neg,106-60-5,C00430,"Glycine, serine and threonine metabolism"
hVPA_FAnC30,Creatine,cell.neg,57-00-1,C00300,"Glycine, serine and threonine metabolism"
hVPA_FAnC31,Leucine,cell.neg,61-90-5,C00123,"Valine, leucine and isoleucine degradation"
hVPA_FAnC32,Isoleucine,cell.neg,73-32-5,C00407,"Valine, leucine and isoleucine degradation"
hVPA_FAnC33,Asparagine,cell.neg,70-47-3,C00152,"Alanine, aspartate and glutamate metabolism"
hVPA_FAnC34,Ornithine,cell.neg,70-26-8,C00077,Arginine biosynthesis
hVPA_FAnC35,Aspartic Acid,cell.neg,56-84-8,C00049,Arginine biosynthesis
hVPA_FAnC36,Malic Acid,cell.neg,97-67-6,C00149,Citrate cycle (TCA cycle)
hVPA_FAnC37,Adenine,cell.neg,73-24-5,C00147,Purine metabolism
hVPA_FAnC38,Phenylacetic Acid,cell.neg,103-82-2,C07086,Phenylalanine metabolism
hVPA_FAnC39,Caprylic Acid,cell.neg,124-07-2,C06423,Fatty acid biosynthesis
hVPA_FAnC40,2-Oxoglutaric Acid (alpha-KG),cell.neg,328-50-7,C00026,Citrate cycle (TCA cycle)
hVPA_FAnC41,Glutamine,cell.neg,56-85-9,C00064,Arginine biosynthesis
hVPA_FAnC44,Glutamic Acid,cell.neg,56-86-0,C00025,Arginine biosynthesis
hVPA_FAnC46,Methionine,cell.neg,63-68-3,C00073,Cysteine and methionine metabolism
hVPA_FAnC47,Xanthine,cell.neg,69-89-6,C00385,Purine metabolism
hVPA_FAnC48,4-Hydroxyphenylacetic Acid,cell.neg,156-38-7,C00642,Tyrosine metabolism
hVPA_FAnC49,Ribitol,cell.neg,488-81-3,C00474,Pentose and glucuronate interconversions
hVPA_FAnC50,3-Sulfinoalanine,cell.neg,1115-65-7,C00606,Cysteine and methionine metabolism
hVPA_FAnC51,3-Hydroxyanthranilic Acid,cell.neg,548-93-6,C00632,Tryptophan metabolism
hVPA_FAnC52,Histidine,cell.neg,71-00-1,C00135,Histidine metabolism
hVPA_FAnC53,Orotic Acid,cell.neg,65-86-1,C00295,Pyrimidine metabolism
hVPA_FAnC55,Dihydroorotic Acid,cell.neg,5988-19-2,C00337,Pyrimidine metabolism
hVPA_FAnC56,Allantoin,cell.neg,97-59-6,C02348,Purine metabolism
hVPA_FAnC58,Indole-3-acetaldehyde,cell.neg,20095-27-6,C00637,Tryptophan metabolism
hVPA_FAnC60,5-Hydroxylysine,cell.neg,28902-93-4,C16741,Lysine degradation
hVPA_FAnC61,Phenylalanine,cell.neg,63-91-2,C00079,Phenylalanine metabolism
hVPA_FAnC63,Pyridoxal,cell.neg,66-72-8,C00250,Vitamin B6 metabolism
hVPA_FAnC64,Uric Acid,cell.neg,69-93-2,C00366,Purine metabolism
hVPA_FAnC65,"3,4-Dihydroxyphenylacetic Acid (DOPAC)",cell.neg,102-32-9,C01161,Tyrosine metabolism
hVPA_FAnC66,Pyridoxine,cell.neg,65-23-6,C00314,Vitamin B6 metabolism
hVPA_FAnC68,Capric Acid,cell.neg,334-48-5,C01571,Fatty acid biosynthesis
hVPA_FAnC69,cis-Aconitic acid,cell.neg,499-12-7,C00417,Citrate cycle (TCA cycle)
hVPA_FAnC70,Arginine,cell.neg,74-79-3,C00062,Arginine biosynthesis
hVPA_FAnC71,N-Formylmethionine,cell.neg,4289-98-9,C03145,Cysteine and methionine metabolism
hVPA_FAnC72,D-Fructose,cell.neg,57-48-7,C00095,Fructose and mannose metabolism
hVPA_FAnC73,D-Glucose,cell.neg,50-99-7,C00031,Glycolysis / Gluconeogenesis
hVPA_FAnC74,myo-Inositol,cell.neg,87-89-8,C00137,Galactose metabolism
hVPA_FAnC77,D-Galactitol,cell.neg,608-66-2,C01697,Galactose metabolism
hVPA_FAnC78,D-Sorbitol,cell.neg,50-70-4,C00794,Fructose and mannose metabolism
hVPA_FAnC79,4-Pyridoxic Acid,cell.neg,82-82-6,C00847,Vitamin B6 metabolism
hVPA_FAnC80,Phosphocholine,cell.neg,107-73-3,C00588,Glycerophospholipid metabolism
hVPA_FAnC81,N-alpha-Acetyl-L-glutamine,cell.neg,2490-97-3,C00624,Arginine biosynthesis
hVPA_FAnC83,N-Acetylglutamic Acid,cell.neg,1188-37-0,C00624,Arginine biosynthesis
hVPA_FAnC84,Citric Acid,cell.neg,77-92-9,C00158,Citrate cycle (TCA cycle)
hVPA_FAnC85,Lauric Acid,cell.neg,143-07-7,C02679,Fatty acid biosynthesis
hVPA_FAnC87,Tryptophan,cell.neg,73-22-3,C00078,"Glycine, serine and threonine metabolism"
hVPA_FAnC89,Pantothenic Acid,cell.neg,137-08-6,C00864,beta-Alanine metabolism
hVPA_FAnC90,Cystathionine,cell.neg,56-88-2,C02291,"Glycine, serine and threonine metabolism"
hVPA_FAnC91,Methyl Jasmonate,cell.neg,1211-29-6,C11512,alpha-Linolenic acid metabolism
hVPA_FAnC92,Carnosine,cell.neg,305-84-0,C00386,Histidine metabolism
hVPA_FAnC93,Myristic Acid,cell.neg,544-63-8,C06424,Fatty acid biosynthesis
hVPA_FAnC94,Cytidine,cell.neg,65-46-3,C00475,Pyrimidine metabolism
hVPA_FAnC95,Uridine,cell.neg,58-96-8,C00299,Pyrimidine metabolism
hVPA_FAnC96,Palmitoleic Acid,cell.neg,373-49-9,C08362,Fatty acid biosynthesis
hVPA_FAnC97,Palmitic Acid,cell.neg,57-10-3,C00249,Fatty acid biosynthesis
hVPA_FAnC98,D-Glucose 6-phosphate,cell.neg,56-73-5,C00668,Glycolysis / Gluconeogenesis
hVPA_FAnC99,D-Fructose 6-phosphate,cell.neg,643-13-0,C05345,Glycolysis / Gluconeogenesis
hVPA_FAnC100,Thiamine (Vit B1),cell.neg,59-43-8,C00378,Thiamine metabolism
hVPA_FAnC101,Inosine,cell.neg,58-63-9,C00294,Purine metabolism
hVPA_FAnC103,Oleic Acid,cell.neg,112-80-1,C00712,Fatty acid biosynthesis
hVPA_FAnC104,Guanosine,cell.neg,118-00-3,C00387,Purine metabolism
hVPA_FAnC105,Stearic Acid,cell.neg,57-11-4,C01530,Fatty acid biosynthesis
hVPA_FAnC106,Ophthalmic Acid,cell.neg,495-27-2,C21016,Cysteine and methionine metabolism
hVPA_FAnC107,5'-Methylthioadenosine,cell.neg,2457-80-9,C00170,Cysteine and methionine metabolism
hVPA_FAnC109,N-Acetylaspartyl Glutamic Acid,cell.neg,3106-85-2,C12270,"Alanine, aspartate and glutamate metabolism"
hVPA_FAnC110,Glutathione (GSH),cell.neg,70-18-8,C00051,Cysteine and methionine metabolism
hVPA_FAnC111,N-Acetylneuraminic Acid,cell.neg,131-48-6,C00270,Amino sugar and nucleotide sugar metabolism
hVPA_FAnC112,Arachidic Acid,cell.neg,506-30-9,C06425,Biosynthesis of unsaturated fatty acids
hVPA_FAnC113,CMP,cell.neg,63-37-6,C00055,Pyrimidine metabolism
hVPA_FAnC114,UMP,cell.neg,58-97-9,C00105,Pyrimidine metabolism
hVPA_FAnC115,Docosahexaenoic Acid (22:6 n-3),cell.neg,6217-54-5,C06429,Biosynthesis of unsaturated fatty acids
hVPA_FAnC117,Erucic Acid,cell.neg,112-86-7,C08316,Biosynthesis of unsaturated fatty acids
hVPA_FAnC118,AMP,cell.neg,61-19-8,C00020,Purine metabolism
hVPA_FAnC120,Nervonic Acid,cell.neg,506-37-6,C08323,Biosynthesis of unsaturated fatty acids
hVPA_FAnC121,S-Adenosylhomocysteine (SAH),cell.neg,979-92-0,C00021,Cysteine and methionine metabolism
hVPA_FAnC122,CDP,cell.neg,63-38-7,C00112,Pyrimidine metabolism
hVPA_FAnC123,UDP,cell.neg,58-98-0,C00015,Pyrimidine metabolism
hVPA_FAnC124,ADP,cell.neg,58-64-0,C00008,Oxidative phosphorylation
hVPA_FAnC125,dGDP,cell.neg,102783-74-4,C00361,Purine metabolism
hVPA_FAnC126,GDP,cell.neg,146-91-8,C00035,Purine metabolism
hVPA_FAnC127,UTP,cell.neg,63-39-8,C00075,Pyrimidine metabolism
hVPA_FAnC128,ATP,cell.neg,56-65-5,C00002,Oxidative phosphorylation
hVPA_FAnC129,GTP,cell.neg,86-01-1,C00044,Purine metabolism
hVPA_FAnC132,UDP-Glucose,cell.neg,133-89-1,C00029,Pentose and glucuronate interconversions
hVPA_FAnC133,UDP-N-Acetylgalactosamine,cell.neg,7277-98-7,C00203,Amino sugar and nucleotide sugar metabolism
hVPA_FAnC134,GSSG,cell.neg,27025-41-8,C00127,Glutathione metabolism
