compound_short,compound_full_exp,mode,cas_id,KEGG,path_name
hVPA_FAnC115,Docosahexaenoic Acid (22:6 n-3),cell.neg,6217-54-5,C06429,Biosynthesis of unsaturated fatty acids
hVPA_FAnC127,UTP,cell.neg,63-39-8,C00075,Pyrimidine metabolism
hVPA_FAnC128,ATP,cell.neg,56-65-5,C00002,Oxidative phosphorylation
hVPA_FAnC133,UDP-N-Acetylgalactosamine,cell.neg,7277-98-7,C00203,Amino sugar and nucleotide sugar metabolism
hVPA_FAnC134,GSSG,cell.neg,27025-41-8,C00127,Glutathione metabolism
hVPA_FAnC18,Creatinine,cell.neg,60-27-5,C00791,Arginine and proline metabolism
hVPA_FAnC19,Proline,cell.neg,147-85-3,C00148,Arginine and proline metabolism
hVPA_FAnC39,Caprylic Acid,cell.neg,124-07-2,C06423,Fatty acid biosynthesis
hVPA_FAnC50,3-Sulfinoalanine,cell.neg,1115-65-7,C00606,Cysteine and methionine metabolism
hVPA_FAnC65,"3,4-Dihydroxyphenylacetic Acid (DOPAC)",cell.neg,102-32-9,C01161,Tyrosine metabolism
hVPA_FAnC78,D-Sorbitol,cell.neg,50-70-4,C00794,Fructose and mannose metabolism
hVPA_FAnC83,N-Acetylglutamic Acid,cell.neg,1188-37-0,C00624,Arginine biosynthesis
hVPA_FAnC90,Cystathionine,cell.neg,56-88-2,C02291,"Glycine, serine and threonine metabolism"
hVPA_FAnC103,Oleic Acid,cell.neg,112-80-1,C00712,Fatty acid biosynthesis
hVPA_FAnC11,GABA,cell.neg,56-12-2,C00334,"Alanine, aspartate and glutamate metabolism"
hVPA_FAnC44,Glutamic Acid,cell.neg,56-86-0,C00025,Arginine biosynthesis
hVPA_FAnC74,myo-Inositol,cell.neg,87-89-8,C00137,Galactose metabolism
hVPA_FAnC77,D-Galactitol,cell.neg,608-66-2,C01697,Galactose metabolism
hVPA_FAnC87,Tryptophan,cell.neg,73-22-3,C00078,"Glycine, serine and threonine metabolism"
hVPA_FAnC96,Palmitoleic Acid,cell.neg,373-49-9,C08362,Fatty acid biosynthesis
hVPA_FAnC98,D-Glucose 6-phosphate,cell.neg,56-73-5,C00668,Glycolysis / Gluconeogenesis
hVPA_FApC102,N-Acetylaspartyl Glutamic Acid,cell.pos,3106-85-2,C12270,"Alanine, aspartate and glutamate metabolism"
hVPA_FApC103,Glutathione (GSH),cell.pos,70-18-8,C00051,Cysteine and methionine metabolism
hVPA_FApC105,UMP,cell.pos,58-97-9,C00105,Pyrimidine metabolism
hVPA_FApC107,Nicotinamide Mononucleotide,cell.pos,1094-61-7,C00455,Nicotinate and nicotinamide metabolism
hVPA_FApC113,dGMP,cell.pos,902-04-5,C00362,Purine metabolism
hVPA_FApC114,AMP,cell.pos,61-19-8,C00020,Purine metabolism
hVPA_FApC117,GMP,cell.pos,85-32-5,C00144,Purine metabolism
hVPA_FApC127,CDP-Choline,cell.pos,987-78-0,C00307,Glycerophospholipid metabolism
hVPA_FApC18,Proline,cell.pos,147-85-3,C00148,Arginine and proline metabolism
hVPA_FApC23,Homoserine,cell.pos,1927-25-9,C00263,"Glycine, serine and threonine metabolism"
hVPA_FApC24,Nicotinamide,cell.pos,98-92-0,C00153,Nicotinate and nicotinamide metabolism
hVPA_FApC35,Aspartic Acid,cell.pos,56-84-8,C00049,Arginine biosynthesis
hVPA_FApC39,Hypoxanthine,cell.pos,68-94-0,C00262,Purine metabolism
hVPA_FApC59,Pyridoxal,cell.pos,66-72-8,C00250,Vitamin B6 metabolism
hVPA_FApC69,D-Sorbitol,cell.pos,50-70-4,C00794,Fructose and mannose metabolism
hVPA_FApC81,N-Acetylmannosamine,cell.pos,3615-17-6,C00645,Amino sugar and nucleotide sugar metabolism
hVPA_FApC82,N-Acetylglucosamine,cell.pos,7512-17-6,C00140,Amino sugar and nucleotide sugar metabolism
hVPA_FApC83,Cystathionine,cell.pos,56-88-2,C02291,"Glycine, serine and threonine metabolism"
hVPA_FApC90,2'-Deoxyadenosine,cell.pos,958-09-8,C00559,Purine metabolism
hVPA_FApC91,Glycerol-3-phosphocholine,cell.pos,28319-77-9,C00670,Glycerophospholipid metabolism
hVPA_FApC96,Adenosine,cell.pos,58-61-7,C00212,Purine metabolism
hVPA_FApC97,Inosine,cell.pos,58-63-9,C00294,Purine metabolism
hVPA_FApC98,Guanosine,cell.pos,118-00-3,C00387,Purine metabolism
hVPA_FApC125,GDP,cell.pos,146-91-8,C00035,Purine metabolism
hVPA_FApC28,Acetylputrescine,cell.pos,5699-41-2,C02714,Arginine and proline metabolism
hVPA_FApC40,N-Methylnicotinate,cell.pos,535-83-1,C01004,Nicotinate and nicotinamide metabolism
hVPA_FApC92,D-Fructose 6-phosphate,cell.pos,643-13-0,C05345,Glycolysis / Gluconeogenesis
hVPA_FAnM21,Caprylic Acid,med.neg,124-07-2,C06423,Fatty acid biosynthesis
hVPA_FAnC50,3-Sulfinoalanine,cell.neg,1115-65-7,C00606,Taurine and hypotaurine metabolism
hVPA_FAnC78,D-Sorbitol,cell.neg,50-70-4,C00794,Galactose metabolism
hVPA_FAnC90,Cystathionine,cell.neg,56-88-2,C02291,Cysteine and methionine metabolism
hVPA_FAnC11,GABA,cell.neg,56-12-2,C00334,Arginine and proline metabolism
hVPA_FAnC44,Glutamic Acid,cell.neg,56-86-0,C00025,"Alanine, aspartate and glutamate metabolism"
hVPA_FAnC74,myo-Inositol,cell.neg,87-89-8,C00137,Ascorbate and aldarate metabolism
hVPA_FAnC87,Tryptophan,cell.neg,73-22-3,C00078,Tryptophan metabolism
hVPA_FAnC98,D-Glucose 6-phosphate,cell.neg,56-73-5,C00668,Pentose phosphate pathway
hVPA_FApC103,Glutathione (GSH),cell.pos,70-18-8,C00051,Glutathione metabolism
hVPA_FApC23,Homoserine,cell.pos,1927-25-9,C00263,Cysteine and methionine metabolism
hVPA_FApC35,Aspartic Acid,cell.pos,56-84-8,C00049,"Alanine, aspartate and glutamate metabolism"
hVPA_FApC69,D-Sorbitol,cell.pos,50-70-4,C00794,Galactose metabolism
hVPA_FApC83,Cystathionine,cell.pos,56-88-2,C02291,Cysteine and methionine metabolism
hVPA_FApC91,Glycerol-3-phosphocholine,cell.pos,28319-77-9,C00670,Ether lipid metabolism
hVPA_FApC92,D-Fructose 6-phosphate,cell.pos,643-13-0,C05345,Pentose phosphate pathway
hVPA_FAnM14,Taurine,med.neg,107-35-7,C00245,Taurine and hypotaurine metabolism
hVPA_FAnC127,UTP,cell.neg,63-39-8,C00075,Neuroactive ligand-receptor interaction
hVPA_FAnC128,ATP,cell.neg,56-65-5,C00002,Purine metabolism
hVPA_FAnC134,GSSG,cell.neg,27025-41-8,C00127,Thyroid hormone synthesis
hVPA_FAnC103,Oleic Acid,cell.neg,112-80-1,C00712,Biosynthesis of unsaturated fatty acids
hVPA_FAnC11,GABA,cell.neg,56-12-2,C00334,beta-Alanine metabolism
hVPA_FAnC44,Glutamic Acid,cell.neg,56-86-0,C00025,Arginine and proline metabolism
hVPA_FAnC98,D-Glucose 6-phosphate,cell.neg,56-73-5,C00668,Galactose metabolism
hVPA_FApC102,N-Acetylaspartyl Glutamic Acid,cell.pos,3106-85-2,C12270,Neuroactive ligand-receptor interaction
hVPA_FApC35,Aspartic Acid,cell.pos,56-84-8,C00049,"Glycine, serine and threonine metabolism"
hVPA_FApC92,D-Fructose 6-phosphate,cell.pos,643-13-0,C05345,Fructose and mannose metabolism
hVPA_FAnM14,Taurine,med.neg,107-35-7,C00245,Sulfur metabolism
hVPA_FAnC74,myo-Inositol,cell.neg,87-89-8,C00137,Inositol phosphate metabolism
hVPA_FAnC98,D-Glucose 6-phosphate,cell.neg,56-73-5,C00668,Amino sugar and nucleotide sugar metabolism
