compound_short,compound_full_exp,mode,cas_id,KEGG,path_name
hVPAnC1,Glyoxylic Acid,cell.neg,298-12-4,C00048,Purine metabolism
hVPAnC3,Pyruvate,cell.neg,127-17-3,C00022,Glycolysis / Gluconeogenesis
hVPAnC4,Alanine,cell.neg,56-41-7,C00041,"Alanine, aspartate and glutamate metabolism"
hVPAnC5,Beta-Alanine,cell.neg,107-95-9,C00099,Pyrimidine metabolism
hVPAnC6,Sarcosine,cell.neg,107-97-1,C00213,"Glycine, serine and threonine metabolism"
hVPAnC7,Lactic Acid,cell.neg,79-33-4,C00186,Glycolysis / Gluconeogenesis
hVPAnC8,GABA,cell.neg,56-12-2,C00334,"Alanine, aspartate and glutamate metabolism"
hVPAnC10,Serine,cell.neg,56-45-1,C00065,"Glycine, serine and threonine metabolism"
hVPAnC11,Glyceric Acid,cell.neg,473-81-4,C00258,Pentose phosphate pathway
hVPAnC12,Hypotaurine,cell.neg,300-84-5,C00519,Taurine and hypotaurine metabolism
hVPAnC13,Uracil,cell.neg,66-22-8,C00106,Pyrimidine metabolism
hVPAnC14,Proline,cell.neg,147-85-3,C00148,Arginine and proline metabolism
hVPAnC15,Fumaric Acid,cell.neg,110-17-8,C00122,Citrate cycle (TCA cycle)
hVPAnC16,Valine,cell.neg,72-18-4,C00183,"Valine, leucine and isoleucine degradation"
hVPAnC17,5-Aminopentanoate,cell.neg,660-88-8,C00431,Lysine degradation
hVPAnC18,Succinic Acid,cell.neg,110-15-6,C00042,Citrate cycle (TCA cycle)
hVPAnC19,Threonine,cell.neg,72-19-5,C00188,"Glycine, serine and threonine metabolism"
hVPAnC20,Homoserine,cell.neg,1927-25-9,C00263,"Glycine, serine and threonine metabolism"
hVPAnC22,Ketoleucine,cell.neg,816-66-0,C00233,"Valine, leucine and isoleucine degradation"
hVPAnC24,5-Aminolevulinic Acid,cell.neg,106-60-5,C00430,"Glycine, serine and threonine metabolism"
hVPAnC26,cis-4-Hydroxyproline,cell.neg,2584-71-6,C03440,Arginine and proline metabolism
hVPAnC27,Creatine,cell.neg,57-00-1,C00300,"Glycine, serine and threonine metabolism"
hVPAnC28,Leucine,cell.neg,61-90-5,C00123,"Valine, leucine and isoleucine degradation"
hVPAnC29,Isoleucine,cell.neg,73-32-5,C00407,"Valine, leucine and isoleucine degradation"
hVPAnC30,Asparagine,cell.neg,70-47-3,C00152,"Alanine, aspartate and glutamate metabolism"
hVPAnC31,Aspartic Acid,cell.neg,56-84-8,C00049,Arginine biosynthesis
hVPAnC32,Malic Acid,cell.neg,97-67-6,C00149,Citrate cycle (TCA cycle)
hVPAnC33,Adenine,cell.neg,73-24-5,C00147,Purine metabolism
hVPAnC34,Phenylacetic Acid,cell.neg,103-82-2,C07086,Phenylalanine metabolism
hVPAnC35,Caprylic Acid,cell.neg,124-07-2,C06423,Fatty acid biosynthesis
hVPAnC36,Glutamine,cell.neg,56-85-9,C00064,Arginine biosynthesis
hVPAnC39,O-Acetylserine,cell.neg,5147-00-2,C00979,Cysteine and methionine metabolism
hVPAnC40,Glutamic Acid,cell.neg,56-86-0,C00025,Arginine biosynthesis
hVPAnC41,Methionine,cell.neg,63-68-3,C00073,Cysteine and methionine metabolism
hVPAnC42,Xanthine,cell.neg,69-89-6,C00385,Purine metabolism
hVPAnC43,4-Hydroxyphenylacetic Acid,cell.neg,156-38-7,C00642,Tyrosine metabolism
hVPAnC44,Ribitol,cell.neg,488-81-3,C00474,Pentose and glucuronate interconversions
hVPAnC45,3-Sulfinoalanine,cell.neg,1115-65-7,C00606,Cysteine and methionine metabolism
hVPAnC46,3-Hydroxyanthranilic Acid,cell.neg,548-93-6,C00632,Tryptophan metabolism
hVPAnC47,Histidine,cell.neg,71-00-1,C00135,Histidine metabolism
hVPAnC48,Orotic Acid,cell.neg,65-86-1,C00295,Pyrimidine metabolism
