compound_short,compound_full_exp,mode,cas_id,KEGG,path_name
VPAnC65,Xanthine,cell.neg,69-89-6,C00385,Purine metabolism
VPAnC97,myo-Inositol,cell.neg,87-89-8,C00137,Galactose metabolism
VPAnC105,N-alpha-Acetylglutamine,cell.neg,2490-97-3,C00624,Arginine biosynthesis
VPAnC41,Asparagine,cell.neg,70-47-3,C00152,"Alanine, aspartate and glutamate metabolism"
VPAnC23,Thiosulfate,cell.neg,14383-50-7,C00320,Sulfur metabolism
VPAnC46,Deoxyribose,cell.neg,533-67-5,C01801,Pentose phosphate pathway
VPAnC86,G3P,cell.neg,591-57-1,C00118,Glycolysis / Gluconeogenesis
VPAnC18,Glyceric Acid,cell.neg,473-81-4,C00258,Pentose phosphate pathway
VPAnC148,Sedoheptulose 7-phosphate,cell.neg,2646-35-7,C05382,Pentose phosphate pathway
VPAnC136,D-Glucose 6-phosphate,cell.neg,56-73-5,C00668,Glycolysis / Gluconeogenesis
VPAnC144,Xanthosine,cell.neg,146-80-5,C01762,Purine metabolism
VPAnC119,Glycerylphosphorylethanolamine,cell.neg,1190-00-7,C01233,Glycerophospholipid metabolism
VPAnC10,Lactic Acid,cell.neg,79-33-4,C00186,Glycolysis / Gluconeogenesis
VPAnC176,dTDP,cell.neg,491-97-4,C00363,Pyrimidine metabolism
VPAnC159,CMP,cell.neg,63-37-6,C00055,Pyrimidine metabolism
VPAnC127,Ribose 5-Phosphate,cell.neg,4300-28-1,C00117,Pentose phosphate pathway
VPAnC152,GlcNAc-1P,cell.neg,28446-21-1,C04501,Amino sugar and nucleotide sugar metabolism
VPAnC48,Adenine,cell.neg,73-24-5,C00147,Purine metabolism
VPAnC160,UMP,cell.neg,58-97-9,C00105,Pyrimidine metabolism
VPAnC138,Inosine,cell.neg,58-63-9,C00294,Purine metabolism
VPAnC168,AMP,cell.neg,61-19-8,C00020,Purine metabolism
VPAnC169,GMP,cell.neg,85-32-5,C00144,Purine metabolism
VPAnC200,ADP-Glucose,cell.neg,102129-65-7,C00498,Starch and sucrose metabolism
VPAnC53,O-Phosphoethanolamine,cell.neg,1071-23-4,C00346,Glycerophospholipid metabolism
VPAnC157,"11Z,14Z-Eicosadienoic Acid (20:2 n-6)",cell.neg,2091-39-6,C16525,Biosynthesis of unsaturated fatty acids
VPAnC189,CTP,cell.neg,65-47-4,C00063,Pyrimidine metabolism
VPAnC194,GTP,cell.neg,86-01-1,C00044,Purine metabolism
VPAnC67,3-Sulfinoalanine,cell.neg,1115-65-7,C00606,Cysteine and methionine metabolism
VPAnC193,ATP,cell.neg,56-65-5,C00002,Oxidative phosphorylation
VPAnC44,Aspartic Acid,cell.neg,56-84-8,C00049,Arginine biosynthesis
VPAnC124,Cystathionine,cell.neg,56-88-2,C02291,"Glycine, serine and threonine metabolism"
VPAnC190,UTP,cell.neg,63-39-8,C00075,Pyrimidine metabolism
VPAnC17,Serine,cell.neg,56-45-1,C00065,"Glycine, serine and threonine metabolism"
VPAnC30,Threonine,cell.neg,72-19-5,C00188,"Glycine, serine and threonine metabolism"
VPApC35,Asparagine,cell.pos,70-47-3,C00152,"Alanine, aspartate and glutamate metabolism"
VPApC40,N-Methylnicotinate,cell.pos,535-83-1,C01004,Nicotinate and nicotinamide metabolism
VPApC51,Xanthine,cell.pos,69-89-6,C00385,Purine metabolism
VPApC24,Nicotinamide,cell.pos,98-92-0,C00153,Nicotinate and nicotinamide metabolism
VPApC49,D-Ribose,cell.pos,50-69-1,C00121,Pentose phosphate pathway
VPApC89,GlcNAc,cell.pos,7512-17-6,C00140,Amino sugar and nucleotide sugar metabolism
VPApC67,G3P,cell.pos,591-57-1,C00118,Glycolysis / Gluconeogenesis
VPApC112,Xanthosine,cell.pos,146-80-5,C01762,Purine metabolism
VPApC38,Adenine,cell.pos,73-24-5,C00147,Purine metabolism
VPApC39,Hypoxanthine,cell.pos,68-94-0,C00262,Purine metabolism
VPApC119,CMP,cell.pos,63-37-6,C00055,Pyrimidine metabolism
VPApC14,Uracil,cell.pos,66-22-8,C00106,Pyrimidine metabolism
