Samples,Treatment,FAnM1,FAnM10,FAnM12,FAnM13,FAnM14,FAnM16,FAnM18,FAnM19,FAnM20,FAnM21,FAnM23,FAnM24,FAnM26,FAnM27,FAnM31,FAnM32,FAnM33,FAnM36,FAnM37,FAnM38,FAnM39,FAnM4,FAnM41,FAnM42,FAnM43,FAnM44,FAnM45,FAnM46,FAnM47,FAnM48,FAnM49,FAnM5,FAnM50,FAnM51,FAnM52,FAnM53,FAnM54,FAnM55,FAnM56,FAnM57,FAnM58,FAnM59,FAnM6,FAnM60,FAnM61,FAnM62,FAnM7,FAnM8
T1_P1_C1,cntrl,0.008405369168903724,-0.002899807879372332,-0.027355738528848317,-0.03653456849298632,-0.06660101107602713,-0.01817602611032964,-0.10085043432669857,-0.0069849096616288135,-0.019925054937734936,-0.07823680592672694,-0.0011732212481289645,-0.20224484599764148,-0.07130638369474643,-0.04448648695730106,0.018410119622625006,-0.022043391998648465,-0.06728776519137301,-0.10124456594840726,-0.04699324361890037,0.06780737517710975,0.031460822145119166,-0.0037388598360450012,-0.08961700387797787,-0.0453120699076156,-0.16828376472981169,0.04251360807405736,0.11174487188456085,0.013900115463533456,-0.06929333073230813,-0.07013824012274127,-0.03370289250252085,0.08713961438655915,-0.18767912181507868,-0.11181764778984264,0.04568548428832998,-0.0571401144551716,-0.06116140361052887,-0.07454994526810192,0.09194678421711396,0.012227119647333029,0.4273234794625523,0.7830932116227536,0.04769126506224204,-1.0290978050820512,-1.696231702599151,0.030693757038678122,-0.03139701328778406,0.03862819282197235
T1_P1_C2,cntrl,-0.025730995350648628,0.00864428805659719,0.10820310737826878,0.03095975502624653,0.051191544663030025,-0.007339785954412679,-0.03625590178965433,-0.04640541292747645,-0.05868255536827214,0.06856635045088541,0.037035762476585916,-0.054674876942875025,-0.017188813758800325,-0.029062837198034378,-0.11807666068075465,-0.013036964010776534,-0.020532871941466878,-0.03155659023071207,-0.029341101277805086,0.046657394467836344,0.013772371131796853,-0.0423224661242586,-0.03277636980953618,-0.02093551444585071,-0.139511673986881,-0.027139019061366267,0.0414056003491821,0.04789357963506928,-0.026613240695871503,-0.02550320388474421,-0.00904057826403281,0.012064966818309562,-0.11270456875963573,-0.019627384094627845,0.038094603088377844,-0.00909851867154445,0.06303351361572512,-0.015964114946690137,0.03393722877200674,0.050613804005595606,-0.9630936635456154,-1.335392814075161,0.0018838227250794577,-0.9148146787363057,-0.8293803391291193,-0.010489147653467382,-0.04644870512372644,-0.28839057238472376
T1_P1_C3,cntrl,-0.05139504962104099,-0.03954561714790668,0.1338304618105533,-0.07680176391594652,-0.17985769887577258,-0.06904182227226983,-0.043745145731554566,-0.034611663425598196,-0.07858594327084373,-0.032984534899467836,-0.031863529806491604,-0.13919407572303294,-0.05396440900440953,-0.03042672581333725,0.0020349632177846205,-0.07974868223456061,-0.015558437524172021,-0.07878558635213476,-0.01647396980406038,-0.03860694047602274,-0.11189767139191686,-0.06444081718423557,0.04731939341580787,-0.13725446401830774,0.16743875688366044,-0.0984266598820326,-0.11482775260519087,-0.0976461537042182,-0.061894021803068196,-0.10021350918775637,-0.07333485731966982,0.10349399826260404,-0.019975498048610853,-0.16171460255028366,-0.045831504392576126,-0.06964499733419213,-0.09388714553717978,-0.07009155866389183,0.003332529717666498,-0.053807982947251705,0.17794179733462256,0.9591716001766388,-0.07926725217434202,-0.8456953429650389,-1.2976387719677889,0.2652463939263341,-0.03603300318896903,-0.030716425713850703
T1_P1_FA1,fa,0.006788731192969204,-0.01113359214752785,-0.04086151123555187,-0.024568318860786763,-0.04024251412246578,0.006433218707102178,-0.03688948458928637,-0.030069884545623586,-0.025656668189405926,0.04618796307130104,0.005528484545276465,-0.058125976150647844,-0.01488247541401395,-0.07811590879179756,-0.027040833722325665,-0.038823550513568894,-0.05870499107759607,-0.036056335744814996,-0.0295536636204822,0.03943451694612744,-0.04623076664210438,0.01389622377344219,-0.09827024773443704,-0.031157668984645056,-0.15736341757260225,-0.049524275174353226,-0.07414290919371039,-0.030637748194165038,-0.011717783864071692,-0.015034787259818215,-0.03095905822423116,0.08287689520614562,-0.14703611292556845,-0.05803716542526966,0.05041597559411355,-0.05028826001878434,0.021495205957040853,-0.018059990484989567,-0.07546526961851915,0.07023283620474889,0.24865386490207597,0.08380814960071356,-0.059410532022628595,1.2489579330383571,1.4353955098095659,-0.04473987722997947,0.004862440262427138,-0.07487730215605912
T1_P1_FA2,fa,0.005966826043027182,0.026558994458472443,-0.011597305237051637,0.03167271808305787,-0.01140128930139042,-0.06845432649868284,-0.08878644198622085,0.0029642672840580865,-0.03538909271942221,-0.09043691363897004,-0.05472503102675826,0.02083708893581413,-0.041810264274000225,-0.14156179188929544,-0.03355831855430466,-0.06230678536164347,-0.0782581978611622,-0.09759846813292644,-0.02279772988010103,-0.16360532771738823,-0.1097739516894255,-0.17799332467769172,-0.016989728872445875,-0.07746810999066912,0.16801691512774775,-8.410583977851221e-4,-0.0016519072937507678,-0.07908132569623276,-0.025132735207536186,-0.09873521124049879,-0.019443888785053078,0.002817277792560951,-0.09407862348010834,-0.12702471245566582,-0.05924670566618724,-0.06884345583773227,0.04150024366004116,-0.07629028433849311,0.016376651846255558,-0.05224968371984213,0.20221345755444742,-0.08365193613187133,0.0316129970208881,1.2463248776026388,1.6522074888246934,0.2923008519739188,-0.07409524285226124,-0.03273816949890511
T1_P1_FA3,fa,0.028721721828009014,0.010191826673841182,-0.08207137486615065,-0.03209224900212438,-0.04403545654518,0.028784920725886558,-0.0014541344349161094,-0.04418886567578714,-0.036801855052883546,-0.027160512995592224,-6.825267067550687e-4,0.10974604683553586,-0.007187724756555228,0.08437027964009704,-0.13803048380008984,0.001112640089663853,-0.008025871184855444,0.06509659221638056,0.016213870816423955,-0.001007827464058298,0.020656584043223084,-0.07921962321794636,0.10386565089615934,0.04053592819251937,-0.12584252401617887,-0.017741032428372397,0.028961949340107967,-0.002224266810288678,-0.014947019159250372,0.019257719870507912,0.03410918671742825,0.022098952582844104,0.09720491175088398,0.20170478170208878,0.004941204541137799,0.031303433681249326,-0.03389130715690145,0.00662729505561461,-0.0858161284569472,0.00909688947179222,-0.14022066831384317,0.07163339710170347,0.02519849775077041,1.340410511982175,1.5576590887077786,0.14074549013502727,0.02522490998442256,0.05751171605514565
T1_P2_C1,cntrl,0.010225316264214787,-0.022932581532053957,-0.20646231089164918,-0.10916878032196276,0.09673400177596791,0.044150072658547417,0.04466950798058408,-0.002212427491756241,0.06285530752750026,0.08087125081517364,-0.02221560215458922,0.01613139845005842,0.027315309084600888,0.01711518742340271,-0.12195620093933145,0.016112275661604978,0.008906534819895444,0.020372167829663865,0.02750140556577675,0.07468058938647612,-0.014140418110996138,0.2484499600922492,-0.025851710341833294,-0.0028297102212347875,0.023071576204105923,-0.04436962620745647,0.055081483454533064,-0.07575622623802122,0.0506768328105764,3.242450083550119e-4,-4.503314765026221e-4,0.021377470964633934,0.04850385059587421,-0.0936015765333827,-0.01421776986467784,-0.036662726932440146,-0.017635552915010982,0.0738656253746399,0.0178182717375946,-0.02597060930580917,1.410543247558183,1.0395487986141354,-0.0773587466213205,-0.8253089112527192,-1.2724575960286264,0.10031110891921119,0.11577019871317104,0.0309719310778902
T1_P2_C2,cntrl,0.020075202550030497,-0.021377541828612727,0.13676868842295392,0.04890566550941243,0.037500953736745904,-0.020813364375109836,0.0014697922482152827,-0.0014889277622501672,-0.07534630127569306,0.025383438856690692,0.029394445161443218,0.018636015735166954,0.020367530348666823,-0.027323643437693234,0.0010758013788070586,0.00783773435649618,-0.0533871381441268,-0.009604532592968479,-4.583354926830131e-5,0.06802862265025014,0.04298736853623932,-0.08380821931489903,-0.07958176741438888,-0.027199960731218036,-0.08485531093200804,-0.014161234419114918,-0.19251779295114627,0.06386484038678532,-0.0526724893294237,-0.026214162839877386,2.6390028554907838e-5,0.04755019476609688,0.05487530703245967,-0.03305583494477693,0.07135768093417408,-0.004082444784527042,9.998251988544704e-4,-0.0042307408531357445,-0.04777208786061729,0.046546367781208485,-0.9061676934578692,-0.8940978065053302,0.043965195936033034,-1.045727598373,-0.8499252425631443,-0.3970757186061475,-0.022435245591115864,-0.026395347356238556
T1_P2_C3,cntrl,-0.04490635682200977,0.022839640287927652,-0.06614764627984501,0.05564050773063183,0.009873812913921514,-0.060754111274299284,-0.02378653594236287,-0.02176685176035138,0.02927852399961553,0.004584775766143983,5.125885988346915e-4,0.040625091759075735,0.006051533957216474,0.003403163785000469,0.014076481831379783,-0.020842649236744476,0.014522453048734039,0.002752217830841435,-0.03978177604361524,-0.025413330709347207,-0.047482048856704616,-0.020072202607123765,0.0691886047303896,-0.01449705598828533,0.08267008715891623,-0.02475184648232019,-0.008330305436849407,-0.004360623665223273,-0.04858769182140778,-0.01108092850437781,-0.0012402423264760943,-0.033933245320525336,0.05590374481049838,0.03856019838630864,-0.02601747437907463,-0.04823930936259128,-0.051242920536303985,-0.0382994202425025,-0.022900366839689185,-0.02543205667976355,-0.4267868696016713,-0.08563132188361039,0.026116579297182016,-0.973906863555613,-1.3376402170545747,0.08024496736840722,-0.08079203510513877,0.004145176168941038
T1_P2_FA1,fa,0.044734007949063015,-0.07223452215195977,-0.030588332867428205,0.015596031295073334,-0.2372957546400754,-0.011173230041806162,-0.009680278685736001,-0.03311489894342433,-0.006262852407020106,-0.02280936783998884,0.003426520161022363,-0.11182226490671755,-0.059343378127989996,-2.1451110783198956e-4,0.027456793834844253,-0.004510727101975242,0.020883904152543813,-0.04931508571195503,-0.029047408337403546,0.029681532323454933,-0.02414044156632884,-0.023420827957143515,-0.08096677042492692,-0.01539493287457565,0.08939430799954151,-0.029327120158989868,-0.057348372597999256,0.0019150197536039184,-0.0192762576352015,-0.011322168803130294,-0.038279637561435285,0.007874396825542935,-0.04558585106456829,-0.08408500373626715,0.004076036228738614,0.008868694962614316,-0.07824039275818997,-0.03240194339061059,-0.00677961851533466,-0.005123782910371005,0.8611008657234421,0.38697517826516187,-0.030274077575274547,1.5587297732997747,1.8908755641458583,-0.11847645069647952,-0.020356610642113256,0.059842503061134394
