compound_short,compound_full_exp,mode,cas_id,KEGG,path_name
FAnC1,Methylglyoxal,cell.neg,78-98-8,C00546,"Glycine, serine and threonine metabolism"
FAnC2,Propionic Acid,cell.neg,79-09-4,C00163,Propanoate metabolism
FAnC4,Cysteamine,cell.neg,60-23-1,C01678,Taurine and hypotaurine metabolism
FAnC5,Sulfite,cell.neg,7782-99-2,C00094,Cysteine and methionine metabolism
FAnC6,Pyruvate,cell.neg,127-17-3,C00022,Glycolysis / Gluconeogenesis
FAnC7,Alanine,cell.neg,56-41-7,C00041,"Alanine, aspartate and glutamate metabolism"
FAnC8,Sarcosine,cell.neg,107-97-1,C00213,"Glycine, serine and threonine metabolism"
FAnC9,Oxalic Acid,cell.neg,144-62-7,C00209,Purine metabolism
FAnC10,Lactic Acid,cell.neg,79-33-4,C00186,Glycolysis / Gluconeogenesis
FAnC11,Acetoacetic Acid,cell.neg,541-50-4,C00164,Synthesis and degradation of ketone bodies
FAnC12,2-Aminobutyric Acid,cell.neg,1492-24-6,C02356,Cysteine and methionine metabolism
FAnC13,GABA,cell.neg,56-12-2,C00334,"Alanine, aspartate and glutamate metabolism"
FAnC15,2-Hydroxybutyric Acid,cell.neg,3347-90-8,C05984,Propanoate metabolism
FAnC16,3-Hydroxybutyric Acid,cell.neg,300-85-6,C01089,Synthesis and degradation of ketone bodies
FAnC17,Serine,cell.neg,56-45-1,C00065,"Glycine, serine and threonine metabolism"
FAnC18,Glyceric Acid,cell.neg,473-81-4,C00258,Pentose phosphate pathway
FAnC19,Hypotaurine,cell.neg,300-84-5,C00519,Taurine and hypotaurine metabolism
FAnC20,Uracil,cell.neg,66-22-8,C00106,Pyrimidine metabolism
FAnC21,1-Pyrroline-2-carboxylic Acid,cell.neg,02139-03-9,C03564,Arginine and proline metabolism
FAnC22,Thiosulfate,cell.neg,14383-50-7,C00320,Sulfur metabolism
FAnC23,"5,6-Dihydrouracil",cell.neg,504-07-4,C00429,Pyrimidine metabolism
FAnC24,Proline,cell.neg,147-85-3,C00148,Arginine and proline metabolism
FAnC25,Fumaric Acid,cell.neg,110-17-8,C00122,Citrate cycle (TCA cycle)
FAnC27,Valine,cell.neg,72-18-4,C00183,"Valine, leucine and isoleucine degradation"
FAnC28,Methylmalonic Acid,cell.neg,516-05-2,C02170,Pyrimidine metabolism
FAnC29,Succinic Acid,cell.neg,110-15-6,C00042,Citrate cycle (TCA cycle)
FAnC30,Threonine,cell.neg,72-19-5,C00188,"Glycine, serine and threonine metabolism"
FAnC32,Cysteine,cell.neg,52-90-4,C00097,"Glycine, serine and threonine metabolism"
FAnC34,4-Imidazoleacetic Acid,cell.neg,645-65-8,C02835,Histidine metabolism
FAnC35,4-Oxoproline,cell.neg,4347-18-6,C01877,Arginine and proline metabolism
FAnC36,Ketoleucine,cell.neg,816-66-0,C00233,"Valine, leucine and isoleucine degradation"
FAnC38,trans-4-Hydroxyproline,cell.neg,51-35-4,C01157,Arginine and proline metabolism
FAnC39,Creatine,cell.neg,57-00-1,C00300,"Glycine, serine and threonine metabolism"
FAnC40,Isoleucine,cell.neg,73-32-5,C00407,"Valine, leucine and isoleucine degradation"
FAnC41,Leucine,cell.neg,61-90-5,C00123,"Valine, leucine and isoleucine degradation"
FAnC42,Oxaloacetic Acid,cell.neg,328-42-7,C00036,Glycolysis / Gluconeogenesis
FAnC43,Asparagine,cell.neg,70-47-3,C00152,"Alanine, aspartate and glutamate metabolism"
FAnC45,Ornithine,cell.neg,70-26-8,C00077,Arginine biosynthesis
FAnC46,Aspartic Acid,cell.neg,56-84-8,C00049,Arginine biosynthesis
FAnC47,Malic Acid,cell.neg,97-67-6,C00149,Citrate cycle (TCA cycle)
FAnC48,Adenine,cell.neg,73-24-5,C00147,Purine metabolism
FAnC49,Hypoxanthine,cell.neg,68-94-0,C00262,Purine metabolism
FAnC50,Phenylacetic Acid,cell.neg,103-82-2,C07086,Phenylalanine metabolism
FAnC51,Urocanic Acid,cell.neg,104-98-3,C00785,Histidine metabolism
FAnC52,O-Phosphoethanolamine,cell.neg,1071-23-4,C00346,Glycerophospholipid metabolism
FAnC53,Caprylic Acid,cell.neg,124-07-2,C06423,Fatty acid biosynthesis
FAnC54,2-Oxoglutaric Acid,cell.neg,328-50-7,C00026,Citrate cycle (TCA cycle)
FAnC55,Glutamine,cell.neg,56-85-9,C00064,Arginine biosynthesis
FAnC58,Glutamic Acid,cell.neg,56-86-0,C00025,Arginine biosynthesis
FAnC61,Methionine,cell.neg,63-68-3,C00073,Cysteine and methionine metabolism
FAnC62,D-Ribose,cell.neg,50-69-1,C00121,Pentose phosphate pathway
FAnC63,Guanine,cell.neg,73-40-5,C00242,Purine metabolism
