compound_short,compound_full_exp,mode,cas_id,KEGG,path_name
VPAnC1,Methylglyoxal,cell.neg,78-98-8,C00546,"Glycine, serine and threonine metabolism"
VPAnC3,Sulfite,cell.neg,7782-99-2,C00094,Cysteine and methionine metabolism
VPAnC4,Pyruvate,cell.neg,127-17-3,C00022,Glycolysis / Gluconeogenesis
VPAnC6,Alanine,cell.neg,56-41-7,C00041,"Alanine, aspartate and glutamate metabolism"
VPAnC7,Sarcosine,cell.neg,107-97-1,C00213,"Glycine, serine and threonine metabolism"
VPAnC8,Beta-Alanine,cell.neg,107-95-9,C00099,Pyrimidine metabolism
VPAnC9,Oxalic Acid,cell.neg,144-62-7,C00209,Purine metabolism
VPAnC10,Lactic Acid,cell.neg,79-33-4,C00186,Glycolysis / Gluconeogenesis
VPAnC12,2-Aminobutyric Acid,cell.neg,1492-24-6,C02356,Cysteine and methionine metabolism
VPAnC14,GABA,cell.neg,56-12-2,C00334,"Alanine, aspartate and glutamate metabolism"
VPAnC15,2-Hydroxybutyric Acid,cell.neg,3347-90-8,C05984,Propanoate metabolism
VPAnC16,3-Hydroxybutyric Acid,cell.neg,300-85-6,C01089,Synthesis and degradation of ketone bodies
VPAnC17,Serine,cell.neg,56-45-1,C00065,"Glycine, serine and threonine metabolism"
VPAnC18,Glyceric Acid,cell.neg,473-81-4,C00258,Pentose phosphate pathway
VPAnC19,Hypotaurine,cell.neg,300-84-5,C00519,Taurine and hypotaurine metabolism
VPAnC20,Uracil,cell.neg,66-22-8,C00106,Pyrimidine metabolism
VPAnC21,1-Pyrroline-2-carboxylic Acid,cell.neg,02139-03-9,C03564,Arginine and proline metabolism
VPAnC22,Creatinine,cell.neg,60-27-5,C00791,Arginine and proline metabolism
VPAnC23,Thiosulfate,cell.neg,14383-50-7,C00320,Sulfur metabolism
VPAnC24,"5,6-Dihydrouracil",cell.neg,504-07-4,C00429,Pyrimidine metabolism
VPAnC25,Proline,cell.neg,147-85-3,C00148,Arginine and proline metabolism
VPAnC26,Fumaric Acid,cell.neg,110-17-8,C00122,Citrate cycle (TCA cycle)
VPAnC29,Valine,cell.neg,72-18-4,C00183,"Valine, leucine and isoleucine degradation"
VPAnC30,Threonine,cell.neg,72-19-5,C00188,"Glycine, serine and threonine metabolism"
VPAnC31,Nicotinic acid,cell.neg,59-67-6,C00253,Nicotinate and nicotinamide metabolism
VPAnC33,4-Oxoproline,cell.neg,4347-18-6,C01877,Arginine and proline metabolism
VPAnC34,Ketoleucine,cell.neg,816-66-0,C00233,"Valine, leucine and isoleucine degradation"
VPAnC35,trans-4-Hydroxyproline,cell.neg,51-35-4,C01157,Arginine and proline metabolism
VPAnC37,Creatine,cell.neg,57-00-1,C00300,"Glycine, serine and threonine metabolism"
VPAnC38,Isoleucine,cell.neg,73-32-5,C00407,"Valine, leucine and isoleucine degradation"
VPAnC39,Leucine,cell.neg,61-90-5,C00123,"Valine, leucine and isoleucine degradation"
VPAnC41,Asparagine,cell.neg,70-47-3,C00152,"Alanine, aspartate and glutamate metabolism"
VPAnC44,Aspartic Acid,cell.neg,56-84-8,C00049,Arginine biosynthesis
VPAnC45,Malic Acid,cell.neg,97-67-6,C00149,Citrate cycle (TCA cycle)
VPAnC46,Deoxyribose,cell.neg,533-67-5,C01801,Pentose phosphate pathway
VPAnC47,Homocysteine,cell.neg,6027-13-0,C00155,Cysteine and methionine metabolism
VPAnC48,Adenine,cell.neg,73-24-5,C00147,Purine metabolism
VPAnC49,Hypoxanthine,cell.neg,68-94-0,C00262,Purine metabolism
VPAnC50,Phenylacetic Acid,cell.neg,103-82-2,C07086,Phenylalanine metabolism
VPAnC51,Urocanic Acid,cell.neg,104-98-3,C00785,Histidine metabolism
VPAnC52,6-Hydroxynicotinic Acid,cell.neg,5006-66-6,C01020,Nicotinate and nicotinamide metabolism
