Sample,VPA,FA,Nanog,HoxA1,Oct
CNTRL1,0,0,0.91806402,1.110852038,1
CNTRL2,0,0,0.98851402,0.900209898,0.763129604
CNTRL3,0,0,1.101905116,,1.310393404
FA1 - Cntrl,0,1,1.909683208,1.308880452,0.810377861
FA2 - Cntrl,0,1,5.413894097,3.020945171,0.970410231
FA3 - Cntrl,0,1,1.081724666,5.370290011,1.949809711
VPA1 - Cntrl,1,0,0.810377861,6.168843302,0.664342907
VPA2 - Cntrl,1,0,0.258816231,5.769048265,0.702222438
VPA3 - Cntrl,1,0,1.410949807,4.474314499,0.866537046
VPA+FA1 - Cntrl,1,1,1.313424556,5.729198538,0.673616788
VPA+FA2 - Cntrl,1,1,1.183724489,5.534041003,1.122462048
VPA+FA3 - Cntrl,1,1,1.484523571,13.97716633,0.864537231
