Well,Group,Measurement,Time,OCR,ECAR,PER
A01,Background,1,1.411811887,0,0,0
A02,1. GLN Dependency -ctl,1,1.411811887,170.9131372,29.75782623,0
A03,2. GLN Capacity-ctl,1,1.411811887,126.973928,21.36939223,0
A04,2. GLN Capacity-ctl,1,1.411811887,111.3994514,21.52813992,0
A05,3. FA Dependency-ctl,1,1.411811887,144.1891209,24.56093937,0
A06,3. FA Dependency-ctl,1,1.411811887,111.9767391,20.90579029,0
A07,4. FA Capacity-ctl,1,1.411811887,125.4624412,23.69982016,0
A08,4. FA Capacity-ctl,1,1.411811887,140.956319,26.56091928,0
A09,5. GLC Dependency-ctl,1,1.411811887,125.1964957,25.03827175,0
A10,5. GLC Dependency-ctl,1,1.411811887,133.382416,28.25347189,0
A11,6. GLC Capacity-ctl,1,1.411811887,186.2546871,34.32239552,0
A12,Background,1,1.411811887,0,0,0
B01,1. GLN Dependency -ctl,1,1.411811887,187.726891,35.97056681,0
B02,1. GLN Dependency -ctl,1,1.411811887,124.4374613,22.45725406,0
B03,2. GLN Capacity-ctl,1,1.411811887,154.2097212,28.22740232,0
B04,2. GLN Capacity-ctl,1,1.411811887,112.0303559,19.28880364,0
B05,3. FA Dependency-ctl,1,1.411811887,122.7211374,20.51864733,0
B06,3. FA Dependency-ctl,1,1.411811887,124.5965448,16.53144833,0
B07,4. FA Capacity-ctl,1,1.411811887,132.3135536,21.94051248,0
B08,4. FA Capacity-ctl,1,1.411811887,226.8260132,35.90693426,0
B09,5. GLC Dependency-ctl,1,1.411811887,95.79074286,18.04438984,0
B10,5. GLC Dependency-ctl,1,1.411811887,136.3351689,24.5544257,0
B11,6. GLC Capacity-ctl,1,1.411811887,152.2626338,21.66700208,0
B12,6. GLC Capacity-ctl,1,1.411811887,141.9181166,26.21872121,0
C01,1. GLN Dependency -ctl,1,1.411811887,100.7766205,24.49420985,0
C02,1. GLN Dependency -ctl,1,1.411811887,117.9693846,21.54513122,0
C03,2. GLN Capacity-ctl,1,1.411811887,123.6174078,20.11752893,0
C04,2. GLN Capacity-ctl,1,1.411811887,140.6160888,27.01411919,0
C05,3. FA Dependency-ctl,1,1.411811887,168.4688413,26.43743662,0
C06,3. FA Dependency-ctl,1,1.411811887,150.6994625,14.22654455,0
C07,4. FA Capacity-ctl,1,1.411811887,187.4051689,32.16386426,0
C08,4. FA Capacity-ctl,1,1.411811887,140.8559739,26.6719819,0
C09,5. GLC Dependency-ctl,1,1.411811887,116.6855095,17.44592877,0
C10,5. GLC Dependency-ctl,1,1.411811887,160.0558745,26.55612801,0
C11,6. GLC Capacity-ctl,1,1.411811887,105.8790891,18.13632079,0
C12,6. GLC Capacity-ctl,1,1.411811887,120.0628809,24.40352774,0
D01,1. GLN Dependency -ctl,1,1.411811887,189.9579083,30.4442534,0
D02,1. GLN Dependency -ctl,1,1.411811887,195.9178364,35.54059037,0
D03,2. GLN Capacity-ctl,1,1.411811887,172.2012727,26.83142864,0
D04,2. GLN Capacity-ctl,1,1.411811887,244.0176231,30.62999681,0
D05,3. FA Dependency-ctl,1,1.411811887,201.8813949,29.15675791,0
D06,3. FA Dependency-ctl,1,1.411811887,138.20735,16.05695464,0
D07,4. FA Capacity-ctl,1,1.411811887,236.926954,32.00896169,0
D08,4. FA Capacity-ctl,1,1.411811887,203.7263856,28.65523957,0
D09,5. GLC Dependency-ctl,1,1.411811887,223.057821,33.27077103,0
D10,5. GLC Dependency-ctl,1,1.411811887,256.2766139,33.1705292,0
D11,6. GLC Capacity-ctl,1,1.411811887,212.0548437,27.60542999,0
D12,6. GLC Capacity-ctl,1,1.411811887,347.3220261,52.51862593,0
E01,1. GLN Dependency -vpa,1,1.411811887,181.2323164,32.15391296,0
E02,1. GLN Dependency -vpa,1,1.411811887,131.1047585,20.17901004,0
E03,2. GLN Capacity-vpa,1,1.411811887,207.5394509,28.79375487,0
E04,2. GLN Capacity-vpa,1,1.411811887,151.2087626,20.69764276,0
E05,3. FA Dependency-vpa,1,1.411811887,159.5528999,22.83397528,0
E06,3. FA Dependency-vpa,1,1.411811887,194.9508458,23.19982202,0
E07,4. FA Capacity-vpa,1,1.411811887,182.1693279,24.74887872,0
E08,4. FA Capacity-vpa,1,1.411811887,192.535745,28.46542624,0
E09,5. GLC Dependency-vpa,1,1.411811887,180.2692981,27.44084346,0
E10,5. GLC Dependency-vpa,1,1.411811887,132.9271854,18.45780888,0
E11,6. GLC Capacity-vpa,1,1.411811887,135.1621513,21.19502327,0
E12,6. GLC Capacity-vpa,1,1.411811887,130.6318182,20.31308901,0
F01,1. GLN Dependency -vpa,1,1.411811887,90.13013908,13.35750079,0
