Samples,Mode,Type,Group,Treatment,Dose_uM,VPAnC1,VPAnC2,VPAnC3,VPAnC4,VPAnC5,VPAnC6,VPAnC7,VPAnC8,VPAnC9,VPAnC10,VPAnC11,VPAnC12,VPAnC13,VPAnC14,VPAnC15,VPAnC16,VPAnC17,VPAnC18,VPAnC19,VPAnC20,VPAnC21,VPAnC22,VPAnC23,VPAnC24,VPAnC25,VPAnC26,VPAnC27,VPAnC28,VPAnC29,VPAnC30,VPAnC31,VPAnC32,VPAnC33,VPAnC34,VPAnC35,VPAnC36,VPAnC37,VPAnC38,VPAnC39,VPAnC40,VPAnC41,VPAnC42,VPAnC43,VPAnC44,VPAnC45,VPAnC46,VPAnC47,VPAnC48,VPAnC49,VPAnC50,VPAnC51,VPAnC52,VPAnC53,VPAnC54,VPAnC55,VPAnC56,VPAnC57,VPAnC58,VPAnC59,VPAnC60,VPAnC61,VPAnC62,VPAnC63,VPAnC64,VPAnC65,VPAnC66,VPAnC67,VPAnC68,VPAnC69,VPAnC70,VPAnC71,VPAnC72,VPAnC73,VPAnC74,VPAnC75,VPAnC76,VPAnC77,VPAnC78,VPAnC79,VPAnC80,VPAnC81,VPAnC82,VPAnC83,VPAnC84,VPAnC85,VPAnC86,VPAnC87,VPAnC88,VPAnC89,VPAnC90,VPAnC91,VPAnC92,VPAnC93,VPAnC94,VPAnC95,VPAnC96,VPAnC97,VPAnC98,VPAnC99,VPAnC100,VPAnC101,VPAnC102,VPAnC103,VPAnC104,VPAnC105,VPAnC106,VPAnC107,VPAnC108,VPAnC109,VPAnC110,VPAnC111,VPAnC112,VPAnC113,VPAnC114,VPAnC115,VPAnC116,VPAnC117,VPAnC118,VPAnC119,VPAnC120,VPAnC121,VPAnC122,VPAnC123,VPAnC124,VPAnC125,VPAnC126,VPAnC127,VPAnC128,VPAnC129,VPAnC130,VPAnC131,VPAnC132,VPAnC133,VPAnC134,VPAnC135,VPAnC136,VPAnC137,VPAnC138,VPAnC139,VPAnC140,VPAnC141,VPAnC142,VPAnC143,VPAnC144,VPAnC145,VPAnC146,VPAnC147,VPAnC148,VPAnC149,VPAnC150,VPAnC151,VPAnC152,VPAnC153,VPAnC154,VPAnC155,VPAnC156,VPAnC157,VPAnC158,VPAnC159,VPAnC160,VPAnC161,VPAnC162,VPAnC163,VPAnC164,VPAnC165,VPAnC166,VPAnC167,VPAnC168
c_cntrl_1,neg,cells,sample,cntrl,0,157931.5554,956807.4487,145693.8267,33132.36872,361245.4047,5243150.093,188268.9011,19329885.39,51590.96279,1141688.263,16634.84311,46096.68663,1384279.85,1085982.257,137638.2415,132744.4906,5108.147841,235849.9412,1342266.437,919441.2888,226866.4707,52920.0372,1520399.042,13634.27484,7991465.233,9248585.633,145608.334,107095.6387,105937.0346,278274.4825,278509.6768,1413035.665,1541141.772,65727.42984,72151.50463,1560763.389,8565378.246,25240.15802,2033044.693,46563.50198,1417.270718,6705.605568,685691.2045,6240348.913,34272.96714,633988.294,9540937.139,20939.15462,195018.3415,8312.140795,253732.0882,48723.82908,50209.57007,8449.029433,24050.42821,86942.33905,127707.6926,382180.9783,12292.07956,12292.07956,41802.45349,983625.1363,23482.60164,53184.07676,40009.8617,8049.687888,16955.79147,144871.555,190140.2988,1473065.967,5819.795263,699795.4519,24168.24147,153315.219,72691.1545,837511.6278,17795.02359,1564147.746,2594.659257,18496.07623,104011.9295,137740.9921,16293738.32,3519.700079,11844.15808,203808.0763,15791.39566,3912.535835,2039.157469,227643.6333,5554.880608,16106.11354,1271036.65,9245.127993,56051.17634,1197.510874,25594.93553,5851.441179,5587.087449,21303.96532,7112.002466,2251403.801,3495.919622,28012.75057,37376.49624,2979.856094,15752.78554,20899.91768,8622.384152,84192.45775,3961.993921,18773.13599,1802497.733,75094.26805,6113.805255,97942.31323,1382.426708,12345.3233,4287.046307,159848.4259,15383.34036,4503951.22,20608.78296,3422.975609,14348.56028,36089.03175,3890.32844,12170.98628,18298.92027,5659.681565,266133.1202,4952.996084,4576.71923,2207.672081,3873.644608,14065.30483,3182.575295,7004.084183,3826.326392,4412.524217,1882.394924,7750.876978,44042.32713,175995.6897,7693.064701,26080.8474,47643.7177,19324.72921,16046.48167,169469.0896,804647.7129,14463.85325,10606.83252,223767.7035,569158.0078,1013133.438,751386.4383,3615.557306,16057.25178,11243638.79,9766915.566,36554.78292,346414.6775,162922.4476,2373.041524,1160.098565,4098.436174,12402.16183
c_cntrl_2,neg,cells,sample,cntrl,0,224259.072,1358635.322,184672.7767,50839.38556,721599.4438,7576001.217,419999.072,7109747.726,119431.5471,1844274.982,6763.882628,52914.33811,2027591.818,2635472.762,184944.3653,320992.1595,9126.947492,487922.6063,1227226.58,1391912.379,373458.8441,100582.2621,2254225.273,10734.19196,10811101.46,13037877.27,220179.1407,175050.4697,297781.1387,542097.0653,542880.4626,1986355.978,2351525.847,93299.52182,109800.0917,3263195.678,7814590.336,31788.45933,3935070.275,76968.6642,8115.133434,20314.58602,869502.0931,8531524.195,86557.19273,1241039.776,13296558.55,43384.85174,272626.4544,11857.68179,311177.1495,41706.72557,59186.89747,22182.60024,51653.81122,153069.6775,136238.7291,509173.5646,19110.08431,19110.08431,85946.66983,1380007.619,27322.15688,50126.45524,111501.4866,13479.99036,35262.51602,246211.7299,445259.9933,2354743.174,9119.206886,798789.5106,7871.774251,180972.6924,39074.04986,1133490.968,37186.38047,1642567.26,4930.160242,27676.08358,206870.0268,736840.5411,26578975.33,9603.850904,25420.3192,270049.1538,36278.56533,1662.505833,3068.091415,498741.0001,13995.59512,37774.10635,3806050.439,20665.27156,66545.90069,3079.984219,49964.21815,13111.63419,17548.72352,47991.78236,13114.26864,4794552.091,7276.436814,56645.60444,28736.33859,6682.813987,21154.89729,20688.3715,21569.40378,233882.8422,3217.136178,34776.83971,4294380.74,74157.07984,8866.114331,172971.6759,2566.91075,40406.76637,9537.890805,345209.9402,19785.1883,9211876.759,19426.7447,8140.283444,32948.71636,31218.23958,10885.65347,31756.63426,27698.42389,10208.23454,333654.4574,9105.926119,10232.768,1462.936712,6916.357291,15505.39798,7612.956116,18355.0907,4377.2791,3620.077613,1725.3803,24902.8263,94187.63364,398502.2438,21341.2565,35859.80226,91510.98015,55154.66269,64636.2527,526082.5066,2677324.74,52123.12634,11176.74065,268207.2144,689295.0724,1483146.091,1332406.891,7125.64084,15132.84425,14290697.31,12031694.17,159983.7739,610383.2437,39319.02393,11338.09834,3709.560528,4895.255098,21852.4779
c_cntrl_3,neg,cells,sample,cntrl,0,156989.3191,1032834.897,104035.2849,34405.35168,329136.0803,5253364.82,456486.0934,2883398.417,50990.49975,1000309.146,6513.333178,32981.9705,1368160.343,1410860.282,137469.8306,276222.1474,4567.359925,303293.1565,692938.1555,790894.1044,168815.4949,47257.06003,1429710.243,3513.099487,7969363.008,5957567.04,54925.88198,98991.09465,126977.5584,262287.8294,251637.2117,1127142.363,1261797.413,79840.7047,65542.32444,2282232.323,4437590.32,21540.19638,2316561.335,44827.37947,3846.084205,12894.69771,312923.6624,6731635.71,21262.85799,593876.1199,8942578.264,31025.41048,174677.3045,7771.514385,123455.0796,38912.00266,48563.06018,13765.98164,23227.8673,174022.8428,95744.15833,370235.7967,11888.95482,11888.95482,50085.78428,809185.6648,10605.10084,46677.43884,31350.18066,3791.726876,26034.73314,182224.8897,291476.5718,1680351.763,4912.94222,292422.3074,5619.624962,144680.0354,49067.67749,724445.5677,19222.61965,1135734.698,2419.835278,9330.162433,119747.6538,337669.391,21084049.17,5469.919193,17837.193,164980.306,19837.60213,1975.854101,3095.076865,220646.1822,7600.49211,16402.58585,1338092.699,9532.863843,54766.695,2223.330089,33307.17239,7166.104512,10280.22766,29262.31749,8767.879832,3048121.818,4073.404481,27261.34886,11656.57528,4097.57618,17307.13871,10861.21492,10838.38886,108381.0797,1879.797466,27676.0387,2918324.368,51831.57842,5228.190558,119460.7486,1411.773565,20203.59169,5510.120986,207430.8876,14023.3896,4989891.463,7802.474618,4287.493313,22151.85243,14385.56464,6266.851139,18729.27317,17817.06423,7634.922299,288894.108,6701.511198,6298.538379,1800.850903,5066.69651,12220.27036,4154.785131,10477.03404,5560.422821,4066.885709,826.6469447,14191.57206,48283.72746,192988.0366,14130.90208,22625.27463,75860.08692,25819.17008,39340.50201,255307.2814,1195792.958,33088.76977,5600.150336,181736.5919,445415.2462,810830.1736,498375.3088,3251.468067,5469.86721,8887727.077,9817396.091,58577.2604,288434.1246,15039.57678,3779.023402,1922.251837,1444.641898,12820.61152
c_100uM_1,neg,cells,sample,vpa,100,146640.0296,864039.2897,116678.8824,28047.51442,237445.2339,4508286.373,249647.7418,7168041.56,42030.28207,1038542.072,9406.96147,31615.65193,1186412.48,852874.5419,116800.876,231593.8626,3486.576714,322692.0649,1136929.878,741006.4878,176402.8358,52232.43566,1360337.182,7895.290807,6771782.018,7344894.367,79468.44962,89229.84511,87249.50379,194408.0155,195317.6541,1101929.093,1221581.142,69517.24939,58982.08382,1757285.899,7220586.965,21400.85681,1632190.057,36895.5089,504.0160532,12057.99562,506844.9387,5781974.675,20132.15328,548796.3146,9224959.852,22307.52078,163732.5375,7270.870021,170895.9731,40751.84471,60801.76595,10485.64822,19563.7735,150871.1731,97393.78724,329518.6981,14374.05097,14374.05097,40832.82422,768183.9025,18303.71827,48375.06313,27470.11163,4302.255066,16831.77807,156645.2559,205591.3658,1827715.598,3837.513925,573496.6817,15671.55712,108442.7592,59939.36231,682860.8369,13220.32818,1025910.76,5525.204057,15102.41214,116665.4914,212366.8108,18069720.44,3566.628512,12810.61691,167469.4115,17083.55268,3643.374382,3210.316712,178383.254,5472.971646,9625.106905,1245409.833,8138.165817,41338.32164,1254.121825,26065.76315,5448.246709,6238.374258,21519.48313,6351.259124,2723390.295,3262.513866,24590.93275,17682.7562,2604.857702,15659.0911,3886.904515,8858.192217,84976.34979,2239.905158,16405.8358,2388699.043,64548.00177,4888.835571,107981.5454,1417.462834,13714.37936,4159.890495,179323.0003,12062.98636,4365054.631,11650.30027,4005.171271,16165.09187,21071.52938,3958.159106,12033.15365,14824.74012,5728.911622,251146.4142,34441.40862,4655.63996,2607.011653,3366.971195,12425.61861,3172.75983,7480.167697,6362.402306,4661.913708,1571.821689,9572.95989,48079.87442,176948.6533,10399.47533,22135.45688,51484.24685,19992.53986,20019.36694,180562.8739,784350.3698,18970.57523,5157.70181,191828.3499,424045.3894,699544.6561,312035.3665,3052.184569,7225.146032,8591557.065,9673065.923,43014.8492,285944.2682,56041.90306,2541.186783,1620.815241,2173.728704,10036.46431
c_100uM_2,neg,cells,sample,vpa,100,203893.2243,1117674.93,150173.9289,37646.97506,350878.636,5806503.497,441425.2288,5557144.227,64176.75127,1260444.048,11879.46689,41686.41455,1494316.353,1314274.664,135734.5046,480181.9803,4657.664516,512644.5041,999700.5956,934389.8407,219321.9678,69704.21557,1623103.631,5954.28558,8245301.315,7777186.504,102564.0554,111933.0906,136813.9866,282728.6256,272171.6768,1295901.97,1557654.682,85179.59651,67260.43182,2666218.341,6386818.075,25751.61191,2262028.368,57586.19779,3104.86307,14372.03037,489419.6146,6904833.588,24490.01606,593760.1392,10216782,31770.28251,204886.7487,8419.390795,197633.6512,48150.59537,56067.40264,16637.96402,28337.22327,291010.7708,203415.3582,400867.7867,16571.15159,16571.15159,53383.51649,926756.3068,12996.33086,53813.06634,40615.64212,4734.400497,28372.12191,198850.1378,289248.4589,2220972.522,5447.49227,555926.1033,10378.06058,126760.157,59869.00673,825093.2391,20343.62194,1165748.709,3582.792439,11946.95537,136359.8664,424639.4193,22066020.1,6609.604684,19968.14213,199214.2715,24007.26842,4154.855625,3649.241318,218132.6808,8705.995994,14937.12559,1551184.373,11096.56934,47657.77948,1543.745112,33656.12068,7946.650341,10416.2354,29610.44138,12175.86476,3704130.737,4581.963735,32173.3678,16159.29663,4394.321957,17741.51892,6790.931048,30951.85905,178768.699,2434.931751,17835.64653,3488437.937,75535.30683,5278.699185,127228.1195,691.4986504,25448.63593,5961.51895,257122.6711,12888.16911,6296757.571,9264.885434,6245.370083,23681.37023,15490.46019,6187.923759,21111.12145,17967.23028,6942.004545,301533.7865,16551.87559,7157.323905,1533.320542,5507.272686,13617.5534,5213.870973,13043.42244,29078.21292,4014.457758,453.6473833,14208.99479,58121.36978,231391.502,15315.438,28150.84034,87931.23573,32635.79773,37837.08242,292831.9478,1445345.689,35508.72453,4964.575121,223824.3147,491156.9754,987045.5343,694485.7485,5125.539303,7648.168149,10907665.06,10820925.85,74547.5463,372097.8879,16837.13737,5320.961791,2838.05254,2214.527915,16621.99661
c_100uM_3,neg,cells,sample,vpa,100,219190.2616,1266661.819,172201.399,48461.65212,433974.6528,7097199.038,521533.5157,1972422.459,79907.66138,1549530.958,10677.99871,41670.32043,1671142.586,1800097.167,160645.8871,620610.9227,5688.069966,687263.7177,603994.8997,1075140.213,218913.3111,75764.4068,1916006.673,3377.631813,9751963.912,5002322.835,70425.60454,140512.7867,179025.1934,329658.7478,318874.7015,1383705.346,1631942.561,82164.4686,79184.02922,4334037.135,3771696.376,33022.91251,2979756.721,50311.86822,6947.971591,19346.68695,405374.8025,8192386.406,34228.76042,693955.9226,11925065.19,50860.47,221928.6466,9544.476614,128101.4432,56664.13738,55891.10958,22124.1382,37741.13162,383452.9964,125682.844,520733.6506,21107.33399,21107.33399,72028.93795,1123594.25,23160.28828,58264.30157,39245.66517,4605.702254,37160.87238,221683.33,434938.2086,2904040.45,6244.434642,352152.6788,13185.59938,163889.9554,70132.83782,972497.6618,26279.67678,1355393.247,3753.638268,21430.14766,191985.6949,545702.7519,24803126.24,8799.245215,23474.63074,254228.8241,29979.90841,4164.511763,5906.85177,359821.5619,11725.28686,19696.58847,2089828.108,17544.91032,64004.81785,1806.286741,42235.99851,11386.52851,14828.40805,39256.41346,11099.35068,4456140.026,4149.4825,46698.55429,16214.43329,5864.252449,24246.9131,17775.19696,18312.68961,188368.4427,2207.06183,20169.62158,4096887.856,81565.79229,7332.252267,171578.9176,1786.431409,27832.77268,8046.683179,328923.8872,16894.80505,8009553.653,10545.72386,7399.730133,31495.46469,16673.54678,9494.149533,25875.2825,22104.2382,9179.300885,353104.5647,9213.937779,9617.458216,2234.111255,6747.259902,13246.33351,6672.022667,15638.42785,18658.05544,4477.707826,892.7131389,23281.35143,77516.6272,294004.0831,17524.67359,30590.24219,106286.7417,45378.51589,61735.81448,422885.3622,1958784.101,41786.8987,7047.073246,258697.2152,584032.8515,1276281.078,1265055.577,7070.171712,6513.581909,12628739.14,11794016.08,110857.7068,444920.6376,16436.5767,8084.248693,3399.882291,3516.568918,20812.00429
c_500uM_1,neg,cells,sample,vpa,500,149225.7598,877492.2577,86026.32183,24799.94582,239887.8703,4702219.92,229946.5061,6863311.531,41533.72877,1228545.144,5359.545988,27451.08908,1225114.561,796886.7153,112104.5681,230607.6943,3060.92308,483137.677,1265023.405,784038.7469,132141.6995,54404.38536,1427046.103,8734.026184,6171173.82,6441043.669,85035.6125,88334.90385,86753.97579,193698.091,193893.9556,1189972.751,1329712.438,71087.99098,46107.13007,2022476.627,8034196.531,24813.23221,1609086.963,42557.24228,1259.606711,9718.584846,570015.3732,5825798.039,38686.88547,468832.6794,10084264.47,23610.46392,172373.2181,6978.652771,113929.526,39261.86165,56949.91828,10129.50819,21926.03287,142834.045,112274.1555,215790.9517,18587.63353,18587.63353,38339.12755,847945.3632,26817.41727,40660.00567,25611.51175,6242.404255,18320.45095,158432.8855,225815.6744,2100944.501,4288.879205,516044.1284,6496.467445,87188.81758,49827.97193,716891.935,12287.62313,501489.9338,1235.892224,22365.87186,131789.3326,180904.4733,18026992.74,3873.027879,13386.15444,180837.1075,18897.74278,1629.031366,2397.00093,173193.4997,6079.376621,8975.073893,1286568.9,10520.1088,31517.70907,1492.23667,26703.33948,6748.495579,7023.285538,24929.32499,7517.014254,2765505.577,3066.552421,26906.52002,20045.87458,3261.635586,18308.46242,9476.584738,13283.17197,109475.794,2696.686961,18020.29502,2315800.075,57677.42703,5484.026529,109322.4737,1559.425994,12343.53269,5108.716026,192188.2993,17797.25647,4998824.89,10534.74471,4982.15503,15569.55719,19771.23071,4968.19381,14427.87173,22925.8984,6809.883114,256597.2089,7055.654826,5412.03103,1124.414371,4259.026251,15557.58259,4142.129166,8228.510285,5804.882002,6455.39451,1207.815517,8374.241388,49119.4127,165363.3396,8008.230807,26281.55817,87392.53127,20609.80525,21867.92523,216792.351,832206.3842,16699.01808,5410.692305,204894.206,435599.1091,728232.8334,447037.4533,4302.157111,9217.707592,10438797.02,9924094.55,42086.32224,288371.0706,86020.99475,2064.847651,1698.79158,2516.163019,11162.80666
c_500uM_2,neg,cells,sample,vpa,500,144796.7814,896637.4515,114473.5306,21060.48614,212055.8701,4328938.837,256732.7878,2289371.845,36599.16542,1049922.385,13457.21416,26371.26752,1099483.489,588703.85,103322.3118,356297.7255,3369.465091,450941.2625,772843.9688,663163.0447,116981.6175,48203.85724,1238318.695,7462.82529,5948508.154,5791776.925,49798.82335,77325.62523,71099.80534,180729.5311,181414.1488,829657.8828,1064382.926,70363.99469,44241.83507,2462117.881,4836401.379,23570.36,1505735.102,30038.31755,1868.0649,38351.47015,344169.9796,5583687.074,30831.74541,401895.2125,9059277.654,30216.74801,154073.9253,7095.530213,115753.4912,42654.12894,60692.15928,7833.902249,17100.12535,251728.2244,70099.39875,268837.2764,17009.77155,17009.77155,38561.16419,676958.8029,7673.813402,49024.8849,16947.81736,952.851428,15127.83617,164659.5422,226470.3871,2141311.676,4095.361635,384171.7923,14456.60329,80472.66842,307579.6258,599696.9083,12812.84848,521470.4003,2671.700786,6033.222358,125032.3646,194966.0256,18272576.07,2676.042229,10216.00149,147617.3024,17730.88683,4214.932229,2348.631321,133750.9794,4690.877079,4735.560203,1088700.976,8832.683039,31670.9861,1645.224946,20621.13883,5546.842665,5240.473733,18367.37623,5820.381095,2370964.431,2318.515974,18813.63861,12914.51882,2323.197976,14786.02383,9077.351363,8840.391119,88015.85487,2712.615099,11375.6702,2125170.336,65197.14925,4231.564971,97102.32859,1415.155176,11409.71683,4032.864094,149521.5951,12192.64798,4376920.312,9200.45665,4171.555435,14373.10561,12370.00853,2996.200053,10791.63707,16840.304,5601.899304,248289.9735,74649.03781,3987.928905,1326.00762,3557.76705,12857.62946,2915.880043,6390.918384,4171.013701,7182.504614,428.4971708,8527.828822,41469.74709,142397.6398,9481.444035,27386.1708,47964.64735,16525.40671,23005.75077,194901.5547,725665.4631,20072.15611,3632.450909,201751.7982,370286.9346,624196.4111,302846.1294,2738.648312,3484.856879,8957606.491,9734270.512,36724.27218,256159.4127,11924.13482,1407.187477,1712.298388,823.8144287,9400.357114
c_500uM_3,neg,cells,sample,vpa,500,122894.6022,929965.6416,121390.9163,22796.23988,185460.6004,4294202.399,302337.4535,909760.6245,31255.69506,938595.9806,15658.30316,24818.75344,1097857.235,612474.4505,103596.955,308688.2282,2349.190986,426982.6397,528093.9099,564839.6253,97088.50105,42062.46626,1193914.546,3518.343913,5948738.968,2962165.875,23608.93061,77554.72152,58262.14402,153012.2117,153759.4221,705308.3092,832398.2345,64927.69343,45994.33625,2666323.121,3288176.521,22545.55409,1389077.592,33877.72797,2530.54248,7410.76213,219104.1869,5639613.904,27918.28461,349535.809,8772487.044,36910.59088,138182.8796,6129.818451,40867.15069,45628.06777,60308.18493,7343.10126,15519.45802,214862.6956,48787.29375,195832.449,16124.45389,16124.45389,36112.57848,576679.5969,4942.726714,47992.92087,11233.4445,539.9396087,12063.17925,145945.8064,172053.7852,2111625.496,3552.401487,208170.8914,11100.66563,78197.36922,42480.37838,532645.7898,13194.51378,487719.2315,2035.294815,3568.673811,119065.1492,147468.7551,16364241.52,2596.485832,9698.008031,127196.5289,18349.19685,4385.599277,4301.842184,133521.6028,4163.350712,4391.322704,900122.6199,8135.457128,31048.11856,761.685929,20477.52542,5013.00006,4688.775233,17780.5531,4779.006732,2244826.331,1609.051038,19655.09083,8879.298876,1925.128688,11657.53021,4905.122011,6343.217279,63745.40799,2363.664302,7660.931964,1944785.878,49231.90621,4140.730954,91235.12545,1305.615979,10866.94783,3763.414573,150588.5936,8119.82807,3660075.357,4375.950998,3091.247967,13597.70884,9214.267902,2539.32288,9994.478344,12004.31834,4456.441759,259715.1964,4221.438087,3743.763379,1186.580407,2893.71508,9623.886226,2757.785852,5717.114125,6758.560365,5379.620114,326.693784,11664.51579,37690.00776,124295.7248,8325.091113,22034.7952,59190.0293,17366.85601,30433.21817,192104.9355,668268.2424,18693.86469,3016.792852,185691.385,365802.5506,621292.1174,309678.0181,2769.101233,1797.77658,8216617.18,9201030.838,40312.25193,217664.6602,4813.983745,1086.906456,1460.697087,1295.623568,8568.433975
c_1mM_1,neg,cells,sample,vpa,1000,141034.7565,943299.635,125446.7319,21599.37769,226582.957,4625604.579,180660.3157,3779161.86,35475.74481,1171698.158,8976.380295,28704.1053,1274342.662,527249.0914,111962.7468,162156.2646,2977.417544,396358.7014,932459.551,785408.4525,109819.3486,69058.85288,1507555.577,12334.10126,6283416.296,5240225.5,75505.78348,85394.72603,58002.46938,182959.1939,183660.2508,1132538.934,1252376.438,61867.40375,44031.91616,2388580.03,5947746.32,23539.25557,1461018.765,32775.47719,4334.216493,9656.21818,529141.6628,5751520.77,32048.01725,344943.1779,9870064.781,24010.61815,182103.3845,8061.612458,77800.50837,46364.16104,77223.76635,6363.748478,18357.24212,113900.3875,83562.10127,239527.7125,17169.28228,17169.28228,34295.86419,825527.8254,5625.480526,52339.97479,14890.26148,2958.071345,11491.58242,140342.7133,194958.3248,1559823.858,3577.361552,370079.6921,10237.72773,92774.63805,47483.14774,680689.0042,14910.0454,373395.2771,2583.923282,4416.176338,121119.4235,141167.7961,15895154.91,2376.895354,9710.200727,175230.7291,17095.52604,4459.883219,2923.749232,130339.8731,4255.714221,4992.636973,860169.199,11172.40944,33894.62819,1012.702804,18362.49075,5433.555317,4196.825143,16261.13589,6328.58531,1968906.775,1980.843754,15272.9907,13345.18327,2436.440842,13798.02056,4048.318759,8375.496545,79149.85298,2308.164655,9727.924593,1581390.704,57864.59239,5236.244368,84680.50672,1414.748961,9313.260334,4779.682815,139523.2436,16605.47005,4344308.527,8410.940898,3373.331909,12080.77261,12851.52876,3000.814742,10440.84448,22642.46777,6760.575793,231175.0253,7990.218634,4021.246947,116.0994844,3444.071618,16319.57667,2965.051855,6552.678607,3228.716827,7633.0851,960.6959039,5058.353436,34052.43966,110947.141,4037.023511,16173.81837,67123.94217,13562.82526,15158.83318,160253.8706,561911.5053,10940.02054,4081.275876,203434.4946,385067.5073,612133.1452,310108.0529,2998.343912,6549.889719,8786256.081,9536340.222,29902.13852,232808.3877,14841.92002,176.1410395,1006.908741,1232.728394,7283.815098
