compound_short,compound_full,formula,mass,rt,cas_id
VPAnC1,Propionic Acid,C3 H6 O2,74.0355,2.86,79-09-4
VPAnC2,Glycine,C2 H5 N O2,75.0314,8.51,56-40-6
VPAnC3,Pyruvate,C3 H4 O3,88.015,1.66,127-17-3
VPAnC4,Beta-Alanine,C3 H7 N O2,89.0461,10.28,107-95-9
VPAnC5,Sarcosine,C3 H7 N O2,89.0464,9.3,107-97-1
VPAnC6,Alanine,C3 H7 N O2,89.047,8.14,56-41-7
VPAnC7,Oxalic Acid,C2 H2 O4,89.9939,7.27,144-62-7
VPAnC8,Lactic Acid,C3 H6 O3,90.0309,2.21,79-33-4
VPAnC9,4-Aminobutyric Acid (GABA),C4 H9 N O2,103.0614,11.22,56-12-2
VPAnC10,2-Aminobutyric Acid,C4 H9 N O2,103.0618,8.27,1492-24-6
VPAnC11,2-Hydroxybutyric Acid,C4 H8 O3,104.0445,1.87,3347-90-8
VPAnC12,3-Hydroxybutyric Acid,C4 H8 O3,104.0452,2.87,300-85-6
VPAnC13,Serine,C3 H7 N O3,105.0411,7.93,56-45-1
VPAnC14,Glyceric Acid,C3 H6 O4,106.0252,2.77,473-81-4
VPAnC15,Hypotaurine,C2 H7 N O2 S,109.0178,8.6,300-84-5
VPAnC16,Uracil,C4 H4 N2 O2,112.0257,1.94,66-22-8
VPAnC17,1-Pyrroline-2-carboxylic Acid,C5 H7 N O2,113.0555,9.28,02139-03-9
VPAnC18,Proline,C5 H9 N O2,115.0613,9.08,147-85-3
VPAnC19,Fumaric Acid,C4 H4 O4,116.0091,7.02,110-17-8
VPAnC20,Valine,C5 H11 N O2,117.0772,7.27,72-18-4
VPAnC21,Succinic Acid,C4 H6 O4,118.0247,7.23,110-15-6
VPAnC22,Methylmalonic Acid,C4 H6 O4,118.025,2.83,516-05-2
VPAnC23,Threonine,C4 H9 N O3,119.0567,7.62,72-19-5
VPAnC24,Cysteine,C3 H7 N O2 S,121.0181,6.7,52-90-4
VPAnC25,Taurine,C2 H7 N O3 S,125.0137,4.53,107-35-7
VPAnC26,Pyroglutamic Acid,C5 H7 N O3,129.0416,4.94,98-79-3
VPAnC27,Ketoleucine,C6 H10 O3,130.0616,1.24,816-66-0
VPAnC28,trans-4-Hydroxyproline,C5 H9 N O3,131.056,8.13,51-35-4
VPAnC29,N-Acetylalanine,C5 H9 N O3,131.0562,3.94,97-69-8
VPAnC30,cis-4-Hydroxyproline,C5 H9 N O3,131.0678,9.29,2584-71-6
VPAnC31,Creatine,C4 H9 N3 O2,131.0679,9.29,57-00-1
VPAnC32,Leucine,C6 H13 N O2,131.0933,6.55,61-90-5
VPAnC33,Isoleucine,C6 H13 N O2,131.0933,6.78,73-32-5
VPAnC34,Oxaloacetic Acid,C4 H4 O5,132.0038,8.63,328-42-7
VPAnC35,Asparagine,C4 H8 N2 O3,132.0513,8.24,70-47-3
VPAnC36,Aspartic Acid,C4 H7 N O4,133.0364,7.99,56-84-8
VPAnC37,Malic Acid,C4 H6 O5,134.0207,7.02,97-67-6
VPAnC38,Homocysteine,C4 H9 N O2 S,135.0393,7.99,6027-13-0
VPAnC39,Hypoxanthine,C5 H4 N4 O,136.0367,2.43,68-94-0
VPAnC40,Urocanic Acid,C6 H6 N2 O2,138.04,2.59,104-98-3
VPAnC41,O-Phosphoethanolamine,C2 H8 N O4 P,141.0174,14.31,1071-23-4
VPAnC42,Caprylic Acid,C8 H16 O2,144.1136,1.24,124-07-2
VPAnC43,2-Oxoglutaric Acid,C5 H6 O5,146.0208,5.9,328-50-7
VPAnC44,Glutamine,C5 H10 N2 O3,146.0688,8.45,56-85-9
VPAnC45,Lysine,C6 H14 N2 O2,146.1037,24.45,56-87-1
VPAnC46,N-Acetylserine,C5 H9 N O4,147.0522,4.14,16354-58-8
VPAnC47,Glutamic Acid,C5 H9 N O4,147.0533,8.29,56-86-0
VPAnC48,Citramalic Acid,C5 H8 O5,148.0362,7.09,2306-22-1
VPAnC49,Methionine,C5 H11 N O2 S,149.0497,6.49,63-68-3
VPAnC50,Guanine,C5 H5 N5 O,151.0461,6.49,73-40-5
VPAnC51,Xanthine,C5 H4 N4 O2,152.0331,1.84,69-89-6
VPAnC52,Ribitol,C5 H12 O5,152.0656,2.69,488-81-3
VPAnC53,3-Sulfinoalanine,C3 H7 N O4 S,153.0082,6.51,1115-65-7
VPAnC54,Gentisic Acid,C7 H6 O4,154.0251,1.1,490-79-9
VPAnC55,Histidine,C6 H9 N3 O2,155.068,10.54,71-00-1
VPAnC56,Orotic Acid,C5 H4 N2 O4,156.0163,1.89,65-86-1
VPAnC57,Dihydroorotic Acid,C5 H6 N2 O4,158.0334,2.01,5988-19-2
VPAnC58,Allantoin,C4 H6 N4 O3,158.0437,1.7,97-59-6
VPAnC59,2-Aminoadipic Acid,C6 H11 N O4,161.0652,8.99,542-32-5
VPAnC60,N-Methylglutamic Acid,C6 H11 N O4,161.0653,8.99,35989-16-3
VPAnC61,3-Hydroxymethylglutaric Acid,C6 H10 O5,162.0516,6.77,503-49-1
VPAnC62,Phenylalanine,C9 H11 N O2,165.0784,6.06,63-91-2
VPAnC63,Phosphoenolpyruvate,C3 H5 O6 P,167.9812,10.01,138-08-9
VPAnC64,Cysteic Acid,C3 H7 N O5 S,169.004,3.6,498-40-8
VPAnC65,D-Glyceraldehyde 3-phosphate (G3P),C3 H7 O6 P,169.9975,10.18,591-57-1
VPAnC66,Glycerol 1-Phosphate / Glycerol 3-Phosphate,C3 H9 O6 P,172.0126,9.89,17989-41-2
VPAnC67,Capric Acid,C10 H20 O2,172.1456,1.14,334-48-5
VPAnC68,trans-Aconitic Acid,C6 H6 O6,174.0152,8.62,4023-65-8
VPAnC69,cis-Aconitic Acid,C6 H6 O6,174.0157,7.01,499-12-7
VPAnC70,N-Acetylaspartic Acid,C6 H9 N O5,175.0473,7.54,997-55-7
VPAnC71,Citrulline,C6 H13 N3 O3,175.0934,9.21,372-75-8
VPAnC72,N-Carbamoyl-L-aspartic Acid,C5 H8 N2 O5,176.0455,7.59,13184-27-5
VPAnC73,N-Formylmethionine,C6 H11 N O3 S,177.0469,1.87,4289-98-9
VPAnC74,myo-Inositol,C6 H12 O6,180.0623,4.91,87-89-8
VPAnC75,D-Glucose,C6 H12 O6,180.0626,2.83,50-99-7
VPAnC76,Tyrosine,C9 H11 N O3,181.0735,6.14,60-18-4
VPAnC77,4-Hydroxyphenyllactic Acid,C9 H10 O4,182.0564,1.48,6482-98-0
VPAnC78,D-Galactitol,C6 H14 O6,182.0785,3.75,608-66-2
VPAnC79,4-Pyridoxic Acid,C8 H9 N O4,183.0558,1.5,82-82-6
VPAnC80,3-Phosphoglyceric Acid,C3 H7 O7 P,185.9921,10.15,80731-10-8
VPAnC81,N-Acetylglutamic Acid,C7 H11 N O5,189.063,7.64,1188-37-0
VPAnC82,Isocitric Acid,C6 H8 O7,192.0265,8.34,320-77-4
VPAnC83,Citric Acid,C6 H8 O7,192.0276,8.63,77-92-9
VPAnC84,11-Dodecenoic acid,C12 H22 O2,198.1608,1.14,65423-25-8
VPAnC85,Lauric Acid,C12 H24 O2,200.1771,1.15,143-07-7
VPAnC86,Tryptophan,C11 H12 N2 O2,204.0897,5.82,73-22-3
VPAnC87,Homocitric Acid,C7 H10 O7,206.0419,8.42,3562-74-1
VPAnC88,N-Acetylphenylalanine,C11 H13 N O3,207.0875,1.88,2018-61-3
VPAnC89,Kynurenine,C10 H12 N2 O3,208.0864,5.8,2922-83-0
VPAnC90,Phosphocreatine,C4 H10 N3 O5 P,211.0354,11.06,67-07-2
VPAnC91,Tridecanoic acid,C13 H26 O2,214.1924,1.15,638-53-9
VPAnC92,Glycerylphosphorylethanolamine,C5 H14 N O6 P,215.0547,9.89,1190-00-7
VPAnC93,Pantothenic Acid,C9 H17 N O5,219.1105,4.06,137-08-6
VPAnC94,Cystathionine,C7 H14 N2 O4 S,222.0666,11.21,56-88-2
VPAnC95,Nitrotyrosine,C9 H10 N2 O5,226.0677,4.92,621-44-3
VPAnC96,Myristoleic Acid,C14 H26 O2,226.1895,1.14,544-64-9
VPAnC97,Myristic Acid,C14 H28 O2,228.2087,1.15,544-63-8
