Samples,Mode,Type,Group,VPA,FA,Plate,VPA_FAnC1,VPA_FAnC2,VPA_FAnC3,VPA_FAnC4,VPA_FAnC5,VPA_FAnC6,VPA_FAnC7,VPA_FAnC8,VPA_FAnC9,VPA_FAnC10,VPA_FAnC11,VPA_FAnC12,VPA_FAnC13,VPA_FAnC14,VPA_FAnC15,VPA_FAnC16,VPA_FAnC17,VPA_FAnC18,VPA_FAnC19,VPA_FAnC20,VPA_FAnC21,VPA_FAnC22,VPA_FAnC23,VPA_FAnC24,VPA_FAnC25,VPA_FAnC26,VPA_FAnC27,VPA_FAnC28,VPA_FAnC29,VPA_FAnC30,VPA_FAnC31,VPA_FAnC32,VPA_FAnC33,VPA_FAnC34,VPA_FAnC35,VPA_FAnC36,VPA_FAnC37,VPA_FAnC38,VPA_FAnC39,VPA_FAnC40,VPA_FAnC41,VPA_FAnC42,VPA_FAnC43,VPA_FAnC44,VPA_FAnC45,VPA_FAnC46,VPA_FAnC47,VPA_FAnC48,VPA_FAnC49,VPA_FAnC50,VPA_FAnC51,VPA_FAnC52,VPA_FAnC53,VPA_FAnC54,VPA_FAnC55,VPA_FAnC56,VPA_FAnC57,VPA_FAnC58,VPA_FAnC59,VPA_FAnC60,VPA_FAnC61,VPA_FAnC62,VPA_FAnC63,VPA_FAnC64,VPA_FAnC65,VPA_FAnC66,VPA_FAnC67,VPA_FAnC68,VPA_FAnC69,VPA_FAnC70,VPA_FAnC71,VPA_FAnC72,VPA_FAnC73,VPA_FAnC74,VPA_FAnC75,VPA_FAnC76,VPA_FAnC77,VPA_FAnC78,VPA_FAnC79,VPA_FAnC80,VPA_FAnC81,VPA_FAnC82,VPA_FAnC83,VPA_FAnC84,VPA_FAnC85,VPA_FAnC86,VPA_FAnC87,VPA_FAnC88,VPA_FAnC89,VPA_FAnC90,VPA_FAnC91,VPA_FAnC92,VPA_FAnC93,VPA_FAnC94,VPA_FAnC95,VPA_FAnC96,VPA_FAnC97,VPA_FAnC98,VPA_FAnC99,VPA_FAnC100,VPA_FAnC101,VPA_FAnC102,VPA_FAnC103,VPA_FAnC104,VPA_FAnC105,VPA_FAnC106,VPA_FAnC107,VPA_FAnC108,VPA_FAnC109,VPA_FAnC110,VPA_FAnC111,VPA_FAnC112,VPA_FAnC113,VPA_FAnC114,VPA_FAnC115,VPA_FAnC116,VPA_FAnC117,VPA_FAnC118,VPA_FAnC119,VPA_FAnC120,VPA_FAnC121,VPA_FAnC122,VPA_FAnC123,VPA_FAnC124,VPA_FAnC125,VPA_FAnC126,VPA_FAnC127,VPA_FAnC128,VPA_FAnC129,VPA_FAnC130,VPA_FAnC131,VPA_FAnC132,VPA_FAnC133,VPA_FAnC134,VPA_FAnC135,VPA_FAnC136,VPA_FAnC137,VPA_FAnC138,VPA_FAnC139,VPA_FAnC140,VPA_FAnC141,VPA_FAnC142,VPA_FAnC143,VPA_FAnC144,VPA_FAnC145,VPA_FAnC146,VPA_FAnC147,VPA_FAnC148,VPA_FAnC149,VPA_FAnC150,VPA_FAnC151,VPA_FAnC152,VPA_FAnC153,VPA_FAnC154,VPA_FAnC155,VPA_FAnC156,VPA_FAnC157,VPA_FAnC158,VPA_FAnC159,VPA_FAnC160,VPA_FAnC161,VPA_FAnC162,VPA_FAnC163,VPA_FAnC164,VPA_FAnC165,VPA_FAnC166,VPA_FAnC167,VPA_FAnC168,VPA_FAnC169,VPA_FAnC170,VPA_FAnC171,VPA_FAnC172,VPA_FAnC173,VPA_FAnC174,VPA_FAnC175,VPA_FAnC176,VPA_FAnC177,VPA_FAnC178
QC1,neg,cells,QC,QC,QC,QC,130915.9228,1179896.219,6218.10519,205698.5882,102416.4136,3299007.478,945756.0756,29731576.28,92377.49189,55320.81807,1372230.899,15072.02449,73734.69278,881247.6513,870335.0846,145736.6712,294850.4772,1916082.136,264992.8886,217511.8898,1449254.655,28594.94428,153559.6627,676033.4272,84802.55448,329244.35,1351606.506,33463.14439,23651.22932,7000790.586,7817.711799,11665027.41,288359.7754,228459.334,72170.31006,789594.1718,991783.8669,1111254.12,69818.22309,52130.00281,21701.61987,14647.63729,1204783.552,8088838.104,43149.36514,1615262.955,45828.12414,6165.801711,2318.526434,18632.80409,728400.08,2277298.879,43771.545,185825.7222,11326475.46,59428.67079,90522.24895,70429.29736,4226.757474,403200.8516,38310.50685,30684.65101,1295.678461,21330.54521,130279.0542,416485.4435,16594.15305,4867.269403,199.3724419,41199.20819,1170175.321,,29991.34459,64531.45735,12056.63582,132870.8839,134868.9305,20430.75325,2082219.456,16309.02942,136179.1536,114338.7531,171058.3863,1016055.488,36888.21072,1758983.346,,70130.30547,11719900.45,77656.59556,37944.5221,4488.450874,14694.65309,50866.25754,202791.4016,4940.496067,1424.421513,8751.51892,64656.95201,1989433.826,46279.39443,11358.17185,2959.525467,192148.6593,31989.00351,6466.514871,68900.42091,16809.59918,106561.1865,31094.45677,1349405.54,999063.26,99517.74447,58431.51649,1639.081977,1785207.174,8200.662957,19728.01207,13975.95741,2410410.482,99995.58586,300276.6912,184166.1152,1350385.416,127674.7441,191073.0841,8852.682427,106049.2647,110444.7179,62834.47493,2231714.17,441233.5826,7146.455223,21842.34191,165431.0121,91057.12233,58969.80308,307938.1742,101465.7573,8323.095289,105030.4105,7473.007491,13964.72501,7658.535366,10715.86844,32998.71629,14544.97774,53912.1926,256833.8948,14461.35079,23463.04091,1164.433857,26549.16694,13860.60301,101002.817,1500.926343,10885.56663,52656.27674,569.0546411,270321.8639,13853.5515,4052.544107,218297.943,729306.843,269748.6535,362995.5644,5883.728723,24539.63439,7953616.255,9415724.714,32215.26174,222594.8787,213398.4892,608.6772527,1575.360847,2729.6538,4393.974404,873.7032747
QC2,neg,cells,QC,QC,QC,QC,31584.66586,1285208.865,5234.853454,137934.6788,9621.695055,2546681.348,853429.9223,5521330.82,63424.36379,35269.66396,1360355.737,13029.50667,56067.27404,1273759.526,723772.587,117347.417,293463.9817,702434.405,122195.7573,288945.9227,1079303.773,26814.64629,122817.721,611240.4713,102822.6989,180547.9924,1883567.84,55846.60489,134672.6574,7000026.624,10258.73894,8774446.796,75998.39786,274482.1534,49459.77088,702872.629,807245.2502,827190.913,65813.13424,42555.28101,15611.98149,13584.96577,2262553.567,5938059.533,42748.44579,1602503.901,66884.94183,10789.03992,3091.561615,35152.74578,512931.9437,3375999.409,45691.40643,113323.5022,10862140.41,38625.86732,97583.95789,59847.32262,3740.632258,121391.2038,37303.2272,90068.92291,1993.144616,20173.32112,165413.054,360523.8659,22049.14175,5387.249409,1012.792712,56906.30166,1113511.154,11736.04435,30316.8248,35568.2109,9307.890563,123824.4079,113748.5168,20206.95019,2528630.337,18191.50358,23475.03181,107534.7911,93290.24829,1023295.886,30232.58469,1479083.056,11039.64398,67934.57873,11619408.8,37185.64932,23050.16566,8870.682436,20202.10458,7127.82939,200498.1504,14217.69289,22174.79427,12640.75836,24364.61176,1793465.416,39284.28003,12778.11861,4050.46134,154024.2528,28100.57802,12280.04125,65130.5868,24159.18601,75986.4512,19751.84351,1359302.661,603960.695,18278.1333,57950.99362,2249.396831,924568.2985,8405.217338,23373.42706,7555.283662,1427659.719,29585.66997,182543.8815,102014.7068,1156556.747,67514.54363,190013.608,7456.083521,115443.4833,104749.7549,41594.72839,3642709.463,360311.7189,8154.262932,20077.66462,81776.47348,86738.14319,44681.84328,305511.1242,63962.00921,4675.89363,83951.38473,13694.85852,47541.05751,8306.045848,11874.76582,20014.90241,18238.91776,52995.91981,269943.4364,7876.059771,23440.49312,1423.055543,52380.52187,5333.752435,76005.84424,4366.783982,16931.17183,67149.84994,1001.15454,350199.5716,16946.91296,2255.901789,240568.9406,739642.2124,216767.2623,124113.8994,2528.953677,11087.51668,7685792.871,9983493.548,8117.51879,254455.7599,29891.62419,967.4150171,2616.7675,11825.51277,4542.809961,2438.792601
QC3,neg,cells,QC,QC,QC,QC,33451.29619,1291948.224,4896.255187,155239.5487,16377.62571,2543016.52,868737.8217,5943771.712,65890.09587,37531.08264,1373375.529,12307.60811,59724.74595,1277024.145,771509.1014,119343.867,295955.8772,715256.9696,123003.4478,298549.2426,1083138.715,25316.84389,121428.4931,610719.4257,107913.6954,188136.2309,1874703.495,52001.76298,135242.943,7030236.932,9901.012405,8805744.766,80507.80021,273627.0126,52244.09897,703718.7273,816093.7354,850722.1219,64466.68962,45252.1639,14682.49099,13415.75434,2268275.666,6000939.121,43217.14307,1642222.358,65071.5667,9611.530853,2895.030854,34625.7506,506748.0137,3414592.034,48106.02303,116430.2473,10955373.87,38146.32689,101765.4732,60458.52673,3839.236977,123247.1657,39929.35465,94574.25191,2203.974164,20192.05531,162946.8071,357284.1131,22400.19632,4535.53596,1100.642468,61418.84483,1128833.543,11449.56745,33074.47835,34300.92978,9768.968713,136959.1057,120219.7132,20702.44788,2508551.109,17390.75813,24358.9679,96579.61959,93695.55172,1037081.831,30125.82811,1503953.552,11774.15422,67631.89885,11770238.03,37284.56959,25521.58239,8600.504735,21018.01998,7990.240702,201514.4016,14133.34176,21673.53016,12709.86715,23948.14069,1797575.182,36596.74454,12493.94968,4774.084444,157298.4245,28838.2217,11899.82013,63345.69148,25468.98407,76824.35644,19899.23464,1368480.15,599598.5306,17480.58326,61791.3395,2723.214988,949102.868,7900.993664,21101.88203,9712.600654,1445152.303,29891.01307,182176.7789,108185.7402,1189097.583,67351.07166,203044.8333,8202.243249,112732.2499,105278.4785,37828.25906,3687706.145,343684.3359,8119.713616,14140.07849,83875.0133,88730.69833,43052.51875,310922.4726,62852.70433,4640.005508,90461.80035,14482.59896,49192.29462,8248.643153,12315.52349,21391.74514,19427.19264,54695.36428,270383.2244,7595.852616,23627.18332,1377.315395,53539.24383,5196.979573,76310.00541,4533.653888,18586.37202,68980.69152,992.4896326,363250.1605,18834.59936,2312.549523,247869.7639,782218.5115,233223.6831,143008.0522,2378.979784,10999.17058,7760909.801,10162861.5,8021.590039,252750.9028,32521.44264,868.5816808,3027.125924,12159.50023,5336.058988,2398.429157
QC4,neg,cells,QC,QC,QC,QC,34920.52701,1301664.268,5442.001343,144879.025,13008.26516,2607460.095,881399.7925,6481360.104,64697.26921,35730.94717,1387901.45,11912.13194,61675.65485,1283981.484,823769.9722,117214.494,307112.1638,726637.5439,126590.499,296443.3916,1108490.946,27662.73409,103263.1373,623800.4898,108968.1898,200362.6135,1915195.234,50853.66956,133090.2852,7167194.956,10334.50187,9015454.876,94484.03982,280200.4434,53021.1532,719848.6549,780108.853,860586.4937,62178.01301,44917.3788,15977.81126,13478.86285,2301433.581,6177319.027,48173.49607,1703326.08,69075.29894,10519.85075,4178.685416,35420.03926,524599.1469,3426264.488,50854.46474,118823.0117,11048918.69,39707.34885,101310.7792,61536.5417,4353.033679,125708.1771,39650.66277,92434.96746,1967.455679,21046.75835,167291.2536,369746.8459,22671.30829,5044.05048,1380.545338,63010.52104,1161655.136,12022.51368,34207.9067,36008.33743,9358.539311,129395.4875,118438.1928,21559.88424,2563674.639,18503.40128,26299.00604,101273.6442,101579.5152,1057631.704,30226.12271,1543830.933,11567.57147,68797.56173,11978217.66,39008.01334,25189.39957,9081.352399,20674.66964,9156.503081,207269.8164,15949.28016,22754.76373,12913.19358,25962.43398,1858522.16,34511.65359,13786.00421,5080.125085,160669.296,30929.31668,11532.64085,64496.69892,27436.79561,77542.30783,20761.08038,1427664.606,621575.3096,18679.34413,66419.08601,2653.069649,977032.2117,8534.309162,24688.8086,10875.38704,1464292.649,32270.50922,194162.6812,113790.7979,1298159.801,70293.18411,205148.8133,8460.940704,117891.572,113123.2605,43723.69901,3776354.197,358549.3888,8786.531965,16598.79526,84096.98159,93198.20978,46872.90084,313666.4904,65804.50389,4399.18275,94939.41476,15593.87119,49886.53422,8619.006266,12464.6284,20668.97213,20289.77953,53445.68947,281735.8173,7616.408302,24630.05526,1604.619609,55038.73695,5374.980938,78671.5074,5070.431125,18568.66477,69943.84525,1245.209504,374033.9343,19367.3365,2766.079934,249382.3309,787996.5101,255498.7675,140892.7668,2662.889137,11829.00095,7920855.03,10128989.48,8572.767955,252686.6095,32686.30535,921.3105893,3170.03547,11177.79737,4990.461701,2610.161707
QC5,neg,cells,QC,QC,QC,QC,36551.86918,1320369.911,4554.006082,163425.204,10328.44398,2634478.357,897942.4413,6833476.903,62285.34203,37339.25794,1410543.953,13439.64363,62582.41518,1312308.319,831925.6506,118084.6183,298680.0697,732065.5507,127110.9097,293273.6107,1120511.139,26010.32295,122023.0585,625121.725,105759.8986,205725.9102,1917151.017,47628.92432,132027.7885,6909415.061,10227.37353,8820145.723,98805.91791,281904.5617,52400.66694,728487.8228,829466.4062,894891.8913,59073.63103,45065.68194,16062.53489,11909.10302,2324417.335,6101847.183,44967.15537,1671963.512,67600.73706,10226.3077,2878.038951,33668.60316,542329.0926,3454435.964,52169.84369,115119.9992,12192964.88,38208.89364,102882.1266,61404.2288,2862.038416,122681.4491,38846.83431,90084.48129,2303.223814,20151.52294,162832.9303,358793.8806,20744.86548,4672.362562,1766.287825,62528.01568,1161707.729,11695.65167,34394.39784,34416.57163,9082.706977,130712.5873,121867.7385,20843.60927,2591537.794,16162.42833,25607.98785,95236.9593,93933.72733,1061880.045,31137.85554,1546953.161,11551.33694,69605.38213,12101836.23,36961.32517,23457.24144,8887.054576,19483.5238,10271.69637,207530.7286,14609.13467,22458.89769,11875.54661,23907.12801,1866061.58,35405.01797,12794.6143,4215.129432,160798.1585,28511.50589,12307.59702,62935.70296,24822.78093,77336.18342,21408.35641,1437887.788,618154.5993,18386.49597,67918.78963,2789.806551,944070.8144,8335.109182,23690.80604,9664.529134,1455952.749,31168.63771,195097.1076,111354.397,1295825.659,69619.705,201207.2255,7965.01598,115359.4743,112212.3171,41283.82308,3818590.075,359039.9934,7941.027888,21226.34844,87637.69238,91918.39096,47154.22741,311870.6851,64800.42699,4144.990241,94769.96867,14846.08759,48419.85599,8464.237195,11898.45874,21394.12738,19965.25329,55422.77662,282566.9214,7595.498588,25485.87335,1755.350154,54832.8804,5224.833003,77655.96572,4415.004148,18478.69032,68318.77613,977.1022348,369924.7318,19818.96751,2598.585691,245372.7031,780577.3649,217150.6097,137728.7134,2453.719434,11163.59703,8046303.504,9826262.264,9239.54052,245795.2733,33167.95478,1145.505,2694.287608,11067.20114,4704.306263,2878.836733
QC6,neg,cells,QC,QC,QC,QC,37478.2836,1321787.456,5104.55444,160573.3867,11555.18667,2649495.812,908207.217,6945944.534,65786.01285,38116.82002,1405607.688,13079.70535,61863.72593,1317752.841,848862.3193,117351.8976,297943.9396,734782.0157,131174.228,301228.1147,1146279.122,26690.0002,122389.1169,634167.5687,106801.9585,187244.9306,1927069.295,49360.06214,133384.1385,7035080.425,10962.3728,8904406.681,100365.7204,268249.564,59379.3162,740229.9625,888661.6131,873901.5559,61462.31877,44096.29119,16919.81626,6110.409553,2334565.583,6187122.027,45721.548,1686911.023,69950.49315,9927.941131,4045.515448,34666.79341,543830.745,3473726.53,53253.33737,119581.9282,11867636.35,37554.63113,103744.4493,63138.84601,3427.999457,120386.6497,38791.11272,92300.5653,2635.915221,20793.61401,177661.87,351209.1516,21976.22128,4864.718201,1749.740615,59983.90919,1165390.284,12641.57309,36409.298,35565.214,9414.253332,133120.1773,123641.6307,21109.19585,2598761.394,18717.54979,25323.64555,108601.0098,94077.85238,1059755.208,31927.66268,1551247.88,12392.42499,66786.48872,12296153.45,37513.31834,24437.76195,9125.399562,21899.20808,10420.66245,207781.3884,14713.87892,21982.22377,12974.44882,24291.99159,1925541.635,31578.77996,13590.42375,4691.617985,163983.6644,28292.05608,13407.02012,64432.44955,25765.56523,76512.66342,22441.61533,1453437.746,637324.4807,18810.17705,70832.34699,3121.14359,942747.4521,8873.07864,22370.62373,9871.168467,1479246.792,33359.66744,197692.204,114562.0427,1339349.701,67599.19191,200456.3973,7505.460781,118907.9731,116490.9114,43409.26241,3832687.568,359135.832,8947.203245,21559.69099,90439.70915,96780.09911,48240.02976,315201.832,67277.05633,4887.98998,97922.75657,15273.20054,48330.27973,8687.059671,12447.22674,20758.58778,20073.08627,57700.6338,284396.3252,7419.508197,25788.81901,1384.648969,58378.16758,5521.56326,79167.32362,4765.5868,18825.97137,70783.5708,703.7297915,373037.798,19762.30232,2743.783523,246344.3599,774262.36,256981.7796,142742.0471,2613.648424,11273.4212,7731008.259,9556432.308,9044.455642,250877.3278,33611.23008,1185.515314,2816.675616,11448.82937,5293.320837,2462.540346
QC7,neg,cells,QC,QC,QC,QC,34302.74864,1288728.626,3995.915427,141045.5044,11612.76129,2623458.17,904834.8958,7578072.351,70172.47609,36991.808,1418979.481,12447.88363,66686.13054,1290473.744,880822.7732,113289.8837,282886.6404,700530.7357,130855.0514,291903.599,1128805.326,25498.35572,120949.4177,623765.4043,108075.6227,204584.0174,1852474.619,50117.01696,112203.5887,6873421.967,10119.87416,8905334.726,100816.9777,281504.671,54557.99454,726386.3628,873109.3498,865116.9114,56698.2534,45404.75243,18113.48271,13646.8299,2263204.479,6165419.044,50639.60019,1667454.471,71439.10581,9654.153267,4650.965686,34373.29512,546280.7474,3428257.446,59443.36747,127889.755,11340003.5,41113.95883,101561.9726,64483.37061,3233.740161,116142.5637,38458.62225,86583.54046,1919.420091,20438.56166,168507.6262,332607.5241,21013.18215,5165.972208,2763.302947,66110.12963,1123834.375,12115.55708,35505.63833,34426.83731,9045.903107,135843.2906,123384.8358,22643.42992,2600239.04,17466.58247,27577.80299,97394.44237,86118.26943,1004802,30339.21943,1444005.973,11618.31444,66997.89114,12227714.33,38447.49954,23669.57203,9185.160175,21966.44631,14960.22318,199506.9487,16250.38585,21787.77429,12356.55308,26232.46162,1972112.347,31357.04696,12709.22299,5498.787452,161217.8069,30291.46482,10404.42359,60041.19083,26087.31959,72609.40237,20966.86222,1418216.56,643716.8654,17820.01236,73758.72853,3458.823518,916047.3076,8856.707418,21906.45867,13197.14718,1415207.834,35645.65232,202128.1802,108257.1662,1346660.644,64593.303,192158.0034,8463.553661,109813.5189,114591.1274,40673.10697,3799929.217,363762.4159,9318.531094,23063.02847,85261.48493,95161.19509,49641.03552,295361.9269,63063.7375,4794.808488,100418.0126,16688.04251,47541.05668,8295.775751,12273.92869,18237.79115,21105.08388,51912.06204,280039.1223,7000.053052,25401.19162,1446.05306,59520.22672,4875.351806,75307.78934,3303.079106,18732.3659,66120.34937,1450.331349,372289.9857,21026.07853,2534.856461,235729.2307,698964.6903,209876.9905,118497.4312,2546.506323,10305.30006,7227129.461,9609860.867,10595.88371,231537.4823,29816.40123,1066.726642,3249.81413,8006.928655,4464.301884,2369.092622
QC8,neg,cells,QC,QC,QC,QC,38261.93057,1274197.643,5010.588286,148700.5666,12326.26736,2607851.949,911637.0284,7607099.854,74132.09534,38086.54772,1411468.787,13042.31028,64447.40981,1271544.649,882451.3632,112551.2741,279226.6579,705827.4646,132128.5376,286064.2363,1118886.687,27195.68861,116296.2659,619362.33,106379.0005,206004.433,1834574.72,52019.89538,102299.4832,6807427.749,9645.839718,8741090.842,93543.61761,264062.1739,56178.12909,723121.4651,896834.3409,858565.2939,54554.48374,43653.37033,17521.92694,13673.44128,2272418.027,6174428.212,49810.94538,1634471.97,73197.44602,10391.46065,4097.348798,34641.55838,534197.9185,3343150.326,59245.77642,123233.7534,11328228.86,38075.08315,101691.7118,60645.20582,4559.660842,115261.133,38118.10263,85081.8903,2222.084454,20467.57762,148609.3103,323014.6051,20642.92422,5083.569656,2950.141503,61717.43478,1130757.138,12156.7263,36848.29711,33358.04854,8658.966071,134950.222,125749.5989,21282.8358,2558291.026,17704.06764,27448.91208,95537.98086,84613.45016,1005961.042,31091.81914,1448777.921,11314.9899,65250.63249,12145652.01,37656.18641,24020.30237,8677.631091,20758.54563,19909.78972,218627.5507,14431.94881,21066.58415,13022.79865,24404.67212,1948317.192,28710.75611,13256.36193,5545.294002,159646.9747,31218.08903,13091.43005,58961.51974,28150.04335,71957.1943,21033.7471,1433272.621,608147.771,17414.56863,74070.96087,2963.294114,910345.8655,9458.641165,23406.72982,16601.05847,1423987.951,36203.63051,199662.4388,109834.7674,1363808.509,64371.671,185968.4661,7536.132497,106803.3577,114620.7127,44419.04593,3717760.459,344021.0013,10092.37377,22904.46098,86379.00041,96347.7675,48235.23456,297274.5067,60003.66956,4215.708766,100821.1072,16146.62737,48137.32846,7843.822998,13807.8286,17540.07012,20626.19148,51554.05552,276343.4026,7164.693972,24679.09389,1713.139752,61024.66396,4764.539334,75413.71394,4377.303227,18747.10596,65848.29641,1282.787049,370711.8656,20822.75816,2515.477423,237705.9948,744143.7765,215340.3907,134598.6111,2608.105425,9878.30609,7226300.003,9930838.851,11415.71481,230690.5616,31727.88576,994.3813952,2931.378606,7384.261637,5040.424166,2250.845507
QC9,neg,cells,QC,QC,QC,QC,37890.89477,1285143.977,4253.150283,131240.3507,12167.84196,2647269.988,939390.1087,7790195.895,73186.89941,37609.32055,1433254.527,13607.05718,66304.86778,1275536.335,886817.8397,111684.4208,276123.978,713178.7211,140423.4949,288310.6226,1134431.375,26366.97905,119532.9266,619510.8704,109137.1114,211442.6172,1846529.835,54888.22241,95416.12773,6800654.298,10172.53102,8627222.742,96316.02647,265148.4188,55190.89466,739753.5515,890071.1829,864706.5369,56807.20024,45775.42897,17761.85127,14121.18089,2261367.288,6193090.293,53489.6459,1659566.025,69850.81877,10119.48819,5512.33027,34692.45246,532232.9885,3353637.206,63375.19622,112551.4506,11504066.6,37961.25889,101097.8409,61996.35869,3517.318683,113863.1609,40702.92206,81429.16954,1948.416324,20566.36052,153031.9916,313865.8456,20648.57304,5585.555674,2882.988512,67405.77883,1118061.809,11997.46876,36328.82356,34611.10362,8692.47357,129551.6115,127007.2375,22385.93862,2554030.944,18045.59679,26337.56157,96462.52507,83072.61425,1017586.541,30032.63273,1456538.592,11683.70734,71172.17017,12261551.64,37638.46215,23522.28341,9090.541435,21595.67986,24681.57944,201188.8904,14183.88477,20064.04565,13415.76676,24705.87605,1925392.835,32784.2547,12983.52781,5536.677528,161358.0712,29813.41238,12502.60232,59505.20331,27242.44235,70382.74596,21166.43455,1441955.221,611223.0625,17931.34658,74089.10339,3698.916283,899340.5565,9243.271535,23615.26776,18320.8285,1402622.869,36557.83231,196508.7383,104947.1312,1384388.925,63789.59854,176040.3835,9517.363211,104243.9967,115091.1513,42292.47458,3660172.177,340736.3411,9743.58329,23378.09208,88222.12077,94992.08022,46939.37741,296044.6278,61849.41598,3941.076725,98365.06311,16976.19182,47188.07956,8080.368898,13543.93407,17592.12838,20883.64901,50773.5568,279534.1484,7291.020384,25264.76676,1685.939035,62282.70641,5081.201218,75020.45941,3831.414978,18086.41361,66229.52086,1063.138301,377666.6536,20054.7669,3011.886806,236572.6686,717056.5833,252100.6703,132998.2559,2326.63183,10455.63731,7123798.635,9927331.698,13720.31067,229180.2407,31361.91744,1089.205369,2961.656067,7650.370451,4721.436983,2431.557667
QC10,neg,cells,QC,QC,QC,QC,37252.67741,1281940.537,4659.903577,119435.2945,11920.8106,2637751.793,925776.0548,7932069.304,75779.6825,37005.54333,1425740.405,13292.76341,66367.2179,1252149.688,879530.7341,115959.6065,275185.0583,700714.0337,142479.3849,272095.5166,1132672.036,26296.02488,98532.96249,614156.5008,111300.7469,209875.1154,1820704.187,54282.10606,85904.63024,6779876.081,10444.94813,8693114.449,109980.1628,266469.0982,51119.9584,730070.2273,899619.7564,836219.4947,55114.52121,45103.47108,17574.05643,14330.23051,2243430.661,6137711.124,56789.26887,1620889.476,69333.95272,9663.28884,5756.126698,34357.96191,523341.3138,3315631.733,64571.12612,113823.0859,11434284.85,40774.7692,97977.55696,62843.24718,3389.042563,111872.7973,37649.24765,78366.21338,2159.22422,19772.21816,149624.6347,307303.1312,20954.69746,5337.337421,2942.519078,69295.83045,1119985.163,12157.25845,36342.07215,34611.26027,8052.843848,126373.8084,120549.9189,23513.08432,2544717.495,18069.66045,27059.27056,95304.75582,83686.1744,1021781.559,30575.82905,1440529.625,11095.70395,63722.57826,12163366.33,35985.03438,23506.72636,9680.088676,21956.45057,27259.41183,196221.4354,15111.64897,19708.15201,8707.878958,25841.70163,1913546.5,26890.28261,13126.94894,5192.682012,155338.7221,29877.50866,13165.7685,58376.81754,27640.94535,69238.64928,21516.98267,1452101.007,612903.6534,17171.43913,75337.05127,3495.129039,896507.8813,9381.700377,24411.81736,20167.27502,1400541.719,38224.38776,201834.629,107706.8639,1412315.618,62523.45253,174597.5623,8381.888746,103025.3898,117273.9981,43298.48195,3552929.835,338122.1727,8908.798771,24363.52938,87210.65786,91991.93775,49235.32497,293245.4828,59964.81591,4040.615188,100193.8807,17723.89576,47643.73699,8618.608496,14429.51932,16171.44646,20716.02221,48816.21566,273210.5402,6965.953715,25596.60896,1600.649663,63956.19025,5250.944011,76431.85177,3743.020485,19233.6728,63611.75018,1055.967843,369602.6189,20808.88845,3286.196463,233196.2971,736750.9001,190451.821,134919.2265,2382.389878,9551.605155,7528286.239,9547638.432,15013.50024,222131.8268,31140.6747,649.9468262,3237.946466,7195.361698,4321.116271,1844.121201
