Samples,Mode,Type,Group,VPA,FA,Plate,VPA_FApC1,VPA_FApC2,VPA_FApC3,VPA_FApC4,VPA_FApC5,VPA_FApC6,VPA_FApC7,VPA_FApC8,VPA_FApC9,VPA_FApC10,VPA_FApC11,VPA_FApC12,VPA_FApC13,VPA_FApC14,VPA_FApC15,VPA_FApC16,VPA_FApC17,VPA_FApC18,VPA_FApC19,VPA_FApC20,VPA_FApC21,VPA_FApC22,VPA_FApC23,VPA_FApC24,VPA_FApC25,VPA_FApC26,VPA_FApC27,VPA_FApC28,VPA_FApC29,VPA_FApC30,VPA_FApC31,VPA_FApC32,VPA_FApC33,VPA_FApC34,VPA_FApC35,VPA_FApC36,VPA_FApC37,VPA_FApC38,VPA_FApC39,VPA_FApC40,VPA_FApC41,VPA_FApC42,VPA_FApC43,VPA_FApC44,VPA_FApC45,VPA_FApC46,VPA_FApC47,VPA_FApC48,VPA_FApC49,VPA_FApC50,VPA_FApC51,VPA_FApC52,VPA_FApC53,VPA_FApC54,VPA_FApC55,VPA_FApC56,VPA_FApC57,VPA_FApC58,VPA_FApC59,VPA_FApC60,VPA_FApC61,VPA_FApC62,VPA_FApC63,VPA_FApC64,VPA_FApC65,VPA_FApC66,VPA_FApC67,VPA_FApC68,VPA_FApC69,VPA_FApC70,VPA_FApC71,VPA_FApC72,VPA_FApC73,VPA_FApC74,VPA_FApC75,VPA_FApC76,VPA_FApC77,VPA_FApC78,VPA_FApC79,VPA_FApC80,VPA_FApC81,VPA_FApC82,VPA_FApC83,VPA_FApC84,VPA_FApC85,VPA_FApC86,VPA_FApC87,VPA_FApC88,VPA_FApC89,VPA_FApC90,VPA_FApC91,VPA_FApC92,VPA_FApC93,VPA_FApC94,VPA_FApC95,VPA_FApC96,VPA_FApC97,VPA_FApC98,VPA_FApC99,VPA_FApC100,VPA_FApC101,VPA_FApC102,VPA_FApC103,VPA_FApC104,VPA_FApC105,VPA_FApC106,VPA_FApC107,VPA_FApC108,VPA_FApC109,VPA_FApC110,VPA_FApC111,VPA_FApC112,VPA_FApC113,VPA_FApC114,VPA_FApC115,VPA_FApC116,VPA_FApC117,VPA_FApC118,VPA_FApC119,VPA_FApC120,VPA_FApC121,VPA_FApC122,VPA_FApC123,VPA_FApC124,VPA_FApC125,VPA_FApC126,VPA_FApC127,VPA_FApC128,VPA_FApC129,VPA_FApC130,VPA_FApC131,VPA_FApC132,VPA_FApC133,VPA_FApC134,VPA_FApC135,VPA_FApC136,VPA_FApC137,VPA_FApC138,VPA_FApC139,VPA_FApC140,VPA_FApC141,VPA_FApC142,VPA_FApC143,VPA_FApC144,VPA_FApC145,VPA_FApC146,VPA_FApC147,VPA_FApC148,VPA_FApC149,VPA_FApC150,VPA_FApC151,VPA_FApC152,VPA_FApC153,VPA_FApC154,VPA_FApC155,VPA_FApC156,VPA_FApC157,VPA_FApC158,VPA_FApC159,VPA_FApC160,VPA_FApC161,VPA_FApC162,VPA_FApC163,VPA_FApC164,VPA_FApC165,VPA_FApC166,VPA_FApC167,VPA_FApC168
QC1,pos,cells,QC,QC,QC,QC,5783.247935,1416652.685,4229485.136,547707.5747,40623.48029,28218.22268,101897.8523,261808.6042,265533.8528,22286221.03,1233246.518,210493.3657,101565.1997,135031.238,855165.0095,2461896.389,46366.42522,1634212.721,611735.1167,22879.21699,3658245.862,117247.4877,76208.62416,5150350.897,37457.59929,6799.308463,590353.5517,877471.5006,13273834.32,2656564.214,2255387.707,9661.153843,190406.1717,420200.4809,735356.0815,1949847.696,3806.017531,30450.45415,39176.2332,222922.9102,119862.3984,28257.81949,12752469.59,51424.43349,7327169.268,349974.4049,401634.0365,75719.2862,21535.24219,27344.10316,70422.76586,8651.000521,182415.0085,1249939.632,47035.66227,4563671.411,271479.6681,28425.13627,269562.8234,43028.4346,1597.672097,5606.102709,75.242625,104218.8309,22759.45575,89261.81771,2815445.345,489715.3913,8566361.466,645.0604049,123637.9002,18578.79565,8510.43764,18809.19067,37031.59961,752906.6691,1570270.26,36608.65375,60582.2935,,56721.36617,24413.07037,1232729.065,103619.996,25472.09849,1534.800777,6796.030564,66460.23621,507087.2212,4146.852082,88334.83199,301166.7738,173176.6927,33429.98693,58190.46895,144615.4454,880962.9762,238683.2736,10059.55191,4862.29771,25219.9348,433879.2569,1760362.337,149278.1291,99610.11522,38901.50233,65840.57107,602294.4674,9709.060659,7149.59654,9191.833851,888986.0998,28063.79605,3537604.667,28952.74856,12329.20034,5103.436019,21747.2987,8644.409244,26060.67325,102433.1379,27836.90416,5667.231574,16397.81061,7283.446137,79255.77788,121358.8504,18201.53289,12442.47234,20056.51794,4914.193657,144213.5436,892.4778621,12328.59812,4445.669208,134975.6474,627.208252,31727.02087,27107.75151,6468.130675,2257.669682,85703.87494,952573.0648,443765.9292,90085.19025,1276314.244,36580.74763,1930565.167,161120.6422,58106.43312,2623.975126,1201.940664,1431.221157,13654.94735,729540.1034,667983.4696,33821.5949,530809.0712,56187.55163,12780.95399,116436.0977,7371.298404,2941516.277,3314.370972,426127.4855,2145623.918,6617049.312,5142.726008
QC2,pos,cells,QC,QC,QC,QC,4855.912645,1336334.609,4006312.489,523926.2294,40495.81339,28280.79167,80854.84426,247427.5716,249254.8971,22310721.47,1154476.069,196992.05,94003.73212,117279.852,821657.4303,2336415.603,43651.41818,1571214.655,590061.5468,18915.85925,3465842.827,118631.4029,67917.04655,4860484.119,38733.90422,6612.156406,512719.9425,818302.4235,12868011.6,2576957.897,2262419.094,7909.468252,179536.407,385875.2962,712679.3812,1766363.155,4813.957999,24571.70128,38904.62381,215711.8556,113573.0481,24905.06542,12190923.2,52121.99136,6988239.687,331365.5163,377468.8999,70383.80234,17868.63239,28890.40179,65758.95889,6869.699684,158886.3641,1225689.702,40643.85581,4242936.772,261031.923,27255.97113,264297.7994,40227.21074,1765.168004,5055.451167,2117.755654,102731.0556,22841.73567,86079.85327,2672591.554,436166.5286,8407424.708,250.4307124,108239.6296,18001.18797,8944.613203,16968.09012,33040.52944,721902.7672,1515244.527,35296.99181,56530.13239,,54747.27179,19319.4881,1063633.124,89384.4523,24341.7965,6510.509735,6061.289801,69399.54723,482234.3821,5092.588166,80559.38512,299657.0511,147694.8632,35728.6299,55766.10154,139928.6462,841055.9059,199125.5529,8560.520197,4221.409806,24021.73586,422197.1017,1603980.715,150237.8459,93686.4801,34733.2778,62562.39425,534015.6964,10039.85798,6112.734164,9121.438518,867610.8703,25258.73613,3416133.029,24886.54306,11059.11011,4440.59925,20824.88087,8632.966177,24889.26229,98723.31171,27029.79493,5835.257821,13755.31431,7047.052554,75547.51326,120299.696,17860.91958,12405.96017,18312.77884,5637.065242,141412.8115,1006.146099,12895.92147,3419.238487,122747.667,784.4279858,37047.72322,28474.43979,5974.803338,2367.966095,82670.7644,909714.0471,465198.1404,88508.61415,1241003.553,40745.53097,1878320.463,152575.2447,54565.05699,2709.616418,871.536659,1569.23366,12637.48681,655469.6662,633508.3525,32132.62031,502282.3413,50343.24017,13429.50272,111047.4637,7908.698549,2820830.128,3407.394302,406402.6854,2031756.345,6247578.92,4491.317865
QC3,pos,cells,QC,QC,QC,QC,4423.45989,1301395.698,3958770.02,527221.7162,36248.63884,25903.5448,79019.57968,247850.7067,249435.1848,22273397.7,1141626.717,198661.8845,88625.52972,118405.1965,796261.4303,2309911.801,46923.69827,1529278.749,565866.8011,18669.33321,3450953.744,115672.4193,69638.50283,4756515.707,24619.58609,5971.579112,496491.1079,809132.1202,12680385.42,2533918.339,2138802.917,7685.041568,178629.5276,376525.114,712033.7398,1716276.481,4571.737804,26108.96551,36347.83719,212252.079,112986.288,57356.86663,12132904.26,51906.35826,6781500.115,323351.8759,368139.0548,72045.74792,17706.25672,27088.21441,63523.85737,7001.183757,155413.036,1235280.025,38953.13748,4046506.457,255327.696,26582.34678,258447.3416,40220.61563,1591.33968,5064.264562,2096.910893,103206.4177,23273.95562,85284.93134,2647019.256,425201.3147,8151113.343,722.7649965,109457.3216,17097.58912,6871.695644,17290.14592,30615.92012,715749.9488,1474415.388,36131.02462,56410.77592,,54159.0034,19268.44708,1026859.947,85606.27026,24689.52643,6777.472927,5785.092784,66036.5138,471537.8078,5495.332005,78874.13932,295068.9975,145372.3185,36895.25424,52647.56182,136683.7878,799341.3027,196900.8485,8685.135006,4088.113503,24874.64933,408656.2233,1581585.888,142776.0108,93737.26166,31595.55915,59997.20615,520266.7424,9049.928912,5726.46366,6424.530954,873198.5275,23886.98365,3375996.605,25540.94436,11090.28864,4300.83655,21117.53646,9537.119848,24956.59744,95810.16559,19132.68552,5440.420831,14064.31616,6780.869924,74676.62521,119184.6822,17613.06005,11747.43774,18912.74226,4528.994325,140371.3266,1399.990828,11507.998,4634.067525,117681.3705,928.0077507,36365.11329,27799.40587,5338.819397,2367.321956,81306.66413,891877.5793,466323.4855,88671.75383,1235140.294,41386.29745,1864278.272,156941.1579,55836.55104,1802.035915,952.5902689,1268.279667,11110.83038,645363.6184,594784.6394,31637.69683,492328.0185,49522.92324,12593.02593,109110.9936,7128.201463,2748486.007,3447.857637,400865.0943,1984519.523,6132756.444,4695.786173
QC4,pos,cells,QC,QC,QC,QC,5099.376081,1336245.711,3975755.197,535888.6193,37603.7201,25312.80886,81441.35546,243983.0293,246491.347,22436206.45,1146967.135,194430.8648,93124.34863,115734.0516,790086.6342,2292163.565,40131.26845,1532427.915,582081.9459,19804.90141,3446657.095,110792.5147,68302.15671,4736284.155,35754.51341,5972.682296,489093.8113,796381.5439,12687057.93,2519007.841,2130928.011,7561.844428,163145.4587,392924.1835,704376.5524,1690893.091,5142.525646,24397.77498,39273.43168,212568.2235,110508.8665,32987.74994,12177941.59,51355.90062,6692712.462,324781.9485,361519.4637,72066.59712,16899.78012,27510.16068,65035.39437,6241.228583,159441.2924,1203354.4,38332.66643,4025702.211,261887.8448,25315.17872,252345.5718,40725.12422,1915.907129,5570.420955,2087.196343,104071.472,20543.16837,85674.64,2655199.556,421001.3422,8168126.044,917.4935947,109691.9523,17032.98221,8296.556374,17707.57556,31296.57149,709703.6936,1491672.826,35821.61073,56380.98674,,52104.53637,20102.8058,1022152.625,86851.552,24158.2233,7610.00004,6246.990065,66953.37748,475844.5576,4616.5837,81576.7111,288025.7508,143279.4224,35494.84167,54460.67397,136966.2346,812659.1114,192283.716,8375.815274,4539.547069,23137.45362,399212.6265,1561629.482,141220.5453,94594.64462,32205.54869,63246.97484,519162.9752,9306.377675,5983.849814,7226.671722,860584.6266,24614.28281,3328536.178,23787.70562,10474.70687,4602.712368,21061.44073,8085.365888,24749.87262,96090.29413,17114.9148,5342.725626,12738.11867,7207.486177,75454.88167,120020.2143,17794.28162,11955.59719,19662.084,4772.042244,140302.4708,963.0967897,13463.10591,4203.466558,120624.8595,694.1690746,37252.37838,28982.8678,6145.227789,2700.33992,82877.35371,893112.0723,469846.4843,86529.32156,1219971.341,43363.02978,1838319.757,153558.7439,55593.45399,2569.713297,809.4922615,1244.802632,11570.52869,637347.3529,601960.4384,34401.11616,490521.1782,47137.19554,13360.4661,108802.0618,7233.469608,2737913.795,3492.632844,395622.3553,1958831.201,6106669.519,4185.305231
QC5,pos,cells,QC,QC,QC,QC,5104.063046,1333650.43,3923460.009,520980.8491,39797.8608,27120.9073,78670.30088,246093.0975,247918.5669,22391014.58,1128418.834,190945.6078,86619.01307,117574.9345,785676.9029,2259480.32,40744.96316,1534573.498,559183.5003,19850.48909,3429732.285,102338.2493,66433.46762,4698197.197,36805.21263,5244.38132,475484.3026,785461.7856,12582005.28,2505923.767,2216842.596,8301.830954,177233.7408,377498.0603,709011.2565,1674686.477,4110.628811,25281.7467,36159.45956,209348.9304,110770.5808,27571.81485,12198216.76,50915.20755,6656918.797,322695.1741,358195.573,70047.46892,17331.22145,29428.61788,63189.04181,6783.727605,156381.9431,1206294.729,38216.42368,3991105.062,252190.7739,26429.51369,258074.9967,39418.60004,1621.70884,5448.263332,2228.838552,104692.2619,22251.38509,85895.11129,2624399.795,408316.5622,8062351.715,731.7577251,112305.6169,16451.62012,5804.88015,16004.75846,33490.97304,702315.477,1472479.057,35330.41973,54358.64915,,52188.08984,19126.18101,997624.7451,87704.81096,23642.86326,5902.19172,6477.362655,65565.56667,471328.2007,5009.123658,81073.52791,288178.9548,145196.2738,35915.27023,54522.95661,133793.802,792301.0824,189673.815,8878.518678,4252.034191,26289.41943,393399.3558,1553388.09,140512.2891,89835.7952,32097.96008,63954.8603,500275.1312,9793.468946,6556.378987,6056.702102,866861.7981,23589.52582,3297364.021,21374.10922,10173.04413,4722.770037,20893.50883,8279.852402,24080.53936,95119.29121,20014.65868,5489.343531,13317.59972,7030.71042,77218.05255,117315.9577,17968.32888,11296.44666,16309.73922,5294.461561,141210.3123,606.0464822,13692.78764,5684.188339,118444.6701,714.3997191,36514.54836,29566.84495,5809.477183,1994.610575,81410.02853,881148.6442,462786.3037,86854.09375,1218028.591,41577.31556,1823934.122,151479.3937,55716.51872,2324.124365,1496.757897,1270.009596,11599.74137,634152.13,590582.2901,34877.69302,482408.7471,48893.79926,12107.41489,107418.1983,6909.539226,2699442.261,3612.083324,388607.2856,1939673.588,6034494.938,4813.242527
QC6,pos,cells,QC,QC,QC,QC,4973.70576,1342638.435,3961403.093,510004.0313,47222.04971,27337.96961,79921.39796,243359.3307,244825.5886,21548714.39,1071900.934,191670.4714,92737.41357,117929.2279,769323.0098,1920157.471,42195.09985,1553668.318,555466.2725,20247.28113,3386910.419,106222.2089,73431.33714,4767736.451,34423.19258,5974.778392,487201.5127,734551.2133,12473321.31,2129503.172,2414616.935,7007.055144,145551.1525,354086.44,704031.3681,1688983.271,4509.311625,24603.25463,37421.07978,215440.8893,112291.9094,56561.60457,12920954.97,51306.02379,6420137.73,319695.249,356545.3855,70368.47587,18457.98938,26455.70685,62698.917,6322.810433,166514.8252,1186502.554,38118.66585,4095158.17,259352.5552,25787.49228,251493.878,40522.06072,922.809335,4876.041242,2261.522951,120501.1738,20939.61851,79398.03795,2558822.135,407079.5959,8221232.53,558.9280901,114636.7963,18422.19788,7686.232439,15957.82836,31685.10958,676986.9484,1402598.341,32925.99865,53643.23545,,53450.00349,16590.3264,1013000.31,83404.74351,23456.69995,6357.518833,5401.216485,65998.66334,466927.2008,2729.404393,84455.26376,286475.608,141359.3754,34724.43071,49961.14048,132788.5985,825799.6701,197425.4084,8708.623807,3385.689178,27409.68473,400774.8879,1572552.968,141405.6821,88646.91191,28151.64413,59926.7072,496144.2365,11149.37147,5839.89427,6518.479451,880860.6112,24956.14293,3042245.615,24403.13297,7635.726811,4053.526304,20321.112,8078.934611,24176.22795,94213.27958,16087.57156,4720.482535,13113.47857,6695.95153,68560.53573,118105.7166,18047.73954,12426.37586,18675.58425,4802.774713,137188.2062,852.6412269,13273.51882,4607.221925,119367.1376,592.4516428,37249.46622,29421.79173,6123.203456,1840.237894,73527.71625,814705.9156,464149.6727,82583.05523,1146967.072,41267.66045,1711210.126,144911.0122,53927.61118,2755.921176,808.1094835,1703.515947,12669.69428,627168.3214,608856.1418,34286.5538,483194.6602,46903.86779,12591.33803,101190.5444,7384.276883,2763419.361,3225.919695,405853.5044,2021302.816,6139735.994,3648.453511
QC7,pos,cells,QC,QC,QC,QC,3463.317358,1274715,3705817.509,484506.5638,35964.31707,23571.97447,76086.50966,238779.6327,240592.9507,21092502.32,1041368.207,177114.6292,90234.77191,96705.18203,739766.9157,1859189.285,37738.5152,1467434.79,549544.3993,19215.96979,3253341.993,89822.86014,66522.89868,4426590.648,35012.77077,6005.577436,409063.1769,711929.6685,11761392.23,2204228.124,2054415.102,5687.074104,165074.4879,337963.6323,682146.6587,1511079.592,4146.678125,22144.62085,36050.60077,208184.7691,107901.0918,54532.38244,12340130.86,49345.41424,6211266.244,298021.4124,308955.1121,66110.49689,14474.99125,28136.88269,60168.54413,5235.773228,144918.452,1133891.944,35310.78519,3708840.324,246013.8599,26073.97375,244028.9107,38941.47994,1649.663523,4933.72221,2500.977143,106959.6415,19047.76463,77704.525,2396367.506,360547.2238,7744813.373,416.0026765,102302.9234,16551.45264,8116.107908,14692.1738,26627.63051,648154.2962,1301743.052,30228.28325,50391.13483,,51728.7469,14242.17896,858584.5773,76572.20016,22387.37657,8349.683547,4678.507632,65651.39775,447437.5163,4941.261629,77914.07491,281204.18,123343.2292,33980.39791,51311.95089,128899.0175,757086.5061,161724.3091,7814.264515,3716.459134,24976.16862,370142.6936,1421898.425,128523.0186,83767.45425,23995.42876,58910.02162,436299.2318,9491.51498,5729.14627,6392.708854,882026.6089,23497.93698,2857271.984,21817.37446,8162.646477,3768.970862,18784.66299,7654.236341,22755.87522,91006.47212,25018.09625,5438.040516,11934.34739,6242.133418,68967.71283,108092.8719,20449.9785,11230.78716,19270.75662,4251.498337,131680.8548,1345.88205,12249.60226,4251.697103,105720.2185,714.483547,35357.07479,28147.32612,4770.274851,2351.193349,71169.51115,805454.776,443646.4453,77507.62516,1113040.655,44555.34584,1683661.421,139681.8647,51204.22232,2247.605857,883.9209045,943.386771,11801.62109,587923.8498,537821.7546,36875.1824,447334.93,43836.78489,9958.444366,94112.18859,5941.617654,2570762.387,3802.158943,370135.8101,1827937.934,5626397.166,4853.310728
QC8,pos,cells,QC,QC,QC,QC,4263.664203,1278739.826,3697721.325,476298.7078,36744.69776,22715.49271,77909.00921,235913.6151,237569.6906,21001333.58,1037124.607,174352.1509,83743.07222,95142.49409,705265.3389,1843835.576,35360.66026,1446409.53,533720.592,18948.97473,3216656.798,81324.27261,66142.47461,4305135.98,31449.88424,4930.345335,397537.8742,726697.7805,11451864.63,2295760.549,1961715.23,5819.130344,144382.5328,332178.4625,681248.7063,1483477.125,4562.731446,22561.76297,34470.98704,212398.3591,102392.4565,55212.89863,12124696.98,49110.85294,6164235.905,291309.1969,301012.3884,64751.47581,14495.85103,25126.47768,59028.18764,5565.051141,135512.8642,1105019.816,32154.02276,3659303.625,247041.9725,23888.57495,244922.5274,38216.23875,1532.679466,4972.069299,1755.828036,106788.0118,20282.41154,79315.21951,2387674.731,351848.562,7258028.708,888.9719239,111039.6736,16489.74314,6986.218692,14628.30931,25956.30023,635359.5597,1287294.717,31083.3956,48502.94711,,50343.40089,15219.94479,826211.572,78175.30248,22466.51224,7066.587739,4947.521617,61057.49178,440885.126,2528.913576,74078.35339,267749.7407,121670.8323,32757.24002,50397.0324,126351.4281,715322.395,158293.2676,8861.033915,3939.867389,22809.76093,354174.6127,1388818.876,128670.7013,82632.74791,22962.44691,58352.8861,435063.1631,9623.97446,5654.738979,8243.067671,883006.3511,21435.94537,2779168.336,19953.72867,7311.700931,3636.995542,19591.57089,7146.472977,22234.22635,88076.51998,15161.09545,4652.390806,11424.01373,6348.124139,72279.49916,107921.4244,16102.66985,10773.60789,17463.16344,4516.597031,127960.0435,891.3215998,11475.43379,3983.577322,105883.9692,577.1558403,37335.67523,27502.42625,4892.06911,2077.104435,73094.55035,816980.3575,433955.6604,78063.50529,1107505.542,44183.99612,1688031.499,141324.9088,52022.69093,2353.260501,1056.111914,1072.443068,10276.79947,581663.6382,514241.7681,40914.80015,436084.9976,43220.0229,10407.55736,91119.80037,6800.785729,2490419.146,3179.270634,361526.6892,1790731.508,5392964.409,4684.200448
QC9,pos,cells,QC,QC,QC,QC,3431.47588,1267590.022,3720065.759,468795.3509,37662.3963,22891.6778,78867.60625,232914.5922,234470.0498,20748524.42,1041228.776,172974.8933,82366.43435,86422.86688,705193.3387,1796494.241,32412.04836,1437290.006,520645.4446,19401.58293,3202016.463,75537.17958,69377.07466,4237027.932,31844.48333,6102.281938,372416.4581,668034.8419,11255982.99,2254239.3,1949321.357,5581.767688,143930.2176,323675.7019,685205.4854,1444846.764,4260.081631,21896.91991,31926.55812,214150.4984,101213.7947,55443.43639,12114913.41,48984.22637,6082880.736,284151.1029,295962.8808,61455.05704,13625.3265,23222.48819,59177.29433,5230.963346,134743.9844,1078965.292,27415.21643,3650047.303,247090.1988,24213.00862,234242.5839,37355.98413,1035.562131,5502.868863,2864.504953,104355.2364,19163.52021,75787.83472,2366869.864,335850.7006,7125606.292,257.3797292,111075.3606,16972.38476,6108.746381,14964.10585,25170.91363,627818.4582,1256096.502,30214.34831,46999.88054,,49096.10041,13352.5289,797025.1903,74615.73941,21739.13605,6223.916274,6152.890069,61702.11803,430564.4736,3871.844558,73582.81865,267344.9644,114103.4652,32553.73287,50226.71069,123835.396,693649.3802,151385.6462,8102.632734,3209.303965,23877.49871,347723.797,1340175.863,125069.0458,79869.49688,23812.39066,55559.02707,426200.4157,8872.937036,5303.64218,6062.028741,899731.227,20981.26187,2678515.79,19445.09802,9842.336797,3821.953179,18908.7166,7116.116234,21099.98393,85450.54907,15317.42471,4865.106989,10231.67873,6396.603956,70389.94525,102298.1236,16355.31577,11259.88064,17197.33881,4591.854147,126211.0368,1057.884927,10605.43021,4319.397435,105085.8275,671.1651238,34125.21339,27442.01734,5377.911652,1521.648266,71546.87873,804261.9333,429619.9902,76805.93565,1094608.996,40592.02066,1663199.28,138882.8367,50936.04313,1999.390611,811.8292092,966.1712328,10477.52956,565224.4623,498472.3067,43639.49076,426712.293,40737.33885,9917.547364,87268.79948,7127.147311,2405687.029,3802.150563,350099.9004,1711927.941,5192553.807,4034.212731
QC10,pos,cells,QC,QC,QC,QC,3066.009999,1288994.652,3717458.34,466785.0516,42241.73459,21204.91653,75307.22074,226593.1815,228185.7925,20236187.6,1046674.387,170648.3885,76853.03509,80758.31426,686556.826,1781782.623,35726.1753,1423401.53,495029.774,18251.55869,3160381.193,71434.87551,70472.03619,4198619.082,32506.14727,4422.381232,365636.804,720505.3996,11011054.85,2235369.629,1879119.573,5440.421469,139730.4381,327553.1135,694924.9154,1449881.653,3804.021468,22848.55643,32739.36795,218409.5713,99259.77606,55709.20173,12006959.79,49501.92807,6042650.719,279400.4939,289210.7796,62318.63549,11815.62591,25342.67916,56077.49513,4264.954943,124717.132,1055077.319,28526.93773,3602180.46,250032.7175,24862.41593,224665.8236,36480.43968,1574.223428,4671.716833,3145.780894,101510.0214,19823.99958,73679.2591,2302131.557,331653.5784,6804086.71,418.9953227,115179.496,16077.44549,6329.413461,13140.0736,25642.53584,611633.2982,1235628.469,28729.3213,46001.49628,,48026.12673,13776.35439,772987.1543,73631.11086,20855.59486,6443.498432,5687.626424,58525.66736,423950.8144,4328.193511,73809.72326,257906.9637,109105.1165,32753.20725,48748.47708,119710.7825,688933.9744,147979.0589,7649.671876,2763.138301,24578.05486,338381.0173,1328179.115,124165.688,78052.03755,17942.53845,54571.37211,422196.3602,10069.81354,5396.200442,8059.828126,919032.7242,19140.68967,2555254.56,19247.5111,8654.271559,3958.788639,18561.43356,7679.15476,21105.19817,82819.4445,17243.69729,5110.820215,11024.61063,6756.165303,71586.64986,99617.03636,17750.28384,10829.20549,18180.5674,4212.083823,123203.9648,1031.487464,11137.04665,3817.394666,104036.7297,537.973423,33441.97774,25186.4574,4742.877331,1390.482115,69145.47531,788242.9306,418256.5475,76895.58538,1081403.826,42358.05619,1636899.101,135848.532,49775.7536,2546.204127,556.5073907,822.8651917,10486.19486,584098.7748,507080.0317,45085.17887,415728.0935,41210.68594,9477.824881,83646.98335,4896.865995,2343927.839,2195.176752,339039.7609,1644735.168,5041070.378,4356.829903
