Samples,Mode,Type,Group,VPA,FA,Plate,VPA_FAnM1,VPA_FAnM2,VPA_FAnM3,VPA_FAnM4,VPA_FAnM5,VPA_FAnM6,VPA_FAnM7,VPA_FAnM8,VPA_FAnM9,VPA_FAnM10,VPA_FAnM11,VPA_FAnM12,VPA_FAnM13,VPA_FAnM14,VPA_FAnM15,VPA_FAnM16,VPA_FAnM17,VPA_FAnM18,VPA_FAnM19,VPA_FAnM20,VPA_FAnM21,VPA_FAnM22,VPA_FAnM23,VPA_FAnM24,VPA_FAnM25,VPA_FAnM26,VPA_FAnM27,VPA_FAnM28,VPA_FAnM29,VPA_FAnM30,VPA_FAnM31,VPA_FAnM32,VPA_FAnM33,VPA_FAnM34,VPA_FAnM35,VPA_FAnM36,VPA_FAnM37,VPA_FAnM38,VPA_FAnM39,VPA_FAnM40,VPA_FAnM41,VPA_FAnM42,VPA_FAnM43,VPA_FAnM44,VPA_FAnM45,VPA_FAnM46,VPA_FAnM47,VPA_FAnM48,VPA_FAnM49,VPA_FAnM50,VPA_FAnM51,VPA_FAnM52,VPA_FAnM53
QC1,neg,media,QC,QC,QC,QC,32659.66088,75314.41481,50240.46941,79143.58765,3750671.27,38228.12253,12351.93364,10314.33848,13219.88549,49473.0149,3303.966206,15904.88255,36530.34014,38608.49132,80040.98707,51355.83098,17757.88498,187300.7722,9906.195632,9315.875542,866521.8609,55205.51148,101806.3162,101396.2729,10795.29565,51574.3098,68312.79924,296180.1531,3929.114759,57088.41013,21921.32298,25628.34471,1341.259587,25612.50466,33401.03368,76091.31733,20141.06056,3303.85493,10455.26282,28321.19086,543420.0041,63344.41002,37616.95089,8949.032131,8686.691501,26985.83391,4880.177447,24929.71258,4620.712831,6396.357231,6200.395731,16432.76118,267.333663
QC2,neg,media,QC,QC,QC,QC,35285.65805,74573.99635,54003.58455,83126.15632,4373818.84,39472.76736,14050.71432,10662.54524,13824.40229,51746.49047,4123.340931,18091.87105,38791.3328,39999.21212,85183.24344,51790.46228,19303.74081,193060.9991,10804.27233,11459.95806,925564.0155,63277.60684,110775.3948,106909.4015,11404.12753,56002.16571,73757.65275,312931.7813,6416.215205,60280.30149,21973.87175,26542.12744,1751.35485,26942.63287,34825.35161,77969.59348,19713.39951,3711.528462,7514.656478,30725.62722,559447.0468,65145.96437,38237.41127,9921.16774,8493.187424,28813.97524,4844.089439,25164.99322,5174.689352,5967.084468,6123.626516,17759.10506,409.886243
QC3,neg,media,QC,QC,QC,QC,35115.81866,79691.81997,57772.73768,82010.651,4789776.644,41614.22955,15093.50218,12274.71667,14556.35187,54865.36348,4693.769349,16493.62632,38123.44025,39049.09799,87941.54273,53532.56567,21091.4483,194916.1793,10102.70333,11230.37503,970555.6908,65079.37646,113332.9835,116075.0154,11141.16457,44209.78367,75045.86855,322444.7873,5252.428667,63559.9144,23467.63729,27682.83724,1422.199178,26803.12321,35052.32859,82805.62102,15893.81544,3227.93104,11157.21926,25800.66343,566679.8908,67579.38166,41477.07816,10150.26671,8594.176453,29530.36962,4981.830353,25284.14765,5438.537565,7308.265642,7540.421777,18587.58197,339.5309156
QC4,neg,media,QC,QC,QC,QC,38042.91706,77125.28646,60275.61412,78222.65311,5061503.631,39107.50864,14406.87944,13559.82788,15004.99377,52170.89815,5543.19445,18441.28733,39550.98013,41064.20581,88846.67885,53867.53939,20487.80654,192792.2609,11118.76763,10553.60605,988091.0034,66487.95067,110741.6038,111244.3754,11505.39997,43861.64778,77027.0881,343961.4954,5724.751376,61387.55934,24664.42697,27894.75435,1334.596674,26067.45063,34024.86444,84798.65699,21631.16233,3809.737375,11579.72431,30898.64296,568555.9158,70467.51615,41177.81096,10879.06281,9448.283375,30855.43035,5521.631342,26724.66394,5688.507623,4399.883389,7461.51401,19487.53195,419.5504057
QC5,neg,media,QC,QC,QC,QC,37495.02766,78510.79464,61794.12475,86124.37189,5321279.152,42022.93498,14915.71686,13212.66537,15593.84146,54554.8238,5431.558045,18828.66707,41243.10755,41748.59081,90014.27506,56223.02185,20861.54382,198220.6788,11994.4284,11858.06974,1025766.151,70493.63055,116903.703,120080.0321,11483.51573,58342.58893,78751.02364,345114.6284,6899.68881,61593.84759,24783.55843,28252.2256,1956.648795,26949.27312,34068.57675,87538.46853,20393.0631,4083.638272,7009.086529,32181.01205,577047.5807,72239.10467,41132.70217,11410.91213,9576.829492,30455.24762,5473.751717,27687.89174,5948.287065,5284.43359,7827.138409,19607.06251,785.7601751
QC6,neg,media,QC,QC,QC,QC,37503.05633,83516.64518,72067.21878,83711.84309,6448181.121,40032.05932,15867.18568,12967.02995,18511.02142,57928.04291,7416.717747,19790.83617,39490.50959,42061.27493,101660.779,61331.74557,24011.15584,198546.6647,13325.43906,14426.94163,1191092.431,84578.31382,141744.2525,138377.3356,14126.52694,50232.70228,87291.94748,384947.3172,7655.744866,69308.6576,28632.47813,30088.33375,2513.442894,28277.92701,35931.93073,98755.86823,21262.94428,4018.67279,8234.434459,34413.86633,618925.8098,80061.42904,46145.09481,11705.35344,10816.0465,33924.9442,6473.42895,32208.66037,6214.951667,6569.875468,9040.72312,21528.16313,359.8375583
QC7,neg,media,QC,QC,QC,QC,41246.3391,78983.83496,65761.80859,94048.31428,6467040.6,41128.41599,15195.06549,14588.62035,19146.71212,57133.10319,6198.496325,20465.84164,42339.21081,43783.20191,100521.4602,61396.02639,25060.40359,205868.953,13446.95901,14096.28388,1191653.395,84409.29204,132460.0171,133944.972,13242.50428,50006.13011,87953.808,385223.6728,6694.862521,69569.69929,28602.23021,30172.24973,2419.950458,28212.16585,36170.90121,97829.85717,21486.93071,4160.936747,8306.969448,28926.3738,627248.9344,81226.15478,45660.65312,10920.10935,10392.5583,33580.66707,6567.250743,32344.53632,5919.460646,6648.098859,7749.724053,20451.24012,641.9325276
QC8,neg,media,QC,QC,QC,QC,42509.8546,83757.26401,65988.86442,86918.3677,6652373.241,44470.39522,15870.64665,14832.98292,18314.46345,59635.79018,6608.374184,20258.32646,44371.53513,46526.93424,100804.9807,65423.24066,25260.44107,203237.1582,13845.74392,15516.05597,1199778.506,87943.37541,137948.4382,142392.636,13807.21177,48345.60743,93171.65507,394017.5671,6736.519057,69053.98407,29271.53701,30893.32238,2540.585124,28126.55747,36088.572,100984.4867,21069.97967,4894.077372,13262.91087,29639.58427,639538.4367,83401.31631,47993.56503,10946.17542,11146.28809,35122.01992,6658.587371,34636.60941,6078.118754,4807.848669,8974.446828,20670.65844,395.0932727
QC9,neg,media,QC,QC,QC,QC,40660.15613,85836.28802,68883.71508,95950.818,6861697.914,45892.99579,16491.07635,16457.17122,20078.43777,62302.82481,6555.00715,20661.32199,41124.97109,41577.67541,104571.8106,66953.57765,25828.18153,208702.478,14380.52854,13993.4805,1239711.688,91760.05232,142850.9224,151429.9606,13394.48591,49676.81531,97190.18655,407321.9371,5559.72484,67625.79629,31072.44545,33055.75043,2768.908962,29113.03256,38437.1829,103452.1246,17318.29333,4628.095388,7779.305286,31296.10539,651373.7165,85849.65513,47706.10317,11931.77232,12137.15694,35489.1904,6337.899794,35547.74282,6141.01033,5612.690957,9707.794197,22225.30624,588.2213571
QC10,neg,media,QC,QC,QC,QC,38796.51332,85097.76389,70956.76154,89178.74016,6945122.54,45674.51087,17781.50915,15527.33613,17877.84765,61247.13539,7765.731098,21065.60083,43646.02331,45805.61057,109503.5048,67389.24096,25946.63717,215033.2915,13508.86706,13670.73792,1282655.881,82488.96797,145886.1849,150101.9989,13987.30495,49617.23562,95955.60815,409270.9887,6373.677462,71417.75256,31929.15006,32098.338,2605.548152,28872.68409,38205.13709,106613.2078,15584.22213,4469.235859,12886.82718,36319.0012,646262.3853,88695.98509,48405.55311,11438.73024,11754.27211,35003.32812,6028.140766,36185.46911,5791.806877,4201.662704,10040.77612,21274.54143,451.445746
