Samples,Mode,Type,Group,VPA,FA,Plate,VPA_FApM1,VPA_FApM2,VPA_FApM3,VPA_FApM4,VPA_FApM5,VPA_FApM6,VPA_FApM7,VPA_FApM8,VPA_FApM9,VPA_FApM10,VPA_FApM11,VPA_FApM12,VPA_FApM13,VPA_FApM14,VPA_FApM15,VPA_FApM16,VPA_FApM17,VPA_FApM18,VPA_FApM19,VPA_FApM20,VPA_FApM21,VPA_FApM22,VPA_FApM23,VPA_FApM24,VPA_FApM25,VPA_FApM26,VPA_FApM27,VPA_FApM28,VPA_FApM29,VPA_FApM30,VPA_FApM31,VPA_FApM32,VPA_FApM33,VPA_FApM34,VPA_FApM35,VPA_FApM36,VPA_FApM37,VPA_FApM38,VPA_FApM39,VPA_FApM40,VPA_FApM41,VPA_FApM42,VPA_FApM43,VPA_FApM44,VPA_FApM45,VPA_FApM46,VPA_FApM47,VPA_FApM48,VPA_FApM49,VPA_FApM50,VPA_FApM51
QC1,pos,media,QC,QC,QC,QC,50458.22355,75779.23038,254099.1034,24422.84074,143596.4119,116639.0055,25473.13689,2789.607198,185023.8282,205764.9406,616390.1048,288198.5537,131737.5116,6201.466753,87875.58402,736923.9051,759988.8967,24215.92627,66358.24084,2361918.12,11615.27919,224371.5442,225700.604,30941.34152,9491.226417,24472.22012,546255.0124,177173.9497,16450.00297,340278.955,30443.95535,11620.40204,119692.1253,55945.95476,35039.73152,1948.90031,4988.377797,4767.435694,6731.084704,12535.01142,11514.81581,201.8369105,19705.11609,6307.295986,3599.525667,4454.952152,1666.161324,16100.65178,20552.65721,2334.48801,5109.553382
QC2,pos,media,QC,QC,QC,QC,50845.30676,70861.43856,235280.4753,25677.92276,154377.9133,111744.7694,22687.76605,2343.765545,165845.09,192790.0261,589493.3436,270573.4341,121286.5448,5697.154217,80886.13598,735683.9549,793778.1289,25093.60108,63577.57241,2246339.203,10770.71297,208475.3015,214466.1142,26976.91232,10792.36537,23924.65642,512966.9447,170713.6947,17629.23742,322911.6872,26481.99214,10436.59482,103265.8603,51142.6829,32646.85121,1797.941362,3740.863095,4323.689952,5863.565894,13235.2709,10300.38739,394.5525486,18219.71061,6624.198719,3206.102105,4581.805527,3242.136526,15214.81271,18087.62532,1975.493647,4448.950005
QC3,pos,media,QC,QC,QC,QC,58813.94514,60831.20046,249082.0771,23176.93671,153238.2811,108976.1188,23560.27457,2265.544562,169058.8014,196490.4988,603407.7443,279877.0785,116689.0347,5985.090533,76008.17856,679521.6822,795143.737,23539.24403,61042.01864,2273657.205,11103.4435,214078.4794,214618.0916,30329.62105,8114.746309,24989.87023,496379.9092,172534.2651,16129.33182,325479.3406,26354.39034,10465.57531,108365.5613,50813.57765,32887.80168,1645.93091,4011.888275,4126.173429,5886.757398,12181.22225,11102.86058,217.5666684,17965.92043,6766.065438,2929.177469,4464.136986,3444.57177,14605.34071,20279.85833,2693.099161,4320.776392
QC4,pos,media,QC,QC,QC,QC,54662.77627,65042.57322,233377.697,28673.67562,148405.6198,104632.794,25524.45705,2371.369215,159674.0407,193777.2243,578492.7662,257902.4764,108308.1338,5841.436963,75892.66626,673503.1368,748912.8345,21172.92078,58688.00945,2126617.44,11419.31396,196087.6473,202590.9477,27033.89444,8403.595756,23785.3131,468028.1164,163761.0726,15701.75527,315893.8634,24891.77571,9033.079352,105984.1352,47063.91081,31010.62151,1268.154966,3932.671114,3498.83695,5683.259634,12940.31294,11338.17992,277.4287304,16957.0584,6165.777239,2987.902181,3986.334325,3787.48001,14133.98415,17723.17026,1329.335262,4594.492802
QC5,pos,media,QC,QC,QC,QC,62839.69462,64917.77002,235727.5167,20698.71759,148377.6205,97108.62964,19626.82666,2556.545012,161638.2222,188122.1879,545591.1619,248305.8059,110593.216,5616.367274,71466.44833,654538.8464,725254.4273,21507.5126,56060.93867,2092826.114,11170.45737,186829.195,193747.6803,27220.48013,9170.659623,21722.48334,451724.7909,167221.3313,15469.26229,303069.6226,26367.15466,9817.717371,104686.1855,49630.68334,28843.75522,1244.793344,4533.695562,3513.642982,5868.072044,11803.5588,10132.67201,81.40292134,16928.33791,6222.005158,3103.926817,3375.54592,3338.73204,13698.50687,18654.45209,1811.200168,3145.337527
QC6,pos,media,QC,QC,QC,QC,53138.45611,49894.101,186647.0857,19181.68742,123759.1066,87268.60475,17187.3691,979.8825985,135532.9967,157903.2017,455527.1161,209066.1772,83768.42228,4686.91891,58523.23731,541961.9347,536648.0967,17454.11511,48324.8935,1744503.76,9969.682565,160525.5863,161123.0046,40443.44689,8228.399893,20570.85665,386986.8411,144762.9847,13653.40946,251603.7122,20234.98729,6883.209753,90812.33675,36600.58622,26556.46366,1200.268869,3338.767165,3124.187733,4400.921411,9997.879582,8774.262336,220.5048555,14479.52612,4663.631561,2062.239616,2885.75578,2540.585381,11418.20038,16301.03906,1131.779822,2285.573512
QC7,pos,media,QC,QC,QC,QC,47781.69621,58479.96276,187277.8755,23258.78281,141252.0078,89890.56882,17245.19609,1634.886662,131852.7193,160182.7081,441156.1524,207268.145,83962.99202,4114.440884,61094.96724,575680.1724,547918.607,18139.13816,48313.7736,1765760.609,9653.987183,146723.5962,159114.9439,22941.71936,8401.294559,19124.26292,392772.2555,132609.9728,13453.44189,249878.5061,19041.91926,8586.575731,82467.4993,36431.02255,25352.72264,824.5007958,2885.921175,2598.674537,4429.203144,10688.31914,7221.202926,185.0133015,13699.37494,5287.572712,1830.705115,2830.614572,2372.463288,12517.15153,14595.02368,1193.663007,2358.394917
QC8,pos,media,QC,QC,QC,QC,44819.54451,59769.85846,193762.4452,17049.19282,137765.1234,87611.07363,17669.2873,1109.840791,126547.7219,158511.2411,420247.8864,203890.2544,78339.53503,3897.3146,57782.92416,548499.1853,588233.2884,18774.32904,42492.05985,1694649.897,9070.085394,145540.3511,151320.406,24483.91588,7362.944288,20877.05822,369364.5055,129128.9597,13250.46021,242050.9386,19726.88954,7336.686002,84684.30556,34053.94901,23015.5559,1261.733468,3273.04885,2865.258112,4133.688273,10061.42643,7762.687697,169.1720218,12252.26616,5637.747094,2053.417177,3183.112922,1269.829035,10401.39008,15255.64281,801.4668364,2098.500594
QC9,pos,media,QC,QC,QC,QC,38513.16871,54984.85857,179054.1532,21842.38317,125797.4908,84433.36059,16567.979,1216.613845,122551.5457,157647.1461,404823.5105,173344.8387,74659.74149,4196.690462,51918.21378,525728.5725,570548.7894,15327.3033,43737.82227,1639793.029,8975.854981,143018.0426,143517.9097,20041.14669,7399.691022,18137.88825,355667.9002,119077.7224,12257.09967,226397.6144,17983.23085,6834.765706,77362.36613,30807.83597,21625.753,992.6323415,3098.334349,2448.876713,3569.851906,8727.976502,8119.325776,182.1674704,11947.38303,4606.240962,1584.476794,2717.742558,2649.958633,10750.44215,14951.88713,848.9367448,2084.266136
QC10,pos,media,QC,QC,QC,QC,33813.10251,48267.47267,177929.2753,19589.7012,124850.3245,81225.7999,15490.27191,821.8008605,113654.5139,137276.3128,403626.2707,172768.568,71911.87698,3775.241627,51126.07795,525243.7095,481348.2789,26535.00335,40837.87576,1624488.488,9293.778395,136002.5139,142448.629,36548.8071,7412.176337,19478.7669,349674.609,119049.2632,13296.02862,219079.5024,18357.48633,6718.031528,75723.24551,28948.24027,21792.85494,692.1437155,3344.857079,2389.72879,3580.627871,9381.909342,6927.362986,172.2177662,11905.83965,3939.903676,1781.481419,2847.60634,2566.443873,10638.77851,14020.1765,883.2108369,2315.487351
