compound_short,compound_full,formula,mass,rt,cas_id
VPA_FApC1,Methylglyoxal,C3 H4 O2,72.03,1.78,78-98-8
VPA_FApC2,Glycine,C2 H5 N O2,75.033,8.9,56-40-6
VPA_FApC3,Alanine,C3 H7 N O2,89.047,8.42,56-41-7
VPA_FApC4,Sarcosine,C3 H7 N O2,89.047,9.54,107-97-1
VPA_FApC5,Beta-Alanine,C3 H7 N O2,89.048,10.66,107-95-9
VPA_FApC6,Isovaleric Acid,C5 H10 O2,102.07,7.91,503-74-2
VPA_FApC7,2-Aminobutyric Acid,C4 H9 N O2,103.062,7.94,1492-24-6
VPA_FApC8,BAIBA,C4 H9 N O2,103.062,11.58,144-90-1
VPA_FApC9,GABA,C4 H9 N O2,103.062,11.58,56-12-2
VPA_FApC10,Choline,C5 H13 N O,103.103,24.67,62-49-7
VPA_FApC11,Serine,C3 H7 N O3,105.04,8.31,56-45-1
VPA_FApC12,Hypotaurine,C2 H7 N O2 S,109.02,8.94,300-84-5
VPA_FApC13,Cytosine,C4 H5 N3 O,111.043,5.19,71-30-7
VPA_FApC14,Uracil,C4 H4 N2 O2,112.026,1.72,66-22-8
VPA_FApC15,Creatinine,C4 H7 N3 O,113.059,7.85,60-27-5
VPA_FApC16,Proline,C5 H9 N O2,115.063,9.16,147-85-3
VPA_FApC17,Caproic Acid,C6 H12 O2,116.082,1.41,142-62-1
VPA_FApC18,Valine,C5 H11 N O2,117.079,7.39,72-18-4
VPA_FApC19,Betaine,C5 H11 N O2,117.079,10.09,107-43-7
VPA_FApC20,Methylmalonic Acid,C4 H6 O4,118.026,2.62,516-05-2
VPA_FApC21,Threonine,C4 H9 N O3,119.059,7.9,72-19-5
VPA_FApC22,Cysteine,C3 H7 N O2 S,121.018,6.89,52-90-4
VPA_FApC23,Nicotinamide,C6 H6 N2 O,122.046,1.94,98-92-0
VPA_FApC24,Taurine,C2 H7 N O3 S,125.014,4.81,107-35-7
VPA_FApC25,5-Methylcytosine,C5 H7 N3 O,125.061,6.55,554-01-8
VPA_FApC26,Thymine,C5 H6 N2 O2,126.04,1.62,65-71-4
VPA_FApC27,4-Oxoproline,C5 H7 N O3,129.042,5.14,4347-18-6
VPA_FApC28,trans-4-Hydroxyproline,C5 H9 N O3,131.056,8.38,51-35-4
VPA_FApC29,Creatine,C4 H9 N3 O2,131.069,9.54,57-00-1
VPA_FApC30,Isoleucine,C6 H13 N O2,131.094,6.85,73-32-5
VPA_FApC31,Leucine,C6 H13 N O2,131.094,6.64,61-90-5
VPA_FApC32,Ethylmalonic Acid,C5 H8 O4,132.04,1.75,601-75-2
VPA_FApC33,Asparagine,C4 H8 N2 O3,132.053,8.62,70-47-3
VPA_FApC34,Aspartic Acid,C4 H7 N O4,133.036,8.38,56-84-8
VPA_FApC35,Adenine,C5 H5 N5,135.054,3.63,73-24-5
VPA_FApC36,Hypoxanthine,C5 H4 N4 O,136.038,2.6,68-94-0
VPA_FApC37,N-Methylnicotinate,C7 H7 N O2,137.046,10.73,535-83-1
VPA_FApC38,Urocanic Acid,C6 H6 N2 O2,138.04,2.54,104-98-3
VPA_FApC39,Nicotinamide N-oxide,C6 H6 N2 O2,138.041,5.24,1986-91-8
VPA_FApC40,5-Hydroxymethyluracil,C5 H6 N2 O3,142.04,4.82,4433-40-3
VPA_FApC41,Deoxycarnitine,C7 H15 N O2,145.11,17.85,407-64-7
VPA_FApC42,Spermidine,C7 H19 N3,145.16,24.76,124-20-9
VPA_FApC43,Glutamine,C5 H10 N2 O3,146.069,8.8,56-85-9
VPA_FApC44,Lysine,C6 H14 N2 O2,146.106,24.5,56-87-1
VPA_FApC45,Glutamic Acid,C5 H9 N O4,147.054,8.63,56-86-0
VPA_FApC46,Methionine,C5 H11 N O2 S,149.05,6.63,63-68-3
VPA_FApC47,Guanine,C5 H5 N5 O,151.05,3.25,73-40-5
VPA_FApC48,2-Phenylglycine,C8 H9 N O2,151.06,6.45,02835-06-5
VPA_FApC49,Xanthine,C5 H4 N4 O2,152.032,1.87,69-89-6
VPA_FApC50,3-Sulfinoalanine,C3 H7 N O4 S,153.007,6.9,1115-65-7
VPA_FApC51,Histidine,C6 H9 N3 O2,155.069,10.72,71-00-1
VPA_FApC52,Orotic Acid,C5 H4 N2 O4,156.014,1.97,65-86-1
VPA_FApC53,Allantoin,C4 H6 N4 O3,158.043,1.78,97-59-6
VPA_FApC54,Carnitine,C7 H15 N O3,161.105,14.27,541-15-1
VPA_FApC55,Fucose,C6 H12 O5,164.066,3.65,2438-80-4
VPA_FApC56,Phenylalanine,C9 H11 N O2,165.08,6.18,63-91-2
VPA_FApC57,Pyridoxal,C8 H9 N O3,167.058,3.92,66-72-8
VPA_FApC58,Pyridoxamine,C8 H12 N2 O2,168.088,14.34,85-87-0
VPA_FApC59,Pyridoxine,C8 H11 N O3,169.071,6.47,65-23-6
VPA_FApC60,3-Methylhistidine,C7 H11 N3 O2,169.085,11.24,368-16-1
VPA_FApC61,G3P,C3 H7 O6 P,169.995,10.65,591-57-1
VPA_FApC62,Glycerol 1-Phosphate / Glycerol 3-Phosphate,C3 H9 O6 P,172.013,10.44,17989-41-2
VPA_FApC63,Dehydroascorbic Acid,C6 H6 O6,174.018,2.52,490-83-5
VPA_FApC64,Arginine,C6 H14 N4 O2,174.113,24.13,74-79-3
VPA_FApC65,N-Carbamoyl-L-aspartic Acid,C5 H8 N2 O5,176.041,8.02,13184-27-5
VPA_FApC66,Cysteine-Glycine dipeptide,C5 H10 N2 O3 S,178.041,8.43,19246-18-5
VPA_FApC67,Tyrosine,C9 H11 N O3,181.073,6.35,60-18-4
VPA_FApC68,D-Galactitol,C6 H14 O6,182.078,3.66,608-66-2
VPA_FApC69,Phosphocholine,C5 H14 N O4 P,183.071,18.37,107-73-3
VPA_FApC70,2-Phosphoglyceric Acid,C3 H7 O7 P,185.989,10.7,23295-92-3
VPA_FApC71,N-alpha-Acetylglutamine,C7 H12 N2 O4,188.074,5.96,2490-97-3
VPA_FApC72,"NE,NE,NE-Trimethyllysine",C9 H20 N2 O2,188.151,24.25,55528-53-5
VPA_FApC73,N-Acetylglutamic Acid,C7 H11 N O5,189.061,8.01,1188-37-0
VPA_FApC74,Galacturonic Acid,C6 H10 O7,194.038,5.46,685-73-4
VPA_FApC75,Glucuronic Acid,C6 H10 O7,194.04,3.7,06556-12-3
VPA_FApC76,Acetylcarnitine,C9 H17 N O4,203.115,13.54,5080-50-2
VPA_FApC77,Tryptophan,C11 H12 N2 O2,204.088,5.96,73-22-3
VPA_FApC78,Kynurenine,C10 H12 N2 O3,208.084,5.92,2922-83-0
VPA_FApC79,Phosphocreatine,C4 H10 N3 O5 P,211.036,11.45,67-07-2
VPA_FApC80,12-Tridecenoic acid,C13 H24 O2,212.182,2.33,6006-06-0
VPA_FApC81,Propionylcarnitine,C10 H19 N O4,217.13,12.5,20064-19-1
VPA_FApC82,O-Succinylhomoserine,C8 H13 N O6,219.072,8.14,1492-23-5
VPA_FApC83,Pantothenic Acid,C9 H17 N O5,219.111,4.23,137-08-6
VPA_FApC84,GalNAc,C8 H15 N O6,221.091,3.39,1811-31-0
VPA_FApC85,Cystathionine,C7 H14 N2 O4 S,222.067,11.71,56-88-2
VPA_FApC86,Nitrotyrosine,C9 H10 N2 O5,226.063,5.76,621-44-3
VPA_FApC87,Carnosine,C9 H14 N4 O3,226.106,15.11,305-84-0
VPA_FApC88,Deoxycytidine,C9 H13 N3 O4,227.09,5.22,951-77-9
VPA_FApC89,Butyrylcarnitine,C11 H21 N O4,231.148,11.56,25576-40-6
VPA_FApC90,Dihydrobiopterin,C9 H13 N5 O3,239.1,4.44,6779-87-9
VPA_FApC91,10Z-Pentadecenoic Acid,C15 H28 O2,240.211,1.89,84743-29-3
VPA_FApC92,Cytidine,C9 H13 N3 O5,243.085,4.67,65-46-3
VPA_FApC93,Uridine,C9 H12 N2 O6,244.069,1.72,58-96-8
VPA_FApC94,Biotin,C10 H16 N2 O3 S,244.088,4.68,58-85-5
VPA_FApC95,Valerylcarnitine,C12 H23 N O4,245.163,10.96,00-00-003
VPA_FApC96,Palmitoleic Acid,C16 H30 O2,254.229,1.85,373-49-9
VPA_FApC97,Glycerol-3-phosphocholine,C8 H20 N O6 P,257.103,14.57,28319-77-9
VPA_FApC98,Ribothymidine,C10 H14 N2 O6,258.086,5.12,1463-10-1
VPA_FApC99,Glycerol 1-phosphoserine,C6 H14 N O8 P,259.045,8.04,26289-09-8
VPA_FApC100,D-Fructose 6-phosphate,C6 H13 O9 P,260.027,10.94,643-13-0
VPA_FApC101,Thiamine,C12 H16 N4 O S,264.104,24.25,59-43-8
VPA_FApC102,Adenosine,C10 H13 N5 O4,267.097,2.75,58-61-7
VPA_FApC103,Inosine,C10 H12 N4 O5,268.082,2.62,58-63-9
VPA_FApC104,10Z-Heptadecenoic Acid,C17 H32 O2,268.245,1.88,29743-97-3
VPA_FApC105,Myoinositol-methyl-phosphate,C7 H15 O9 P,274.044,6.6,00-00-004
VPA_FApC106,Oleamide,C18 H35 N O,281.269,2.06,301-02-0
VPA_FApC107,Oleic Acid,C18 H34 O2,282.26,2.06,112-80-1
VPA_FApC108,Guanosine,C10 H13 N5 O5,283.092,3.05,118-00-3
VPA_FApC109,Ophthalmic Acid,C11 H19 N3 O6,289.125,8.82,495-27-2
VPA_FApC110,L-Arginosuccinic Acid,C10 H18 N4 O6,290.122,11.1,2387-71-5
VPA_FApC111,10Z-Nonadecenoic Acid,C19 H36 O2,296.274,2.21,73033-09-7
VPA_FApC112,5-Methylthioadenosine,C11 H15 N5 O3 S,297.09,1.94,2457-80-9
VPA_FApC113,1-Monomyristin,C17 H34 O4,302.237,1.73,75685-84-6
VPA_FApC114,Glutathione,C10 H17 N3 O6 S,307.084,8.43,70-18-8
VPA_FApC115,Neu5Ac,C11 H19 N O9,309.105,5.23,131-48-6
VPA_FApC116,Arachidic Acid,C20 H40 O2,312.303,2.08,506-30-9
VPA_FApC117,CMP,C9 H14 N3 O8 P,323.05,10.95,63-37-6
VPA_FApC118,UMP,C9 H13 N2 O9 P,324.035,9.65,58-97-9
VPA_FApC119,NMN,C11 H15 N2 O8 P,334.053,14.66,1094-61-7
VPA_FApC120,3-Phosphoglyceroinositol,C9 H19 O11 P,334.066,6.89,00-00-006
VPA_FApC121,AMP,C10 H14 N5 O7 P,347.064,10.44,61-19-8
VPA_FApC122,Dihomo-gamma-Linolenoyl Ethanolamide,C22 H39 N O2,349.304,1.19,150314-34-4
VPA_FApC123,GMP,C10 H14 N5 O8 P,363.056,10.42,85-32-5
VPA_FApC124,Riboflavin,C17 H20 N4 O6,376.137,2.26,83-88-5
VPA_FApC125,Succinoadenosine,C14 H17 N5 O8,383.109,7.77,4542-23-8
VPA_FApC126,SAH,C14 H20 N6 O5 S,384.121,8.78,979-92-0
VPA_FApC127,SAM,C15 H22 N6 O5 S,398.141,20.75,29908-03-0
VPA_FApC128,Palmitoylcarnitine,C23 H45 N O4,399.332,9.09,2364-67-2
VPA_FApC129,CDP,C9 H15 N3 O11 P2,403.017,11.12,63-38-7
VPA_FApC130,Oleoylcarnitine,C25 H47 N O4,425.347,9.05,38677-66-6
VPA_FApC131,Cysteineglutathione disulfide,C13 H22 N4 O8 S2,426.085,10.78,13081-14-6
VPA_FApC132,ADP,C10 H15 N5 O10 P2,427.03,10.79,58-64-0
VPA_FApC133,Folic Acid,C19 H19 N7 O6,441.135,8.25,59-30-3
VPA_FApC134,GDP,C10 H15 N5 O11 P2,443.023,10.8,146-91-8
VPA_FApC135,5-Methyl-THF,C20 H25 N7 O6,459.187,8.62,134-35-0
VPA_FApC136,LysoPE(18:0),C23 H48 N O7 P,481.312,6.01,00-00-012
VPA_FApC137,dTTP,C10 H17 N2 O14 P3,481.985,10.45,365-08-2
VPA_FApC138,CTP,C9 H16 N3 O14 P3,482.984,11.31,65-47-4
VPA_FApC139,UTP,C9 H15 N2 O15 P3,483.969,10.45,63-39-8
VPA_FApC140,CDP-Choline,C14 H26 N4 O11 P2,488.104,12.67,987-78-0
VPA_FApC141,dATP,C10 H16 N5 O12 P3,490.997,11.22,1927-31-7
VPA_FApC142,LysoPC(16:1),C24 H48 N O7 P,493.315,9.25,00-00-014
VPA_FApC143,LysoPC(16:0),C24 H50 N O7 P,495.332,9.2,00-00-015
VPA_FApC144,ATP,C10 H16 N5 O13 P3,506.997,10.96,56-65-5
VPA_FApC145,LysoPC(18:2),C26 H50 N O7 P,519.331,9.13,00-00-017
VPA_FApC146,LysoPC(18:1),C26 H52 N O7 P,521.348,9.07,00-00-018
VPA_FApC147,GTP,C10 H16 N5 O14 P3,522.992,10.98,86-01-1
VPA_FApC148,LysoPC(18:0),C26 H54 N O7 P,523.364,9.03,00-00-019
VPA_FApC149,PAF C18:1,C28 H56 N O7 P,549.379,8.94,86288-90-1
VPA_FApC150,PAF C18,C28 H58 N O7 P,551.393,8.9,79549-26-1
VPA_FApC151,ADP-Ribose,C15 H23 N5 O14 P2,559.066,7.13,20762-30-5
VPA_FApC152,UDP-Glucuronic acid,C15 H22 N2 O18 P2,580.028,7.16,2616-64-0
VPA_FApC153,ADP-Glucose,C16 H25 N5 O15 P2,589.076,7.44,102129-65-7
VPA_FApC154,GDP-Glucose,C16 H25 N5 O16 P2,605.073,7.42,5750-57-2
VPA_FApC155,UDP-GalNAc,C17 H27 N3 O17 P2,607.081,6.71,7277-98-7
VPA_FApC156,UDP-GlcNAc,C17 H27 N3 O17 P2,607.081,6.53,528-04-1
VPA_FApC157,GSSG,C20 H32 N6 O12 S2,612.152,10.65,27025-41-8
VPA_FApC158,NAD,C21 H27 N7 O14 P2,663.108,9.43,53-84-9
VPA_FApC159,NADH,C21 H29 N7 O14 P2,665.122,6.94,59-68-4
VPA_FApC160,Trimyristin,C45 H86 O6,722.643,1.16,555-45-3
VPA_FApC161,Sphingomyelin,C41 H83 N2 O6 P,730.597,8.43,85187-10-6
VPA_FApC162,NADP,C21 H28 N7 O17 P3,743.069,12.14,53-59-8
VPA_FApC163,PC(34:2),C42 H80 N O8 P,757.561,7.4,8002-43-5
VPA_FApC164,CoA,C21 H36 N7 O16 P3 S,767.11,9.94,85-61-0
VPA_FApC165,Arachidonoyl-PAF,C44 H82 N O7 P,767.579,7.34,86288-11-1
VPA_FApC166,PC(36:4),C44 H80 N O8 P,781.561,7.19,00-00-021
VPA_FApC167,PC(36:2),C44 H84 N O8 P,785.593,7.37,00-00-022
VPA_FApC168,Acetyl-CoA,C23 H38 N7 O17 P3 S,809.119,9.83,72-89-9
