compound_short,compound_full,formula,mass,rt,cas_id
VPA_FAnM1,Methylglyoxal,C3 H4 O2,72.021,2.28,78-98-8
VPA_FAnM2,Glycine,C2 H5 N O2,75.03,8.92,56-40-6
VPA_FAnM3,Pyruvate,C3 H4 O3,88.016,1.36,127-17-3
VPA_FAnM4,Alanine,C3 H7 N O2,89.047,8.47,56-41-7
VPA_FAnM5,Lactic Acid,C3 H6 O3,90.033,2.27,79-33-4
VPA_FAnM6,2-Ketobutyric Acid,C4 H6 O3,102.032,3.06,600-18-0
VPA_FAnM7,BAIBA,C4 H9 N O2,103.06,8.68,144-90-1
VPA_FAnM8,2-Hydroxybutyric Acid,C4 H8 O3,104.046,1.87,3347-90-8
VPA_FAnM9,3-Hydroxybutyric Acid,C4 H8 O3,104.046,2.88,300-85-6
VPA_FAnM10,Serine,C3 H7 N O3,105.041,8.37,56-45-1
VPA_FAnM11,Glyceric Acid,C3 H6 O4,106.025,2.92,473-81-4
VPA_FAnM12,Uracil,C4 H4 N2 O2,112.026,1.57,66-22-8
VPA_FAnM13,1-Pyrroline-2-carboxylic Acid,C5 H7 N O2,113.046,6.38,02139-03-9
VPA_FAnM14,Creatinine,C4 H7 N3 O,113.066,6.38,60-27-5
VPA_FAnM15,Valine,C5 H11 N O2,117.079,7.44,72-18-4
VPA_FAnM16,Threonine,C4 H9 N O3,119.054,7.95,72-19-5
VPA_FAnM17,3-Mercaptopyruvic Acid,C3 H4 O3 S,119.986,3.04,2464-23-5
VPA_FAnM18,D-Erythrose,C4 H8 O4,120.044,3.05,583-50-6
VPA_FAnM19,Taurine,C2 H7 N O3 S,125.015,4.86,107-35-7
VPA_FAnM20,Thymine,C5 H6 N2 O2,126.036,3.04,65-71-4
VPA_FAnM21,4-Oxoproline,C5 H7 N O3,129.044,5.15,4347-18-6
VPA_FAnM22,Ketoleucine,C6 H10 O3,130.063,1.28,816-66-0
VPA_FAnM23,Isoleucine,C6 H13 N O2,131.095,6.91,73-32-5
VPA_FAnM24,Leucine,C6 H13 N O2,131.096,6.68,61-90-5
VPA_FAnM25,Ethylmalonic Acid,C5 H8 O4,132.039,3.06,601-75-2
VPA_FAnM26,Hypoxanthine,C5 H4 N4 O,136.04,2.61,68-94-0
VPA_FAnM27,Valproic acid,C8 H16 O2,144.116,1.24,99-66-1
VPA_FAnM28,Glutamine,C5 H10 N2 O3,146.069,8.87,56-85-9
VPA_FAnM29,Lysine,C6 H14 N2 O2,146.105,23.34,56-87-1
VPA_FAnM30,Glutamic Acid,C5 H9 N O4,147.054,8.68,56-86-0
VPA_FAnM31,Methionine,C5 H11 N O2 S,149.053,6.68,63-68-3
VPA_FAnM32,D-Ribose,C5 H10 O5,150.053,3.04,50-69-1
VPA_FAnM33,Guanine,C5 H5 N5 O,151.048,6.67,73-40-5
VPA_FAnM34,Xanthine,C5 H4 N4 O2,152.037,1.91,69-89-6
VPA_FAnM35,Allantoin,C4 H6 N4 O3,158.046,1.8,97-59-6
VPA_FAnM36,Phenylalanine,C9 H11 N O2,165.081,6.23,63-91-2
VPA_FAnM37,Uric Acid,C5 H4 N4 O3,168.032,2.62,69-93-2
VPA_FAnM38,Pyridoxine,C8 H11 N O3,169.074,6.24,65-23-6
VPA_FAnM39,myo-Inositol,C6 H12 O6,180.066,5.25,87-89-8
VPA_FAnM40,D-Glucose,C6 H12 O6,180.066,2.56,50-99-7
VPA_FAnM41,D-Fructose,C6 H12 O6,180.068,3.05,57-48-7
VPA_FAnM42,Tyrosine,C9 H11 N O3,181.076,6.39,60-18-4
VPA_FAnM43,D-Galactitol,C6 H14 O6,182.083,3.7,608-66-2
VPA_FAnM44,Phenylacetylglycine,C10 H11 N O3,193.077,1.93,500-98-1
VPA_FAnM45,Cysteine-S-sulfonic Acid,C3 H7 N O5 S2,200.981,1.59,1637-71-4
VPA_FAnM46,Pantothenic Acid,C9 H17 N O5,219.114,4.21,137-08-6
VPA_FAnM47,Nitrotyrosine,C9 H10 N2 O5,226.06,5.23,621-44-3
VPA_FAnM48,Deoxycytidine,C9 H13 N3 O4,227.087,6.67,951-77-9
VPA_FAnM49,Uridine,C9 H12 N2 O6,244.074,1.75,58-96-8
VPA_FAnM50,Inosine,C10 H12 N4 O5,268.088,2.68,58-63-9
VPA_FAnM51,Guanosine,C10 H13 N5 O5,283.097,3.12,118-00-3
VPA_FAnM52,Folic Acid,C19 H19 N7 O6,441.143,8.29,59-30-3
VPA_FAnM53,Dihydrofolic Acid,C19 H21 N7 O6,443.148,8.3,4033-27-6
