Samples,Mode,Type,Group,VPA,FA,Plate,hVPA_FAnC1,hVPA_FAnC2,hVPA_FAnC3,hVPA_FAnC4,hVPA_FAnC5,hVPA_FAnC6,hVPA_FAnC7,hVPA_FAnC8,hVPA_FAnC9,hVPA_FAnC10,hVPA_FAnC11,hVPA_FAnC12,hVPA_FAnC13,hVPA_FAnC14,hVPA_FAnC15,hVPA_FAnC16,hVPA_FAnC17,hVPA_FAnC18,hVPA_FAnC19,hVPA_FAnC20,hVPA_FAnC21,hVPA_FAnC22,hVPA_FAnC23,hVPA_FAnC24,hVPA_FAnC25,hVPA_FAnC26,hVPA_FAnC27,hVPA_FAnC28,hVPA_FAnC29,hVPA_FAnC30,hVPA_FAnC31,hVPA_FAnC32,hVPA_FAnC33,hVPA_FAnC34,hVPA_FAnC35,hVPA_FAnC36,hVPA_FAnC37,hVPA_FAnC38,hVPA_FAnC39,hVPA_FAnC40,hVPA_FAnC41,hVPA_FAnC42,hVPA_FAnC43,hVPA_FAnC44,hVPA_FAnC45,hVPA_FAnC46,hVPA_FAnC47,hVPA_FAnC48,hVPA_FAnC49,hVPA_FAnC50,hVPA_FAnC51,hVPA_FAnC52,hVPA_FAnC53,hVPA_FAnC54,hVPA_FAnC55,hVPA_FAnC56,hVPA_FAnC57,hVPA_FAnC58,hVPA_FAnC59,hVPA_FAnC60,hVPA_FAnC61,hVPA_FAnC62,hVPA_FAnC63,hVPA_FAnC64,hVPA_FAnC65,hVPA_FAnC66,hVPA_FAnC67,hVPA_FAnC68,hVPA_FAnC69,hVPA_FAnC70,hVPA_FAnC71,hVPA_FAnC72,hVPA_FAnC73,hVPA_FAnC74,hVPA_FAnC75,hVPA_FAnC76,hVPA_FAnC77,hVPA_FAnC78,hVPA_FAnC79,hVPA_FAnC80,hVPA_FAnC81,hVPA_FAnC82,hVPA_FAnC83,hVPA_FAnC84,hVPA_FAnC85,hVPA_FAnC86,hVPA_FAnC87,hVPA_FAnC88,hVPA_FAnC89,hVPA_FAnC90,hVPA_FAnC91,hVPA_FAnC92,hVPA_FAnC93,hVPA_FAnC94,hVPA_FAnC95,hVPA_FAnC96,hVPA_FAnC97,hVPA_FAnC98,hVPA_FAnC99,hVPA_FAnC100,hVPA_FAnC101,hVPA_FAnC102,hVPA_FAnC103,hVPA_FAnC104,hVPA_FAnC105,hVPA_FAnC106,hVPA_FAnC107,hVPA_FAnC108,hVPA_FAnC109,hVPA_FAnC110,hVPA_FAnC111,hVPA_FAnC112,hVPA_FAnC113,hVPA_FAnC114,hVPA_FAnC115,hVPA_FAnC116,hVPA_FAnC117,hVPA_FAnC118,hVPA_FAnC119,hVPA_FAnC120,hVPA_FAnC121,hVPA_FAnC122,hVPA_FAnC123,hVPA_FAnC124,hVPA_FAnC125,hVPA_FAnC126,hVPA_FAnC127,hVPA_FAnC128,hVPA_FAnC129,hVPA_FAnC130,hVPA_FAnC131,hVPA_FAnC132,hVPA_FAnC133,hVPA_FAnC134,hVPA_FAnC135,hVPA_FAnC136,hVPA_FAnC137,hVPA_FAnC138,hVPA_FAnC139,hVPA_FAnC140,hVPA_FAnC141,hVPA_FAnC142,hVPA_FAnC143,hVPA_FAnC144,hVPA_FAnC145,hVPA_FAnC146,hVPA_FAnC147,hVPA_FAnC148,hVPA_FAnC149,hVPA_FAnC150,hVPA_FAnC151,hVPA_FAnC152,hVPA_FAnC153,hVPA_FAnC154,hVPA_FAnC155,hVPA_FAnC156,hVPA_FAnC157,hVPA_FAnC158,hVPA_FAnC159,hVPA_FAnC160,hVPA_FAnC161,hVPA_FAnC162,hVPA_FAnC163,hVPA_FAnC164,hVPA_FAnC165,hVPA_FAnC166,hVPA_FAnC167,hVPA_FAnC168,hVPA_FAnC169,hVPA_FAnC170,hVPA_FAnC171,hVPA_FAnC172,hVPA_FAnC173,hVPA_FAnC174,hVPA_FAnC175
mix1,neg,cells,mix,mix,mix,mix,832978.5251,26796.4458,971483.9229,4433758.076,2059846.965,3964.810445,201046.1063,1038095.081,1181422.385,119736.5305,253437.7038,1876.532824,9808.688778,20831.44963,81897.65308,67551.36248,610660.4861,30134.19368,642212.3983,459478.5377,892338.7361,167490.0346,5028.383524,5342308.191,111391.5553,54672.2075,30533.3967,1748983.083,1680239.525,61157.56253,37924.00811,778005.8631,2454273.192,32145.32649,27119.5943,968749.3212,113890.1881,3237735.228,106675.3189,136343.0273,5682242.03,13670.57573,161321.2556,8387.560666,162789.2496,51967.83999,40462.59011,192039.9741,289376.5863,29441.10686,240842.705,119806.8311,170541.9969,5870.734977,7707.521108,8265.604804,70585.39501,1225170.853,17930.12934,13806.66432,24141.62462,17750.54579,2034.62356,17238.16752,191269.163,22738.03248,15390.98439,53155.60639,45536.19687,28445.88874,103445.4564,11032.56923,4251.79934,13509.12876,140947.9188,135442.6853,6266.941018,721450.4387,28718.46676,398569.5068,12721.89778,186217.2906,6218.878924,40790.05585,13334.38903,84818.91971,36439.8346,21982.17838,5856.825265,9835.350888,9359768.472,2763.59551,14386.80622,101447.9004,27911.47723,292991.4009,232663.6156,20492.41449,848624.2663,1183.075218,4594.354321,91307.71883,18313.82936,7151.371748,146274.7404,5448.955854,254213.9877,12662.95244,2141.300391,3885.340326,28100.41493,277642.4784,8772303.484,3950.599901,36792.23599,73713.61978,79382.72337,42174.83226,46043.69528,119336.4407,3129018.867,9762.534663,5235331.527,8452.605701,6683.57915,27088.90297,147293.3697,13656.33157,1864583.935,37936.59128,61972.89263,4061.373238,18698.19861,1341390.013,3540.764937,182292.7402,20367.96504,273198.0984,10589.40541,3265.277367,88785.8917,31081.88319,7769.454932,26532.4574,6391.64693,1135.819315,13696.44367,83909.40131,2120.904534,234323.0577,586761.3746,79433.84756,3314.39792,366.4474244,11037.03652,1172673.132,4312.746652,16914.45493,3263480.826,245714.222,134803.2243,497.1622566,58482.89552,265789.063,6077.057398,10774.767,10077.51705,934406.6958,856191.9522,287588.7576,38946.16389,791.1280583,3940.530805,265.4506991,226.3249504
mix2,neg,cells,mix,mix,mix,mix,872310.5943,26088.76862,943952.7615,4693069.055,2257731.721,7332.454112,212934.7144,1087110.275,1265950.84,142545.1573,279845.1442,2695.092193,11522.00738,21253.08647,87484.57167,69519.60589,673858.338,33056.99227,672297.4045,476973.3454,956709.5856,169980.7342,5441.839223,5622250.07,108374.5692,52521.16111,33651.34884,1858747.038,1725197.059,72831.64816,41432.02535,785718.723,2710794.817,40591.15569,27161.38861,1022518.407,126572.9958,3443355.115,104984.9937,144956.387,5874337.156,11833.73798,167763.9803,7936.524245,156412.2569,57653.0257,39452.56261,179129.8966,267555.9247,30274.74744,250449.04,117334.586,188055.2829,5698.197651,7933.557134,8880.862857,81014.38765,1284081.838,20020.06113,16047.38065,26576.80064,19991.4915,3301.459221,16922.16912,211833.1688,27612.37657,15905.16233,50344.02979,50123.76591,31589.92219,97960.71698,10420.09512,3421.633021,16572.22394,151201.8565,132343.8218,7184.3602,772122.0147,28737.69071,422288.4225,14079.20035,189831.5871,7860.69538,42496.68418,18094.51542,86046.87252,37705.47676,24837.26713,7855.126967,11911.94871,9592104.435,2276.576182,16902.78105,109791.8292,32265.81899,305334.5648,236023.4239,22685.50012,899512.4626,987.5928889,4323.626503,101047.566,21401.88416,6625.891662,143672.9594,7979.72319,269397.7871,14800.30632,2906.691865,3462.463043,32512.39435,289017.2685,9098727.808,3349.088574,43110.02023,69171.13978,82932.48641,39871.68469,43271.76896,121117.3048,3343833.325,10161.30822,5461325.772,7923.324612,7371.311841,29444.15642,153065.782,16372.47896,2262739.433,39251.15314,70646.47578,5018.478867,19580.89723,1461772.676,3275.795493,191165.3506,23563.42943,318304.8457,12088.52215,3197.255796,92851.67218,32326.14855,7482.476788,29292.76873,5392.57929,2348.342047,26206.13686,95798.72425,2490.284984,283420.7156,623874.701,63413.59415,5375.751792,128.4719508,9382.996626,1326179.862,4491.602016,16243.0648,3513015.583,269915.1619,146644.8436,980.0421622,62699.24965,276775.3577,6163.650424,12312.11467,11884.66308,1011859.115,816799.358,298494.3076,42973.29061,1034.271963,4845.670665,793.8648933,238.5752883
mix3,neg,cells,mix,mix,mix,mix,898830.6314,30129.64899,938471.3045,4854276.291,2388696.693,6820.464972,219578.784,1115903.959,1342713.561,152838.6565,298238.7529,3392.105814,10368.39671,22598.83307,85308.59643,72864.92161,737940.1795,38205.21387,694043.7008,513501.6117,990890.2507,187409.1485,5908.635468,5796720.764,114654.5082,53231.46512,36739.35695,1919307.632,1802132.565,69305.46656,38211.44826,792902.9763,2986572.184,43261.48275,21791.06803,1069416.132,128201.4211,3570397.419,107870.8974,157866.4069,6003431.717,11176.76817,175533.0811,9008.190207,163315.8026,60292.56202,35924.07016,180837.8226,268237.6692,33527.81496,267597.9836,115211.5129,206518.998,5316.113816,6960.060614,8881.634653,84599.92502,1315840.581,22969.24421,20896.64756,25990.44246,17987.60622,1725.674125,15574.76456,223148.205,25627.29148,17051.757,55322.64582,47934.6803,33029.60388,103729.2551,9668.256755,2520.565737,17992.91299,157465.6732,133856.4914,6693.298642,790481.359,32073.05126,443241.8622,15574.1887,190795.6889,9138.982525,45761.12273,18639.67106,88606.58871,37977.16312,26866.64305,6864.615977,10525.39236,9744272.344,3246.975117,15076.89314,113596.7958,37241.202,309003.6164,241438.2469,22439.33498,972848.244,1354.178801,4935.597962,117035.6122,21126.0941,8067.622018,149936.1021,10007.3026,296124.099,16364.61808,3133.915003,3718.555035,30685.80548,305276.3895,9476327.974,4135.892614,44368.65757,79253.20582,98588.76049,43930.12877,46843.33237,133068.2501,3493370.411,9538.207885,5785249.702,7283.200607,8097.681387,27396.73168,163207.1037,14535.51759,2450047.413,40421.04186,74475.04325,5043.241017,19142.10227,1539809.479,3181.912894,191995.6158,23937.69256,333141.6269,11598.90059,3972.213352,99420.63153,31400.45645,7812.961504,31259.87704,5481.585348,1884.717989,27758.9573,98790.93206,2496.594024,251630.4401,641020.0337,54728.60141,4438.436912,391.1146533,9905.81515,1100468.652,4585.077897,16371.02355,3354719.436,257677.3757,150772.0253,919.2199689,62414.03344,281586.4134,6734.991275,12138.16145,12538.06942,1051040.805,787180.1448,299961.8245,40993.43002,1010.715363,5384.459699,862.8147669,220.1321733
mix4,neg,cells,mix,mix,mix,mix,891220.7335,32345.63069,1105559.146,4596488.475,2496940.951,7334.00156,218520.8571,1110853.857,1326142.07,176634.4293,305904.1264,2353.316192,12128.32262,24628.60075,86852.7533,74257.87092,733633.0543,41170.63763,690621.1307,536163.7832,963504.9944,214300.8071,7497.276,5872368.148,117073.3187,56215.27834,41076.08737,1886132.66,1807041.871,69387.98649,41767.2596,829413.0641,3134337.111,46331.5877,24754.97463,1093358.806,136485.0375,3893139.776,115773.2357,172444.1961,5948048.983,25162.9162,179507.802,8487.969322,165541.6851,60806.39798,38417.99455,219233.7643,247494.5413,36185.77963,271236.4764,120941.7722,215384.6558,4810.92919,8959.823235,7194.997507,86289.9958,1322683.233,19998.10066,21356.06278,24669.05639,17992.32835,1959.184263,13738.44936,219521.9577,16608.30107,17892.24463,56587.08018,30624.17977,31297.3464,100779.7948,12726.80173,4437.123263,17141.14226,160194.7841,144930.9312,6616.653768,793600.2913,31588.78231,470526.3159,15348.32856,195616.7277,8102.404554,49222.62362,16890.87903,86737.88394,33720.7557,24825.69608,6653.572235,9623.570856,10041750.67,2762.529509,17855.81013,114530.3532,38418.59762,311022.3967,239441.8617,24636.36473,1048633.891,1661.217415,4932.143933,125708.6325,21959.31317,8414.821052,167692.1201,10915.42238,295391.5105,15849.80246,3229.809245,3821.996929,33318.03856,304181.6932,9631697.677,4397.631903,46986.83024,75895.37045,96562.73077,51168.82949,47233.52092,130987.9567,3519971.304,11654.81831,5868912.588,7865.182958,7104.480651,30966.92637,161039.9877,16817.21486,2562721.762,42271.68621,78247.61125,4625.491267,20443.63775,1577836.731,3101.034365,202483.461,24209.75481,326605.5904,11721.78295,3973.003018,93480.16219,29174.8163,7558.791052,31798.92208,5961.28679,2410.301532,26731.0593,90063.62504,2432.433047,237070.5696,648228.9899,51149.92654,5627.266953,468.0991916,9186.305129,785071.0539,4889.454769,14096.99927,2939069.079,243119.2822,148191.4643,872.5923353,66530.84392,269548.4003,6137.085341,11863.1224,9534.52574,963844.7764,742049.4622,302816.4414,39426.9095,1746.940508,4211.273295,860.5640442,465.7481344
mix5,neg,cells,mix,mix,mix,mix,895469.2978,35786.25678,1023950.981,4774975.181,2609176.771,9042.647784,225246.7435,1121149.683,1370197.051,183882.3886,307365.6648,3787.336298,12345.46545,24019.09164,86262.96259,71939.0037,782919.4823,42415.46355,695752.0428,528876.5836,1009873.472,196049.3735,5487.014857,5963840.654,121672.7502,52388.53976,42818.6125,1927063.169,1797936.373,70213.59199,41548.81794,816994.2431,3286147.858,50468.49458,24720.76168,1096376.387,136793.5983,3889390.725,112712.1622,176758.0991,5938357.467,17630.33235,172889.7457,10298.05717,168111.3432,60741.28016,35436.82308,212913.0564,233797.7261,32945.87621,267697.0723,126997.3294,218729.2584,4942.59331,8156.338923,8586.589518,85916.89268,1332533.401,23506.08407,24077.54221,21642.8722,20070.61946,2567.351549,11935.83121,219639.5997,18452.65166,17119.6247,53466.24476,36373.88282,32361.33674,102351.9193,11280.62031,3614.743984,17068.80477,164530.5651,136206.2193,8218.469104,785044.6906,32320.05127,461257.9336,16143.33171,191514.4001,8218.902297,50466.5759,17866.37769,92985.5775,33375.97174,28328.45806,7401.267625,13843.30028,10067622.67,3027.051723,16676.4909,112945.7083,40826.63812,322900.728,246518.2443,26532.93755,1082980.259,2046.194381,5188.058344,120080.5161,24565.42485,7968.464934,162209.3923,11169.6289,298800.7431,15477.08581,1844.92453,3859.769599,32283.08745,316582.1976,9998470.463,4368.193574,45585.51887,80802.33795,99026.15725,47813.96404,46182.45661,130411.0302,3621959.75,10662.44993,6085011.427,8403.083716,7445.218994,32935.20341,172647.49,16910.84104,2518044.295,42104.8202,78171.50249,5408.464256,20457.14301,1641754.976,2935.401006,198176.65,26549.3219,298077.7765,13232.74657,3738.496696,96842.92706,32266.47516,8007.774715,31976.89422,6326.253982,1692.754857,23481.51968,86454.80921,1892.439908,223344.4156,615716.3123,51813.82514,5091.773264,821.3370984,9720.428192,566606.5368,4196.368948,13227.43901,2570648.128,218722.3329,151383.9101,1524.146889,60341.24973,271891.016,7754.105906,11726.58228,10866.08613,975446.8416,732126.7805,300293.3735,36724.32649,1374.157468,5128.872297,960.7572175,268.0794115
mix6,neg,cells,mix,mix,mix,mix,779116.637,37970.55306,1268569.143,4245741.901,2908778.216,13210.86924,199252.7502,1120023.855,1326009.103,266245.6138,315956.9505,2722.716079,14529.03709,27133.26017,92455.97698,70974.1445,824108.7674,49846.82259,661616.203,486882.0551,928326.2857,254153.7939,9351.921048,5966237.952,127288.9424,59079.65889,61916.7597,1844469.25,1763568.569,69561.84655,44397.23294,770957.7973,3173258.096,65372.55409,22242.68678,1080476.583,145892.6021,4240106.348,102407.9795,220381.1907,5571580.076,28631.20187,171449.201,9345.043897,189539.8012,69157.04311,33231.74756,249117.2514,206190.9162,39324.11105,300711.7967,114490.9964,228333.4382,4521.728027,8005.755887,9119.209624,72215.03123,1308449.803,24683.24195,18623.79434,20453.73195,17982.29824,2463.723995,12225.39508,225998.7856,11810.74495,18377.45237,65190.79029,14553.89744,33187.67603,108672.4263,14270.26291,5100.899528,18305.43187,171887.0476,151905.9259,7542.685406,777716.6679,31716.51581,516115.6456,14544.20426,193642.8321,7038.602222,45432.10333,16662.70358,81134.78644,39732.52497,29949.81756,8162.604781,10295.21682,9257738.834,2254.2214,16171.59967,118788.3855,44272.05449,333595.5413,209357.8079,26106.5565,1367711.353,1291.62402,5683.045621,118120.458,25441.16188,7378.409323,171485.7081,10400.70421,310791.161,12265.49064,1972.707589,3843.271902,32870.95169,331184.7558,11072693.47,4359.822029,41834.1159,84762.46558,88256.6259,53671.04636,54978.58708,148039.2722,3932096.932,10936.81855,6865488.125,8323.660774,8103.96418,38681.97209,186990.3036,14218.74356,2452356.961,39728.13826,90304.61637,5812.357993,19675.17397,1757826.243,3113.949312,205235.464,27812.06939,266475.3522,11243.80197,4513.243347,92639.07237,34350.53467,7767.896003,35846.04299,6075.375642,2283.320731,19787.72955,79348.11747,1403.062408,200452.4903,547809.0041,46738.44138,6232.5007,356.7688752,9049.362992,458229.8369,4524.709517,12766.71624,2566963.794,190915.9062,157050.7862,1115.369549,62641.62492,247084.5604,6639.149185,10733.74155,9038.174682,909255.0761,673510.3189,287417.3084,34510.13479,1029.036836,4381.357141,660.9771975,
P1_C1,neg,cells,sample,cntrl,base,p1,803364.7969,36455.77174,891269.111,4144121.429,2671427.894,14594.97197,181988.6131,859877.2346,1321412.312,313322.4555,294024.9739,739.3917776,8047.491679,21591.86831,121686.0113,57409.02166,735623.9185,46653.53038,601348.2845,444438.2306,915180.1999,189058.7082,10002.84876,6028367.682,133467.1481,51337.20371,72071.8428,1762587.882,1657537.807,85358.9333,39922.47398,607185.0699,2954007.596,57324.24377,29313.24798,1660845.437,114036.1301,4328128.339,87565.31862,226699.962,4521361.325,24860.24971,140983.5901,13356.6367,162949.2239,78668.67382,33564.41173,278083.5323,139432.7107,30907.07387,156402.2958,111583.3098,210551.294,5364.333387,5600.822638,4918.038658,86587.02801,1313033.195,17531.77026,10417.65212,14295.99579,38434.08283,3899.646751,12807.49894,173453.9819,33267.96475,37383.68644,54656.26923,45871.39119,34704.5589,96239.42888,12959.3558,5311.943861,22242.58976,95800.72305,161302.43,3732.727515,732601.7384,44491.75469,750028.427,13900.16373,186238.7553,7462.343123,30550.61212,19757.93491,62083.4754,47949.45383,38186.6823,9413.947048,26250.30152,8590562.446,2567.385826,12456.56564,123824.8689,38830.98983,315830.4728,245892.9213,34617.65423,1064992.522,2254.436127,6459.286241,100091.4636,30440.19686,6429.842984,96934.3438,8496.750541,431453.8162,14081.62406,4170.282504,3123.200013,15213.69401,433663.1061,14010964.51,9808.148009,34909.77502,74051.20058,68524.27676,50080.94895,42028.05701,182917.7803,4809432.182,9422.8109,8048938.068,6564.883875,11918.00414,47845.66676,221087.5993,10184.3082,1813831.641,45107.88782,109816.1279,7175.599428,32510.85496,1924694.665,3491.70295,255510.482,24949.91063,338929.9699,17545.14833,5342.137199,134049.1023,41488.74261,10129.00432,42584.3717,9054.257163,2662.107353,18543.68743,97394.71979,2610.736426,184866.2007,692145.9358,59740.81755,8360.501391,1663.872221,6254.311499,430267.0246,2717.82851,8899.856831,2118781.75,138422.3415,136005.0957,3656.330044,52650.87291,326821.6923,4649.668929,9955.610046,17570.39589,1172903.573,535884.6159,257230.3301,36156.94343,991.7210311,3634.204002,2713.316092,
P1_FA1,neg,cells,sample,cntrl,5X,p1,840644.6228,51950.67577,1220441.239,5529514.46,7148022.712,12534.52454,253109.1285,1172403.625,1480202.489,339242.6354,365045.26,2363.444152,7513.042125,28199.30718,142545.8763,56013.93103,749633.6973,52988.33668,815919.0423,568787.1655,1037759.985,174922.2439,9214.987957,7973990.51,180767.1962,68642.54707,73886.95715,2299339.908,2073761.499,98073.4245,45277.34324,633834.7405,3172834.099,57393.3521,21212.34797,1298757.972,134506.5778,3749705.11,124457.6775,274249.8488,6154131.184,21498.57359,202362.3032,9985.882678,185565.0143,93572.07887,39508.65158,327751.4748,186148.7424,39609.19226,372068.4526,118022.3091,226266.2471,6823.015559,9450.173331,12244.63759,92033.22535,1608030.888,29127.8704,23007.36677,21024.4913,43276.66182,4718.799122,17432.38104,281738.944,62675.44477,54522.22728,56451.05471,55629.9517,44540.37832,117821.7881,13365.75189,4976.496859,24472.7766,136617.349,198018.6921,11378.05731,924579.8604,43878.15271,980248.1318,23826.71321,219897.0268,8455.452078,57763.42177,23762.23895,126009.4,47155.74717,35308.37361,12668.37194,21526.67518,9933431.95,3383.041072,15605.50149,137379.2982,47801.2397,343166.181,306263.4462,29962.43888,1201941.027,5988.808047,11289.10165,122284.2946,22984.07144,9621.057936,98926.25687,10399.04831,331087.8181,39087.50558,1559.207962,3758.984153,26074.73762,348347.6453,10563998.17,14118.76421,47039.54335,90353.25547,148362.7465,52728.79055,73620.34026,149360.734,3781557.905,17536.54248,6085063.953,8134.997487,12259.65898,39150.67977,170098.5612,13415.65255,2534297.09,57890.14625,84112.43831,12009.75498,47395.53033,1420010.268,3000.323831,283939.0194,19172.66043,643108.4082,12687.02216,5336.605853,207955.4841,38261.62579,18050.06092,34050.20071,8045.988473,3382.669669,22994.08142,110301.7127,5578.541084,232180.4018,1035334.143,85367.09934,6546.043479,2314.967101,7146.153508,496343.6571,2983.47022,15054.27755,2546100.809,200047.4917,188210.4046,6810.034689,69064.67223,419090.1153,6941.645595,15241.92772,19530.12689,1561748.576,717273.0722,364282.411,40668.08135,2724.936316,3845.664687,3487.958601,510.7861515
P1_FA2,neg,cells,sample,cntrl,5X,p1,244333.6125,12971.4359,353829.3718,1519278.713,779750.588,4605.904324,65548.18158,282455.9487,459201.3497,122651.6831,101618.7536,108.9744999,2120.241403,5284.329851,41306.07788,26207.00237,261438.8312,11786.72671,212575.6991,166238.8686,306427.4349,54057.31734,2483.554214,2103636.344,38893.62792,13399.13408,23643.30591,539202.7862,554284.9922,32347.62222,11707.06075,256544.6762,1130773.868,15681.13909,11559.90704,469268.9328,29673.3968,1759152.989,34055.4512,82759.85196,1636255.025,14166.11215,48422.86605,3465.127976,36845.82689,27083.12034,13900.19419,104993.5999,77129.04243,4728.02006,55054.55171,32760.1655,47722.73208,604.0094619,781.450961,1247.590429,46122.04173,429181.6301,4172.068739,6368.552004,5703.717551,10244.84682,511.126713,4856.401284,37827.59937,10587.66822,13188.13437,14060.38323,19491.40544,10997.72388,33208.66581,8853.223238,630.9035631,6013.045466,32712.56806,64628.19359,117.2315661,244299.025,13671.63087,295989.9802,2429.243327,75392.98696,2181.131137,14752.56131,6299.739769,19977.77545,24091.52909,9869.592554,2750.715728,5183.01563,3863613.822,116.9322332,4174.407904,29245.52905,11505.3362,104918.0758,99901.70564,9130.116066,392040.1272,112.9014062,1304.278524,43185.00733,7633.558319,333.6232836,45127.07531,1214.354625,97359.49178,2117.412696,333.1817336,1030.705258,4652.129312,109343.7053,3226185.788,2812.644792,18278.07691,31811.04917,36770.36533,14069.63963,13050.95483,54837.70848,1125517.187,2070.764771,1796029.061,3073.611371,3279.687518,10087.43233,59841.19446,4233.251954,911232.032,22400.3864,28551.86427,2568.388207,11242.86446,472178.5895,,93600.07838,8628.037282,197270.2221,5316.714105,906.5121687,43944.61965,12259.47295,4079.251695,10379.74192,3688.322708,601.5729144,7697.219255,36201.8816,170.1856284,89348.16536,317646.8182,27738.76631,825.5951899,699.3413053,1317.993087,200366.2311,687.2721202,4565.288887,1043692.603,78145.33178,57382.75341,483.1781253,23161.75206,122644.0021,2112.601051,3965.893078,4491.671051,413034.2018,266922.2792,129226.4394,20004.18073,469.7394647,607.4451923,260.1086501,
P1_V1,neg,cells,sample,vpa,base,p1,979536.2476,32271.47932,1059901.176,4950533.247,1243845.285,16269.43817,219474.8911,1180364.696,1491062.564,253758.336,312265.5622,1419.74063,9905.032839,18150.69314,116580.2664,103295.5587,830068.3703,50928.61876,675501.1087,520202.0143,1120341.749,229769.3968,10733.61182,5882025.484,97665.9325,46118.89477,62762.80968,1694612.473,1710999.443,67878.84297,42366.85116,985505.3544,3139641.404,33724.82796,24280.09055,1243953.547,107657.0944,5669371.103,108234.6159,203441.2539,6024809.347,40839.4651,169463.5998,8300.678385,119277.7752,65269.39253,40786.83652,229052.591,216338.474,27261.96202,176247.1153,113598.2836,165030.0963,4234.610277,9174.19858,5121.294605,95605.03391,1333362.311,17751.47768,11736.46917,17623.57939,19966.96915,2118.057083,12753.07658,159261.3199,25617.50244,8303.940102,55982.51311,50603.58004,40552.07898,104025.9138,17978.31847,4273.463415,20469.16806,208619.1594,130569.542,4295.460885,824286.497,36293.45697,318982.33,11329.33997,212169.2571,9539.231403,31209.44863,13449.53401,68548.23807,43013.99146,33461.27164,8912.740538,12630.67875,11037789.85,3125.698577,18912.89434,115382.0355,37563.29916,332322.899,285866.4573,27079.21043,1213152.507,1182.189739,4148.726641,137691.1788,25488.70342,8646.503659,128154.2902,7957.7285,292869.3065,7158.981069,1563.117033,4533.596744,18770.77312,363893.4195,10727785.21,2367.463024,56219.42072,89159.91901,54842.36495,65954.4417,33215.4471,144832.2958,4461273.716,8741.34757,6396980.379,9802.946389,6766.44499,28513.77213,183541.1118,25552.3847,3335077.719,45323.59981,87159.8586,5506.283398,20081.46832,2089004.121,3612.0534,259260.1063,23342.5105,182913.7436,20250.48293,5376.951648,116393.1519,34916.79327,8120.900905,32361.6075,6604.197082,2318.575133,21313.42064,91185.89613,2894.356624,220417.851,696348.5458,56809.01491,5102.109124,,10129.46081,438308.1067,6227.872682,14219.46081,2553432.878,189252.8229,161723.4969,2422.642659,71063.26065,372101.5503,8594.2033,9912.987195,16998.38301,1512643.67,750321.2264,319510.4219,42614.68891,2959.563924,5365.479333,2649.827323,801.1053136
