compound_short,compound_full,formula,mass,rt,cas_id
hVPA_FAnC1,Glycine,C2 H5 N O2,75.0324,6.23,56-40-6
hVPA_FAnC2,Pyruvate,C3 H4 O3,88.0162,1.15,127-17-3
hVPA_FAnC3,Alanine,C3 H7 N O2,89.0479,5.91,56-41-7
hVPA_FAnC4,Sarcosine,C3 H7 N O2,89.0481,5.76,107-97-1
hVPA_FAnC5,Lactic Acid,C3 H6 O3,90.0321,1.91,79-33-4
hVPA_FAnC6,N-Formylglycine,C3 H5 N O3,103.027,2.79,2491-15-8
hVPA_FAnC7,2-Aminobutyric Acid,C4 H9 N O2,103.0636,6.58,1492-24-6
hVPA_FAnC8,BAIBA,C4 H9 N O2,103.0636,6.8,144-90-1
hVPA_FAnC9,Serine,C3 H7 N O3,105.0428,6.59,56-45-1
hVPA_FAnC10,Glyceric Acid,C3 H6 O4,106.0266,3.22,473-81-4
hVPA_FAnC11,Hypotaurine,C2 H7 N O2 S,109.0199,5.74,300-84-5
hVPA_FAnC12,"2,6-Dihydroxypyridine",C5 H5 N O2,111.032,1.68,626-06-2
hVPA_FAnC13,Histamine,C5 H9 N3,111.0798,7.89,51-45-6
hVPA_FAnC14,Uracil,C4 H4 N2 O2,112.0273,1.19,66-22-8
hVPA_FAnC15,Creatinine,C4 H7 N3 O,113.059,1.75,60-27-5
hVPA_FAnC16,Proline,C5 H9 N O2,115.0634,4.76,147-85-3
hVPA_FAnC17,Fumaric Acid,C4 H4 O4,116.0111,6.77,110-17-8
hVPA_FAnC18,N-Acetylglycine,C4 H7 N O3,117.0428,3.1,543-24-8
hVPA_FAnC19,Valine,C5 H11 N O2,117.0791,4.45,72-18-4
hVPA_FAnC20,Succinic Acid,C4 H6 O4,118.0267,6.22,110-15-6
hVPA_FAnC21,Threonine,C4 H9 N O3,119.0582,5.93,72-19-5
hVPA_FAnC22,Homoserine,C4 H9 N O3,119.0583,6.19,1927-25-9
hVPA_FAnC23,Erythritol,C4 H10 O4,122.0572,2.1,149-32-6
hVPA_FAnC24,Taurine,C2 H7 N O3 S,125.0148,4.2,107-35-7
hVPA_FAnC25,Ketoleucine,C6 H10 O3,130.0626,0.83,816-66-0
hVPA_FAnC26,Heptanoic Acid,C7 H14 O2,130.0993,0.91,111-14-8
hVPA_FAnC27,N-Acetylalanine,C5 H9 N O3,131.0583,2.25,97-69-8
hVPA_FAnC28,Leucine,C6 H13 N O2,131.0948,3.15,61-90-5
hVPA_FAnC29,Isoleucine,C6 H13 N O2,131.0948,3.56,73-32-5
hVPA_FAnC30,Asparagine,C4 H8 N2 O3,132.0534,6.61,70-47-3
hVPA_FAnC31,Ornithine,C5 H12 N2 O2,132.0899,10.83,70-26-8
hVPA_FAnC32,Aspartic Acid,C4 H7 N O4,133.0376,6.9,56-84-8
hVPA_FAnC33,Malic Acid,C4 H6 O5,134.0217,6.78,97-67-6
hVPA_FAnC34,Adenine,C5 H5 N5,135.0545,1.62,73-24-5
hVPA_FAnC35,Hypoxanthine,C5 H4 N4 O,136.038,1.67,68-94-0
hVPA_FAnC36,Phenylacetic Acid,C8 H8 O2,136.0526,0.93,103-82-2
hVPA_FAnC37,Caprylic Acid,C8 H16 O2,144.1149,0.86,124-07-2
hVPA_FAnC38,Glutamine,C5 H10 N2 O3,146.0693,6.52,56-85-9
hVPA_FAnC39,Lysine,C6 H14 N2 O2,146.1055,11.19,56-87-1
hVPA_FAnC40,N-Acetylserine,C5 H9 N O4,147.053,3.24,16354-58-8
hVPA_FAnC41,Glutamic Acid,C5 H9 N O4,147.0533,6.8,56-86-0
hVPA_FAnC42,2-Hydroxyglutaric acid,C5 H8 O5,148.0371,6.48,103404-90-6
hVPA_FAnC43,Methionine,C5 H11 N O2 S,149.051,3.87,63-68-3
hVPA_FAnC44,Hydrocinnamic acid,C9 H10 O2,150.0671,0.77,501-52-0
hVPA_FAnC45,Xanthine,C5 H4 N4 O2,152.0334,2.1,69-89-6
hVPA_FAnC46,Ribitol,C5 H12 O5,152.0684,2.89,488-81-3
hVPA_FAnC47,3-Sulfinoalanine,C3 H7 N O4 S,153.0095,6.31,1115-65-7
hVPA_FAnC48,Histidine,C6 H9 N3 O2,155.0695,7.06,71-00-1
hVPA_FAnC49,Orotic Acid,C5 H4 N2 O4,156.017,1.84,65-86-1
hVPA_FAnC50,4-Hydroxynonenal,C9 H16 O2,156.1145,0.82,75899-68-2
