compound_short,compound_full,formula,mass,rt,cas_id
hVPA_FApC1,Glycine,C2 H5 N O2,75.0322,6.26,56-40-6
hVPA_FApC2,Sarcosine,C3 H7 N O2,89.0479,5.46,107-97-1
hVPA_FApC3,Beta-Alanine,C3 H7 N O2,89.048,6.37,107-95-9
hVPA_FApC4,Alanine,C3 H7 N O2,89.0481,5.78,56-41-7
hVPA_FApC5,"N,N-Dimethylglycine",C4 H9 N O2,103.0632,4.52,1118-68-9
hVPA_FApC6,BAIBA,C4 H9 N O2,103.0635,6.57,144-90-1
hVPA_FApC7,Choline,C5 H13 N O,103.1001,5.14,62-49-7
hVPA_FApC8,Serine,C3 H7 N O3,105.0427,6.58,56-45-1
hVPA_FApC9,Diethanolamine,C4 H11 N O2,105.079,5.82,111-42-2
hVPA_FApC10,Hypotaurine,C2 H7 N O2 S,109.0199,5.75,300-84-5
hVPA_FApC11,Cytosine,C4 H5 N3 O,111.0436,2.16,71-30-7
hVPA_FApC12,Uracil,C4 H4 N2 O2,112.0274,1.67,66-22-8
hVPA_FApC13,Creatinine,C4 H7 N3 O,113.0592,1.75,60-27-5
hVPA_FApC14,Proline,C5 H9 N O2,115.0635,4.79,147-85-3
hVPA_FApC15,Valine,C5 H11 N O2,117.079,4.46,72-18-4
hVPA_FApC16,Betaine,C5 H11 N O2,117.0792,3.78,107-43-7
hVPA_FApC17,Threonine,C4 H9 N O3,119.0582,5.97,72-19-5
hVPA_FApC18,Homoserine,C4 H9 N O3,119.0583,6.22,1927-25-9
hVPA_FApC19,Nicotinamide,C6 H6 N2 O,122.0481,1.03,98-92-0
hVPA_FApC20,Taurine,C2 H7 N O3 S,125.0149,4.22,107-35-7
hVPA_FApC21,Thymine,C5 H6 N2 O2,126.0419,0.75,65-71-4
hVPA_FApC22,4-Imidazoleacetic Acid,C5 H6 N2 O2,126.0427,4.79,645-65-8
hVPA_FApC23,Ketoleucine,C6 H10 O3,130.0628,1.18,816-66-0
