compound_short,compound_full,formula,mass,rt,cas_id,pmix1,pmix2,pmix3,pP1_C1,pP1_FA1,pP1_FA2,pP1_V1,pP1_VPA_FA1,pP1_VPA_FA2,pP2_C2,pP2_FA3,pP2_FA4,pP2_VPA_FA3,pP2_VPA2,pP2_VPA3,pP3_C3,pP3_C4,pP3_FA5,pP3_VPA_FA4,pP3_VPA4,pP3_VPA5,pP4_C5,pP4_C6,pP4_FA6,pP4_VPA_FA5,pP4_VPA_FA6,psolv1,psolv4
hVPA_FApC1,Glycine,C2 H5 N O2,75.0322,6.26,56-40-6,4479.060892,5432.046608,4923.043497,5349.090215,4134.12862,3952.32377,6210.572838,5619.760052,5984.601764,4623.583541,6552.842514,5908.59031,4359.147238,5206.605781,4557.9847,6094.919887,6912.990788,5542.423544,5441.707033,3465.738607,3803.949344,4645.659168,5624.506286,3965.727274,5500.642654,4453.047384,,
hVPA_FApC2,Sarcosine,C3 H7 N O2,89.0479,5.46,107-97-1,7521.605678,8077.046371,6837.952465,6168.6815,9123.829341,6937.34858,8674.462049,10524.67227,9011.826203,7197.502659,8644.880838,7902.368502,7809.107697,7277.057643,8100.425748,7881.850202,7299.108912,6082.328415,7517.4261,8320.001251,6887.08335,7031.981653,8072.281017,8369.66108,8818.03968,6320.8992,2193.873489,7154.25927
hVPA_FApC3,Beta-Alanine,C3 H7 N O2,89.048,6.37,107-95-9,180393.3004,209075.0695,188440.4556,250077.6707,261231.5634,271831.0024,217184.8076,216269.6414,226575.6545,202360.1256,210722.5414,214556.5499,258903.9753,250472.1485,278880.012,221693.7144,230820.6771,207994.7306,251581.4538,90697.41999,261704.5155,233338.1035,260778.7577,248500.5613,221481.8797,214977.3441,8880.053858,11119.15806
hVPA_FApC4,Alanine,C3 H7 N O2,89.0481,5.78,56-41-7,2192586.386,2390756.51,2726692.387,2418641.533,2741836.505,2749718.18,2664674.155,2994925.858,2784790.32,2665911.45,2651545.515,2830610.425,2912533.652,2800161.433,2879084.221,2779907.775,2757835.549,2677959.314,2597235.162,2522521.164,2900651.613,2523808.323,2743286.622,2687620.508,2792566.605,2880232.506,12141.62438,17626.01581
hVPA_FApC5,"N,N-Dimethylglycine",C4 H9 N O2,103.0632,4.52,1118-68-9,16956.66786,18468.64075,17766.14425,15580.4657,16418.32872,15403.9431,16445.79685,16808.22109,21014.42237,37089.7961,15405.76941,16054.38838,16329.47694,16926.57435,17381.38745,16014.73054,17509.99597,16279.69764,16332.55321,16630.84831,18255.42873,13991.44323,17861.02634,16651.7172,20699.76358,17067.44881,564.6370936,1926.468644
hVPA_FApC6,BAIBA,C4 H9 N O2,103.0635,6.57,144-90-1,69422.12467,77588.13437,79127.88368,88078.40738,90559.2198,99408.2423,103350.8495,90539.95129,95557.60198,99063.95777,90807.45984,95712.79971,93484.83524,81787.93141,112485.9708,92572.10849,101979.3508,86983.18766,99539.95494,91668.94188,83502.80243,86664.37915,88417.33323,95953.20564,86933.37531,101178.5902,3328.466343,7055.012882
hVPA_FApC7,Choline,C5 H13 N O,103.1001,5.14,62-49-7,35899873.94,39978058.33,41969223.15,51770639.11,60039278.68,45374859.75,39146292.84,57369770.47,50133856.28,42373032.63,45955104.58,41578462.25,47322789.85,52223522.87,38234447.38,56492190.48,36958111.75,44971653.22,47208512.06,41987389.54,52938060.91,50569014.63,50025277.91,51216972.54,49079078.64,38777898.91,19918.44599,62089.91086
hVPA_FApC8,Serine,C3 H7 N O3,105.0427,6.58,56-45-1,98385.27791,106114.732,106313.3732,113739.6118,110764.5647,112129.5736,115826.4468,122893.1148,126857.3242,120006.9928,128854.3877,127625.2851,134531.2766,117331.4113,123483.0885,125062.8394,121255.5641,118682.4117,104691.4064,109040.1731,120862.1721,111215.0234,116535.6995,108762.3443,116013.5684,115712.3285,1917.877445,1116.512255
hVPA_FApC9,Diethanolamine,C4 H11 N O2,105.079,5.82,111-42-2,30219.59919,34250.81905,39815.93445,40753.48081,48530.39841,43567.86374,42647.63466,51773.51014,50045.88094,36594.98947,41507.55582,42067.70347,37992.36122,39132.34679,44200.56657,50262.40241,31414.52656,36301.29703,48407.67721,33829.67516,40113.85954,40269.22149,35859.11314,47689.49776,38722.10752,35809.57906,1101.020232,1991.965415
hVPA_FApC10,Hypotaurine,C2 H7 N O2 S,109.0199,5.75,300-84-5,514192.4796,547757.1685,629201.4838,637375.2565,749344.0321,719153.0453,612925.5533,753715.5369,662410.2809,588111.8855,612627.6499,627606.2278,865572.8817,750372.2918,709670.9246,649902.5673,630617.6365,653915.9803,644045.3434,635359.3525,756931.8922,664048.3012,725155.7345,659475.1723,659990.818,670746.617,,
hVPA_FApC11,Cytosine,C4 H5 N3 O,111.0436,2.16,71-30-7,33461.95359,35670.24996,38954.78409,30963.06989,47721.42173,32551.07122,37509.27748,46098.27096,44776.49711,33553.61663,37497.60683,40383.60042,36218.54956,43203.84869,28768.38247,45646.13028,34780.88138,36618.69611,32469.43517,59388.74697,36808.33432,27788.3951,39454.79116,36797.06778,43840.4817,38350.87375,103.4911971,217.6113019
hVPA_FApC12,Uracil,C4 H4 N2 O2,112.0274,1.67,66-22-8,9230.942273,8849.748804,9984.488236,1116.344993,2062.960258,1423.332332,1061.125013,4547.666131,1807.829219,1698.037711,1833.354435,3859.110717,1644.00661,2949.254572,281.2045179,1691.441438,3128.131851,2291.976889,1922.414264,29125.64181,3845.594996,2046.503429,8376.073495,4456.998797,1894.136729,1062.748616,,
hVPA_FApC13,Creatinine,C4 H7 N3 O,113.0592,1.75,60-27-5,2164737.039,2429773.643,2936244.213,2704586.693,3321151.604,3064712.411,2680452.169,3490310.5,3058559.225,2437940.878,2481185.882,2955676.729,3209905.055,3222405.145,3171593.493,2505824.236,2889635.592,2511093.67,2873230.945,1467567.719,3449690.215,2559927.871,3264837.96,3047122.56,2599481.546,2796285.87,8961.944972,26320.05351
hVPA_FApC14,Proline,C5 H9 N O2,115.0635,4.79,147-85-3,397615.9538,418003.8854,454845.7939,340564.7332,383701.9808,516420.5266,592764.5236,543103.0105,603488.0384,636694.5912,572510.8332,726842.976,653150.4705,515274.7546,641408.97,396225.0167,553473.2572,434390.6658,404836.4935,329888.4385,431757.9492,294468.5507,459049.7776,469987.0215,410533.3364,637487.7038,1291.825372,2283.884612
