Samples,Mode,Type,Group,VPA,FA,Plate,hVPA_FAnC1,hVPA_FAnC2,hVPA_FAnC3,hVPA_FAnC4,hVPA_FAnC5,hVPA_FAnC6,hVPA_FAnC7,hVPA_FAnC8,hVPA_FAnC9,hVPA_FAnC10,hVPA_FAnC11,hVPA_FAnC12,hVPA_FAnC13,hVPA_FAnC14,hVPA_FAnC15,hVPA_FAnC16,hVPA_FAnC17,hVPA_FAnC18,hVPA_FAnC19,hVPA_FAnC20,hVPA_FAnC21,hVPA_FAnC22,hVPA_FAnC23,hVPA_FAnC24,hVPA_FAnC25,hVPA_FAnC26,hVPA_FAnC27,hVPA_FAnC28,hVPA_FAnC29,hVPA_FAnC30,hVPA_FAnC31,hVPA_FAnC32,hVPA_FAnC33,hVPA_FAnC34,hVPA_FAnC35,hVPA_FAnC36,hVPA_FAnC37,hVPA_FAnC38,hVPA_FAnC39,hVPA_FAnC40,hVPA_FAnC41,hVPA_FAnC42,hVPA_FAnC43,hVPA_FAnC44,hVPA_FAnC45,hVPA_FAnC46,hVPA_FAnC47,hVPA_FAnC48,hVPA_FAnC49,hVPA_FAnC50,hVPA_FAnC51,hVPA_FAnC52,hVPA_FAnC53,hVPA_FAnC54,hVPA_FAnC55,hVPA_FAnC56,hVPA_FAnC57,hVPA_FAnC58,hVPA_FAnC59,hVPA_FAnC60,hVPA_FAnC61,hVPA_FAnC62,hVPA_FAnC63,hVPA_FAnC64,hVPA_FAnC65,hVPA_FAnC66,hVPA_FAnC67,hVPA_FAnC68,hVPA_FAnC69,hVPA_FAnC70,hVPA_FAnC71,hVPA_FAnC72,hVPA_FAnC73,hVPA_FAnC74,hVPA_FAnC75,hVPA_FAnC76,hVPA_FAnC77,hVPA_FAnC78,hVPA_FAnC79,hVPA_FAnC80,hVPA_FAnC81,hVPA_FAnC82,hVPA_FAnC83,hVPA_FAnC84,hVPA_FAnC85,hVPA_FAnC86,hVPA_FAnC87,hVPA_FAnC88,hVPA_FAnC89,hVPA_FAnC90,hVPA_FAnC91,hVPA_FAnC92,hVPA_FAnC93,hVPA_FAnC94,hVPA_FAnC95,hVPA_FAnC96,hVPA_FAnC97,hVPA_FAnC98,hVPA_FAnC99,hVPA_FAnC100,hVPA_FAnC101,hVPA_FAnC102,hVPA_FAnC103,hVPA_FAnC104,hVPA_FAnC105,hVPA_FAnC106,hVPA_FAnC107,hVPA_FAnC108,hVPA_FAnC109,hVPA_FAnC110,hVPA_FAnC111,hVPA_FAnC112,hVPA_FAnC113,hVPA_FAnC114,hVPA_FAnC115,hVPA_FAnC116,hVPA_FAnC117,hVPA_FAnC118,hVPA_FAnC119,hVPA_FAnC120,hVPA_FAnC121,hVPA_FAnC122,hVPA_FAnC123,hVPA_FAnC124,hVPA_FAnC125,hVPA_FAnC126,hVPA_FAnC127,hVPA_FAnC128,hVPA_FAnC129,hVPA_FAnC130,hVPA_FAnC131,hVPA_FAnC132,hVPA_FAnC133,hVPA_FAnC134,hVPA_FAnC135,hVPA_FAnC136,hVPA_FAnC137,hVPA_FAnC138,hVPA_FAnC139
Mix1,neg,cells,mix,mix,mix,mix,17779.25318,306040.329,16168.56121,314760.2432,76604.55894,873535.0354,2701412.688,5246.613507,3722.401902,692089.2772,698365.4561,977.9066409,4318.950316,71062.96155,74002.14079,91029.88902,2965.460414,9277.805693,73017.98882,429330.0013,225778.7137,7668.471278,227938.0682,13615.03617,1287360.478,77473.39556,70320.22418,16398.03075,32627.33901,44368.67338,580528.7358,526901.1719,9723.121887,7901.39658,228976.908,23578.81012,30270.19905,321099.9864,133950.4187,41765.23719,270638.5385,48502.02273,10701.59106,3457243.329,58716.24853,28778.63952,26250.46556,4034.650002,9879.578962,2909.220536,1011.991284,44855.75148,97118.14693,47144.13562,22048.23205,30426.90287,208620.2976,20010.77742,1050.814587,1500.206838,405879.1432,2275.475048,8283.705886,800.6420578,5663.715773,31369.67672,2093.365165,56268.25263,14312.24012,28959.33535,2337.253191,765.9239812,33938.93068,34678.5278,246477.5739,13027.76688,28540.21151,164888.2083,3252.283997,6468.95565,17672.35488,6418.876059,12676.29762,1191415.319,123184.8485,14496.20353,123538.2051,7641.259082,277099.12,13752.03711,6007.057045,18868.69542,78891.1154,6600.053943,29153.81287,102049.7579,2920464.86,12467.16554,4369.622632,25564.07328,208803.5377,36398.80876,1205737.33,36965.94806,1689340.032,1325.678881,1661.264919,34490.53159,3599.615232,457283.6784,1672.337297,16568.76085,507.387767,8999.010317,430930.7272,3769.945059,3712.923571,28519.5352,6451.564307,5183.702647,967.7346072,2505.650369,13662.99007,41888.21776,58919.36785,4950.737035,37527.50713,194313.0832,7944.33096,15472.67968,13165.12209,9046.984633,1719828.11,35736.47381,29859.60475,10117.751,707.5242644,259.013306,
Mix2,neg,cells,mix,mix,mix,mix,12330.07529,267390.4935,14328.65044,292181.8761,77301.59121,764850.9031,2475382.657,3964.832103,3236.930141,587828.3967,594023.2277,1094.2315,4196.738527,60944.60341,67960.41183,87721.00561,2673.577668,9531.642617,66098.61456,389509.3286,206256.4275,8862.81572,225305.9021,14670.17234,1229596.075,74832.26466,67207.84009,15440.43437,24703.19151,41492.95581,528396.6873,490143.5574,8244.18186,6884.648148,206197.6508,22704.80602,29862.07621,315685.1646,130797.9416,33630.99941,240313.7953,38184.04925,9631.099966,2935851.689,47710.02804,27423.31525,26494.91832,4369.451303,8494.99014,1974.720883,1209.909919,44815.3333,89047.0312,47139.68633,21008.11869,28051.14179,206422.6014,21029.31274,933.2124828,573.9757145,378632.149,1738.595925,9511.913204,304.2958871,5166.257399,28293.63668,959.1358189,58624.8088,10886.67738,25748.46222,2577.534814,231.7585334,28833.76015,28574.22166,223804.8984,13525.92637,26980.44175,147720.6623,2946.294781,3619.117481,14253.40271,6235.255388,10536.43601,995697.4163,124819.746,14016.15294,113852.0548,7951.614811,256019.0555,10598.13943,6004.793745,17549.22266,84642.9485,6114.334085,29799.10194,108042.3364,3168482.921,7678.0039,2461.848327,22892.28336,195081.2709,37041.25649,1267221.374,33414.79134,1787190.321,970.5828737,1786.436697,35394.79531,2517.754156,348112.286,1044.608708,19552.01753,113.3437786,5951.324068,456442.9807,2570.137698,4275.708511,23348.17612,6488.99118,5677.761643,784.4557773,854.5761386,7245.687957,27067.40207,42024.7745,2850.263446,24130.19615,128452.7374,4690.776276,11966.68058,9804.202555,6892.901341,1421741.776,26739.17576,21641.55474,5340.447843,,,
Mix3,neg,cells,mix,mix,mix,mix,16379.66587,235144.9498,14560.30338,268797.2959,67826.81875,687768.9199,2324215.878,4242.901082,3178.125586,532454.4905,538720.0945,1200.449585,3546.974017,56979.75892,62694.60693,82368.07392,2668.165005,8656.805956,56038.92424,351973.5505,187084.7485,7463.757901,219529.6215,16314.0586,1172236.253,73808.89406,70340.84325,14471.40965,20456.01861,38987.72803,498329.1199,451810.3592,8285.015264,6511.110378,186401.6564,23885.0917,31627.69802,310303.6655,128751.4275,29040.15192,223021.7762,32859.05987,9844.449183,2644536.348,39568.86706,26370.42538,28700.60205,3891.207799,6953.35531,1804.750852,1334.032782,44842.87975,81687.26315,47738.30465,19043.77449,27683.97119,209081.8659,21344.53928,448.1258836,344.8062837,354637.0448,1587.946926,8608.00349,272.3481218,5011.287095,28533.39387,373.7316318,60473.78163,10126.34698,24406.44814,2590.323819,251.0450011,25525.61129,26871.03831,206580.4003,13037.89862,25423.91806,134831.6409,2853.376163,1709.926265,14130.36267,7155.388574,7510.790028,753059.9855,124157.3545,14059.93103,108449.3298,7822.733423,251905.0042,8702.623524,6118.916152,16455.35065,87350.06608,4997.2482,29816.46059,104930.28,3295752.205,3816.695885,1245.751546,21690.40426,187656.3407,36558.20303,1292457.565,33130.96632,1821376.15,124.6150504,1950.275728,35533.80987,2014.30308,298498.3281,112.0917617,20476.41013,106.1172829,4608.485474,467747.1746,2429.112216,3920.627766,20122.85028,7021.199645,4784.71767,603.1423076,102.5958854,2949.862133,21762.39678,29356.18034,1135.342832,14272.1877,87296.44628,2435.424074,9280.67957,8346.271451,5791.520805,1295672.015,22213.90251,18109.40758,3568.198687,,,
Mix4,neg,cells,mix,mix,mix,mix,13632.64487,191446.3349,13362.81516,259170.5527,58461.19794,523684.5208,1968867.012,2642.863571,2446.019466,503237.5678,509420.0821,1031.618774,3397.989384,44194.52624,58835.2152,70139.80916,2900.609168,6763.138492,47626.78698,292739.1652,153817.3335,7560.433869,144348.3263,14912.66394,1039559.352,52423.03276,54196.24966,13115.45278,23356.52706,34560.84222,373116.4767,348725.9705,7451.796348,6264.958405,166849.4878,18606.78273,29188.35468,218671.2359,107956.1463,30275.43932,193224.4847,35435.41698,10791.93305,2316157.674,41441.71132,23246.08404,26221.5182,3252.832028,6724.21584,1505.764885,724.5391081,35800.66933,79889.41641,35787.82085,16647.65573,22103.24138,170651.3838,13954.59837,643.4737618,512.1153606,261481.2883,1549.075031,8310.970558,611.7792784,4154.677355,21584.18108,440.3686884,43913.20972,14933.6649,22648.77747,2438.234123,,25946.28744,23236.10131,160509.6516,11210.47822,27911.09258,111145.7528,2175.38386,2573.292748,12195.77626,4098.169182,8984.781064,745269.5372,87283.73028,11396.18193,91636.83854,6007.281283,234789.846,9194.630216,5263.783008,16727.90281,68143.38774,4215.144655,22253.99761,75572.42325,2555216.086,5663.030589,3921.908348,16964.03597,153881.8966,27173.18748,903754.9826,25123.77652,1392863.771,897.3101633,1554.129757,29669.77318,11178.67996,376671.2621,280.0504217,15143.38587,595.3011699,5260.573793,326348.5233,2328.36379,3322.512667,21990.7459,4861.779124,3638.117592,281.4544609,2125.774213,8395.89283,55944.48143,42603.51633,3688.545828,29241.12321,153062.6321,9494.196037,13399.68281,10244.03385,7196.902353,1450826.666,30759.67983,21830.30778,8823.414904,736.4329942,,109.2708997
P1_C1,neg,cells,sample,cntrl,base,p1,18848.37955,369912.3355,28934.44275,482645.6265,88378.84726,1216138.22,7479186.926,11985.22657,6819.221961,964443.5804,975370.7804,3467.178226,7841.648355,80806.33316,117984.921,99702.14977,4507.440465,7982.36646,52430.77894,495736.6268,334881.2451,8305.350715,289406.9342,12531.83452,2100158.204,140374.8341,70110.85191,26430.25513,47874.91296,69117.5774,834289.1437,763149.2054,15367.99698,11040.96829,229350.4485,24961.46336,40521.93969,303870.594,73554.74887,54673.93159,72199.60616,81028.18352,19325.48985,4569177.256,73450.30758,38551.23464,42863.68871,3448.271637,12474.68956,2207.899762,527.3095544,48717.59458,133099.5798,41647.82092,40486.82147,31033.86554,183056.2895,16949.94066,1371.436031,8125.229196,518650.0497,2389.363896,15873.74792,474.5204738,12470.99833,55717.79814,3130.555372,47661.19825,21508.05961,36582.04105,3953.233294,3049.652351,39347.06533,64646.74626,327391.8505,15941.28216,47576.01204,370732.3642,3878.869333,8666.190313,22301.49922,4818.82203,14248.49325,1380968.642,93750.23852,24618.67975,145088.2687,4443.279722,417195.2021,17524.10892,5248.908809,33410.86372,79016.969,9219.066371,38943.02892,95775.76356,2722778.329,17794.59308,12067.94958,29164.8142,311893.9564,25711.78797,1092405.116,52554.33267,1271206.352,2318.587757,3103.422181,29404.25626,5091.578197,712380.9328,4384.918524,13896.95944,2504.406777,19066.86549,331115.413,5093.050778,2517.322732,73589.23475,4660.421911,4385.166178,1840.934,4378.231785,21639.93283,141189.2128,76573.21478,11004.37333,52355.88771,243233.7818,16817.75846,22067.91645,19783.22838,9811.140501,2233747.231,40862.06985,41513.52059,25373.38989,1561.006915,753.2371209,
P1_C2,neg,cells,sample,cntrl,base,p1,15897.78552,305292.7448,25804.40541,383280.1116,73505.13115,849487.5857,5723642.73,9587.36627,4206.46083,735027.425,743770.7281,2826.840793,6695.087366,68427.48233,97911.69527,84539.93803,3688.089445,7159.298985,42914.72703,421262.03,262485.9979,8987.755838,239689.2285,13655.33479,1619628.76,106483.7091,61457.89379,24679.64586,42486.95577,57664.77051,689741.8859,630383.8682,13116.93295,8869.072512,177861.4783,21076.2274,37245.63818,277906.5594,66474.01975,44173.89411,124448.8086,69538.75287,21461.50126,3597717.512,66755.7583,32129.23958,37767.6843,2258.064925,8883.62877,1704.892175,510.6303532,43854.87865,117009.677,39296.14165,28343.24701,26386.10491,155772.3592,11569.23239,836.7943092,3553.247662,428064.3881,2970.643113,12138.33937,740.2191316,9790.675205,45090.97596,2205.79296,41126.06344,19829.9516,33060.94446,2753.223569,832.9265208,33597.37296,54040.48225,270129.0832,13712.6504,45437.73605,278702.6798,2157.673791,6081.949978,19858.64345,3927.739937,12691.56568,1038530.549,87738.15169,21528.98242,120604.1876,3643.955525,344781.1835,12894.60903,6152.952253,23912.06752,61844.62483,5697.747718,24832.7613,61531.23827,2313194.856,13201.50987,10429.3567,22410.24887,191856.3742,24980.74869,698802.7256,34211.35391,1106195.542,1469.438331,2432.148863,27657.72024,5700.294309,663445.3666,3005.425506,13176.15784,1785.53522,13570.22026,201909.0558,4561.038573,4971.5762,45564.6479,4749.159018,4139.998816,1101.063962,4051.740193,17809.66577,85887.80408,67680.77541,9626.276661,54154.47636,245841.8698,14412.26728,20230.89033,15895.18181,9352.864902,1909106.665,30702.37536,34706.42806,21449.05174,1410.470849,897.7250174,112.9335172
P1_FA_VPA1,neg,cells,sample,vpa,5X,p1,15272.83113,247593.82,12388.09622,226262.5136,85358.93807,574316.8075,361303.392,2740.203161,2047.588718,479863.9732,484603.6296,751.3762873,2478.060925,56576.31357,53969.2626,67716.96428,1143.651713,7275.566158,52209.37419,301675.6457,146167.6156,8399.041493,203810.3365,18065.31586,984257.2616,24306.15932,74086.42251,10867.14415,29997.91375,27461.69628,352678.9912,321640.5423,6389.244416,5987.306135,206501.1283,16123.75523,26571.43875,347742.0286,117034.8117,19025.22618,464500.8454,37309.01059,9065.522695,2325687.576,32656.98274,26684.02094,18487.2684,2912.834289,6425.572681,2317.00103,878.9192426,34522.38674,53654.32248,50101.65112,7757.502064,23180.3422,190484.3638,11802.48917,1001.660233,99.78177193,246532.2717,3637.575179,6684.847215,131.9952461,3478.90888,21412.77185,530.3626701,53303.50707,11959.37871,24474.92219,1453.828363,,26965.28055,19722.59995,152390.6675,8428.666783,19546.04805,59024.21027,2710.667845,4222.449255,10088.52405,4418.966019,9323.777407,727157.2356,108240.4342,6718.537801,82305.39981,4850.280275,210307.9766,9771.910082,5919.709027,15059.38845,78298.53798,1234.325132,9141.012924,63393.49602,3017006.311,4597.508016,1554.039989,15680.82419,41013.24844,32638.10954,819305.8992,6877.910018,1428799.675,929.870846,492.0212413,32018.88889,7653.525222,452091.9072,471.3636307,14862.12543,,457.0848053,370516.401,1638.1092,2783.086715,1730.154951,6173.471456,5436.305122,213.1737682,1872.572242,6532.436065,15561.82618,37065.70318,3587.590178,26104.91777,161973.1098,7138.859646,11652.09029,9220.940586,8059.216552,1554609.295,40789.00677,21678.73969,3387.317583,1033.617099,340.1048039,
P1_FA1,neg,cells,sample,cntrl,5X,p1,17804.38528,244374.9242,11887.55088,251247.0378,73076.22523,526079.9484,665362.6926,6912.394891,3219.354241,383005.7747,389014.6041,750.0018754,3907.531425,52698.75726,75523.01773,72061.01831,1088.138894,7579.826347,27037.01558,291215.3401,132966.7836,9468.18851,166967.3063,16178.15035,1201754.802,30390.94087,88250.83901,13505.95684,30395.96393,35266.22524,348146.5666,307950.7582,9772.025603,8274.075949,222454.683,17047.05573,29908.81703,460822.7407,102653.876,14577.50048,556836.1163,40519.34353,15298.38823,1911371.559,27045.77056,23513.72507,23331.10455,4419.223769,7923.233636,1966.356095,731.2754899,44119.91891,66847.29639,60864.79572,7725.548123,23047.4349,266850.4595,14339.41419,109.4742085,226.8159556,251072.9404,8589.028569,7465.425451,,5477.302655,21311.8855,,66736.93982,14256.13269,26542.73188,1441.448378,,25705.43555,34377.60725,155410.8124,9757.901803,27679.10683,187263.5486,1379.501874,4662.224307,10798.85042,6113.088148,7553.068612,810186.0621,136279.377,9234.182915,76324.2154,5643.612564,222028.9481,5254.662239,7217.998098,8372.677495,84397.6392,1976.389609,12529.3316,43711.16291,4071222.545,588.4657373,1787.366302,13034.55325,74256.20792,37266.4033,535228.1751,12727.95409,1985673.357,1363.93949,1497.424545,42336.63328,3983.792639,395536.2032,453.1667802,18217.09304,116.0883866,4979.08112,158574.1111,2915.833433,4546.892534,15729.86652,7684.509388,6402.805081,589.7947522,1982.936997,5472.503121,26940.12125,35365.41123,2821.572884,21211.25124,134163.9985,5820.613325,13725.63044,8954.723288,8485.35995,1436516.666,39410.63264,23814.40644,2692.675977,1060.756915,110.022122,
P1_FA2,neg,cells,sample,cntrl,5X,p1,17918.39425,208390.3744,10132.01595,228888.1081,66723.84157,471683.0393,524065.7048,3991.895034,2317.775701,338832.4145,343887.2722,775.006086,2990.383068,41707.33267,65066.49005,63791.4,1478.529633,6622.27914,21371.39338,258425.2579,117948.4641,8956.350192,141242.42,14616.36752,1112888.324,26221.27405,82551.55475,11673.28888,26515.08404,38735.17455,303387.8859,267555.5164,9111.425748,6301.564365,181360.9572,15176.2674,27086.78382,405375.4241,93594.95607,13964.29205,520786.587,34883.99781,22041.9884,1543367.141,24013.28316,21893.6492,24957.16417,3753.186287,5128.35858,1761.923956,2531.411435,37819.99502,75550.53078,59575.83333,7263.825975,22718.9964,219055.8105,13024.58319,435.4853603,111.7807559,205908.2923,2126.929705,5933.970097,,4162.476772,17509.40895,103.4904304,59175.57467,11399.11354,24750.89414,1081.803544,,15990.95316,28710.1724,126236.7274,7836.925996,25227.08988,158004.9869,519.7874625,3769.981961,8595.723807,5490.568409,7851.278155,491342.7095,119582.1926,9489.356314,68284.34509,5197.04984,204920.6989,4764.288442,6915.968135,5486.052871,75133.67068,774.1910562,9916.143213,39867.3921,3388661.13,812.8537038,1189.935455,10492.22924,61429.28764,34158.85221,492002.6797,8816.455032,1677534.166,857.171465,1365.95129,35645.58579,3340.361997,297521.402,114.17625,17006.73717,,3105.887017,147984.9343,2701.893471,2426.838527,9389.06288,6914.811752,5192.346904,110.0895778,1404.719383,4299.388698,21554.59234,28544.72821,2393.381033,18719.57673,116802.3054,5693.48606,11973.1753,7953.78895,8078.984811,1205914.807,34439.88295,20458.83088,2841.330221,264.2856779,126.5559426,
P1_VPA1,neg,cells,sample,vpa,base,p1,16540.3181,386587.4603,12763.20784,354859.8922,99213.55862,898106.279,956360.8761,6647.540559,4843.337392,812874.5538,822133.3773,1381.777779,4739.783975,83461.35393,76743.37169,106980.375,2570.913904,11279.34642,103946.4915,432145.2838,224121.9603,8623.90952,233929.0179,16243.8923,1506256.269,50523.97417,61662.28511,19650.22474,45771.84292,52254.85437,561793.1324,523130.484,10855.51997,9355.323941,302280.6039,20938.48952,30772.62286,312069.0185,135111.8477,42913.04089,431909.6073,66629.5828,12378.79329,4141087.357,78999.88619,31335.25354,23711.79167,2690.480956,11732.01812,4533.237322,975.8202638,38746.13772,120796.1996,43129.60277,25866.10337,33547.16384,209053.9313,14508.30872,1636.274997,1943.986281,412043.4042,4183.770069,9076.225463,2503.264534,5897.155506,26166.07619,1268.87662,43235.26201,24280.09963,31642.00629,3369.923135,223.4029838,51149.47953,34653.85372,258977.4674,14410.57346,30899.09318,104981.072,2440.985088,8648.104905,23681.61288,4644.959329,17323.66553,1397621.956,93594.57833,12419.53196,133486.3582,3683.179669,343915.3941,18621.08862,5929.143107,21910.80435,69464.1111,5222.444952,21049.89692,108573.0689,2533479.692,13252.39801,2586.139975,26634.05867,123085.8049,31504.89602,1335395.818,23191.30252,1279355.009,1359.569348,1876.296515,29971.44932,10651.06134,840436.8579,1649.735881,13152.27017,747.4571206,6448.280935,545007.7678,4103.654322,3751.336813,25886.88903,5600.611264,4670.862952,903.1033537,7704.466875,21431.72653,78611.34656,77186.62646,10866.99856,73399.56719,329601.3128,17504.94831,22739.31815,18169.24728,13017.18291,2507196.881,41228.70863,37447.33472,14335.83197,2645.658287,984.8026696,163.8998628
