Samples,Mode,Type,Group,VPA,FA,Plate,hVPA_FApC1,hVPA_FApC2,hVPA_FApC3,hVPA_FApC4,hVPA_FApC5,hVPA_FApC6,hVPA_FApC7,hVPA_FApC8,hVPA_FApC9,hVPA_FApC10,hVPA_FApC11,hVPA_FApC12,hVPA_FApC13,hVPA_FApC14,hVPA_FApC15,hVPA_FApC16,hVPA_FApC17,hVPA_FApC18,hVPA_FApC19,hVPA_FApC20,hVPA_FApC21,hVPA_FApC22,hVPA_FApC23,hVPA_FApC24,hVPA_FApC25,hVPA_FApC26,hVPA_FApC27,hVPA_FApC28,hVPA_FApC29,hVPA_FApC30,hVPA_FApC31,hVPA_FApC32,hVPA_FApC33,hVPA_FApC34,hVPA_FApC35,hVPA_FApC36,hVPA_FApC37,hVPA_FApC38,hVPA_FApC39,hVPA_FApC40,hVPA_FApC41,hVPA_FApC42,hVPA_FApC43,hVPA_FApC44,hVPA_FApC45,hVPA_FApC46,hVPA_FApC47,hVPA_FApC48,hVPA_FApC49,hVPA_FApC50,hVPA_FApC51,hVPA_FApC52,hVPA_FApC53,hVPA_FApC54,hVPA_FApC55,hVPA_FApC56,hVPA_FApC57,hVPA_FApC58,hVPA_FApC59,hVPA_FApC60,hVPA_FApC61,hVPA_FApC62,hVPA_FApC63,hVPA_FApC64,hVPA_FApC65,hVPA_FApC66,hVPA_FApC67,hVPA_FApC68,hVPA_FApC69,hVPA_FApC70,hVPA_FApC71,hVPA_FApC72,hVPA_FApC73,hVPA_FApC74,hVPA_FApC75,hVPA_FApC76,hVPA_FApC77,hVPA_FApC78,hVPA_FApC79,hVPA_FApC80,hVPA_FApC81,hVPA_FApC82,hVPA_FApC83,hVPA_FApC84,hVPA_FApC85,hVPA_FApC86,hVPA_FApC87,hVPA_FApC88,hVPA_FApC89,hVPA_FApC90,hVPA_FApC91,hVPA_FApC92,hVPA_FApC93,hVPA_FApC94,hVPA_FApC95,hVPA_FApC96,hVPA_FApC97,hVPA_FApC98,hVPA_FApC99,hVPA_FApC100,hVPA_FApC101,hVPA_FApC102,hVPA_FApC103,hVPA_FApC104,hVPA_FApC105,hVPA_FApC106,hVPA_FApC107,hVPA_FApC108,hVPA_FApC109,hVPA_FApC110,hVPA_FApC111,hVPA_FApC112,hVPA_FApC113,hVPA_FApC114,hVPA_FApC115,hVPA_FApC116,hVPA_FApC117,hVPA_FApC118,hVPA_FApC119,hVPA_FApC120,hVPA_FApC121,hVPA_FApC122,hVPA_FApC123,hVPA_FApC124,hVPA_FApC125,hVPA_FApC126,hVPA_FApC127,hVPA_FApC128,hVPA_FApC129,hVPA_FApC130,hVPA_FApC131,hVPA_FApC132,hVPA_FApC133,hVPA_FApC134,hVPA_FApC135,hVPA_FApC136,hVPA_FApC137,hVPA_FApC138,hVPA_FApC139,hVPA_FApC140,hVPA_FApC141,hVPA_FApC142,hVPA_FApC143,hVPA_FApC144
Mix1,neg,cells,mix,mix,mix,mix,24160.05283,9581.923554,889515.7471,1087393.24,4606005.279,11188.23664,47995.35837,103347.4127,2999522.383,46104.69835,158508618.3,414679.6851,129629.7911,2171328.714,226615.205,10453.46745,3954215.772,8634793.448,321984.8988,10915535.54,4001949.253,1301154.022,119656.5143,51268.13946,10791308.17,19417.801,3221.97162,111992.783,22777.00553,24654805.8,7036373.689,8235464.729,211997.8659,73338.19919,470581.702,39142.13396,27761.05577,512116.9388,127654.4119,54106.1336,58509.36677,77347.49777,38148.31412,1995419.415,11855681.73,1994162.099,13884215.07,765801.8983,8274.153974,2010.852452,15376.02527,1875407.929,21186.01999,1241318.829,11309228.77,52556.17778,59780.67558,7504464.703,220542.5741,150548.6826,663335.1503,861657.9383,23948.63715,16760.6026,7028511.737,27917.8068,3136329.713,355958.6564,106255.5094,121311869,2770479.608,639056.4322,1405829.222,76190.75076,11199521.74,2256273.238,55324.80462,305173.7151,650453.4915,1473306.447,169544.4557,70484.72065,471806.8717,22392.57441,33832.9916,49381.38097,316425.1316,8241.171466,57102.62349,5614.369212,18663161.14,74015.45,71649.18487,19625.1138,344946.461,505947.1511,727164.4511,627087.7384,118309.4307,65819.49105,441633.0165,17873.09909,9170516.956,32779.09962,66641.69393,2104.37193,527794.1511,8765.39635,2247.944247,59160.46032,67972.95659,8127.854797,126782.8707,416584.3652,24209.33483,7612.345339,32187.52594,10442.45572,45452.15271,85468.46357,1725046.936,117378.1843,12464.18688,2032735.129,236269.2812,883051.848,38055.32188,10069.43326,3717338.999,1359268.285,31197.00099,3682.067837,16457.38846,4607.037722,2145.74353,3036776.662,1337563.644,1408794.702,181716.482,77794.08547,106397.7059,31999.23486,41942.40208,82591.34419
Mix2,neg,cells,mix,mix,mix,mix,15913.32741,7247.168805,695920.7409,781051.4632,3203837.857,12178.32518,36704.43418,73662.23315,2232972.83,42266.79587,139320793.5,309953.9095,105610.1167,1436458.818,192340.6134,6182.887802,3034542.913,5711079.235,259856.8476,7668825.58,2653391.939,899652.9144,92715.98828,40561.391,7688534.483,13332.00854,3491.370761,72165.74458,15507.32349,19082763.2,4936963.604,5760548.774,163909.0907,48725.90046,333179.6163,26380.15825,62774.17018,393294.2364,85793.46116,34583.48738,46652.1302,53647.1676,27499.39439,1186263.122,9365810.157,1326808.335,8631318.71,596304.2612,6984.838401,2477.554229,8580.3073,1475110.932,15439.94587,943535.6652,7487756.409,34287.17776,30960.36116,5844288.854,132736.544,102465.8639,479010.3271,670702.0139,15246.44615,13841.55376,5993667.535,20436.23388,2233686.289,243390.4839,72632.20463,83766027.41,2145012.47,420209.2452,715525.8377,50089.64243,7273123.271,1918288.763,49632.67553,182945.5323,458980.6341,954512.8501,117716.6909,53750.8125,279562.9929,21395.6784,22540.13961,35854.36603,266930.9293,7358.197968,41498.34602,4681.739964,12792882.93,38887.36173,34693.3807,13417.65499,369878.3977,380090.2634,540827.3429,483117.1435,84265.83565,39557.55688,163435.0107,10659.07458,5398279.694,13075.12168,50017.85232,1491.550082,314598.7001,12199.38222,1507.005856,26681.88579,39788.7403,9313.197613,124737.0246,290263.2607,32611.12156,8097.951501,23711.14103,11110.13624,34284.94762,66300.39374,1441349.547,76571.21809,6728.279525,891866.6585,139176.3989,570632.6343,24153.05665,10335.89531,3430793.496,652435.5915,17246.43386,2932.095057,17761.17856,2914.030071,1402.256024,1767777.558,733683.5097,825322.9903,96699.22424,117194.1224,44921.90651,12667.02313,25426.01423,38776.311
Mix3,neg,cells,mix,mix,mix,mix,14138.64505,6627.874563,585182.8634,656277.7836,2597163.059,7932.688997,32186.9891,58797.50916,1801820.761,42940.68854,128443484.2,253175.0743,94682.861,1072033.124,158579.7372,3960.987408,2575337.049,4362548.364,228902.8342,6102510.247,2139960.535,688150.6013,85642.30959,43666.86936,6181447.366,10273.63238,4115.080868,59835.02077,10782.61301,16332382.87,3925600.123,4679775.247,127740.7459,50658.34228,264374.64,19490.84306,106245.9902,355859.6448,76746.61783,25456.98978,37592.44912,42534.02483,25737.07974,835455.8025,7888416.086,970771.5232,6311957.818,498692.5713,7041.780454,1840.108192,5886.925415,1244052.323,13907.54041,696954.4437,5580546.916,28359.11753,28662.81244,4986002.321,100064.6526,76875.39176,369881.0512,559227.6906,9683.354678,9088.863725,4872999.117,17289.84493,1885354.783,202756.0011,57613.00163,64817690.74,1669973.386,327151.0421,431980.4678,39898.23218,5515252.007,1718429.965,43388.57266,118133.7192,379640.4015,752916.3849,99936.21014,45508.09992,191398.009,23718.31531,7994.771104,35153.3398,230967.5147,6715.584145,30629.25309,4985.311594,9426323.205,25205.96518,23440.37731,9000.233871,367821.3439,340006.4983,484414.4371,408892.4029,67789.8226,28744.53966,122216.4114,6483.754276,3605238.715,6874.757862,34629.96549,1631.304757,218249.2914,9763.817686,1806.411425,9235.861316,24634.32287,11201.83642,113369.4368,217703.6731,32881.43811,8191.989397,17437.81396,11739.56817,28891.92647,55350.21513,1302492.377,57149.81125,3434.785273,405340.7878,90671.32693,356828.4307,16431.59075,9893.391934,2500836.179,355172.2468,11008.81853,2094.423083,16169.25084,1709.696612,755.8346517,1165794.621,483864.9051,535834.5871,59145.41072,132912.5477,22674.4798,4345.242251,18025.33738,20255.10519
Mix4,neg,cells,mix,mix,mix,mix,12590.29851,5824.675037,523596.9254,606444.9503,2312253.522,10441.60973,30279.62149,48534.71961,1610220.115,43621.97248,123199413.4,238939.4798,86793.50683,923349.2478,155411.4372,3001.260207,2357279.604,3848607.997,194990.26,5378760.833,1928201.774,588430.8243,86504.01204,47475.68802,5469496.619,9575.500758,2928.960908,53029.34781,11256.74559,15036536.69,3507600.909,4115252.379,123884.9983,48756.92912,218983.7154,18749.8768,134515.8655,358128.92,76510.20791,17574.88562,35347.71048,38483.81216,27257.88789,690140.3526,7272688.262,895563.9502,5385360.026,466257.387,5931.125882,2025.2491,4765.913399,1122845.795,13960.97422,621962.6581,4771318.779,25933.93168,22963.49996,4545358.214,84641.12778,69513.75117,329179.517,492597.5639,6857.646209,8899.233049,4453690.292,16369.30588,1704185.414,185673.3601,47133.16693,55093928.04,1431100.752,272519.4365,342159.3709,34170.46182,4736437.303,1587996.988,42746.43688,91065.7247,327703.8048,661835.0914,83836.97116,40621.15425,163477.7847,23259.3667,8431.116295,31835.19812,210037.7926,7378.159606,28795.05553,3743.830873,8153748.009,23141.36342,28423.41707,5617.582428,361053.839,329076.918,458883.3927,373656.8795,63981.61158,22403.8463,129294.3942,6340.833383,2912829.569,5202.942655,28214.96115,1266.051704,184743.7942,8045.066252,2425.792919,7243.372648,18753.50942,9472.379595,102491.7731,179313.0547,33051.28476,6675.261125,15099.82037,12635.5382,28695.82382,50410.68498,1365330.478,42857.76687,1096.869752,296307.9084,69117.42366,244446.4003,13164.67294,6937.581621,1798295.109,241944.1006,10343.81542,2402.970709,18324.89326,908.7223127,763.8619318,942465.6157,378331.8079,438884.3673,43415.82063,136521.9943,15172.84973,2374.961537,13939.17025,14878.58404
Mix5,neg,cells,mix,mix,mix,mix,10084.43271,5094.007144,536104.0693,557559.5082,2193254.052,9487.397625,27753.72878,42381.654,1458776.176,41677.98025,119573785.4,221379.8314,78983.16899,809861.1794,151198.8582,2545.23644,2205447.574,3405540.542,182222.6058,4949033.078,1692204.579,523318.4482,79382.6743,45876.30336,5037258.995,9037.784178,3548.388353,48811.11841,8533.090097,14077642.37,3319415.545,3840517.547,111645.5823,50760.67637,199779.6388,14547.71937,151162.2646,349760.7876,68368.14136,20957.68869,33179.8105,33745.04472,22254.96335,604908.0593,6766982.316,840785.838,4774396,422127.3885,4119.78774,1350.931633,5150.004183,1021429.337,12754.47079,557029.8704,4257781.325,24341.16113,20957.43314,4286223.252,75024.25946,60347.57769,310497.7607,448778.0947,5374.163638,7465.253108,4188912.562,15534.2984,1553926.067,163365.9363,43083.39459,48361956.53,1256466.289,244601.1986,286210.2859,26862.26941,4209176.363,1528452.495,40332.98901,69386.14143,300149.7069,608322.1158,58972.11837,42786.93249,158073.0355,25245.44963,7733.90436,29311.20875,196851.4705,6213.77122,29119.81807,2891.144742,7205685.74,20884.84681,22026.08206,3509.206854,349017.7251,321041.9057,449055.1247,368467.3084,58817.10142,20953.18057,138760.8118,4156.995146,2453619.679,4011.708838,23978.50883,959.3049525,154739.1626,6949.451002,2102.757985,5399.090101,15997.25644,8837.190058,85244.51469,158833.095,38828.76625,6832.925793,11531.13704,12596.798,27008.53378,48503.59737,1430110.871,35216.37101,728.798955,262057.1886,57122.87407,182402.6354,11174.59224,6241.032653,1366286.312,178783.3472,7955.647654,2058.565006,15724.01068,498.6824736,1322.315168,785867.1341,329714.7218,360343.1678,35162.51717,144822.5512,12207.49672,1329.640563,10530.05257,12275.42079
Mix6,neg,cells,mix,mix,mix,mix,10538.08872,4251.240612,585621.1758,565294.6652,2221223.988,8220.159231,25422.06054,42857.15229,1720737.66,60434.22572,115253352.9,209536.5351,82589.52239,870512.0611,186785.3007,2467.906049,2444080.341,3761414.853,180370.935,5271586.49,1758836.611,621814.2114,83986.22618,37353.35947,5106407.373,7488.672771,2881.983884,45500.4342,10599.75114,13566937.3,3500811.016,4101607.695,115385.9156,67911.1082,240266.1429,18244.29339,57899.07855,363024.1196,66425.28619,21450.0907,35922.26955,35593.50193,19863.05626,744522.3434,7051657.574,1271269.377,5870882.141,384080.5914,4891.369086,1297.599685,3964.35155,1211998.453,11434.07353,854946.6245,4729409.335,31252.77429,17399.51863,4341028.61,90269.38073,58068.3463,342834.7048,415471.3121,12142.8632,8234.145268,4956231.341,13287.23297,1677975.403,172715.9657,52768.29246,56175519,1380004.297,278517.986,482791.9384,32431.00103,4530227.707,1461501.334,35222.87548,58088.0865,309192.5731,636149.4611,85907.64024,47606.25494,215864.7531,19533.07064,18056.19101,37802.48889,247938.1841,6216.47087,32905.32663,3804.187323,8957312.137,23071.61681,8410.940713,8337.229727,366129.1278,470813.815,438835.1377,400625.9261,63640.27251,26831.506,163641.5171,11617.71048,3488247.926,4423.443764,34872.97033,1390.992176,265481.3542,9058.869144,742.2101202,21693.1599,22085.45576,8539.592074,70988.1081,190473.6657,30917.56872,8499.824333,14383.49356,9934.940575,24169.1478,47543.91875,1559687.427,57687.89218,2967.843955,576524.4889,96289.45642,372671.8104,23251.93122,7461.259578,2297275.894,364654.818,12928.1941,1757.273924,16115.77686,1560.790272,711.5793176,1338854.984,528153.4672,576712.4184,79978.86898,125117.5079,33391.67214,11431.71389,14385.77603,25420.13803
P1_C1,neg,cells,sample,cntrl,base,p1,12679.18778,7663.987946,730474.0224,916378.2379,2981454.71,16320.38589,37540.14686,59113.50865,2400153.525,43985.03627,149937454.3,264377.3281,104952.2799,1224551.161,227862.4186,4753.406657,2813023.443,2750190.92,237521.3492,7903286.395,2678718.345,747776.5525,80371.17093,76639.94171,7632747.376,13670.35471,1649.385945,63109.23751,16625.05985,18430916.29,5301032.955,6041340.083,239348.4017,79989.54565,203893.262,36873.50637,83425.50421,481022.5411,125586.5418,38405.1325,39530.47725,52314.59058,25272.16573,1144671.222,3781764.097,1481942.707,9457523.741,504934.2888,9431.054015,1346.854954,6761.699161,1413429.418,15309.37086,1034608.488,6323458.301,42271.32812,29922.26198,6027645.002,145777.1532,99078.99497,621077.7771,641855.0068,15458.71933,9797.0302,6394050.757,15490.42534,2270794.604,244832.0476,107747.261,69673443.23,1355739.515,386141.3168,616416.3251,28348.40632,7391743.29,1858031.829,43576.29469,66514.07821,400354.1309,922922.2038,194614.2976,71719.35757,188783.9898,19827.55163,13343.12578,45866.10302,411256.7504,9560.413137,55921.99494,5697.981923,17263180.13,33176.64594,32125.25631,13921.17737,337077.9636,566622.0572,691728.9357,628416.0503,115570.8993,39986.27923,208209.3284,7123.505869,4399192.528,11245.6209,65856.97617,2166.661074,530745.4324,10295.67752,2268.820723,20213.22701,32765.31198,8952.378522,145041.9623,374184.0816,34349.56873,6930.848967,32323.30398,10174.45675,48584.511,57795.39296,1983869.438,89419.21556,4777.685682,591605.4694,152826.8867,389951.9397,22573.68234,11345.12662,2448498.449,366692.1935,14508.15243,1722.519526,13472.81779,1407.315403,1715.383418,1394027.285,461670.921,654476.3531,111776.9031,107317.944,26639.57818,10226.24216,19069.14718,29758.90208
P1_C2,neg,cells,sample,cntrl,base,p1,10595.52396,5405.545742,685840.6374,813487.1503,2912193.197,6450.239436,34827.36023,52593.31697,2256301.485,48857.20493,133870976.4,249335.7838,96772.09941,1137596.02,210894.7881,3563.935138,2793794.629,2736199.793,191799.8355,7426060.736,2425109.869,766197.783,70781.08803,67969.18655,6852030.865,13485.70182,1518.082915,58839.33166,12942.31904,17223542.96,5296169.709,5955332.719,178953.4231,73544.37472,198430.4483,32499.89401,56857.89363,452579.3016,90989.7741,34413.7143,24880.35462,48582.86414,22705.68486,1038210.193,4949097.92,1499516.598,7734785.18,467209.8914,8937.41571,1544.60102,5965.433959,1504445.581,13067.33099,933912.2059,5862646.522,37410.7781,17694.91484,5497317.688,135371.1416,77955.32813,567076.0865,575585.3767,16059.13686,9870.363117,5846255.839,14235.29352,2184839.217,225599.9101,103108.0569,66234905.76,1780020.941,356563.4198,634285.6884,19072.80727,6650262.046,1664401.085,41762.56701,55764.36671,344068.3972,878709.4368,146073.4332,62538.3659,174715.1201,23760.53378,10431.92325,37933.53409,331794.0149,8400.726583,41755.78715,4894.84064,15512746.66,30786.37111,4310.561421,11479.04166,339866.6486,548629.0865,488344.0812,482441.6883,89530.50735,35259.73202,247544.635,7130.283746,4421524.415,8216.459055,54795.00993,1879.621909,547856.8983,11203.50371,2586.147419,24872.5814,28522.17319,10240.13973,103483.8779,277907.7037,30144.5908,11528.59932,22560.92843,14547.21118,37852.89457,56757.68804,1781553.782,82607.98408,3466.682025,440203.7513,147874.7957,443861.2719,17245.78216,14046.03568,2836305.435,427387.3884,15331.59342,1602.742731,9372.157771,1590.410614,2033.793753,1446953.658,402692.6074,689116.007,122356.2552,202577.3286,31708.36824,13169.50537,15478.36843,38698.42006
P1_FA_VPA1,neg,cells,sample,vpa,5X,p1,14195.42271,2760.888541,540883.3829,457706.4717,2207299.369,13634.71234,23871.00743,40300.59098,1226123.264,38624.83089,93677855.31,221879.5903,64316.66053,717247.4627,77571.76938,1590.550383,2003351.445,3189199.025,179055.6097,4071112.188,1384803.166,692739.0586,92971.0413,19938.21547,4630821.757,5527.588921,2767.405188,67533.91725,8016.360551,12427053.03,2688337.68,3126755.194,82050.15924,81410.84386,302355.4314,14637.74554,99529.54031,266793.1824,21396.09409,15548.91568,31144.67096,29624.52754,22019.64205,540867.9142,8902407.929,1056779.445,4200175.251,396685.1287,2294.450826,2002.719574,5606.617963,1128319.316,10518.5538,744183.4889,3956538.076,18317.04456,7438.643032,3072128.892,70516.85776,47459.32806,268442.5073,351021.2128,4199.962062,6324.387989,4610178.81,22484.90586,1183189.393,126654.977,25276.39943,53951322.76,1604036.84,180322.2326,365419.7197,41141.21524,3446480.225,1064121.251,24486.6549,226734.8099,395276.5159,523043.7015,41585.53823,29479.63765,171887.9613,24294.63254,6859.670899,13436.45164,61857.53558,3037.703916,12394.65821,1441.231606,3966763.071,15640.46928,5197.383333,5298.88932,310558.8209,194254.9063,125423.5089,90721.03575,12561.10861,20433.13867,97689.80984,9143.732612,2820873.718,2009.539328,11030.32118,1227.610125,115680.2623,6211.776429,708.1098946,12468.77736,14212.17354,10568.51375,25524.14433,41234.38617,25320.63904,13264.42223,4756.389927,12452.08446,4274.767112,31642.00378,1075342.586,28005.68802,670.9758421,173981.629,36472.19806,269236.1448,9316.186973,7578.435758,1959634.8,268051.8139,9782.395969,2364.351156,18590.10309,1440.168959,154.9407141,1074103.126,594344.7556,452014.3063,30481.25455,137094.9961,29053.93296,4752.310228,13971.76626,28243.01043
P1_FA1,neg,cells,sample,cntrl,5X,p1,13054.40264,2215.362458,535941.132,587504.9704,2108083.725,5910.535473,25757.91475,34200.2503,1227263.124,42099.47982,106054432.1,205960.7828,63382.15347,857220.3713,67503.12798,3069.633656,2046009.367,1691245.01,151519.43,5291421.212,1400402.077,608634.4843,81128.0541,34438.57905,5753471.376,7489.565253,3024.680324,106360.4546,11136.24496,14103344.29,2628068.857,3024374.776,101834.665,127212.9642,248332.4458,13514.01596,129313.0795,352089.2327,32187.53337,20883.5602,178021.9973,34180.1982,27234.26931,637678.1363,9191014.361,1166422.257,3303579.001,407506.7685,4192.443189,1647.172868,4375.250828,1135280.445,11706.67988,706369.5577,4092803.571,22172.68579,9178.465911,3234745.251,101538.836,64153.27483,257825.3895,380175.79,5387.537631,5531.45612,5187643.669,12635.14168,1425387.906,147192.7655,77531.04839,59429377.74,2841113.143,205165.9818,396038.0633,42110.13313,4437282.748,1035101.024,22450.42385,522118.3581,493523.5282,595976.3881,48057.86266,33164.3851,128655.9982,26014.29045,4284.315067,12697.91807,71330.6388,3688.992968,14835.61994,1873.855662,9961026.679,10404.00713,9782.656223,5634.204034,305824.3244,269346.8893,211317.1506,134133.3027,16238.77651,19260.13532,226523.3491,6143.660657,2366663.98,3905.166261,28619.94862,1253.976344,200955.861,10066.26804,1454.326842,12182.73251,14299.99388,12108.79696,49908.94549,156073.4903,18461.80211,9675.605148,9483.302344,11125.7952,2035.339289,41957.517,1049501.256,41660.84555,1410.421976,220568.1489,58590.12909,246023.4115,3486.180707,7282.096704,1774696.853,257970.2595,14121.04716,3082.032959,29495.36204,729.8812662,346.2000755,1018684.511,560143.5767,548706.7891,29372.46694,126317.7586,33538.11462,3913.01861,13859.57579,29779.91555
