Samples,Mode,Type,Group,VPA,FA,Plate,hVPA_FAnM1,hVPA_FAnM2,hVPA_FAnM3,hVPA_FAnM4,hVPA_FAnM5,hVPA_FAnM6,hVPA_FAnM7,hVPA_FAnM8,hVPA_FAnM9,hVPA_FAnM10,hVPA_FAnM11,hVPA_FAnM12,hVPA_FAnM13,hVPA_FAnM14,hVPA_FAnM15,hVPA_FAnM16,hVPA_FAnM17,hVPA_FAnM18,hVPA_FAnM19,hVPA_FAnM20,hVPA_FAnM21,hVPA_FAnM22,hVPA_FAnM23,hVPA_FAnM24,hVPA_FAnM25,hVPA_FAnM26,hVPA_FAnM27,hVPA_FAnM28,hVPA_FAnM29,hVPA_FAnM30,hVPA_FAnM31,hVPA_FAnM32,hVPA_FAnM33,hVPA_FAnM34,hVPA_FAnM35,hVPA_FAnM36,hVPA_FAnM37,hVPA_FAnM38,hVPA_FAnM39,hVPA_FAnM40,hVPA_FAnM41,hVPA_FAnM42,hVPA_FAnM43,hVPA_FAnM44,hVPA_FAnM45,hVPA_FAnM46,hVPA_FAnM47,hVPA_FAnM48,hVPA_FAnM49,hVPA_FAnM50,hVPA_FAnM51,hVPA_FAnM52,hVPA_FAnM53,hVPA_FAnM54,hVPA_FAnM55,hVPA_FAnM56
mix2,neg,media,mix,mix,mix,mix,12366.09998,15724.13938,51975.82178,2708506.504,63356.05547,6771.138914,52298.78881,11790.85981,7300.763394,14230.97912,82398.68514,25411.661,17071.1947,8718.546596,62558.64854,5277.117184,5277.117184,179776.4141,204166.7255,11170.22477,588363.3959,3285.289534,760005.7014,24696.86481,64395.96584,17156.68148,95984.76353,6572.150044,36986.4924,22998.06019,22993.42983,122047.4669,8146.388723,6547.977671,118652.5072,27851.27786,2943.449497,80014.08004,23776.81501,74009.21252,192182.2794,118168.5562,49212.33448,4612.354242,77841.14572,1779.208362,3153.707946,14127.10296,94444.30194,5145.819338,12621.52319,14974.43388,10189.61626,145092.8667,6607.218986,4819.695166
mix3,neg,media,mix,mix,mix,mix,11493.62329,15765.03654,54597.23175,2695727.136,67837.43827,6972.933014,51991.61553,12389.30417,7893.057527,13304.40351,91491.38607,22993.31551,16026.20246,8627.397737,73762.17637,5378.629724,5378.629724,191720.7307,202654.5506,11864.50548,583345.8979,3421.556284,753549.413,24638.00606,63293.66346,16423.0007,95687.3597,6444.82441,37851.81444,23182.1009,25416.95279,122981.9171,8514.904126,5995.608802,118446.2838,27763.17592,2274.256378,79710.38047,22825.30674,75979.46767,18136.03305,118326.1801,49084.94291,5546.239838,75487.00773,2185.049463,2996.464508,15541.22514,100820.461,3586.358571,12623.96851,8618.905542,9915.261312,73993.29739,7000.244935,4699.586556
mix4,neg,media,mix,mix,mix,mix,9633.147063,14319.9342,52947.41345,2643019.393,64370.52314,7754.271629,52128.49233,11942.21289,8012.519629,13711.14692,86515.67026,26202.43624,16456.16605,9062.409505,65274.47681,6272.813569,6419.751988,198545.0791,199449.4663,11836.81493,591431.9381,3441.935871,735532.1227,28708.06834,64448.69839,16158.42555,97421.17914,8345.673299,39174.90049,25820.87599,23709.22308,122981.7113,7667.178583,4560.680104,117316.4744,28645.87131,2883.676287,77946.48689,23145.30091,69518.48003,190560.7485,121697.1194,51877.8621,6615.844292,79562.21552,1845.875496,2973.25597,16628.78498,105422.8071,4382.778559,10614.39203,10480.82793,9721.375224,71182.29382,8318.310247,4267.126169
mix5,neg,media,mix,mix,mix,mix,10005.45031,12967.42283,55455.98398,2669122.829,67160.896,7886.511639,48130.12105,11692.33959,7324.570997,12882.19768,86147.25904,26050.76879,14953.08061,9774.072266,60312.45859,5221.251181,5346.440787,187286.2968,202975.3436,11676.37998,600556.5526,3035.017212,697239.4531,28686.42217,63593.94313,17586.37278,95736.9585,6978.237155,41918.11021,25162.23758,26345.10357,126753.5654,8505.01456,5692.258791,117980.0311,28001.01581,3667.106922,75176.29919,22296.88892,74684.51475,21412.08426,115709.1526,47417.66786,6376.674803,76883.84385,2188.137364,2147.82109,15691.79997,100567.784,4729.617348,10839.0091,14294.59948,10955.49561,71923.12072,7032.720008,4539.469374
mix6,neg,media,mix,mix,mix,mix,10353.4424,17317.22074,42320.03329,2915242.555,67146.01974,6998.463229,48344.04279,12515.67273,7183.745803,11573.2726,72004.77687,23798.19118,16652.11816,9351.167975,68495.08735,5665.467213,5780.938164,168304.4253,186198.8194,12748.39326,601693.0369,3997.41576,716614.1379,25079.89845,60833.06201,16159.21986,105156.4785,8807.811722,37377.50394,23968.23417,23282.22932,115513.7609,7519.995738,4368.733491,114202.8201,26814.51521,2772.861251,78630.56911,20409.25633,56652.09235,2400.092531,133998.6272,50724.31323,5362.006001,87728.42401,1461.754172,3691.266863,17028.97962,107422.7456,4746.385123,12099.679,10794.88606,7680.332221,107192.9013,7797.505125,4488.100877
P1_C1,neg,media,sample,cntrl,base,p1,9711.624954,13573.91648,53471.45906,3025835.076,60095.41268,5516.191518,48489.14023,12835.91632,8527.972176,11632.07589,80129.79933,21602.91473,12717.32351,5310.121785,72185.19479,5679.924506,5618.10602,167367.1986,186677.3024,9643.789649,19206.84584,2940.967244,606584.8006,25027.18116,59247.81323,15091.45403,90521.3649,5898.556608,34686.84713,25836.34731,23498.96064,120083.4555,8597.413978,5097.844089,106356.2572,24322.31848,2825.78837,69710.40151,22264.68136,69984.06184,160721.842,91452.81533,41012.16572,6629.975432,74622.74075,1294.353352,2828.905148,14638.59497,93161.4311,4592.131664,10738.31014,8986.254614,9303.129179,34013.10901,7837.032098,1912.939949
P1_C2,neg,media,sample,cntrl,base,p1,9287.471656,14520.82245,47788.29082,3046041.625,56672.5245,6288.84074,45578.39086,11409.98335,7073.138247,11513.80109,77919.07444,22243.69586,14252.0539,4922.433305,69759.56186,5921.53535,5816.320959,152867.6959,175144.6372,10054.712,25377.40436,3777.852399,646948.4815,23816.2188,49463.7474,15328.19164,87465.02382,5778.68541,33774.67129,23651.9555,23040.25683,106995.9748,8323.346038,3774.20535,107844.8947,21031.31616,1987.874541,69109.24995,20910.06152,56960.05411,19974.65412,96913.57968,41354.78759,5765.540198,76858.25272,1280.126706,2469.170657,13555.68445,94534.47937,4591.95236,10017.79225,8114.391335,9626.495574,29434.2347,6990.871739,1568.168665
P1_FA_VPA1,neg,media,sample,vpa,5X,p1,12084.98981,16698.03039,45167.58651,2171304.854,74370.46212,6321.232041,47556.29389,13063.18103,6826.905766,14573.19851,87004.23395,26785.11978,17317.62343,10956.11941,65080.94265,5360.909159,5360.909159,194066.4094,198936.34,13424.69736,1113612.567,3617.57715,699643.1207,26106.85842,63436.04629,16412.72325,97582.10854,8261.209046,41160.48998,24584.21525,28302.806,121240.2372,7635.340267,4449.224287,113256.9502,28699.85643,1999.178325,66004.06242,20457.18378,76033.72057,17547.75501,129616.2758,50217.59909,5443.098915,78315.77702,1933.630956,3033.584809,15583.76501,95966.86289,4328.213421,9561.172803,7817.298075,9196.600334,31037.99545,6936.003812,1815.672197
P1_FA1,neg,media,sample,cntrl,5X,p1,11621.944,16958.77605,43644.85375,2016012.403,62276.6734,5988.300668,47620.94044,11424.50927,8595.576877,13946.66577,76437.80302,25863.68567,14428.16133,8439.214267,62386.10557,4617.941628,4569.125966,175697.3067,183841.4554,11475.87782,20796.15754,3742.210077,575490.6213,25280.19829,51852.04395,16964.12403,92305.23783,8725.728544,37173.75114,24753.89828,25615.02198,112598.7342,7572.712714,5046.551626,96682.28167,25645.77144,2000.675798,52132.98009,19384.84304,71106.51882,17646.21101,98550.56419,40662.83399,5142.957382,68009.06305,2202.22727,2756.570323,13865.174,92568.66082,3476.229555,9727.303244,6614.316098,8593.416128,30369.45869,6900.749126,1355.010869
P1_FA2,neg,media,sample,cntrl,5X,p1,9317.534993,16973.10593,38714.62018,2109564.153,61923.95007,6755.855678,39905.98819,12837.39043,7583.056806,11188.88707,68673.15818,22701.26332,16087.74856,8237.003608,53733.79933,5360.65422,5223.813973,149409.4003,175039.7463,9873.544822,27885.36598,3307.678785,590761.4583,20054.29101,50357.77369,13978.26302,86481.03429,7408.917004,31411.88915,22724.30244,23074.71637,98459.41667,7166.558472,3048.45346,98147.75662,24511.2659,1845.93375,61679.58117,18586.47737,54185.9793,16334.99748,109688.8706,42652.37018,4492.949907,71947.53819,1612.006096,1929.403394,14098.53962,82051.45484,4117.898344,8778.776664,7191.122856,5818.74817,31373.41855,6684.907326,2377.856846
