Samples,Mode,Type,Group,VPA,FA,Plate,hVPA_FApM1,hVPA_FApM2,hVPA_FApM3,hVPA_FApM4,hVPA_FApM5,hVPA_FApM6,hVPA_FApM7,hVPA_FApM8,hVPA_FApM9,hVPA_FApM10,hVPA_FApM11,hVPA_FApM12,hVPA_FApM13,hVPA_FApM14,hVPA_FApM15,hVPA_FApM16,hVPA_FApM17,hVPA_FApM18,hVPA_FApM19,hVPA_FApM20,hVPA_FApM21,hVPA_FApM22,hVPA_FApM23,hVPA_FApM24,hVPA_FApM25,hVPA_FApM26,hVPA_FApM27,hVPA_FApM28,hVPA_FApM29,hVPA_FApM30,hVPA_FApM31,hVPA_FApM32,hVPA_FApM33,hVPA_FApM34,hVPA_FApM35,hVPA_FApM36,hVPA_FApM37,hVPA_FApM38,hVPA_FApM39,hVPA_FApM40,hVPA_FApM41,hVPA_FApM42,hVPA_FApM43,hVPA_FApM44,hVPA_FApM45,hVPA_FApM46,hVPA_FApM47
mix1,pos,media,mix,mix,mix,mix,36276.39581,305628.2941,3954.020544,3500.900724,1409.823338,133893.0127,44588.53684,158455.9373,530994.6953,17859.54001,23827.65339,620.7382364,624.1095293,110920.438,239989.9963,237218.7352,689.4849443,5025.710648,5259.746304,10388.21752,10501.34519,4566.841722,501022.3979,137352.6357,35776.79087,31210.45221,88830.35441,641.5958536,3510.713904,48936.88273,230693.7529,107866.3103,16485.75487,3417.961542,388857.929,3481.012163,7527.498993,21127.08184,55022.37546,6369.71394,5950.25595,14908.20041,28025.95731,9553.021633,17519.62131,80638.03876,4849.89276
mix2,pos,media,mix,mix,mix,mix,40315.51332,320070.8742,3873.285452,2863.443476,1956.830119,135647.598,45557.35685,185317.6395,558898.6208,19225.30125,24140.19417,1199.470814,900.9803456,115108.7495,239780.3903,249633.4166,1005.332062,5329.375524,6930.093336,10876.73862,12091.34092,5791.361454,512125.1769,139077.1803,30681.2408,32574.13462,88851.20191,529.6632421,2584.459855,48604.09678,218371.5647,118736.3743,14218.00703,3314.273781,401515.565,5404.703123,8527.599963,19185.86765,58780.84457,7102.451609,5397.125979,14160.14585,25773.44046,9801.392555,14451.81282,82930.23479,6041.015446
mix3,pos,media,mix,mix,mix,mix,41230.80496,357406.4721,4559.08969,3196.227892,2257.379549,150680.2339,45952.49045,179835.4444,598245.4203,20320.48173,23898.71068,937.0406609,1040.788541,118725.6676,261314.3855,280485.9556,1367.439574,6863.572531,7694.391164,12099.54218,11853.02362,5022.295637,541278.4603,149795.9618,40381.73208,34621.40448,93334.50999,270.3125895,2803.564775,56803.94792,265081.4857,117968.5003,16640.02625,3469.045608,409318.7498,4861.66307,8246.579016,24135.2741,60285.55512,7819.197747,7208.328956,15430.54625,32454.89142,11545.98274,19133.02488,90583.84443,7279.13312
P1_C1,pos,media,sample,cntrl,base,p1,37936.59529,245961.7926,4288.440198,2446.196626,2035.895968,135299.6439,36858.47851,158640.9099,538391.1898,16051.83896,22186.48405,671.1956619,111.6399535,103561.8689,220261.0471,235860.4286,649.1728083,6067.127948,1842.150384,7894.172357,11114.96985,4596.467324,473221.2951,125360.0921,27372.9027,27149.08724,80956.54923,937.2237664,3047.242062,48144.0493,214582.1853,107721.7103,15796.52029,3783.339262,322888.7404,3990.179501,7098.829926,19743.10508,45731.58448,5998.85339,5335.61941,13211.07319,26193.48215,8869.496685,15912.43505,83796.33385,5888.662376
P1_C2,pos,media,sample,cntrl,base,p1,45624.98494,262986.9078,4809.682545,20926.21417,1970.121665,153368.7442,41594.46021,163586.6687,556374.9702,20667.72176,26794.12203,330.993382,,107089.7413,233408.2207,263278.149,991.5984633,6456.381191,1160.18679,9064.654348,9229.192588,5098.451147,558687.8959,137178.2691,38330.02293,27458.96491,89273.82618,597.5680061,3164.332405,50898.8536,262141.7893,117345.8629,17280.22168,4421.876997,343513.2519,4981.032709,8766.211482,19255.28254,49887.57223,7237.314716,6010.161812,14498.27029,28023.40119,9604.659798,17953.57325,92251.98389,6199.363825
P1_FA_VPA1,pos,media,sample,vpa,5X,p1,45129.18868,452360.3184,4653.741314,5205.048723,2553.753693,153006.6025,49877.00064,188239.0273,552067.4571,26945.52933,28403.16895,805.4610005,1599.858255,130241.6496,295175.1174,296321.459,1789.387466,6352.810757,17516.12177,9723.856142,13901.54285,6204.298989,590718.4548,156374.2729,40507.68356,34489.40113,100821.1679,117.4659703,3260.061608,55180.40251,288831.2493,122343.767,16722.87575,3907.839705,433313.9163,5259.662462,7706.908236,25955.74636,61339.69821,8697.171944,5745.146546,15522.70443,34199.62239,11101.44312,17512.88964,92246.92316,6676.331094
P1_FA1,pos,media,sample,cntrl,5X,p1,41302.15654,418549.1815,4344.664056,2111.819304,2450.663691,142352.8495,44838.65611,192525.6266,533309.5231,26126.96213,28788.49392,1250.112318,1444.655101,115834.4187,258333.4065,287434.3846,1965.501308,6724.708537,19801.94556,9413.576075,9894.832968,5395.777558,542262.715,149233.375,35267.81714,32549.5212,93255.74007,295.9344468,2928.640704,48407.27892,269927.1531,114244.5245,15119.4917,3859.957687,404189.4612,4930.941064,8690.676245,23404.39359,55767.82269,6849.927449,5095.724381,14208.07712,30835.14499,9265.785399,16834.18691,84902.9726,5907.933315
P1_FA2,pos,media,sample,cntrl,5X,p1,36041.12246,370463.6279,3401.119513,13844.85795,896.1611949,131640.641,38597.59211,173219.4228,522500.9882,20633.76238,23691.8812,947.4994973,771.0306986,99967.20678,234297.8416,250758.4854,428.0418944,5943.842862,15929.7679,9959.25435,9060.921082,3837.576941,487735.955,128758.3338,31419.94685,30020.14059,81536.92603,132.1527493,1860.1276,44660.45941,233244.7555,100103.8009,13755.4323,2944.799535,359924.0653,4436.25177,7908.688473,20339.38298,49022.29903,6871.578088,4412.170374,13195.24778,26611.44898,9154.498359,15861.80821,78257.45011,5019.882764
P1_VPA1,pos,media,sample,vpa,base,p1,36836.91485,307745.9729,3033.930698,3078.344669,1548.129549,133052.6453,39628.56209,142776.9205,516216.1645,17308.96123,25573.52767,866.8261436,,103465.9287,216814.8224,238631.6657,1706.944191,5848.466023,2090.08053,17413.28774,9442.788121,4633.114531,464418.4755,124860.8671,33298.54401,28817.78193,80498.87346,,2318.177403,45625.12798,213013.4523,102900.436,12326.6706,3581.320637,325048.7891,3544.74789,8807.809807,19952.06613,41581.86663,5859.870233,4602.944996,11941.24638,24054.89291,10117.58086,14991.58697,76775.91601,5222.290792
P2_C3,pos,media,sample,cntrl,base,p2,46381.22653,253585.5643,4942.199797,730.832979,2123.258346,154815.4179,41412.86994,184747.8489,561232.176,18810.1819,26415.77752,559.0523578,190.2457313,111377.101,231711.1034,253972.9596,1048.463206,5706.248426,783.0161262,10507.89752,8925.132491,5242.867644,539782.8789,138423.3435,36981.6632,27145.00113,92378.25008,514.1554394,1978.537434,51747.18363,240821.9327,115852.862,16415.66759,4338.770183,354172.0586,3869.270989,8937.612406,19496.04728,52582.7821,6891.671256,7016.281328,16235.90459,27245.42042,9561.325537,18287.41065,88900.61573,6091.427534
P2_FA_VPA2,pos,media,sample,vpa,5X,p2,40294.76994,402574.8079,3681.387152,2670.42091,3481.372323,139725.3424,46872.83215,183850.1158,572355.8893,22494.43092,28561.7692,1048.499963,1123.712469,122708.8799,262294.3661,287001.4378,936.3683011,7201.736791,13075.68516,11510.02327,11413.52421,5106.973278,584563.9552,146353.6206,40114.97497,33272.58568,95783.95081,330.4977841,2450.312361,47505.5675,272188.1313,111674.1942,15567.67208,3272.062604,405534.0378,4881.089574,8469.24374,23818.84206,56144.34219,7855.682085,5931.853126,14739.70687,30415.58184,9877.417015,17578.33875,81936.62152,6101.010834
P2_FA3,pos,media,sample,cntrl,5X,p2,45971.85758,408215.1769,4611.526185,941.1036991,1586.198529,156518.2293,50980.22247,168323.117,596285.4422,25666.17244,29274.58174,1010.973305,1036.950482,131522.0255,292150.2081,317295.0178,1542.188507,7055.23779,13673.52207,12391.3201,10144.37392,5666.417353,618486.2321,164530.6534,40275.39869,35709.96217,106030.9209,243.0959174,2821.492158,58265.9681,290633.9119,125897.4838,18779.95069,4953.073199,451186.5716,4577.471602,9831.328471,26368.0529,66157.47869,8807.952733,7093.206268,15646.88505,33407.02439,10697.19554,19064.37799,89422.57494,8136.409697
P2_FA4,pos,media,sample,cntrl,5X,p2,41563.20538,414894.3637,4577.455636,2972.415466,2128.951343,146571.2324,45938.07217,207042.1878,565683.9701,24226.24211,27072.02255,818.5399854,1013.229855,116550.7495,259787.4701,282115.7099,1398.483748,5960.790159,17405.89532,16509.75373,12689.75896,5624.458675,535950.0968,153292.3037,37836.23357,33109.38805,97237.02063,127.4800935,2803.296884,52169.7235,271560.4101,117598.2617,16333.35487,3518.320442,423776.7985,5337.990236,8569.555724,25393.96876,60660.08162,7613.76522,6247.372158,16281.55679,31678.81874,11798.18914,17823.6985,90628.99079,7108.000078
P2_VPA2,pos,media,sample,vpa,base,p2,41498.11005,283599.5552,3760.829393,10989.25239,1693.567551,135871.4742,40385.79558,179760.8205,572618.6698,18648.74625,21635.37801,145.0069025,200.3289029,115180.6013,233416.0004,265314.06,964.7652962,5669.845036,876.7216869,8682.311553,9405.892034,5428.151674,509028.9545,134273.7669,34828.62523,28130.54116,86146.9879,372.9597917,2689.463703,49849.0806,226809.3301,114267.6944,14267.76272,3343.613207,355735.757,4770.606695,7618.3207,19456.79875,48981.06188,5345.297163,5230.372732,15150.12682,25734.66631,9380.148156,16196.4429,83693.58715,5347.453711
P2_VPA3,pos,media,sample,vpa,base,p2,44931.56083,265953.6865,4992.714702,5127.53234,1931.504732,141620.6763,43831.36065,180167.695,547043.7047,19854.15445,25663.54087,866.5912896,142.8236763,116237.9263,237112.6141,255958.2099,1898.471159,5410.265882,835.281332,8466.523041,8827.782,5590.168231,576987.9315,138246.8971,39381.6252,26558.85347,91799.96022,425.6486749,3237.813893,51174.43055,258338.1437,113652.1495,16223.35821,4019.885676,357731.2693,3528.718204,9866.062436,22356.37205,49513.02011,6391.86522,6465.480845,14408.89607,28311.44858,8596.965226,19548.91402,88214.54052,6184.889621
P3_C4,pos,media,sample,cntrl,base,p3,48115.95108,259148.8707,4134.031457,438.2933172,1597.401056,170169.0024,41490.127,159352.8583,613783.3054,23282.59119,29160.07903,228.6698521,,122632.9613,250101.3896,274823.962,876.0014479,6528.739117,924.6566013,9610.822948,10138.93334,5811.841848,594970.6205,152070.6425,43592.24588,28955.52369,95611.67254,120.520787,2533.607787,56124.91574,271619.8185,122708.9141,18260.68883,3831.601233,367283.9051,5654.164215,8654.066843,21572.44804,54947.46553,7146.854635,7444.96709,17143.58547,29193.80745,11921.73312,19719.80982,100929.9355,7313.380481
P3_FA_VPA3,pos,media,sample,vpa,5X,p3,39583.9681,412605.7276,4082.981938,1903.429472,2962.923176,147231.1363,51678.93446,178275.8724,573128.9115,21614.97646,27163.34033,1541.086494,669.9082073,129037.5537,281300.0151,282579.9641,1607.053456,5867.107289,9084.23204,9489.636883,9797.278682,4759.661639,538362.3626,151262.2922,44237.66954,34987.19404,97990.60365,507.3027323,2126.741205,50902.66988,253111.858,119961.155,17684.46057,3657.348835,428894.3208,4454.004588,8928.22325,24141.32001,65570.0535,6497.409576,4950.536415,14307.17237,30946.36379,10319.62446,17782.15417,83242.8433,5675.27021
P3_FA_VPA4,pos,media,sample,vpa,5X,p3,43715.94118,401640.4229,3795.308897,12254.41478,2463.799429,146641.6101,51083.17306,197678.4893,575505.3705,22795.06715,28742.2373,1468.772101,346.2586488,126853.5134,275907.2647,289095.8653,1713.733536,5815.04883,8113.932133,11103.9055,11320.90045,4913.197019,556286.3619,152426.8531,40089.9575,33114.14699,100159.2919,372.3894461,2047.144883,48524.48924,275897.3073,120563.1865,17262.95848,4285.26131,423159.1746,5065.345132,10273.99024,25753.20497,62526.14821,7636.555961,5983.530854,15875.79692,33752.82829,11078.51963,18819.48277,89029.83751,6356.437264
P3_FA5,pos,media,sample,cntrl,5X,p3,39002.84682,335298.8186,3090.326391,511.9000728,2330.049005,130299.5376,42223.18689,179294.7061,497095.812,21142.81393,26725.16368,259.2384776,220.7084174,106769.2052,231122.3266,254355.4144,1542.225591,6653.778685,8590.542307,9320.290287,9877.380323,4031.646926,532625.1488,135547.9858,32979.14174,27346.57099,90710.07265,415.081324,2731.958815,46443.49784,251629.9698,102458.976,14688.38088,3221.42352,369665.9531,4072.744914,8294.226536,22191.33099,44746.64428,5707.935961,4510.880952,14986.87729,27682.47596,8767.174634,16835.01218,76517.90588,5603.366622
P3_VPA4,pos,media,sample,vpa,base,p3,49491.17445,274197.9484,3552.906592,1993.541416,1619.802708,166755.2639,44796.74569,165857.0711,591979.2499,21048.58278,28097.96823,616.3270756,255.0559114,121298.3674,252896.1599,278558.9992,1180.430239,7451.302713,707.6934846,8394.63175,10587.30064,6234.091457,604137.3713,140099.9712,44172.19778,28082.13491,95344.90345,362.755576,2249.260274,55339.52898,273831.9932,124237.3174,18532.79691,3690.097516,354158.1995,4598.784322,9924.754593,23506.36117,54314.16535,6194.552908,4907.855237,16006.68571,30714.0088,9117.223104,19021.16009,92456.58535,6939.752873
P3_VPA5,pos,media,sample,vpa,base,p3,41804.90736,250152.0197,3848.97027,3331.631147,1864.004711,142760.5991,42679.98699,203731.4751,569258.1233,18459.66894,23755.02599,343.4183547,212.8624303,117324.2639,257199.4662,255488.8909,1103.50848,6084.218931,513.4537617,10253.95372,9860.666478,6586.437117,548180.2018,148896.7376,39770.56405,27296.28729,88240.75061,253.9394603,2666.052692,54728.96974,255112.1286,116298.7052,16669.96705,4531.605228,368785.6119,5338.418465,10633.0661,22711.26144,51573.60802,6161.875728,6892.605243,17046.60614,27487.54508,10775.6763,19316.42459,95849.97063,7267.71835
P4_C5,pos,media,sample,cntrl,base,p4,42791.25272,219197.4126,3747.677673,894.8312339,1538.919433,146163.7041,38569.87309,157573.6976,564962.4234,16527.5424,24320.94829,157.0375876,214.2828685,103524.4852,229391.5793,251509.5608,644.5925335,5141.514534,1154.103578,7948.570104,9841.012977,5474.299983,540682.9455,137851.6758,32399.4145,22976.2043,80606.66237,141.9282873,3541.063073,51940.73846,242246.962,112674.2198,16889.46387,3516.887001,321693.0672,4790.823298,8063.566316,17479.2308,44856.25311,6867.02859,6062.216652,14582.90091,26401.96298,9091.781914,17614.62011,92709.15639,6558.336133
