compound_short,compound_full,formula,mass,rt,cas_id
hVPA_FAnC1,Propionic Acid,C3 H6 O2,74.0367,1.52,79-09-4
hVPA_FAnC2,Glycine,C2 H5 N O2,75.0325,6.31,56-40-6
hVPA_FAnC3,Pyruvate,C3 H4 O3,88.0162,1.06,127-17-3
hVPA_FAnC4,Alanine,C3 H7 N O2,89.0478,6.02,56-41-7
hVPA_FAnC5,Beta-Alanine,C3 H7 N O2,89.0478,6.72,107-95-9
hVPA_FAnC6,Sarcosine,C3 H7 N O2,89.0481,5.82,107-97-1
hVPA_FAnC7,Lactic Acid,C3 H6 O3,90.0322,1.68,79-33-4
hVPA_FAnC8,2-Ketobutyric Acid,C4 H6 O3,102.0316,4.48,600-18-0
hVPA_FAnC9,2-Aminobutyric Acid,C4 H9 N O2,103.0634,5.19,1492-24-6
hVPA_FAnC10,BAIBA,C4 H9 N O2,103.0635,6.64,144-90-1
hVPA_FAnC11,GABA,C4 H9 N O2,103.0635,6.64,56-12-2
hVPA_FAnC12,2-Hydroxybutyric Acid,C4 H8 O3,104.0473,1.81,3347-90-8
hVPA_FAnC13,3-Hydroxybutyric Acid,C4 H8 O3,104.0473,1.95,300-85-6
hVPA_FAnC14,Serine,C3 H7 N O3,105.0427,6.62,56-45-1
hVPA_FAnC15,Glyceric Acid,C3 H6 O4,106.0266,2.63,473-81-4
hVPA_FAnC16,Hypotaurine,C2 H7 N O2 S,109.0199,5.81,300-84-5
hVPA_FAnC17,Uracil,C4 H4 N2 O2,112.0272,1.19,66-22-8
hVPA_FAnC18,Creatinine,C4 H7 N3 O,113.059,1.75,60-27-5
hVPA_FAnC19,Proline,C5 H9 N O2,115.0634,4.78,147-85-3
hVPA_FAnC20,Fumaric Acid,C4 H4 O4,116.0111,6.4,110-17-8
hVPA_FAnC21,Valine,C5 H11 N O2,117.079,4.47,72-18-4
hVPA_FAnC22,Succinic Acid,C4 H6 O4,118.0266,6.31,110-15-6
hVPA_FAnC23,Threonine,C4 H9 N O3,119.0582,5.94,72-19-5
hVPA_FAnC24,Homoserine,C4 H9 N O3,119.0582,6.29,1927-25-9
hVPA_FAnC25,Taurine,C2 H7 N O3 S,125.0148,4.25,107-35-7
hVPA_FAnC26,Ketoleucine,C6 H10 O3,130.0625,0.81,816-66-0
hVPA_FAnC27,Heptanoic Acid,C7 H14 O2,130.0993,0.89,111-14-8
hVPA_FAnC28,N-Acetylalanine,C5 H9 N O3,131.0583,1.99,97-69-8
hVPA_FAnC29,5-Aminolevulinic Acid,C5 H9 N O3,131.0583,6.29,106-60-5
hVPA_FAnC30,Creatine,C4 H9 N3 O2,131.0694,6.02,57-00-1
hVPA_FAnC31,Leucine,C6 H13 N O2,131.0948,3.18,61-90-5
hVPA_FAnC32,Isoleucine,C6 H13 N O2,131.0948,3.58,73-32-5
hVPA_FAnC33,Asparagine,C4 H8 N2 O3,132.0533,6.61,70-47-3
hVPA_FAnC34,Ornithine,C5 H12 N2 O2,132.09,11.46,70-26-8
hVPA_FAnC35,Aspartic Acid,C4 H7 N O4,133.0375,6.8,56-84-8
hVPA_FAnC36,Malic Acid,C4 H6 O5,134.0216,7.2,97-67-6
hVPA_FAnC37,Adenine,C5 H5 N5,135.0543,1.58,73-24-5
hVPA_FAnC38,Phenylacetic Acid,C8 H8 O2,136.0526,0.91,103-82-2
hVPA_FAnC39,Caprylic Acid,C8 H16 O2,144.1148,0.84,124-07-2
hVPA_FAnC40,2-Oxoglutaric Acid (alpha-KG),C5 H6 O5,146.0215,5.45,328-50-7
hVPA_FAnC41,Glutamine,C5 H10 N2 O3,146.0691,6.57,56-85-9
hVPA_FAnC42,Lysine,C6 H14 N2 O2,146.1056,11.81,56-87-1
hVPA_FAnC43,N-Acetylserine,C5 H9 N O4,147.0531,2.9,16354-58-8
hVPA_FAnC44,Glutamic Acid,C5 H9 N O4,147.0536,6.64,56-86-0
hVPA_FAnC45,2-Hydroxyglutaric acid,C5 H8 O5,148.0371,6.19,103404-90-6
hVPA_FAnC46,Methionine,C5 H11 N O2 S,149.0509,3.9,63-68-3
hVPA_FAnC47,Xanthine,C5 H4 N4 O2,152.0334,2.03,69-89-6
hVPA_FAnC48,4-Hydroxyphenylacetic Acid,C8 H8 O3,152.0463,0.78,156-38-7
hVPA_FAnC49,Ribitol,C5 H12 O5,152.0684,2.84,488-81-3
hVPA_FAnC50,3-Sulfinoalanine,C3 H7 N O4 S,153.0094,6.11,1115-65-7
hVPA_FAnC51,3-Hydroxyanthranilic Acid,C7 H7 N O3,153.0429,0.75,548-93-6
hVPA_FAnC52,Histidine,C6 H9 N3 O2,155.0695,7.26,71-00-1
hVPA_FAnC53,Orotic Acid,C5 H4 N2 O4,156.017,1.62,65-86-1
hVPA_FAnC54,4-Hydroxynonenal,C9 H16 O2,156.1145,0.79,75899-68-2
hVPA_FAnC55,Dihydroorotic Acid,C5 H6 N2 O4,158.0328,2.53,5988-19-2
hVPA_FAnC56,Allantoin,C4 H6 N4 O3,158.044,1.9,97-59-6
hVPA_FAnC57,Nonanoic Acid,C9 H18 O2,158.1303,0.81,112-05-0
hVPA_FAnC58,Indole-3-acetaldehyde,C10 H9 N O,159.0682,0.74,20095-27-6
hVPA_FAnC59,N-Methylglutamic Acid,C6 H11 N O4,161.0687,6.95,35989-16-3
hVPA_FAnC60,5-Hydroxylysine,C6 H14 N2 O3,162.1004,11.36,28902-93-4
hVPA_FAnC61,Phenylalanine,C9 H11 N O2,165.0791,2.95,63-91-2
hVPA_FAnC62,6-Methylthiopurine,C6 H6 N4 S,166.0266,1.77,50-66-8
