compound_short,compound_full,formula,mass,rt,cas_id
hVPA_FApM1,Alanine,C3 H7 N O2,89.0477,5.8,56-41-7
hVPA_FApM2,Choline,C5 H13 N O,103.0998,5.27,62-49-7
hVPA_FApM3,Serine,C3 H7 N O3,105.0425,6.63,56-45-1
hVPA_FApM4,Diethanolamine,C4 H11 N O2,105.0788,5.93,111-42-2
hVPA_FApM5,Cytosine,C4 H5 N3 O,111.0432,2.15,71-30-7
hVPA_FApM6,Creatinine,C4 H7 N3 O,113.0589,1.75,60-27-5
hVPA_FApM7,Proline,C5 H9 N O2,115.0633,4.77,147-85-3
hVPA_FApM8,Valine,C5 H11 N O2,117.0789,4.47,72-18-4
hVPA_FApM9,Betaine,C5 H11 N O2,117.079,3.76,107-43-7
hVPA_FApM10,Threonine,C4 H9 N O3,119.0581,5.99,72-19-5
hVPA_FApM11,Nicotinamide,C6 H6 N2 O,122.0478,1.02,98-92-0
hVPA_FApM12,Taurine,C2 H7 N O3 S,125.0144,4.21,107-35-7
hVPA_FApM13,Thymine,C5 H6 N2 O2,126.0429,1.25,65-71-4
hVPA_FApM14,Creatine,C4 H9 N3 O2,131.0695,5.96,57-00-1
hVPA_FApM15,Leucine,C6 H13 N O2,131.0945,3.17,61-90-5
hVPA_FApM16,Isoleucine,C6 H13 N O2,131.0946,3.56,73-32-5
hVPA_FApM17,Aspartic Acid,C4 H7 N O4,133.0374,7.21,56-84-8
hVPA_FApM18,5-Hydroxyindol,C8 H7 N O,133.0531,1.29,217-782-6
hVPA_FApM19,Hypoxanthine,C5 H4 N4 O,136.0388,1.7,68-94-0
hVPA_FApM20,Urocanic Acid,C6 H6 N2 O2,138.0428,2.72,104-98-3
hVPA_FApM21,4-Guanidinobutyric Acid,C5 H11 N3 O2,145.0842,6.59,463-00-3
hVPA_FApM22,Deoxycarnitine,C7 H15 N O2,145.1099,6.88,407-64-7
hVPA_FApM23,Glutamine,C5 H10 N2 O3,146.0691,6.57,56-85-9
hVPA_FApM24,Lysine,C6 H14 N2 O2,146.1055,11.52,56-87-1
hVPA_FApM25,Glutamic Acid,C5 H9 N O4,147.0532,6.58,56-86-0
hVPA_FApM26,Methionine,C5 H11 N O2 S,149.0511,3.9,63-68-3
hVPA_FApM27,Histidine,C6 H9 N3 O2,155.0696,7.25,71-00-1
hVPA_FApM28,Allantoin,C4 H6 N4 O3,158.0436,1.9,97-59-6
hVPA_FApM29,Methyl-L-Lysine,C7 H16 N2 O2,160.1219,11.83,1188-07-4
hVPA_FApM30,Carnitine,C7 H15 N O3,161.105,6.2,541-15-1
hVPA_FApM31,Phenylalanine,C9 H11 N O2,165.079,2.94,63-91-2
hVPA_FApM32,Pyridoxine,C8 H11 N O3,169.0739,1.29,65-23-6
hVPA_FApM33,3-Methylhistidine,C7 H11 N3 O2,169.0845,7.08,368-16-1
hVPA_FApM34,Indole-3-Acetamide,C10 H10 N2 O,174.0801,0.91,879-37-8
hVPA_FApM35,Arginine,C6 H14 N4 O2,174.1116,11.1,74-79-3
hVPA_FApM36,3-Indoleacetic Acid,C10 H9 N O2,175.0635,0.87,87-51-4
hVPA_FApM37,Citrulline,C6 H13 N3 O3,175.0955,7.06,372-75-8
hVPA_FApM38,Mannosamine,C6 H13 N O5,179.0793,4.58,14307-02-9
hVPA_FApM39,Tyrosine,C9 H11 N O3,181.0739,4.57,60-18-4
hVPA_FApM40,D-Sorbitol,C6 H14 O6,182.077,4.57,50-70-4
hVPA_FApM41,"NE,NE,NE-Trimethyllysine",C9 H20 N2 O2,188.1526,11.61,55528-53-5
hVPA_FApM42,Acetylcarnitine,C9 H17 N O4,203.1155,4.95,5080-50-2
hVPA_FApM43,Tryptophan,C11 H12 N2 O2,204.0897,3.08,73-22-3
hVPA_FApM44,Propionylcarnitine,C10 H19 N O4,217.1311,4.14,20064-19-1
hVPA_FApM45,Pantothenic Acid,C9 H17 N O5,219.1107,2.4,137-08-6
hVPA_FApM46,Thiamine (Vit B1),C12 H16 N4 O S,264.1045,7.14,59-43-8
hVPA_FApM47,Sphingomyelin,C41 H83 N2 O6 P,730.5988,0.93,85187-10-6
