Samples,Mode,Type,Group,Treatment,Plate,hVPA_FAnM10,hVPA_FAnM11,hVPA_FAnM12,hVPA_FAnM13,hVPA_FAnM14,hVPA_FAnM15,hVPA_FAnM16,hVPA_FAnM17,hVPA_FAnM18,hVPA_FAnM19,hVPA_FAnM2,hVPA_FAnM20,hVPA_FAnM21,hVPA_FAnM22,hVPA_FAnM23,hVPA_FAnM24,hVPA_FAnM25,hVPA_FAnM26,hVPA_FAnM27,hVPA_FAnM28,hVPA_FAnM29,hVPA_FAnM3,hVPA_FAnM30,hVPA_FAnM31,hVPA_FAnM32,hVPA_FAnM33,hVPA_FAnM34,hVPA_FAnM35,hVPA_FAnM36,hVPA_FAnM37,hVPA_FAnM38,hVPA_FAnM39,hVPA_FAnM4,hVPA_FAnM40,hVPA_FAnM41,hVPA_FAnM42,hVPA_FAnM43,hVPA_FAnM44,hVPA_FAnM45,hVPA_FAnM46,hVPA_FAnM47,hVPA_FAnM48,hVPA_FAnM49,hVPA_FAnM5,hVPA_FAnM50,hVPA_FAnM51,hVPA_FAnM53,hVPA_FAnM55,hVPA_FAnM6,hVPA_FAnM7,hVPA_FAnM8,hVPA_FAnM9
P1_C1,neg,media,sample,cntrl_base,p1,13.505820966382585,16.290051243289973,14.39893835780966,13.634507452282362,12.3745292335636,16.139415349718583,12.471656039120349,12.455868134666629,17.352657283961598,17.510186999185652,13.728549420944184,13.23538446778272,14.229332997740192,11.522075000481104,19.210349822755422,14.611208187335563,15.854474286295288,13.881444192757419,16.465970717574667,12.526146251129637,15.082101091991797,15.706481423218973,14.657114498720517,14.520309327289587,16.87367787183938,13.06968706050474,12.315671535725984,16.698545387527194,14.569993137120917,11.46443770752283,16.089086316666084,14.442469344411904,21.528901924518888,16.094738779856932,17.29420647814677,16.480739962865275,15.323764309291287,12.694787808967154,16.18732772809626,10.338015804301758,11.466028089249159,13.83748946820634,16.507445181238793,15.874967248083223,12.164948291718531,13.39047935756003,13.18350034407685,12.936091690513491,12.429456831664867,15.565374052815306,13.647898669084352,13.057987015722086
P1_C2,neg,media,sample,cntrl_base,p1,13.491076573436482,16.249688920050392,14.441108895844012,13.79888222428792,12.265155943567462,16.09010335853484,12.531755574476701,12.505891167602776,17.221924042098124,17.418187288991785,13.82583554851212,13.295584138256633,14.631256895203759,11.88335062127706,19.303291304979528,14.539656760362362,15.594083922766925,13.903899883076296,16.416418595931585,12.496525616803217,15.043654108224182,15.544369549109025,14.529671847406883,14.491869178157028,16.70719699774258,13.022947902210431,11.88195720504798,16.71859835640272,14.360251517688036,10.957010992875851,16.076591201072972,14.351909686071314,21.538504226110234,15.797662896362741,14.285882901291886,16.564411212004508,15.335766737543976,12.49324007111063,16.229912558385184,10.322070898849034,11.269810836614276,13.726610338736968,16.52855299611742,15.790361848849024,12.16489195926535,13.290276977810853,13.232794980118278,12.771256650865993,12.618578385583689,15.476062370864424,13.478009065927143,12.788134744227957
P1_FA_VPA1,neg,media,sample,vpa_5X,p1,13.831029932867333,16.408797989131962,14.709144127189067,14.0799533361148,13.419449274626155,15.989947527096941,12.388261973396189,12.388261973396189,17.566190900650106,17.601947313951786,14.027390319724246,13.712601944695066,20.086815966376218,11.820808069279638,19.416259683226013,14.672141240318693,15.953015236096387,14.002527014702789,16.574329036694674,13.012137223331292,15.328972535919053,15.463000206252053,14.585444683335073,14.78865747153256,16.887509054229668,12.898476736454988,12.11933811178596,16.789240060791364,14.808755899438388,10.965191449650458,16.010267201790587,14.320319930973053,21.05013086574131,16.214351767971966,14.098998849218152,16.983887361962125,15.615905434368516,12.410212538414477,16.257015352910855,10.917096759542575,11.566807929579449,13.927756207624968,16.5502487124969,16.182442116279898,12.079555923805328,13.2229718791542,13.166884929775982,12.759888976121486,12.625990059237182,15.537348668332497,13.67321863151749,12.737016122688937
P1_FA1,neg,media,sample,cntrl_5X,p1,13.767632637658611,16.221998692431793,14.658640258678519,13.816599839523755,13.042892967732985,15.928937132077403,12.17303422184359,12.15770250134249,17.422732550584836,17.488102598824007,14.049744430917896,13.48631689293785,14.344029368969412,11.869674834298776,19.13443289156194,14.625720159159313,15.6621132391455,14.050199315628253,16.494124894993238,13.091059877065852,15.181996654997471,15.413523932440732,14.595368120352225,14.64470250930497,16.780831083616523,12.886594482888784,12.301082197000488,16.56096390018244,14.646433348639023,10.966271687531874,15.669908710961973,14.24264143311518,20.943073084001064,16.11769420716036,14.107070821181408,16.588576510095585,15.311423146646483,12.328382483261652,16.05343939570705,11.104747647471124,11.428658691224157,13.759178101037694,16.498236230355342,15.926404262349497,11.763307639232439,13.247824178490259,13.069016042475056,12.75253726998781,12.547930944492398,15.53930849143714,13.47984457643521,13.069378751550849
P1_FA2,neg,media,sample,cntrl_5X,p1,13.449778921811692,16.067458692164553,14.470484964941626,13.973674818190245,13.007903905316315,15.71354222914788,12.388193364142465,12.35088780616186,17.188911394582405,17.41732302666074,14.050962969167779,13.269352421924621,14.767220585226447,11.691603423104647,19.172216181153534,14.291623342239513,15.619926882674013,13.770897477879185,16.40009615697135,12.855046957132872,14.939023090618868,15.24059086783142,14.47194838874117,14.494025294197995,16.587241571795488,12.80706475821224,11.573861805549129,16.582667671691336,14.58115737458615,10.850135060689338,15.912505348336516,14.181965746773171,21.00851353069402,15.725631980001406,13.995678611760884,16.74305762693521,15.380338293471008,12.133447261652405,16.134657703042603,10.654641484267632,10.913939094031644,13.783258110109724,16.32424129368875,15.91820988211442,12.00769250015501,13.099804196661257,12.506493093605082,12.706691844794182,12.721922793550698,15.284317629350491,13.648064342420458,12.888563815099658
P1_VPA1,neg,media,sample,vpa_base,p1,13.63860180533134,16.069394977626434,14.300466936712873,13.682824408686827,13.211691569482664,15.891585905898255,12.429505361623564,12.351269811073143,17.206968126230066,17.421593996313668,13.685245945660427,13.479896653656432,19.932408351361207,11.598855955261643,19.032860047171237,14.44018933332601,15.646699953817224,13.754113141970286,16.317804838736123,13.095660279243054,14.974167771130185,15.381910022853095,14.362511830629325,14.412599987755693,16.641274909566302,12.976358724508978,11.988465275009041,16.54155602679752,14.434818028187019,11.003513543258796,15.832552217190019,14.309911287403454,21.207313083049293,16.0000468342157,14.026706935296682,16.2051489803244,15.15680174440336,12.271301444598373,16.06875264397839,10.240936413487852,11.259684119630673,13.75930909515076,16.339610187779844,15.74653260926058,11.773596799878078,13.225110670080934,13.159863531669911,12.459789833611005,12.56630035898552,15.600607150730008,13.665940135726292,12.811402681883521
P2_C3,neg,media,sample,cntrl_base,p2,13.67328329367301,16.263872718995216,14.35958670377144,13.826460041058047,12.399349254694712,16.09289522228206,12.631601287115851,12.611898931310556,17.25635676028871,17.47547508934538,13.719880029093305,13.590123471067113,14.670688366980547,11.931251380875276,19.336281830334215,14.646402746323128,15.964036154967141,13.777613505054287,16.615653507845046,13.125196458847075,15.162662078938952,15.685043073593624,14.671170408015717,14.608746537985635,16.841306277070295,12.89964084097252,12.330315662595513,16.74066833358822,14.625139045211727,11.216837544613401,16.112773510622695,14.560294641102539,21.76585131307439,15.99250286151947,14.204610545791175,16.40887472942589,15.510979505785377,12.520881272821732,16.330926026191904,11.098061347258746,10.89717446343235,13.823369595769451,16.69061384403786,15.734773332293814,12.229152560321706,13.626903777275983,13.43040389255705,12.978574480656773,12.940139043981034,15.49366623474473,13.554807943151177,13.12381356046084
P2_FA_VPA2,neg,media,sample,vpa_5X,p2,13.820982630068713,16.338733046511848,14.729984706781702,13.948374497061842,13.361934415645967,15.821177023614794,12.541519130953985,12.525641875149423,17.507512444526018,17.647218202285167,14.038753013245987,13.71761339480674,20.121263052433836,11.943684664788867,19.33097022080909,14.806322946094998,15.876162044540289,14.082853933919647,16.591168566066145,12.852333991471772,15.232478217851103,15.572903427152033,14.59413425897282,14.706561022052348,16.94321226802029,13.009403627913947,12.199715819170725,16.728743199659558,14.83293122411255,10.921120833228317,16.096294734350778,14.389933682047365,21.05479698873453,16.27893061046283,14.185254648865715,16.780823549722783,15.678804696927104,12.314627900573898,16.15213281510049,10.39393764994557,11.481255946797463,13.96761911544577,16.561900603001195,16.104117261180445,12.285269802454366,13.274801418325685,13.247391110541765,12.951006036424332,12.70026784815772,15.697454008586467,13.497216955108488,12.787017410131753
P2_FA3,neg,media,sample,cntrl_5X,p2,13.598887950951223,16.34430987181839,14.782051918101004,14.213234897950425,13.268808921411264,16.120256819273667,12.49036577119424,12.497764587180617,17.478030790778494,17.578114524245702,13.884798863915849,13.563090931608855,14.789922952498635,12.000203056307514,19.525264776865317,14.77657862142549,15.789368402095768,14.077014731995282,16.709794412869943,13.118992279380018,15.312411118558044,15.505465478002634,14.522178667886985,14.69236175955684,16.89217481038433,12.888921612161926,11.761080789381854,16.820308041390405,14.72592381930722,10.790956398227728,16.216774239569222,14.234921962109631,21.324659808291884,16.17387307365533,16.374851807513938,16.935999710074363,15.669353144201036,12.374788536760148,16.415898398407883,11.044222215965165,11.833726008647924,14.073924209043044,16.648505516677613,16.079155702951287,12.331870821422095,13.569101512955497,13.1871923579572,13.147410604847257,12.768086708140697,15.543661703884215,13.625739051458362,13.005976241830108
P2_FA4,neg,media,sample,cntrl_5X,p2,13.412537604116,16.243693207792873,14.571671452892053,14.067320258293707,13.079778350064322,15.95198327267229,12.477304875842288,12.477304875842288,17.345875432985807,17.473969531599785,14.133998668313968,13.66790641572212,14.636792995748559,11.814253259972114,19.453227797537185,14.514625158137424,15.81907795629584,14.172285165193305,16.577550547934507,12.837636932643466,15.258904865865192,15.301391361073831,14.522736511506448,14.64029157334276,16.837195441700295,12.871877358886346,12.025659750076965,16.768443548677496,14.75376793873071,10.983991251722095,16.159183309911324,14.341207555316512,21.19258327620095,15.87755001100613,14.215583628929291,17.062624250192926,15.723445536135474,12.043346570005312,16.26393968204195,10.448010225730203,11.333990322823825,14.03487078437875,16.610647532293264,16.031513057371157,11.922752816566067,13.488407871463014,13.102737559280369,12.731452230182052,12.600686549939086,15.580701882808103,13.549079602253755,12.737161025319717
