compound_short,term,estimate,statistic,p.value,lod,adj_pval,FC,change_in_vpa,compound_full,formula,mass,rt,cas_id
hVPA_FApC102,vpa_lowFA,0.8027498373038551,5.227738553050071,4.5495480449851857e-5,1.663791643783088,0.01938107467163689,1.744422903137896,up,N-Acetylaspartyl Glutamic Acid,C11 H16 N2 O8,304.0908,7.21,3106-85-2
hVPA_FApC103,vpa_lowFA,0.4525395271122825,5.05242020743941,6.739458212973646e-5,1.2684818555415331,0.028710091987267733,1.3684469686571916,up,Glutathione (GSH),C10 H17 N3 O6 S,307.084,6.73,70-18-8
hVPA_FApC105,vpa_lowFA,-1.3907565506527995,-7.860331433241886,1.941396842083811e-7,7.187952926185624,8.270350547277035e-5,0.3813647617499147,down,UMP,C9 H13 N2 O9 P,324.0359,7.52,58-97-9
hVPA_FApC107,vpa_lowFA,-1.3579825371635756,-7.873603414472056,1.8931006592082277e-7,7.213504484063557,8.06460880822705e-5,0.39012746228429046,down,Nicotinamide Mononucleotide,C11 H15 N2 O8 P,334.0565,8.71,1094-61-7
hVPA_FApC113,vpa_lowFA,-1.039533321415739,-5.155177762952836,5.351153824708753e-5,1.5004593918776328,0.02279591529325929,0.486484814878311,down,dGMP,C10 H14 N5 O7 P,347.0629,8.63,902-04-5
hVPA_FApC114,vpa_lowFA,-1.4389224415529647,-5.055138284355114,6.69837995166636e-5,1.2746275921799066,0.028535098594098692,0.3688426925065393,down,AMP,C10 H14 N5 O7 P,347.0631,7.48,61-19-8
hVPA_FApC117,vpa_lowFA,-1.2247459739574573,-5.3566082951122285,3.414708930768045e-5,1.9528172462813105,0.014546660045071871,0.4278728449620861,down,GMP,C10 H14 N5 O8 P,363.0544,8.08,85-32-5
hVPA_FApC127,vpa_lowFA,0.8799151949545276,5.138095923692809,5.5599513706640446e-5,1.4619499391774626,0.02368539283902883,1.8402671227923486,up,CDP-Choline,C14 H26 N4 O11 P2,488.1073,7.88,987-78-0
hVPA_FApC18,vpa_lowFA,1.4022238644713738,13.112831618317337,4.5423666270244e-11,15.60659088160526,1.9350481831123944e-8,2.6430869100086896,up,Proline,C5 H9 N O2,115.0634,4.72,147-85-3
hVPA_FApC23,vpa_lowFA,0.3983986195366196,4.981057178298153,7.914767325279521e-5,1.1069500136871797,0.03371690880569076,1.3180440796529265,up,Homoserine,C4 H9 N O3,119.0581,6.25,1927-25-9
hVPA_FApC24,vpa_lowFA,-0.8239834091575062,-5.469599396191623,2.658942452652241e-5,2.2050321566922895,0.011327094848298547,0.5648801033099797,down,Nicotinamide,C6 H6 N2 O,122.0479,1.02,98-92-0
hVPA_FApC35,vpa_lowFA,0.8282580205371168,5.91661422256973,1.0022928621723105e-5,3.1903905502037224,0.004269767592854043,1.7755401947751879,up,Aspartic Acid,C4 H7 N O4,133.0374,6.73,56-84-8
