compound_short,logFC,AveExpr,t,P.Value,adj.P.Val,B,vpa_div_cntrl,change_in_vpa,compound_full,formula,mass,rt,cas_id
VPAnC33,-0.3122696912206315,23.942608294860026,-4.541767773938844,1.9049610612670637e-4,0.03409880299668044,0.13671312648500322,0.8053737238677531,down,4-Oxoproline,C5 H7 N O3,129.043,5.98,4347-18-6
VPAnC58,-0.32758755982503207,17.484678973562016,-4.542367510068483,1.9022786147372103e-4,0.03405078720379606,0.13811986416074085,0.796867873703142,down,N-Acetylserine,C5 H9 N O4,147.054,3.38,16354-58-8
VPAnC65,-0.36138066346456005,20.569046468954664,-4.542536082276692,1.9015253253587615e-4,0.03403730332392183,0.1385152656560127,0.7784192735167923,down,Xanthine,C5 H4 N4 O2,152.034,1.92,69-89-6
VPAnC97,-0.3901581913663112,19.326919279538288,-8.136154486046744,7.849318290582271e-8,1.4050279740142266e-5,8.01395296078907,0.7630459319832308,down,myo-Inositol,C6 H12 O6,180.064,5.02,87-89-8
VPAnC41,-0.4422906866078221,18.186601665900685,-7.076306360325469,6.614607467363632e-7,1.18401473665809e-4,5.850135267097433,0.7359651275587135,down,Asparagine,C4 H8 N2 O3,132.054,8.37,70-47-3
VPAnC23,-0.4749216981064217,18.275832160339252,-6.2443061121210786,3.915074926780427e-6,7.007984118936964e-4,4.047564798352544,0.7195058399357525,down,Thiosulfate,H2 O3 S2,113.945,4.85,14383-50-7
VPAnC46,-0.4981736857075749,16.710328753124045,-7.07084460040247,6.690277304570671e-7,1.1975596375181501e-4,5.838592879132961,0.7080024777289627,down,Deoxyribose,C5 H10 O4,134.058,2.29,533-67-5
VPAnC135,-0.571341050133615,14.477131518188235,-5.420661078967722,2.476442500285747e-5,0.004432832075511487,2.183989859006844,0.6729909221655425,down,Glycerol 1-phosphoserine,C6 H14 N O8 P,259.046,8.01,26289-09-8
VPAnC18,-0.6384361636668054,21.203488049355325,-8.657914412685193,2.903709774944597e-8,5.1976404971508285e-6,9.02342111305543,0.6424089227001694,down,Glyceric Acid,C3 H6 O4,106.027,3.6,473-81-4
VPAnC86,-0.6473721766253587,17.72960574073567,-6.392493954003055,2.833626369888609e-6,5.07219120210061e-4,4.374954128862822,0.6384421573989972,down,G3P,C3 H7 O6 P,169.998,10.24,591-57-1
VPAnC136,-0.7015169795114279,17.50585190308264,-4.615640569176429,1.601611330240629e-4,0.02866884281130726,0.3099594352833419,0.6149252787876947,down,D-Glucose 6-phosphate,C6 H13 O9 P,260.03,10.25,56-73-5
VPAnC148,-0.7049114187279945,14.875377103822977,-8.903691354716807,1.8400046272328568e-8,3.2936082827468136e-6,9.486352062124471,0.6134801550655173,down,Sedoheptulose 7-phosphate,C7 H15 O10 P,290.041,9.99,2646-35-7
VPAnC172,-0.9714824744679819,14.624616967586674,-4.855430840046846,9.139030326093423e-5,0.01635886428370723,0.8714886598985911,0.5099817500392095,down,Succinoadenosine,C14 H17 N5 O8,383.107,7.75,4542-23-8
VPAnC144,-1.1136587604697907,17.528083817993004,-6.077292802369847,5.654571106047879e-6,0.0010121682279825702,3.6754949524372718,0.4621205783166466,down,Xanthosine,C10 H12 N4 O6,284.076,2.51,146-80-5
VPAnC119,-1.1323186486554275,16.34931887268502,-16.409667140011013,3.271285095786955e-13,5.855600321458649e-11,20.447355238439172,0.4561819760404539,down,Glycerylphosphorylethanolamine,C5 H14 N O6 P,215.056,10.06,1190-00-7
VPAnC10,-1.148797341856593,24.810613425993388,-6.944249015935916,8.718318863481379e-7,1.5605790765631667e-4,5.569952947157852,0.4510010377236914,down,Lactic Acid,C3 H6 O3,90.033,2.96,79-33-4
VPAnC48,-1.2226891128312634,17.263217386460582,-5.3734376681652964,2.7588800872547588e-5,0.004938395356186018,2.075176287603724,0.42848330154495595,down,Adenine,C5 H5 N5,135.055,3.2,73-24-5
VPAnC176,-1.2488542779585963,13.028546123215493,-5.988276747333557,6.888106194929886e-6,0.0012329710088924495,3.4758951413099117,0.4207822408732382,down,dTDP,C10 H16 N2 O11 P2,402.014,9.39,491-97-4
VPAnC127,-1.2700987238151407,12.930507185393983,-5.705563081323664,1.2970627965582076e-5,0.0023217424058391916,2.8363538164575237,0.41463139865418513,down,Ribose 5-Phosphate,C5 H11 O8 P,230.019,10.02,4300-28-1
VPAnC152,-1.353431727896694,16.930982394211767,-11.248220185839713,3.4105864521992827e-10,6.104949749436716e-8,13.521746782143161,0.39136001573711854,down,GlcNAc-1P,C8 H16 N O9 P,301.056,10.69,28446-21-1
VPAnC159,-1.4067532927101651,13.395895581999683,-5.052677022455413,5.7770000385014073e-5,0.01034083006891752,1.3317247118210256,0.37715950961658135,down,CMP,C9 H14 N3 O8 P,323.052,10.56,63-37-6
VPAnC160,-1.6246026713198194,16.066945332463597,-7.1534164215052005,5.635664125167395e-7,1.0087838784049636e-4,6.012669925597952,0.32429919071469776,down,UMP,C9 H13 N2 O9 P,324.036,9.39,58-97-9
VPAnC138,-1.802779251806943,21.236865193906805,-5.1139658984348895,5.012706006711304e-5,0.008972743752013235,1.4743080854466095,0.28662189937691807,down,Inosine,C10 H12 N4 O5,268.081,2.64,58-63-9
VPAnC168,-2.7083220851603125,16.27502910090978,-5.46245527625528,2.2511087139213155e-5,0.004029484597919155,2.2801399561060487,0.15300788585574523,down,AMP,C10 H14 N5 O7 P,347.063,10.09,61-19-8
VPAnC169,-3.034197100482492,12.373079354720696,-4.818379149261495,9.964406063654346e-5,0.01783628685394128,0.7848406172848383,0.12207188756320722,down,GMP,C10 H14 N5 O8 P,363.058,10.08,85-32-5
VPAnC114,0.9294964892809364,15.080732665459728,10.511594025867455,1.1163202473508598e-9,1.998213242758039e-7,12.32475178548431,1.9046111573844915,up,Homocitric Acid,C7 H10 O7,206.043,8.4,3562-74-1
VPAnC54,0.8588796389631201,18.436864141549762,4.925819733701717,7.756632729691351e-5,0.013884372586147518,1.035942311490948,1.8136293442426805,up,Valproic acid,C8 H16 O2,144.115,1.41,99-66-1
VPAnC53,0.6688897317884948,17.633378868619918,5.861518266533554,9.137815038278039e-6,0.001635668891851769,3.1901765892806706,1.5898489817577717,up,O-Phosphoethanolamine,C2 H8 N O4 P,141.019,13.9,1071-23-4
