compound_short,logFC,AveExpr,t,P.Value,adj.P.Val,B,vpa_div_cntrl,change_in_vpa,compound_full,formula,mass,rt,cas_id
VPApC35,-0.31825663469614246,18.672223335226963,-4.853698829978923,7.687772823774782e-5,0.010916637409760191,0.58407812244673,0.802038482552588,down,Asparagine,C4 H8 N2 O3,132.054,8.39,70-47-3
VPApC40,-0.3905657212807631,15.411803782648144,-4.621143497750708,1.350774932342004e-4,0.019181004039256457,0.018443956178631815,0.762830418573658,down,N-Methylnicotinate,C7 H7 N O2,137.048,10.39,535-83-1
VPApC51,-0.4532061968378845,16.919971941303395,-4.489348561574307,1.8607058734576858e-4,0.026422023403099137,-0.30211612578121727,0.730417787027595,down,Xanthine,C5 H4 N4 O2,152.034,1.92,69-89-6
VPApC101,-0.6350003953314437,14.046874724601864,-5.753221834843104,8.991813258368491e-6,0.0012768374826883258,2.7515384544966643,0.6439406383004231,down,Glycerol 1-phosphoserine,C6 H14 N O8 P,259.045,8,26289-09-8
VPApC24,-0.645992582609833,19.3853459708974,-4.275738604849766,3.1289011847990885e-4,0.04443039682414705,-0.8208193559051811,0.639052967183631,down,Nicotinamide,C6 H6 N2 O,122.048,1.9,98-92-0
VPApC49,-0.6773520574296764,14.619804910989508,-4.311187332749495,2.8702907027273496e-4,0.04075812797872837,-0.7348557666481899,0.6253119280583248,down,D-Ribose,C5 H10 O5,150.052,2.45,50-69-1
VPApC89,-0.7031360344411314,16.57606160826942,-4.3015391188373275,2.9384829263077056e-4,0.04172645755356942,-0.758258424325029,0.6142355700597729,down,GlcNAc,C8 H15 N O6,221.09,3.38,7512-17-6
VPApC67,-0.7177427010860604,14.14325736054388,-5.261553697484242,2.882087529103738e-5,0.004092564291327308,1.5726283963038128,0.6080480748740905,down,G3P,C3 H7 O6 P,169.998,10.24,591-57-1
VPApC112,-0.856807595948954,15.832742473231189,-4.662097750468378,1.2229427238602308e-4,0.01736578667881528,0.11808088337233968,0.5521730588588377,down,Xanthosine,C10 H12 N4 O6,284.076,2.53,146-80-5
VPApC38,-1.1238289692789865,19.000709601903157,-7.770522997082316,1.013746335315141e-7,1.4395197961475002e-5,7.325004850987938,0.4588743372371382,down,Adenine,C5 H5 N5,135.054,3.19,73-24-5
