compound_full.x,formula,cas_id,compound_full.y,HMDB,Metlin,KEGG
"11Z,14Z-Eicosadienoic Acid (20:2 n-6)",C20 H36 O2,2091-39-6,"11Z,14Z-Eicosadienoic Acid (20:2 n-6)",HMDB05060,62964,C16525
2-Aminoadipic Acid,C6 H11 N O4,542-32-5,2-Aminoadipic Acid,HMDB00510,3271,C00956
3-Sulfinoalanine,C3 H7 N O4 S,1115-65-7,3-Sulfinoalanine,HMDB00996,5927,C00606
4-Oxoproline,C5 H7 N O3,4347-18-6,4-Oxoproline,None,63471,C01877
Adenine,C5 H5 N5,73-24-5,Adenine,HMDB00034,85,C00147
ADP,C10 H15 N5 O10 P2,58-64-0,ADP,HMDB01341,34522,C00008
ADP-Glucose,C16 H25 N5 O15 P2,102129-65-7,ADP-Glucose,HMDB06557,63203,C00498
AMP,C10 H14 N5 O7 P,61-19-8,AMP,HMDB00045,34478,C00020
Arachidonic Acid,C20 H32 O2,506-32-1,Arachidonic Acid,HMDB01043,193,C00219
Asparagine,C4 H8 N2 O3,70-47-3,Asparagine,HMDB00168,14,C00152
Aspartic Acid,C4 H7 N O4,56-84-8,Aspartic Acid,HMDB00191,15,C00049
CMP,C9 H14 N3 O8 P,63-37-6,CMP,HMDB00095,3452,C00055
CTP,C9 H16 N3 O14 P3,65-47-4,CTP,HMDB00082,3578,C00063
Cystathionine,C7 H14 N2 O4 S,56-88-2,Cystathionine,HMDB00099,39,C02291
D-Galactitol,C6 H14 O6,608-66-2,D-Galactitol,HMDB00107,4179,C01697
D-Glucose 6-phosphate,C6 H13 O9 P,56-73-5,D-Glucose 6-phosphate,HMDB01401,145,C00668
D-Ribose,C5 H10 O5,50-69-1,D-Ribose,HMDB00283,313,C00121
Deoxyribose,C5 H10 O4,533-67-5,Deoxyribose,HMDB03224,3258,C01801
dTDP,C10 H16 N2 O11 P2,491-97-4,dTDP,HMDB01274,3520,C00363
Fucose,C6 H12 O5,2438-80-4,Fucose,HMDB00174,63169,C01019
G3P,C3 H7 O6 P,591-57-1,G3P,HMDB01112,3294,C00118
GlcNAc,C8 H15 N O6,7512-17-6,GlcNAc,HMDB00215,3356,C00140
GlcNAc-1P,C8 H16 N O9 P,28446-21-1,GlcNAc-1P,None,384,C04501
Glyceric Acid,C3 H6 O4,473-81-4,Glyceric Acid,HMDB00139,280,C00258
Glycerol-3-phosphocholine,C8 H20 N O6 P,28319-77-9,Glycerol-3-phosphocholine,HMDB00086,63346,C00670
Glycerol 1-phosphoserine,C6 H14 N O8 P,26289-09-8,Glycerol 1-phosphoserine,None,None,None
Glycerylphosphorylethanolamine,C5 H14 N O6 P,1190-00-7,Glycerylphosphorylethanolamine,HMDB00114,5151,C01233
Glycine,C2 H5 N O2,56-40-6,Glycine,HMDB00123,20,C00037
GMP,C10 H14 N5 O8 P,85-32-5,GMP,HMDB01397,98,C00144
Homocitric Acid,C7 H10 O7,3562-74-1,Homocitric Acid,HMDB03518,63241,C01251
Hypoxanthine,C5 H4 N4 O,68-94-0,Hypoxanthine,HMDB00157,83,C00262
Inosine,C10 H12 N4 O5,58-63-9,Inosine,HMDB00195,84,C00294
Lactic Acid,C3 H6 O3,79-33-4,Lactic Acid,HMDB00190,45858,C00186
Methyl-L-Lysine,C7 H16 N2 O2,1188-07-4,Methyl-L-Lysine,HMDB02038,58082,C02728
myo-Inositol,C6 H12 O6,87-89-8,myo-Inositol,HMDB00211,144,C00137
N-Acetylserine,C5 H9 N O4,16354-58-8,N-Acetylserine,HMDB02931,308,None
N-Methylnicotinate,C7 H7 N O2,535-83-1,N-Methylnicotinate,HMDB00875,273,C01004
Nicotinamide,C6 H6 N2 O,98-92-0,Nicotinamide,HMDB01406,1497,C00153
NMN,C11 H15 N2 O8 P,1094-61-7,NMN,HMDB00229,4167,C00455
O-Phosphoethanolamine,C2 H8 N O4 P,1071-23-4,O-Phosphoethanolamine,HMDB00224,54,C00346
PC(35:2),C43 H82 N O8 P,00-00-020,PC(35:2),HMDB08330,59776,C00157
PC(36:4),C44 H80 N O8 P,00-00-021,PC(36:4),HMDB07983,59431,C00157
Proline,C5 H9 N O2,147-85-3,Proline,HMDB00162,29,C00148
Ribose 5-Phosphate,C5 H11 O8 P,4300-28-1,Ribose 5-Phosphate,HMDB01548,159,C00117
Sedoheptulose 7-phosphate,C7 H15 O10 P,2646-35-7,Sedoheptulose 7-phosphate,HMDB01068,3418,C05382
Serine,C3 H7 N O3,56-45-1,Serine,HMDB00187,30,C00065
Succinoadenosine,C14 H17 N5 O8,4542-23-8,Succinoadenosine,HMDB00912,5867,None
Thiamine,C12 H16 N4 O S,59-43-8,Thiamine,HMDB00235,229,C00378
Thiosulfate,H2 O3 S2,14383-50-7,Thiosulfate,HMDB00257,5260,C00320
Threonine,C4 H9 N O3,72-19-5,Threonine,HMDB00167,32,C00188
UMP,C9 H13 N2 O9 P,58-97-9,UMP,HMDB00288,3453,C00105
Uracil,C4 H4 N2 O2,66-22-8,Uracil,HMDB00300,258,C00106
Uridine,C9 H12 N2 O6,58-96-8,Uridine,HMDB00296,90,C00299
Valproic acid,C8 H16 O2,99-66-1,Valproic acid,HMDB01877,2986,C07185
Xanthine,C5 H4 N4 O2,69-89-6,Xanthine,HMDB00292,82,C00385
Xanthosine,C10 H12 N4 O6,146-80-5,Xanthosine,HMDB00299,3408,C01762
