Samples,Mode,Type,Group,hVPAnC1,hVPAnC2,hVPAnC3,hVPAnC4,hVPAnC5,hVPAnC6,hVPAnC7,hVPAnC8,hVPAnC9,hVPAnC10,hVPAnC11,hVPAnC12,hVPAnC13,hVPAnC14,hVPAnC15,hVPAnC16,hVPAnC17,hVPAnC18,hVPAnC19,hVPAnC20,hVPAnC21,hVPAnC22,hVPAnC23,hVPAnC24,hVPAnC25,hVPAnC26,hVPAnC27,hVPAnC28,hVPAnC29,hVPAnC30,hVPAnC31,hVPAnC32,hVPAnC33,hVPAnC34,hVPAnC35,hVPAnC36,hVPAnC37,hVPAnC38,hVPAnC39,hVPAnC40,hVPAnC41,hVPAnC42,hVPAnC43,hVPAnC44,hVPAnC45,hVPAnC46,hVPAnC47,hVPAnC48,hVPAnC49,hVPAnC50,hVPAnC51,hVPAnC52,hVPAnC53,hVPAnC54,hVPAnC55,hVPAnC56,hVPAnC57,hVPAnC58,hVPAnC59,hVPAnC60,hVPAnC61,hVPAnC62,hVPAnC63,hVPAnC64,hVPAnC65,hVPAnC66,hVPAnC67,hVPAnC68,hVPAnC69,hVPAnC70,hVPAnC71,hVPAnC72,hVPAnC73,hVPAnC74,hVPAnC75,hVPAnC76,hVPAnC77,hVPAnC78,hVPAnC79,hVPAnC80,hVPAnC81,hVPAnC82,hVPAnC83,hVPAnC84,hVPAnC85,hVPAnC86,hVPAnC87,hVPAnC88,hVPAnC89,hVPAnC90,hVPAnC91,hVPAnC92,hVPAnC93,hVPAnC94,hVPAnC95,hVPAnC96,hVPAnC97,hVPAnC98,hVPAnC99,hVPAnC100,hVPAnC101,hVPAnC102,hVPAnC103,hVPAnC104,hVPAnC105,hVPAnC106,hVPAnC107,hVPAnC108,hVPAnC109,hVPAnC110,hVPAnC111,hVPAnC112,hVPAnC113,hVPAnC114,hVPAnC115,hVPAnC116,hVPAnC117,hVPAnC118,hVPAnC119,hVPAnC120,hVPAnC121,hVPAnC122,hVPAnC123,hVPAnC124,hVPAnC125,hVPAnC126,hVPAnC127,hVPAnC128,hVPAnC129,hVPAnC130,hVPAnC131,hVPAnC132,hVPAnC133
mix1,h.neg,mix,mix,2393.030876,289716.732,11132.73482,162073.7172,26619.72233,719623.8103,282960.4856,131599.8358,20275.32324,202558.9946,27584.89645,49170.32352,3049.326495,10998.92782,8583.712109,90391.84446,574.5436094,45646.95205,169012.4984,13864.3221,1219014.914,23136.69646,22798.14275,41197.08046,6219.68219,33696.03279,33384.24883,188021.27,193344.0458,5244.094187,137467.8953,232756.2601,3182.618979,77356.78148,34246.14323,820538.8205,14600.9661,49526.80075,49251.01362,852986.2642,20817.21254,24298.31217,6260.195239,9587.417913,302.7219331,1218.824635,34804.93287,5832.651015,971.857152,30657.31181,73370.58664,4624.505865,148310.8841,799.3425046,1360.184046,12642.0942,9256.046529,18579.50526,4307.096125,7134.403146,6941.272115,20319.4649,37448.26721,40187.9138,106816.4667,805.8225398,14544.08501,93216.73994,35215.3235,858.3516623,7653.719416,10619.84582,13048.80737,1829070.486,27560.20248,37318.2215,51868.32002,964.2715029,291556.3847,22682.49997,3330.216116,32707.255,348.5288959,10241.94848,1490775.974,274.8989024,10278.66567,7884.7108,1369.48008,8133.657317,17871.80484,84767.78268,1146217.806,539.729556,1818.04815,40738.12212,8629.699909,1347.045473,379029.3803,18324.12277,353.8545844,2714.745489,16866.70924,3178.155721,12277.30576,2578.338616,389.6128811,3665.70746,6672.573789,3840.01766,1437.552907,9788.811433,8324.682062,43050.8481,31978.4981,2969.958815,73286.06437,437.6385681,818.6000066,367383.4639,20227.64048,8706.854865,325.8340784,60374.51439,248.2480819,630.5016914,888835.9179,89027.61325,30698.18962,3365.221098,832.6778706,,578.6338741
mix2,h.neg,mix,mix,4094.04867,349056.0003,14675.23949,201307.7994,30081.11925,909714.3727,352302.8631,156982.1493,23214.14221,252794.0584,33366.21264,56958.36677,4633.844731,12816.82277,9556.924148,113599.9267,709.0809084,57573.07729,207405.8735,16762.23031,1478993.83,29725.71561,21643.56391,52062.07472,8493.076964,39807.84558,38042.69285,237959.1778,230816.2174,6926.976935,154774.5592,273620.1834,4822.230678,91384.17873,45098.21947,1006637.757,17658.76852,58248.06779,57931.20171,999554.4779,26367.665,29522.86541,9323.701943,11319.79389,302.9948764,2122.991384,40373.32192,6176.445362,1636.148875,41455.12306,95655.83105,4494.08662,181358.5589,648.6169611,2215.039099,16783.87015,12752.13098,23090.6628,4107.294384,9473.981078,9534.647066,21476.48296,45942.4865,49260.66983,130196.7722,1192.715149,18154.03898,115979.2026,40724.01537,1621.154655,9748.444839,13147.38487,17920.98655,2166479.258,36342.46806,45278.4609,62676.00505,1730.223863,354232.296,25154.07272,4533.955872,51901.25087,549.947111,15254.14034,2045671.551,335.1685258,12783.88981,11773.00001,1358.372305,9185.363737,29011.15016,110738.025,1627545.718,712.1337059,1642.658319,57308.19332,10987.5203,1521.716986,440269.2118,25857.62657,289.0553949,3136.476132,21176.85118,4174.90791,16261.80478,4191.50258,2526.358186,4542.080388,9502.916254,6626.269862,1900.231344,12085.30402,8506.32146,54234.20282,41668.36247,4568.913416,83706.33655,1102.865547,1361.278826,485564.6763,29135.49913,10534.39454,365.3204976,74260.89004,418.2965288,992.3047719,1032310.172,104788.1724,38165.10752,3576.256041,621.364814,126.5799917,709.7547358
mix3,h.neg,mix,mix,5073.917661,388366.0642,15434.57294,236888.8579,33311.26114,963099.0386,397451.3569,176341.1824,27232.45444,270022.1117,39841.22592,62886.58279,3966.488784,14301.21949,10076.07661,126923.6076,1055.469737,58276.60754,218284.5055,19530.0001,1621552.082,32622.98162,23943.26923,56107.89998,10518.78813,41737.0194,39555.77892,272583.0903,273477.8066,9063.093565,165042.1002,285577.1132,5532.541913,109514.8627,50251.52187,1145445.236,17683.81694,62728.2112,62295.63032,1074093.865,31362.31288,33248.35639,9761.987725,13339.52007,509.3732526,1851.109666,47157.58202,7719.825252,2203.414936,52774.73847,107764.81,7006.035172,206002.9427,1199.477378,2289.582731,17120.33157,15893.16954,20477.91277,6817.709548,8735.169252,10341.46354,24043.58013,47257.3843,51191.20286,146478.5129,1715.233996,20152.01106,130765.209,43714.30924,2203.625022,10614.23595,12207.87759,20268.57241,2296496.451,44873.81462,51236.97002,65796.40498,1591.454527,381540.2099,26383.07932,4987.001615,57367.8982,1770.646561,15934.0178,2478817.592,,12738.16989,12035.82184,1529.189959,10507.51387,33975.39576,134807.8477,2108153.216,1347.216686,3155.92087,70995.3528,11013.72656,1089.334441,430930.9498,33832.60232,1029.653649,3548.231525,26739.28103,3850.743217,15525.73285,5393.774982,2021.750141,5192.772604,10325.94058,7465.858174,3139.432718,12809.53477,9985.258566,50779.72433,41935.95278,5996.405122,81245.53094,1162.834327,1625.540723,486392.3593,27901.03028,12864.91298,143.6104318,82404.22836,952.7150333,608.6053142,1089405.46,118527.5757,39852.29424,3129.679866,700.5600004,,1030.300031
mix4,h.neg,mix,mix,5254.483064,214481.3769,11773.47448,146715.9321,21166.73806,549128.291,289713.0348,114311.3884,17010.93739,176210.8925,25607.77381,33219.15039,2742.056074,8393.166652,8225.364269,72356.39133,940.5991231,56181.35715,120481.6969,24470.8104,1060024.008,23056.03293,19070.18776,31087.76753,6656.823618,26757.44963,24779.76407,158795.3924,153750.858,6735.052471,116157.8741,200803.6379,3604.484348,65494.91387,31611.11611,925026.3868,13967.22513,36123.90017,36123.90017,699749.8534,15601.37798,15768.13444,8616.620629,8823.653282,369.9340115,2068.767133,32680.80769,6559.651712,1108.639181,48920.30726,72794.21142,7758.812939,115706.6249,1438.117208,1527.958964,13833.90254,9116.246097,14360.9834,3483.738977,8489.631344,4696.652008,17708.38091,28118.36416,41513.16813,81076.0786,664.9119059,14218.48734,82657.98224,27170.45825,468.7402398,6273.601031,8365.859021,17625.72379,1537281.836,29727.3948,28022.46276,36945.71644,1230.723727,265855.5562,17524.79296,4742.649864,37585.66824,603.6342159,11217.982,1609756.127,132.0802377,7450.515108,6539.331982,3055.247411,5833.213523,25365.2783,87567.83,1423868.92,460.9098941,882.5271468,52258.61366,4784.224732,596.5868418,213010.4803,25551.74254,111.331807,1542.082377,18074.35246,1958.150039,12684.60107,3796.65834,325.8963336,2746.70634,10059.82778,4831.218272,1280.469257,6175.070901,4459.626905,31808.84136,22880.04334,3964.864493,43483.81283,110.7163643,390.1182278,259557.726,15563.51106,8141.800741,108.1938155,55149.46715,,145.3560999,563082.5969,74231.72266,29730.82453,1249.221992,129.5101146,,263.9128717
mix5,h.neg,mix,mix,3519.076605,24098.10336,5635.635911,27616.78708,14263.14416,72491.22025,70358.33698,14383.94361,4860.004229,30066.02743,,3106.281887,805.8435252,788.7356449,4773.838463,11882.09609,1124.570555,32992.16536,15323.01767,4278.668077,253002.8096,15071.32846,9201.458033,5333.692578,2824.002429,7786.394742,6275.788621,21350.40647,25294.88981,3044.132211,21169.14882,29908.7791,636.2377071,19414.14792,8842.769308,202712.4536,9685.782736,5440.057667,5440.057667,100782.3255,969.9619737,6963.471185,3553.462296,4251.169519,,615.3616868,5795.860825,577.012898,,1905.154395,16254.38332,1746.780511,16951.48183,,355.1129458,8833.437003,1131.53689,577.6915057,,4005.81229,233.4479503,7506.829456,3546.974998,5059.740161,6692.075058,,1944.551559,15614.21589,3660.521023,113.9278947,117.712906,1051.599415,12097.12973,140454.4141,16405.71434,2849.662326,3340.713276,99.9791685,56576.54074,1592.501561,1083.057882,16855.82521,103.1369439,7723.269161,275358.9878,,,109.511064,113.4018365,479.499276,13689.8648,23253.95097,275625.1887,,,15872.313,,,11346.68062,9425.512248,,,2657.482489,,1080.548836,1449.79884,,257.8317662,5663.11276,1747.367898,,,269.4817274,1287.612348,1731.648771,521.4532118,1878.979918,,,26891.45347,,536.9440768,,3815.271651,,,40218.39235,3892.623982,2230.647634,,,,
P1C1,h.neg,sample,cntrl,7367.542189,525572.9695,18652.09906,332359.579,39885.77028,1249651.199,723981.4078,210475.927,29498.97447,338096.483,59427.9255,101299.9158,8395.685162,11160.68788,14310.95349,186793.3058,1581.49185,82800.57942,280786.1658,22257.19871,2323677.98,36613.68285,32287.11593,79082.96489,15655.95205,66267.41355,64152.8775,445895.3353,413917.7397,17870.01299,166052.6172,562090.1677,9508.303314,126028.9098,48984.50795,1773126.184,22883.53826,68588.36571,68479.62822,1298760.852,46095.58517,21962.30623,12012.22075,20523.99735,1030.917456,2750.055083,56988.01042,14609.6513,6059.032097,102998.3079,123862.511,11153.53188,299751.8692,2135.940632,4468.974643,26571.64781,31126.68043,33423.88314,10516.0375,14811.99744,8486.840644,30508.26427,46399.40471,97650.41281,203662.1063,2836.676388,34378.91935,229342.7867,55608.70065,1995.405787,14725.69343,13230.61185,22831.08621,2761523.379,61825.60785,63917.00935,74262.7679,2980.962612,341570.6228,31896.02987,9692.50133,61673.53947,1948.408759,20093.48732,2719575.016,1676.684391,20150.55684,11445.90042,6227.684141,10488.46553,36754.71243,166802.8048,2038307.678,2055.513173,3761.220693,81988.5496,12439.11551,388.7129436,709479.6785,28741.19351,1422.2426,5274.12512,26807.47903,4840.962742,30940.28224,5053.402269,18355.61063,2117.531261,13134.73449,9058.713393,2572.417,6509.920175,15312.81841,38034.78153,61212.12893,8513.270937,122869.3258,1043.317571,3024.534195,740953.3266,53974.27452,17872.98661,841.2042167,128776.8366,597.0920949,2900.435365,1718885.094,125712.5718,56979.48601,4921.43335,879.7744737,105.4988164,2809.873462
P1C2,h.neg,sample,cntrl,9660.482548,489116.6488,19454.79889,295695.4438,37786.56329,1185659.593,586599.2117,206464.9174,28095.50208,326814.423,56095.11209,85799.56975,8322.17912,14706.16901,11705.52141,182649.0163,2620.891958,83756.05775,257864.4577,22336.55637,2189126.104,31656.64232,34580.18635,72447.71349,15226.03907,54427.41984,52938.36636,429293.7031,406889.0609,14516.31452,151977.8818,437575.6244,9204.685659,128183.2707,47907.81633,1582027.138,26740.71513,68247.45131,68247.45131,1233378.313,42228.2391,36171.62747,11407.53513,17916.67967,1497.633042,2893.279789,58855.96253,21428.22435,4434.92457,112503.0465,134389.5765,11358.00575,293706.3608,1821.206653,4336.389628,27100.09991,28051.81874,28976.14549,8181.301257,12445.59295,9320.300555,32850.95532,68945.94907,78274.5099,205717.7371,2992.499196,29963.81414,207758.4079,54207.49861,1934.424238,12935.71649,13278.21104,23321.94023,2724450.36,58053.53125,70897.04993,82520.81485,2884.730058,387817.499,30287.23902,7406.511161,74356.28346,2279.905258,21577.72616,2891008.088,611.5304304,19432.18041,14307.57678,4352.06078,10143.71244,42075.2686,183979.6506,2103217.817,1353.01824,3793.90804,81546.01045,12148.96331,2881.949438,607667.7644,31008.51644,1264.498752,4141.441422,31679.98839,4619.600038,26099.08139,4554.406674,14657.01458,2051.568353,15424.40482,11002.62482,2292.072823,6635.209114,11432.08489,35555.85193,56076.42608,9699.039071,113952.6466,1479.808892,2172.821817,620867.6344,44364.95536,16483.28229,305.7482238,116486.0444,1160.784754,1969.18544,1658778.969,132450.2911,56912.57936,5167.666317,1379.804762,278.1432954,2537.258113
P1C3,h.neg,sample,cntrl,7029.11044,409074.5056,13443.20277,224541.8248,33511.29057,980256.7062,345128.573,172450.1181,24412.63511,282486.3888,47438.83667,71474.29396,5806.940188,15288.30466,9818.139985,137859.2817,1203.27042,62931.73437,220655.0737,21034.96353,1960070.279,27310.53325,31176.02296,52523.56626,13531.44254,43908.09049,43626.72471,323979.0274,304133.2821,10959.69803,143674.3676,275076.2863,7141.553063,121110.0616,49331.31691,1302214.671,21568.93278,58006.64382,57907.9885,1025895.069,36412.25789,38661.09952,13065.25942,19520.15244,647.0584172,3219.374279,52506.98943,10166.71962,1835.400699,85810.66645,129900.7406,9439.759508,219951.9339,1345.956363,2449.625343,17612.23149,17321.3694,21624.27044,5673.912477,8752.060051,8784.056882,30810.55623,45464.67256,61111.71988,167200.1972,2010.457824,25730.74855,187043.1921,48784.42457,2597.203202,8746.545829,13576.43828,27177.4169,2343542.379,60463.719,55244.25567,76504.42934,2163.8622,365191.989,26385.00069,6268.42109,71930.60908,940.5168974,22479.76492,3050886.899,825.8933081,11714.96236,11756.78757,2586.136042,7342.187389,36422.7424,171215.835,2213971.406,1174.632129,3143.696266,88857.76591,9122.673312,2222.965172,434291.705,35760.37469,895.5314733,2438.7887,26216.06803,3793.991924,17992.47322,4805.201335,1309.473242,2429.267747,13191.40591,11309.91471,2033.142852,11800.78442,8225.376973,46363.63075,41825.89481,7562.278376,75328.8024,458.3530978,1168.70156,424978.275,26433.90819,14635.45582,876.970465,87015.4242,851.4590336,579.2186641,1156550.906,111965.0521,47594.47964,2916.9371,1026.072307,153.8062061,1482.423844
P2C1,h.neg,sample,cntrl,5884.289666,552688.7281,32747.21193,336371.6969,42863.43839,1340206.801,1349007.379,222105.9376,33560.92604,354690.3692,68373.34737,96725.47321,7952.77824,15110.15595,13884.44071,214297.6864,3143.818872,83538.10969,303991.3609,23373.70317,2395034.666,53043.86447,34296.71921,74815.69995,15774.50192,71020.50086,72339.30705,522758.4199,448775.0814,15506.39667,159323.5066,536159.0482,10236.24679,126495.8047,50295.54293,1544009.437,27531.63358,84789.6531,84430.31688,1359077.444,47436.30383,43397.93318,9703.247092,20505.21815,1394.186542,2811.578992,61091.39635,10361.78914,5849.304338,104872.1118,159707.0391,11045.78652,328851.4197,2249.755462,4508.957751,38950.90552,35054.29004,35105.93397,12685.29696,13074.36693,8680.045277,31402.25539,89960.21218,84329.64395,231991.2167,2413.636754,36173.90587,237235.1963,59052.32735,2585.076486,20986.37343,13258.27291,25315.92659,2778644.618,56524.4425,76340.13254,67862.0739,2847.343668,469933.5409,33219.06064,8239.727582,66750.79366,1844.959321,19849.64883,2981900.659,1536.920033,22543.77074,15371.48652,3465.621587,20626.78282,35817.65451,178969.3639,2325239.565,1746.432304,4736.519302,84823.97767,11921.08749,4752.166211,668982.0582,31611.50369,1013.787656,5875.346621,29842.40652,5186.455081,25825.36635,5816.55929,8647.353663,5657.976257,9811.960466,9019.364615,2634.443078,15223.26402,13678.36515,66255.68919,56162.05916,8387.517739,106477.6665,1628.637917,1875.059006,575642.6628,37263.05467,17132.61752,439.3489048,112330.7323,501.0049378,2351.579128,1715004.413,130343.3551,54578.27152,4487.939087,1169.621643,226.0763176,2284.275925
P2C2,h.neg,sample,cntrl,,,,118.5395017,,217.5248379,,,108.3703652,,,,,108.2960772,,113.685901,,,103.5985221,,103.6982028,,,,,,,,,1114.653669,120.4559349,1757.884787,,,,,,,,,,,,,,,,,,,,112.9372825,,,,,,,,,,,,,105.7303722,,,,117.073108,,,,,,115.6521631,,,,,,,231.5548906,,256.1499102,380.9193666,,,,,,314.3582357,320.1955274,322.4450646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
