Samples,Mode,Type,Group,hVPApC1,hVPApC2,hVPApC3,hVPApC4,hVPApC5,hVPApC6,hVPApC7,hVPApC8,hVPApC9,hVPApC10,hVPApC11,hVPApC12,hVPApC13,hVPApC14,hVPApC15,hVPApC16,hVPApC17,hVPApC18,hVPApC19,hVPApC20,hVPApC21,hVPApC22,hVPApC23,hVPApC24,hVPApC25,hVPApC26,hVPApC27,hVPApC28,hVPApC29,hVPApC30,hVPApC31,hVPApC32,hVPApC33,hVPApC34,hVPApC35,hVPApC36,hVPApC37,hVPApC38,hVPApC39,hVPApC40,hVPApC41,hVPApC42,hVPApC43,hVPApC44,hVPApC45,hVPApC46,hVPApC47,hVPApC48,hVPApC49,hVPApC50,hVPApC51,hVPApC52,hVPApC53,hVPApC54,hVPApC55,hVPApC56,hVPApC57,hVPApC58,hVPApC59,hVPApC60,hVPApC61,hVPApC62,hVPApC63,hVPApC64,hVPApC65,hVPApC66,hVPApC67,hVPApC68,hVPApC69,hVPApC70,hVPApC71,hVPApC72,hVPApC73,hVPApC74,hVPApC75,hVPApC76,hVPApC77,hVPApC78,hVPApC79,hVPApC80,hVPApC81,hVPApC82,hVPApC83,hVPApC84,hVPApC85,hVPApC86,hVPApC87,hVPApC88,hVPApC89,hVPApC90,hVPApC91,hVPApC92,hVPApC93,hVPApC94,hVPApC95,hVPApC96,hVPApC97,hVPApC98,hVPApC99,hVPApC100,hVPApC101,hVPApC102,hVPApC103
mix1,h.pos,mix,mix,10069.01338,2953.079643,50228.35218,10301.57676,72190.4625,20125218,48403.00353,8060.069928,330841.076,5238.452435,14901.71064,89181.86495,360517.9019,322079.0965,1318476.132,82185.08478,9482.997052,2358769.214,8175.488982,5241.45232,3913.072086,361208.3708,383985.3852,1723984.402,533912.9699,671252.2179,1686.625065,20883.64247,87761.00602,6381.324859,30550.75867,1647.322522,40912.88125,35991.45209,500797.9608,335092.3989,533130.6374,170257.7056,8285.33651,18862.4926,106274.3017,3777.36581,24586.76774,210475.6397,353179.0492,589213.5233,2475.771989,31868.21211,2962.022158,1218106.111,408193.6319,46564.12302,27238.2816,19193679.59,3102.282968,81239.55712,418168.7635,155977.1109,779589.8563,176094.3378,174185.5042,75279.51493,11910.62812,8227.707863,298324.2239,5447.086137,40057.88259,7056.8149,8213.040123,3724.688208,65503.19112,15553.49207,7263.898332,441910.8036,4946.358841,2040.017256,7513.536343,18416.6219,5225.978686,41440.8999,198084.8827,18245.17522,22379.01048,93050.13298,4103.242262,90762.83605,5321.06436,3989.750904,719169.5446,56292.06723,8405.909701,1169.836573,3077.364392,329.3653014,816.3951623,379053.88,162524.5504,186466.5003,92553.23149,6092.481792,2736.364816,,5195.126329
mix2,h.pos,mix,mix,10155.43691,2621.956941,48061.8867,8384.00295,69448.73017,19257390.05,49234.59643,6557.863422,291412.1961,4857.379842,15514.22403,85420.80213,309908.4272,311828.052,1263494.506,76509.33832,9520.974091,2241891.996,6244.244189,3958.436477,5166.660656,326236.2557,347424.6762,1649169.544,479656.5228,600177.3976,2067.180759,17373.8254,80175.24507,9756.721856,27727.44744,2183.362838,39059.46594,37012.67212,453804.6203,286201.1227,502850.2869,140909.5598,9266.866534,18599.18675,105344.7372,3920.324244,21864.51659,212256.7634,344247.7613,517481.6794,3229.625463,30979.19711,3205.837583,1098164.241,340663.2387,41196.04687,27151.25757,18566374.96,2623.985799,82758.71042,406415.2122,140659.4133,791648.4351,171985.1198,154396.8166,82562.0699,11795.65044,6364.491617,290170.3702,4625.751978,35310.15576,6083.311608,8212.03205,2066.176902,61334.25406,12919.38546,7765.658858,439652.2073,5609.762653,1567.421223,8053.236906,20019.05253,4177.381585,36796.27284,173381.4889,17443.58957,23526.62311,90813.25851,4824.399525,82797.42983,5790.040309,2396.145288,721655.5056,55002.57451,9090.244973,608.6827023,3097.922357,371.542483,948.5977395,364217.5385,154682.5194,180180.4113,89669.41562,6292.306003,2950.810471,,5440.622761
mix3,h.pos,mix,mix,9769.308602,2664.240354,46282.45912,9106.265229,67750.89786,18833820.31,47222.64873,7547.470355,282115.6637,5950.79978,13427.15215,82942.43589,290989.6718,275340.5496,1228290.935,74362.02641,9831.310505,2200827.178,6412.675679,4195.418833,4697.778766,306452.4175,309821.6806,1613983.641,464942.4464,582859.7019,2132.991084,18808.90035,83086.89727,7336.467685,26216.7405,2712.343739,38253.34491,37048.18458,454514.2095,279363.5124,502671.2969,131820.6169,7201.375582,21112.47472,100314.5514,2793.557606,22221.90682,207126.8349,337959.0827,485793.1558,2459.357545,29419.71547,3174.104245,1056659.248,319328.4308,36330.87264,24709.02365,18341361,3452.155691,78706.70459,369871.6952,121016.1004,777858.9213,170797.7165,143091.0672,82819.54317,10796.6409,5266.775465,283174.7953,4922.517479,34279.34883,6942.989467,7512.167598,2233.768802,59609.11832,12975.25403,6290.593647,444896.7687,4303.421942,1701.486384,7992.053354,19854.19305,5222.645188,35519.17933,165746.404,15584.50697,24275.78312,83810.32755,3533.591163,78941.59501,4870.793983,2220.212428,674844.7405,52970.24677,9218.785015,660.8678599,2742.269715,565.3054392,918.70128,346312.9496,146745.4195,177703.3618,86672.09418,5734.727922,2514.917388,231.8937714,3972.52887
mix4,h.pos,mix,mix,8086.492416,2536.562678,44516.58358,7965.897193,65669.29245,18372599.98,46678.62793,8251.031777,276206.881,6526.648693,13208.13783,78557.96975,271777.1501,294462.6476,1176751.325,66701.53144,9066.987983,2165628.364,5850.220168,4885.012319,3045.080878,308808.6084,292296.528,1658990.455,454168.2738,574304.0643,1759.639222,17551.79168,78933.77587,7325.375612,26295.37654,2741.595182,38082.32143,36591.91175,462133.7699,277548.158,478964.2504,124851.5601,8902.585637,19009.67256,94423.50581,4339.672942,23419.28028,205419.3353,345796.8529,463677.5141,2255.871864,26580.88365,3622.460594,1053665.317,305631.1087,37914.88422,24127.0787,17991750.63,2313.796433,82177.43179,354615.7226,126968.8844,768995.494,162578.9909,137282.2085,85286.41671,11287.1386,6774.760198,282381.9347,4547.232085,30963.55032,6564.494272,6663.987458,1805.855739,59417.70482,15457.0562,6236.682462,433650.0371,4593.708044,1831.81022,8238.523864,20153.81065,4297.953212,33425.23571,153972.3263,16584.94608,21682.75132,86403.27846,2485.665548,72245.42677,5342.167252,2848.413636,644080.7333,53237.45408,8252.766906,803.1099531,2524.953658,428.6579365,1007.331813,344795.0528,147306.4462,173506.187,86458.03716,5661.117536,2982.81147,267.0666252,4870.054363
mix5,h.pos,mix,mix,,,,,,155.0475117,340.942002,,,,,,,,,,,,,,,,,,,,,,,,,,,,5292.510839,30509.76845,960.6184278,1153.175947,113.7762195,611.5948178,1695.288825,56.29534145,259.946832,101.0799913,7491.671057,2039.756456,664.0647475,569.9201296,174.9652645,1623.174768,559.7316735,8231.740705,,1165.696341,,250.9004031,272.2497696,,,,,,,,,,,,,409.6472056,2347.738332,,,917.8818754,685.1960782,366.7747201,4941.266917,,210.2008858,143.3524964,,132.7663499,,196.3221868,375.806092,,,,,,,,,99.50179913,,,169.7422691,,1079.790288,,,,
P1C1,h.pos,sample,cntrl,19367.84418,1618.236871,46583.53677,4565.546581,99356.11801,20637958.49,94476.96546,7168.328033,292675.9357,7254.435682,13515.34222,171892.4909,83963.25461,371216.5682,1191502.91,98000.94619,12701.51603,2427596.449,2294.67712,5867.176516,3173.745261,294153.5283,311958.5615,2829252.977,564679.5886,659674.8169,3591.202593,15533.43502,68632.23298,7878.977575,17112.68859,5161.987163,39149.85349,96489.66011,859704.7891,257280.0439,687615.0828,116387.7982,2982.768908,21085.01809,113775.7623,3746.207383,30971.89129,174880.1728,286230.2916,523678.2325,2796.902027,46558.39276,5742.306647,1041716.596,246202.3976,31513.35758,28932.37262,18237120.82,1380.619135,68933.12848,313857.2542,127853.266,668154.1769,118363.8386,94623.22061,84793.83055,16521.44854,5529.894537,691427.3546,4750.453384,50935.37688,22288.42212,4162.065658,2440.735375,64464.21369,12302.7656,4514.298454,528545.3012,4278.99688,2018.658682,7126.592256,22699.12678,4435.193475,17194.54877,125322.5364,9235.672533,18683.15796,44282.28491,963.0903199,79713.23329,4722.318404,2783.628585,688152.7573,65417.04748,6411.235287,900.9314955,2293.028454,,2104.556845,340821.8688,115348.0221,189950.8823,58898.77049,5478.265629,2820.404516,402.2443493,6388.367334
P1C2,h.pos,sample,cntrl,15278.02211,1207.45399,44138.07671,6445.707465,84814.4062,16528804.29,66377.36222,7974.415013,253147.2561,6393.493136,13316.21306,96748.883,138040.1521,327284.9531,1081510.81,83526.45861,8974.902924,2168688.917,3049.590729,4894.997648,4223.693238,255471.5856,258022.0657,2222014.733,539017.1477,613899.8817,2548.91544,17502.00174,56561.7569,7807.625087,16782.29894,5107.180696,35331.03916,58723.99575,635181.1909,254841.3451,550262.0244,116233.0227,6329.804875,19448.75988,93354.36153,4179.527565,41862.75763,159906.2273,292771.6911,486569.75,2148.830257,39586.79925,4140.49323,976877.588,231892.6804,30832.74553,26252.93602,16866590.04,1851.499884,66107.63128,339183.3621,124345.0907,693346.2061,123520.5203,103272.2225,76874.25394,12711.78542,5285.004384,394071.582,5067.159465,40187.71496,13152.93275,4954.819726,1523.920217,53684.69072,10969.27696,4106.307511,410795.1757,4063.397794,1316.955589,6563.340698,15675.09727,3917.492901,13655.51774,121222.7912,8041.444507,15349.73897,39547.48553,1213.030808,68221.7699,3682.36024,1938.98037,575423.9063,53397.66401,6524.87855,354.0421968,2414.143829,212.8202357,1115.178203,319387.0852,116599.0536,151646.3499,60227.2335,4708.939073,2069.962996,387.2358897,5560.916042
P1C3,h.pos,sample,cntrl,13288.41258,2368.695874,33219.31683,4267.890528,59510.01209,12444838.97,50416.44562,4078.914797,198347.1518,4889.724376,13238.77858,73138.66477,146021.2269,232535.3822,895204.2475,63307.86159,8734.168207,1877363.089,3312.604604,4141.598385,2448.394901,195148.0568,210304.5077,1684031.755,372827.396,448397.3652,1705.999818,11947.52451,53704.35146,7000.318898,13645.34195,2166.27775,31895.37601,42940.67785,473485.5551,209196.0274,384953.7714,88161.06831,5595.239574,16954.37883,75026.4155,3020.39604,33843.0085,131173.7302,284203.7394,363907.8199,1724.724604,24782.02868,1848.3111,866562.105,185819.4754,22951.51151,23211.0027,14116700,1552.695855,58361.93932,298077.4867,89101.87449,642921.45,120574.5907,79645.53488,68028.26583,9395.455278,2785.640693,228650.2196,3640.158986,27968.49566,8516.590577,2913.803163,673.4177045,45247.0184,10571.81093,2624.969848,289498.2533,3586.647658,585.4990985,4979.160103,11229.99068,3312.385335,17097.20278,123948.4075,8453.076813,14855.69008,40507.48408,880.0938596,44886.22073,2477.825608,849.7495364,373248.0897,33794.14339,4842.194617,226.9264462,1694.516474,,356.7975094,242756.7582,93776.69938,109906.7632,67895.21943,4280.426294,1254.203311,141.1130025,3907.719845
P2C1,h.pos,sample,cntrl,17697.36853,1720.396585,44913.2496,5933.953196,94907.90763,21574275.6,74019.78902,7083.137882,291282.5699,8209.502628,12508.84812,93787.0847,123172.1049,356659.1303,1211732.846,87926.51641,12520.04224,2364239.429,3958.986684,4084.55859,4142.98185,304420.1734,320815.8817,2464183.333,627311.9877,735023.8491,3765.355352,19413.79312,65086.30201,9535.45574,38300.8855,4083.940903,45801.61391,56998.94,625632.7736,270736.8627,635654.9583,123704.5687,10925.68091,24780.64696,110753.8078,2790.869217,45934.42283,187887.7233,291412.5015,563100.3608,3543.75721,49665.02961,6492.566734,1079878.847,288774.9976,34098.31884,29705.06792,17799877.82,2253.517616,77577.35134,372483.8291,141157.466,667893.8077,131109.283,117314.3791,90177.17004,14549.47484,6183.832065,512594.3269,6932.509457,39270.5718,11584.88517,11401.27668,2700.465187,69534.96493,10876.61384,5099.080393,449945.278,4493.392018,1869.902741,8287.290661,26833.52113,4445.917647,29202.11829,148712.9061,15929.84333,21560.77664,74027.42081,3420.647056,71388.70345,4525.697654,2197.293698,572382.8434,47197.09424,6884.161947,1425.418193,2747.182405,250.8455943,2162.203314,347831.9446,121356.8839,176155.3663,82878.59157,4937.542194,2156.241004,,4323.201223
P2C2,h.pos,sample,cntrl,6182.344245,2380.184618,30902.44439,13464.14695,25448.6475,15632788.87,19020.22807,4832.809735,232650.5644,5149.642397,11820.63184,64501.32765,215231.1929,346220.5248,1130196.966,59210.28331,9699.677259,2050814.148,4372.555416,4845.035173,3388.371748,199874.9642,227828.0746,938284.0068,437546.2371,530972.5487,960.5995321,12615.44857,54996.28771,7712.081932,25774.24138,3765.752236,22022.9504,22941.03115,194092.3732,221545.8352,327310.2745,111227.6837,9400.059638,20983.16722,67822.6956,3451.768585,5963.795009,168226.757,325451.0082,423619.7969,2793.960427,25935.54189,2244.669057,904947.0658,284967.0425,37468.4921,22253.89659,16539890.95,2790.894479,72022.81639,402355.7112,108584.3255,777306.584,125880.4411,126887.0158,76472.74387,7163.756649,3952.05356,231408.7162,4949.089221,25661.96612,5598.519257,7192.3062,1237.073775,51610.39062,10663.86341,6754.522093,320442.8579,3428.942904,1487.968391,6778.206504,19516.93798,4993.403234,28265.81724,140727.0171,14145.51608,20523.95262,76484.78596,2944.108827,63902.57883,3241.861138,1749.534645,505596.659,47074.53683,8066.670122,717.7050634,2176.711464,362.5313153,543.7494003,308486.2877,115362.2012,141256.678,57298.45694,4657.264981,2390.472471,261.6650654,4199.951027
