compound_short,compound_full,formula,mass,rt,cas_id
hVPApC1,Alanine,C3 H7 N O2,89.0478,6.03,56-41-7
hVPApC2,Beta-Alanine,C3 H7 N O2,89.0479,6.57,107-95-9
hVPApC3,Sarcosine,C3 H7 N O2,89.048,5.87,107-97-1
hVPApC4,"N,N-Dimethylglycine",C4 H9 N O2,103.0635,4.44,1118-68-9
hVPApC5,BAIBA,C4 H9 N O2,103.0635,6.67,144-90-1
hVPApC6,Choline,C5 H13 N O,103.1,4.84,62-49-7
hVPApC7,Serine,C3 H7 N O3,105.0428,6.72,56-45-1
hVPApC8,Diethanolamine,C4 H11 N O2,105.0789,5.56,111-42-2
hVPApC9,Hypotaurine,C2 H7 N O2 S,109.0199,5.81,300-84-5
hVPApC10,Cytosine,C4 H5 N3 O,111.0432,2.08,71-30-7
hVPApC11,Sorbic acid,C6 H8 O2,112.0523,0.77,24634-61-5
hVPApC12,Creatinine,C4 H7 N3 O,113.0592,1.7,60-27-5
hVPApC13,Proline,C5 H9 N O2,115.0634,4.72,147-85-3
hVPApC14,Valine,C5 H11 N O2,117.079,4.39,72-18-4
hVPApC15,Betaine,C5 H11 N O2,117.0791,3.58,107-43-7
hVPApC16,Threonine,C4 H9 N O3,119.0583,6.05,72-19-5
hVPApC17,Nicotinamide,C6 H6 N2 O,122.0479,1.04,98-92-0
hVPApC18,Taurine,C2 H7 N O3 S,125.0148,4.15,107-35-7
hVPApC19,Pipecolinic Acid,C6 H11 N O2,129.0792,4.73,3105-95-1
hVPApC20,Ketoleucine,C6 H10 O3,130.0631,0.76,816-66-0
hVPApC21,Acetylputrescine,C6 H14 N2 O,130.1106,6.24,5699-41-2
hVPApC22,cis-4-Hydroxyproline,C5 H9 N O3,131.0584,5.87,2584-71-6
hVPApC23,5-Aminolevulinic Acid,C5 H9 N O3,131.0585,5.87,106-60-5
hVPApC24,Creatine,C4 H9 N3 O2,131.0697,6.04,57-00-1
hVPApC25,Leucine,C6 H13 N O2,131.0947,3.05,61-90-5
hVPApC26,Isoleucine,C6 H13 N O2,131.0947,3.43,73-32-5
hVPApC27,Asparagine,C4 H8 N2 O3,132.0535,6.75,70-47-3
hVPApC28,Ornithine,C5 H12 N2 O2,132.0904,10.38,70-26-8
hVPApC29,Aspartic Acid,C4 H7 N O4,133.0374,7.26,56-84-8
hVPApC30,Adenine,C5 H5 N5,135.0544,1.1,73-24-5
hVPApC31,Hypoxanthine,C5 H4 N4 O,136.0389,2.28,68-94-0
hVPApC32,N-Methylnicotinate,C7 H7 N O2,137.0477,4.45,535-83-1
hVPApC33,Acetylcholine,C7 H15 N O2,145.1103,2.09,51-84-3
hVPApC34,Deoxycarnitine,C7 H15 N O2,145.1103,7.07,407-64-7
hVPApC35,Glutamine,C5 H10 N2 O3,146.0694,6.7,56-85-9
hVPApC36,Lysine,C6 H14 N2 O2,146.1057,10.96,56-87-1
hVPApC37,Glutamic Acid,C5 H9 N O4,147.0534,7.13,56-86-0
hVPApC38,Methionine,C5 H11 N O2 S,149.0511,3.76,63-68-3
hVPApC39,Xanthine,C5 H4 N4 O2,152.0336,2.11,69-89-6
hVPApC40,Octopamine,C8 H11 N O2,153.0769,3.41,104-14-3
hVPApC41,Histidine,C6 H9 N3 O2,155.0698,7.08,71-00-1
hVPApC42,4-Hydroxynonenal,C9 H16 O2,156.1146,0.77,75899-68-2
hVPApC43,Allantoin,C4 H6 N4 O3,158.0441,1.91,97-59-6
hVPApC44,Methyl-L-Lysine,C7 H16 N2 O2,160.1213,11.29,1188-07-4
