compound_short,logFC,AveExpr,t,P.Value,adj.P.Val,B,vpa_div_cntrl,change_in_vpa,compound_full,formula,mass,rt,cas_id
hVPAnC44,-0.4068012141884022,13.973969447177884,-5.89938828815304,2.515877730645329e-4,0.031700059406131145,-0.27090865869186853,0.7542939637078525,down,Ribitol,C5 H12 O5,152.0687,2.75,488-81-3
hVPAnC11,-0.6225213924304048,15.415311874612357,-9.262111830927388,7.952684866104047e-6,0.00100203829312911,3.4939360845747363,0.6495347458474816,down,Glyceric Acid,C3 H6 O4,106.0268,3.24,473-81-4
hVPAnC68,-1.7331053701163222,16.78700428434791,-29.369596230516038,4.438660303716474e-10,5.5927119826827575e-8,13.983206169589106,0.3008037858917291,down,D-Sorbitol,C6 H14 O6,182.079,4.12,50-70-4
hVPAnC118,1.548422599135673,10.533005311367045,8.205253611247356,2.0859872311875173e-5,0.002628343911296272,2.4405061027294384,2.9249715639386697,up,CDP-Choline,C14 H26 N4 O11 P2,488.1066,8.34,987-78-0
hVPAnC35,1.416078305411027,16.30621654445412,7.365018207419158,4.830552536495346e-5,0.0060864961959841354,1.5241121980804841,2.6685911790148547,up,Caprylic Acid,C8 H16 O2,144.1149,0.87,124-07-2
hVPAnC97,0.8481643378921309,13.735733801825376,8.040218425984333,2.4466720049432638e-5,0.0030828067262285122,2.266364159600215,1.8002089103290113,up,N-Acetylaspartyl Glutamic Acid,C11 H16 N2 O8,304.0905,8.06,3106-85-2
hVPAnC31,0.7667248128929431,17.56958924747165,8.264788558966094,1.970586447381408e-5,0.0024829389237005744,2.5026548312992993,1.70140289367969,up,Aspartic Acid,C4 H7 N O4,133.0375,7.25,56-84-8
hVPAnC103,0.747622995641801,15.175566528380017,10.03637547851049,4.1509893391621815e-6,5.230246567344348e-4,4.204283727279398,1.6790241667856907,up,Docosahexaenoic Acid (22:6 n-3),C22 H32 O2,328.2405,0.71,6217-54-5
hVPAnC14,0.6899476524690129,14.061926737166768,5.8874387781910675,2.552735069910579e-4,0.032164461880873296,-0.2866761233697286,1.6132249822502147,up,Proline,C5 H9 N O2,115.0634,4.73,147-85-3
hVPAnC99,0.5081417820596866,19.275761996075204,5.653736776401135,3.405622961773142e-4,0.04291084931834159,-0.5989508759247251,1.4222171732996653,up,Glutathione (GSH),C10 H17 N3 O6 S,307.084,7.26,70-18-8
hVPAnC40,0.3693732234637159,20.299349605183437,6.528891960161501,1.2000500341840555e-4,0.015120630430719099,0.5330032260998028,1.291791491977413,up,Glutamic Acid,C5 H9 N O4,147.0534,7.12,56-86-0
hVPAnC8,0.36714006676900274,17.724800459840242,7.425800359475664,4.534985801589006e-5,0.005714082110002148,1.592967512796326,1.2897934666086617,up,GABA,C4 H9 N O2,103.0636,7.12,56-12-2
hVPAnC80,0.30939478486848204,14.986723730444306,6.162121856982449,1.835943282494941e-4,0.023132885359436257,0.07093519854659647,1.23918774770728,up,Cystathionine,C7 H14 N2 O4 S,222.0676,8.72,56-88-2
