Compound,Type, File Name, RT,m_0,m_1,m_2,m_3,m_4,m_5
Xanthurenic Acid,mix,nmix1.d,1.883,6701,6694,0,0,0,
Xanthurenic Acid,mix,nmix2.d,1.818,14903,7500,0,0,0,
Xanthurenic Acid,mix,nmix3.d,1.785,0,0,0,0,0,
Xanthurenic Acid,mix,nmix4.d,1.817,3771,0,0,0,0,
Xanthurenic Acid,mix,nmix5.d,2.099,2933,1265,0,0,0,
Xanthurenic Acid,mix,rnmix1.d,1.82,21596,9569,0,9318,12159,
Xanthurenic Acid,light,nP1_L_C1.d,1.809,19945,19463,0,0,0,
Xanthurenic Acid,light,nP1_L_VPA1.d,1.814,13206,5460,0,0,13569,
Xanthurenic Acid,light,nP2_L_C2.d,1.781,57855,8950,0,0,0,
Xanthurenic Acid,light,nP2_L_VPA2.d,1.777,14511,10213,0,0,14156,
Xanthurenic Acid,light,nP3_L_C3.d,1.763,21868,0,0,0,0,
Xanthurenic Acid,light,nP3_L_VPA3.d,1.815,19892,6523,0,0,10895,
Xanthurenic Acid,light,nP3_L_VPA4.d,1.778,16649,2301,0,0,0,
Xanthurenic Acid,light,nP4_L_C4.d,1.83,23548,21559,0,0,0,
Xanthurenic Acid,light,nP4_L_C5.d,1.81,0,0,0,0,16848,
Xanthurenic Acid,light,nP4_L_VPA5.d,1.803,28134,13458,0,0,0,
Xanthurenic Acid,heavy,nP1_H_C1.d,1.81,17448,10728,0,0,0,
Xanthurenic Acid,heavy,nP1_H_VPA1.d,1.908,12276,14372,0,0,0,
Xanthurenic Acid,heavy,nP1_H_VPA2.d,1.908,11421,15910,0,0,0,
Xanthurenic Acid,heavy,nP2_H_C2.d,1.813,20842,13121,0,0,0,
Xanthurenic Acid,heavy,nP2_H_C3.d,1.794,19931,0,0,0,0,
Xanthurenic Acid,heavy,nP2_H_VPA3.d,1.798,18294,12161,0,0,0,
Xanthurenic Acid,heavy,nP3_H_C4.d,1.784,18312,13818,0,0,0,
Xanthurenic Acid,heavy,nP3_H_VPA4.d,1.783,9360,4796,0,0,14132,
Xanthurenic Acid,heavy,nP4_H_C5.d,1.817,8126,5610,0,0,12520,
Xanthurenic Acid,heavy,nP4_H_VPA5.d,1.78,20646,0,0,0,0,
Xanthurenic Acid,solv,sol1.d,1.766,0,0,0,0,0,
Xanthurenic Acid,solv,sol2.d,1.596,0,0,0,0,0,
Pyruvate,mix,nmix1.d,1.585,50580,0,0,,,
Pyruvate,mix,nmix2.d,1.586,31799,0,0,,,
Pyruvate,mix,nmix3.d,1.57,18614,0,0,,,
Pyruvate,mix,nmix4.d,1.585,12975,0,0,,,
Pyruvate,mix,nmix5.d,1.569,17318,0,0,,,
Pyruvate,mix,rnmix1.d,1.588,58741,0,0,,,
Pyruvate,light,nP1_L_C1.d,1.61,79957,6478,2659,,,
Pyruvate,light,nP1_L_VPA1.d,1.599,66465,0,2914,,,
Pyruvate,light,nP2_L_C2.d,1.582,27949,0,0,,,
Pyruvate,light,nP2_L_VPA2.d,1.595,91926,0,0,,,
Pyruvate,light,nP3_L_C3.d,1.564,28667,0,963,,,
Pyruvate,light,nP3_L_VPA3.d,1.616,50032,0,1785,,,
Pyruvate,light,nP3_L_VPA4.d,1.579,69680,0,0,,,
Pyruvate,light,nP4_L_C4.d,1.615,53823,0,0,,,
Pyruvate,light,nP4_L_C5.d,1.595,24065,0,0,,,
Pyruvate,light,nP4_L_VPA5.d,1.588,81005,0,0,,,
Pyruvate,heavy,nP1_H_C1.d,1.628,89328,7462,0,,,
Pyruvate,heavy,nP1_H_VPA1.d,1.644,61938,0,4989,,,
Pyruvate,heavy,nP1_H_VPA2.d,1.643,44541,0,0,,,
Pyruvate,heavy,nP2_H_C2.d,1.597,57406,0,0,,,
Pyruvate,heavy,nP2_H_C3.d,1.612,61424,0,0,,,
Pyruvate,heavy,nP2_H_VPA3.d,1.599,47070,0,0,,,
Pyruvate,heavy,nP3_H_C4.d,1.602,47155,0,0,,,
Pyruvate,heavy,nP3_H_VPA4.d,1.601,64807,0,0,,,
Pyruvate,heavy,nP4_H_C5.d,1.585,114588,5298,0,,,
Pyruvate,heavy,nP4_H_VPA5.d,1.581,44339,5632,0,,,
Pyruvate,solv,sol1.d,1.948,0,0,0,,,
Pyruvate,solv,sol2.d,2.027,0,0,0,,,
Uridine,mix,nmix1.d,1.602,57942,4960,,,,
Uridine,mix,nmix2.d,1.603,65196,7278,,,,
Uridine,mix,nmix3.d,1.603,47389,4292,,,,
Uridine,mix,nmix4.d,1.619,43104,5486,,,,
Uridine,mix,nmix5.d,1.602,34435,4446,,,,
Uridine,mix,rnmix1.d,1.605,59746,5500,,,,
Uridine,light,nP1_L_C1.d,1.594,91333,16178,,,,
Uridine,light,nP1_L_VPA1.d,1.615,49178,5589,,,,
Uridine,light,nP2_L_C2.d,1.615,53449,5641,,,,
Uridine,light,nP2_L_VPA2.d,1.595,42315,7929,,,,
Uridine,light,nP3_L_C3.d,1.597,126838,15998,,,,
Uridine,light,nP3_L_VPA3.d,1.616,30317,5556,,,,
Uridine,light,nP3_L_VPA4.d,1.596,38540,5169,,,,
Uridine,light,nP4_L_C4.d,1.599,109323,12900,,,,
Uridine,light,nP4_L_C5.d,1.595,121174,14244,,,,
Uridine,light,nP4_L_VPA5.d,1.604,51783,0,,,,
Uridine,heavy,nP1_H_C1.d,1.595,80695,9548,,,,
Uridine,heavy,nP1_H_VPA1.d,1.594,46419,5592,,,,
Uridine,heavy,nP1_H_VPA2.d,1.593,32507,17,,,,
Uridine,heavy,nP2_H_C2.d,1.597,153736,17970,,,,
Uridine,heavy,nP2_H_C3.d,1.595,147841,20225,,,,
Uridine,heavy,nP2_H_VPA3.d,1.599,43993,6711,,,,
Uridine,heavy,nP3_H_C4.d,1.602,191416,25893,,,,
Uridine,heavy,nP3_H_VPA4.d,1.601,73899,5315,,,,
Uridine,heavy,nP4_H_C5.d,1.602,322445,32871,,,,
Uridine,heavy,nP4_H_VPA5.d,1.614,41702,3144,,,,
Uridine,solv,sol1.d,1.633,0,0,,,,
Uridine,solv,sol2.d,1.381,3821,0,,,,
Allantoin,mix,nmix1.d,1.651,168322,51051,,,,
Allantoin,mix,nmix2.d,1.652,155330,43272,,,,
Allantoin,mix,nmix3.d,1.653,146050,0,,,,
Allantoin,mix,nmix4.d,1.652,122495,49022,,,,
Allantoin,mix,nmix5.d,1.668,132400,38674,,,,
Allantoin,mix,rnmix1.d,1.655,177915,0,,,,
Allantoin,light,nP1_L_C1.d,1.66,111101,0,,,,
Allantoin,light,nP1_L_VPA1.d,1.648,309562,70269,,,,
Allantoin,light,nP2_L_C2.d,1.665,100793,119630,,,,
Allantoin,light,nP2_L_VPA2.d,1.645,346638,73066,,,,
Allantoin,light,nP3_L_C3.d,1.664,0,97157,,,,
Allantoin,light,nP3_L_VPA3.d,1.649,432622,66418,,,,
Allantoin,light,nP3_L_VPA4.d,1.645,385089,104448,,,,
Allantoin,light,nP4_L_C4.d,1.665,108728,0,,,,
Allantoin,light,nP4_L_C5.d,1.661,83674,66493,,,,
Allantoin,light,nP4_L_VPA5.d,1.654,356204,86152,,,,
Allantoin,heavy,nP1_H_C1.d,1.661,137697,0,,,,
Allantoin,heavy,nP1_H_VPA1.d,1.644,129229,0,,,,
Allantoin,heavy,nP1_H_VPA2.d,1.643,96136,0,,,,
Allantoin,heavy,nP2_H_C2.d,1.664,94126,0,,,,
Allantoin,heavy,nP2_H_C3.d,1.645,92425,0,,,,
Allantoin,heavy,nP2_H_VPA3.d,1.665,142374,0,,,,
Allantoin,heavy,nP3_H_C4.d,1.651,119737,70207,,,,
Allantoin,heavy,nP3_H_VPA4.d,1.651,0,100429,,,,
Allantoin,heavy,nP4_H_C5.d,1.668,0,108854,,,,
Allantoin,heavy,nP4_H_VPA5.d,1.647,121660,44203,,,,
Allantoin,solv,sol1.d,1.915,0,1809,,,,
Allantoin,solv,sol2.d,2.01,0,0,,,,
Xanthine,mix,nmix1.d,1.734,33629,6617,,,,
Xanthine,mix,nmix2.d,1.735,29056,0,,,,
Xanthine,mix,nmix3.d,1.735,21585,5612,,,,
Xanthine,mix,nmix4.d,1.751,20716,3679,,,,
Xanthine,mix,nmix5.d,1.735,15380,0,,,,
Xanthine,mix,rnmix1.d,1.721,43469,6612,,,,
Xanthine,light,nP1_L_C1.d,1.726,22713,3167,,,,
Xanthine,light,nP1_L_VPA1.d,1.731,66924,7128,,,,
Xanthine,light,nP2_L_C2.d,1.698,23222,3328,,,,
Xanthine,light,nP2_L_VPA2.d,1.728,78838,9568,,,,
Xanthine,light,nP3_L_C3.d,1.73,18603,8591,,,,
Xanthine,light,nP3_L_VPA3.d,1.732,91367,9325,,,,
Xanthine,light,nP3_L_VPA4.d,1.728,91297,10267,,,,
Xanthine,light,nP4_L_C4.d,1.714,24779,5931,,,,
Xanthine,light,nP4_L_C5.d,1.694,20034,6988,,,,
Xanthine,light,nP4_L_VPA5.d,1.72,87790,6127,,,,
Xanthine,heavy,nP1_H_C1.d,1.727,26496,6158,,,,
Xanthine,heavy,nP1_H_VPA1.d,1.743,20134,0,,,,
Xanthine,heavy,nP1_H_VPA2.d,1.709,0,7337,,,,
Xanthine,heavy,nP2_H_C2.d,1.73,21718,5444,,,,
Xanthine,heavy,nP2_H_C3.d,1.744,20549,8280,,,,
Xanthine,heavy,nP2_H_VPA3.d,1.731,25128,2361,,,,
Xanthine,heavy,nP3_H_C4.d,1.718,24332,7638,,,,
Xanthine,heavy,nP3_H_VPA4.d,1.75,25347,7366,,,,
Xanthine,heavy,nP4_H_C5.d,1.717,31223,10756,,,,
Xanthine,heavy,nP4_H_VPA5.d,1.714,18946,0,,,,
Xanthine,solv,sol1.d,1.782,0,0,,,,
Xanthine,solv,sol2.d,1.745,0,0,,,,
N-Formylmethionine,mix,nmix1.d,1.949,71282,0,,,,
N-Formylmethionine,mix,nmix2.d,1.95,53885,19903,,,,
N-Formylmethionine,mix,nmix3.d,1.967,23479,0,,,,
N-Formylmethionine,mix,nmix4.d,1.966,20189,0,,,,
N-Formylmethionine,mix,nmix5.d,2.38,30334,5616,,,,
N-Formylmethionine,mix,rnmix1.d,1.936,90708,36751,,,,
N-Formylmethionine,light,nP1_L_C1.d,1.958,112989,0,,,,
N-Formylmethionine,light,nP1_L_VPA1.d,1.946,88696,32909,,,,
N-Formylmethionine,light,nP2_L_C2.d,1.946,94699,30381,,,,
N-Formylmethionine,light,nP2_L_VPA2.d,1.926,91573,29459,,,,
N-Formylmethionine,light,nP3_L_C3.d,1.945,86697,29663,,,,
N-Formylmethionine,light,nP3_L_VPA3.d,1.947,94499,25942,,,,
N-Formylmethionine,light,nP3_L_VPA4.d,1.943,72109,0,,,,
N-Formylmethionine,light,nP4_L_C4.d,1.946,92306,39255,,,,
N-Formylmethionine,light,nP4_L_C5.d,1.959,176796,50756,,,,
N-Formylmethionine,light,nP4_L_VPA5.d,1.935,102413,33865,,,,
N-Formylmethionine,heavy,nP1_H_C1.d,1.942,88510,45826,,,,
N-Formylmethionine,heavy,nP1_H_VPA1.d,1.942,77697,34297,,,,
N-Formylmethionine,heavy,nP1_H_VPA2.d,1.941,72442,24396,,,,
N-Formylmethionine,heavy,nP2_H_C2.d,1.945,62772,32184,,,,
N-Formylmethionine,heavy,nP2_H_C3.d,1.943,75716,40605,,,,
N-Formylmethionine,heavy,nP2_H_VPA3.d,1.947,81645,32304,,,,
N-Formylmethionine,heavy,nP3_H_C4.d,1.949,81936,38955,,,,
N-Formylmethionine,heavy,nP3_H_VPA4.d,1.949,72808,28178,,,,
N-Formylmethionine,heavy,nP4_H_C5.d,2.346,150023,233304,,,,
N-Formylmethionine,heavy,nP4_H_VPA5.d,1.962,74649,26695,,,,
N-Formylmethionine,solv,sol1.d,1.882,5475,10692,,,,
N-Formylmethionine,solv,sol2.d,1.778,0,0,,,,
Xanthosine,mix,nmix1.d,2.479,2055765,501530,81472,,,
Xanthosine,mix,nmix2.d,2.447,1964408,453381,0,,,
Xanthosine,mix,nmix3.d,2.48,1800203,399402,85925,,,
Xanthosine,mix,nmix4.d,2.463,1451821,346944,0,,,
Xanthosine,mix,nmix5.d,2.479,1270255,313159,48869,,,
Xanthosine,mix,rnmix1.d,2.449,2048334,469132,97629,,,
Xanthosine,light,nP1_L_C1.d,2.471,1899638,254189,0,,,
Xanthosine,light,nP1_L_VPA1.d,2.476,2144133,303982,0,,,
Xanthosine,light,nP2_L_C2.d,2.46,1382342,162419,0,,,
Xanthosine,light,nP2_L_VPA2.d,2.456,2476975,345115,0,,,
Xanthosine,light,nP3_L_C3.d,2.458,2668479,358203,0,,,
Xanthosine,light,nP3_L_VPA3.d,2.477,1785740,261950,0,,,
Xanthosine,light,nP3_L_VPA4.d,2.456,2806102,367120,0,,,
Xanthosine,light,nP4_L_C4.d,2.492,1236776,174322,0,,,
Xanthosine,light,nP4_L_C5.d,2.456,2316721,315648,0,,,
Xanthosine,light,nP4_L_VPA5.d,2.465,1815096,252912,0,,,
Xanthosine,heavy,nP1_H_C1.d,2.472,2061127,1123638,181786,,,
Xanthosine,heavy,nP1_H_VPA1.d,2.537,1134461,584361,97472,,,
Xanthosine,heavy,nP1_H_VPA2.d,2.504,1004845,549367,82372,,,
Xanthosine,heavy,nP2_H_C2.d,2.475,1844705,1108632,171673,,,
Xanthosine,heavy,nP2_H_C3.d,2.489,1979148,1104295,175029,,,
Xanthosine,heavy,nP2_H_VPA3.d,2.46,1951619,953025,186468,,,
Xanthosine,heavy,nP3_H_C4.d,2.462,1849472,975964,174415,,,
