Compound,Type, File Name, RT,m_0,m_1,m_2,m_3,m_4,m_5
Uracil,mix,pmix1.d,1.87,153741,10448,3537,,,
Uracil,mix,pmix2.d,1.586,198980,14763,8085,,,
Uracil,mix,pmix3.d,1.571,229937,8362,0,,,
Uracil,mix,pmix4.d,1.586,221018,12195,0,,,
Uracil,mix,pmix5.d,1.572,205438,11577,1223,,,
Uracil,light,pP1_L_C1.d,1.579,310503,21554,0,,,
Uracil,light,pP1_L_VPA1.d,1.612,170298,10553,6710,,,
Uracil,light,pP2_L_C2.d,1.614,131336,5765,1725,,,
Uracil,light,pP2_L_VPA2.d,1.581,194909,7422,5616,,,
Uracil,light,pP3_L_C3.d,1.58,323482,17753,9224,,,
Uracil,light,pP3_L_VPA3.d,1.564,233416,10132,0,,,
Uracil,light,pP3_L_VPA4.d,1.583,217074,13059,10853,,,
Uracil,light,pP4_L_C4.d,1.566,347673,18419,7505,,,
Uracil,light,pP4_L_C5.d,1.581,344511,15342,2900,,,
Uracil,light,pP4_L_VPA5.d,1.583,284594,19681,0,,,
Uracil,heavy,pP1_H_C1.d,1.563,452678,17481,8813,,,
Uracil,heavy,pP1_H_VPA1.d,1.582,300244,14381,4208,,,
Uracil,heavy,pP1_H_VPA2.d,1.562,236478,13007,7985,,,
Uracil,heavy,pP2_H_C2.d,1.578,514097,33787,9891,,,
Uracil,heavy,pP2_H_C3.d,1.577,520238,24381,4873,,,
Uracil,heavy,pP2_H_VPA3.d,1.581,288808,16934,4997,,,
Uracil,heavy,pP3_H_C4.d,1.584,590979,28898,0,,,
Uracil,heavy,pP3_H_VPA4.d,1.616,188012,7054,0,,,
Uracil,heavy,pP4_H_C5.d,1.585,1050716,59338,0,,,
Uracil,heavy,pP4_H_VPA5.d,1.566,252107,15736,4921,,,
Uracil,solv,psol2.d,1.644,0,0,8355,,,
Uracil,solv,psol3.d,1.646,0,0,2492,,,
Uridine,mix,pmix1.d,1.804,24207,0,,,,
Uridine,mix,pmix2.d,1.586,75333,9543,,,,
Uridine,mix,pmix3.d,1.571,87471,12485,,,,
Uridine,mix,pmix4.d,1.586,83972,11942,,,,
Uridine,mix,pmix5.d,1.589,76999,12003,,,,
Uridine,light,pP1_L_C1.d,1.579,147172,15396,,,,
Uridine,light,pP1_L_VPA1.d,1.595,73763,11462,,,,
Uridine,light,pP2_L_C2.d,1.614,56898,0,,,,
Uridine,light,pP2_L_VPA2.d,1.564,79115,9653,,,,
Uridine,light,pP3_L_C3.d,1.58,143036,17375,,,,
Uridine,light,pP3_L_VPA3.d,1.564,96655,13715,,,,
Uridine,light,pP3_L_VPA4.d,1.567,92097,13603,,,,
Uridine,light,pP4_L_C4.d,1.566,174377,23975,,,,
Uridine,light,pP4_L_C5.d,1.581,149552,19112,,,,
Uridine,light,pP4_L_VPA5.d,1.583,123371,15752,,,,
Uridine,heavy,pP1_H_C1.d,1.563,196824,19926,,,,
Uridine,heavy,pP1_H_VPA1.d,1.582,140308,18772,,,,
Uridine,heavy,pP1_H_VPA2.d,1.578,99546,12177,,,,
Uridine,heavy,pP2_H_C2.d,1.561,233265,30681,,,,
Uridine,heavy,pP2_H_C3.d,1.577,240942,29298,,,,
Uridine,heavy,pP2_H_VPA3.d,1.581,133760,19262,,,,
Uridine,heavy,pP3_H_C4.d,1.584,276018,35235,,,,
