Uracil, Formula, C4H4N2O2
, Tgt RT, 1.500, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,, Corrected Abundance Percentages,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,Abund,m+0,m+1,m+2,m+3,m+4,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,113.03455,114.04083,115.04711,116.05338,117.05966,Sum,113.03455,114.04083,115.04711,116.05338,117.05966,Sum, Unlabeled, Labeled, Labeling
,mix,19,pmix1.d,1.870,153741,10448,3537,0,0,167725,96.79,1.54,1.67,0,0,100.00,96.79, 3.21, 1.22
,mix,19,pmix2.d,1.586,198980,14763,8085,0,0,221828,94.64,2.06,3.30,0,0,100.00,94.64, 5.36, 2.17
,mix,19,pmix3.d,1.571,229937,8362,0,0,0,238300,100.00,0.00,0,0,0,100.00,100.00, 0.00, 0.00
,mix,19,pmix4.d,1.586,221018,12195,0,0,0,233213,99.70,0.30,0,0,0,100.00,99.70, 0.30, 0.08
,mix,19,pmix5.d,1.572,205438,11577,1223,0,0,218238,99.50,0.45,0.05,0,0,100.00,99.50, 0.50, 0.14
,light,19,pP1_L_C1.d,1.579,310503,21554,0,7407,0,339465,95.99,1.67,0,2.35,0,100.00,95.99, 4.01, 2.18
,light,19,pP1_L_VPA1.d,1.612,170298,10553,6710,0,0,187560,95.81,0.91,3.28,0,0,100.00,95.81, 4.19, 1.87
,light,19,pP2_L_C2.d,1.614,131336,5765,1725,3804,0,142630,96.47,0.00,0.70,2.83,0,100.00,96.47, 3.53, 2.47
,light,19,pP2_L_VPA2.d,1.581,194909,7422,5616,0,0,207947,97.65,0.00,2.35,0,0,100.00,97.65, 2.35, 1.17
,light,19,pP3_L_C3.d,1.580,323482,17753,9224,0,0,350459,97.46,0.25,2.30,0,0,100.00,97.46, 2.54, 1.21
,light,19,pP3_L_VPA3.d,1.564,233416,10132,0,0,0,243548,100.00,0.00,0,0,0,100.00,100.00, 0.00, 0.00
,light,19,pP3_L_VPA4.d,1.583,217074,13059,10853,0,0,240987,95.01,0.71,4.29,0,0,100.00,95.01, 4.99, 2.32
,light,19,pP4_L_C4.d,1.566,347673,18419,7505,0,0,373597,98.29,0.07,1.63,0,0,100.00,98.29, 1.71, 0.83
,light,19,pP4_L_C5.d,1.581,344511,15342,2900,0,0,362753,99.67,0.00,0.33,0,0,100.00,99.67, 0.33, 0.16
,light,19,pP4_L_VPA5.d,1.583,284594,19681,0,0,0,304275,98.32,1.68,0,0,0,100.00,98.32, 1.68, 0.42
,heavy,19,pP1_H_C1.d,1.563,452678,17481,8813,0,0,478971,98.57,0.00,1.43,0,0,100.00,98.57, 1.43, 0.72
,heavy,19,pP1_H_VPA1.d,1.582,300244,14381,4208,0,0,318833,99.11,0.00,0.89,0,0,100.00,99.11, 0.89, 0.44
,heavy,19,pP1_H_VPA2.d,1.562,236478,13007,7985,0,0,257470,96.95,0.25,2.80,0,0,100.00,96.95, 3.05, 1.46
,heavy,19,pP2_H_C2.d,1.578,514097,33787,9891,0,0,557774,97.35,1.33,1.32,0,0,100.00,97.35, 2.65, 0.99
,heavy,19,pP2_H_C3.d,1.577,520238,24381,4873,0,0,549491,99.58,0.00,0.42,0,0,100.00,99.58, 0.42, 0.21
,heavy,19,pP2_H_VPA3.d,1.581,288808,16934,4997,0,0,310739,98.18,0.64,1.17,0,0,100.00,98.18, 1.82, 0.75
,heavy,19,pP3_H_C4.d,1.584,590979,28898,0,0,0,619877,100.00,0.00,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,19,pP3_H_VPA4.d,1.616,188012,7054,0,0,0,195066,100.00,0.00,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,19,pP4_H_C5.d,1.585,1050716,59338,0,0,0,1110054,99.57,0.43,0,0,0,100.00,99.57, 0.43, 0.11
,heavy,19,pP4_H_VPA5.d,1.566,252107,15736,4921,0,0,272764,97.62,1.01,1.37,0,0,100.00,97.62, 2.38, 0.94
,solv,19,psol2.d,1.644,0,0,8355,526,0,8881,0,0,98.90,1.10,0,100.00,0.00, 100.00, 50.27
,solv,19,psol3.d,1.646,0,0,2492,0,0,2492,0,0,100.00,0,0,100.00,0.00, 100.00, 50.00
,Summary Statistics, %labeled,,%fraction
,Sample Groups, Mean, Std.Dev., Mean, Std.Dev.
,mix,1.87,2.337,0.72,0.951
,light,2.53,1.657,1.26,0.912
,heavy,1.31,1.125,0.56,0.491
,solv,100.00,,50.14

Uridine, Formula, C9H12N2O6
, Tgt RT, 1.670, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,,,,,,,,,, Corrected Abundance Percentages,,,,,,,,,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,m+11,m+12,Abund,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,m+11,m+12,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,245.07681,246.08309,247.08937,248.09564,249.10192,250.10820,251.11447,252.12075,253.12703,254.13330,255.13958,256.14586,257.15213,Sum,245.07681,246.08309,247.08937,248.09564,249.10192,250.10820,251.11447,252.12075,253.12703,254.13330,255.13958,256.14586,257.15213,Sum, Unlabeled, Labeled, Labeling
,mix,24,pmix1.d,1.804,24207,0,0,0,0,0,0,0,0,0,0,0,0,24207,100.00,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
