Xanthurenic Acid, Formula, C10H7NO4
, Tgt RT, 1.030, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,,,,, Corrected Abundance Percentages,,,,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,Abund,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,204.03023,205.03651,206.04278,207.04906,208.05534,209.06162,210.06789,211.07417,Sum,204.03023,205.03651,206.04278,207.04906,208.05534,209.06162,210.06789,211.07417,Sum, Unlabeled, Labeled, Labeling
,mix,3,nmix1.d,1.883,6701,6694,0,0,0,0,0,0,13395,52.95,47.05,0,0,0,0,0,0,100.00,52.95, 47.05, 6.72
,mix,3,nmix2.d,1.818,14903,7500,0,0,0,0,0,0,22403,72.05,27.95,0,0,0,0,0,0,100.00,72.05, 27.95, 3.99
,mix,3,nmix3.d,1.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,NaN, NaN, 0.00
,mix,3,nmix4.d,1.817,3771,0,0,0,0,0,0,0,3771,100.00,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,3,nmix5.d,2.099,2933,1265,0,0,0,0,0,0,4198,76.01,23.99,0,0,0,0,0,0,100.00,76.01, 23.99, 3.43
,mix,3,rnmix1.d,1.820,21596,9569,0,9318,12159,0,0,0,52641,43.94,14.39,0,18.41,23.26,0,0,0,100.00,43.94, 56.06, 23.24
,light,3,nP1_L_C1.d,1.809,19945,19463,0,0,0,0,0,0,39409,53.62,46.38,0,0,0,0,0,0,100.00,53.62, 46.38, 6.63
,light,3,nP1_L_VPA1.d,1.814,13206,5460,0,0,13569,0,0,0,32235,42.44,12.64,0,0,44.92,0,0,0,100.00,42.44, 57.56, 27.48
,light,3,nP2_L_C2.d,1.781,57855,8950,0,0,0,0,0,0,66804,96.25,3.75,0,0,0,0,0,0,100.00,96.25, 3.75, 0.54
,light,3,nP2_L_VPA2.d,1.777,14511,10213,0,0,14156,0,0,0,38879,38.50,22.71,0,0,38.79,0,0,0,100.00,38.50, 61.50, 25.41
,light,3,nP3_L_C3.d,1.763,21868,0,0,0,0,0,0,0,21868,100.00,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
