Cmpnd_short,Cmpnd_full,Formula,Mass,RT,CAS_ID,p_mix3,p_mix4,p_mix5,p_mix6,p_mix7,p_mix8,p_mix9,p_set1_blue_546_R2,p_set1_blue_617_R4,p_set1_blue_618_R1,p_set1_blue_648_R3,p_set1_blue_669_L1,p_set1_blue_713_R2,p_set1_blue_773_R8,p_set1_gray_551_L2,p_set1_gray_573_R2,p_set1_gray_608_R3,p_set1_gray_796_L1,p_set1_gray_796_R5,p_set1_gray_843_L4,p_set1_gray_843_L5,p_set1_green_574_R1,p_set1_green_592_L3,p_set1_green_593_R1,p_set1_green_614_R4,p_set1_green_675_L6,p_set1_green_675_L9,p_set1_green_773_L2,p_set1_pink_670_L3,p_set1_pink_672_L1,p_set1_pink_686_R1,p_set1_pink_751_L1,p_set1_pink_754_L1,p_set1_pink_847_R2,p_set1_pink_847_R3,p_set1_purple_552_R5,p_set1_purple_552_R6,p_set1_purple_605_L3,p_set1_purple_608_L1,p_set1_purple_611_L4,p_set1_purple_621_L1,p_set1_purple_843_L7,p_set1_yellow_599_L3,p_set1_yellow_666_R2,p_set1_yellow_670_R3,p_set1_yellow_672_R5,p_set1_yellow_751_L3,p_set1_yellow_751_R4,p_set1_yellow_847_R6,p_set2_blue_561_L3,p_set2_blue_592_R4,p_set2_blue_617_L3,p_set2_blue_617_L4,p_set2_blue_669_L2,p_set2_blue_669_L4,p_set2_blue_675_R2,p_set2_blue_772_R1,p_set2_gray_551_R3,p_set2_gray_610_L2,p_set2_gray_611_L5,p_set2_gray_621_R1,p_set2_gray_621_R2,p_set2_gray_796_L2,p_set2_gray_796_R1,p_set2_gray_796_R4,p_set2_green_593_R3,p_set2_green_661_R2,p_set2_green_675_L1,p_set2_green_675_L3,p_set2_green_675_L7,p_set2_green_772_L2,p_set2_green_773_R7,p_set2_pink_670_L2,p_set2_pink_670_L5,p_set2_pink_670_L6,p_set2_pink_730_L3,p_set2_pink_730_R1,p_set2_pink_754_L3,p_set2_pink_847_L1,p_set2_purple_552_L1,p_set2_purple_552_R2,p_set2_purple_552_R4,p_set2_purple_573_R4,p_set2_purple_608_L4,p_set2_purple_610_R2,p_set2_purple_632_R1,p_set2_purple_843_L2,p_set2_yellow_599_R2,p_set2_yellow_670_R4,p_set2_yellow_672_R1,p_set2_yellow_672_R6,p_set2_yellow_686_R2,p_set2_yellow_752_L1,p_set2_yellow_753_R3,p_set2_yellow_847_L4,p_solv2
pC1,Glycine,C2 H5 N O2,75.0321,6.42,56-40-6,3858.964739,4176.173983,3474.951093,2892.846809,4334.534096,2866.598833,3958.942211,3890.986599,3949.90483,6265.133174,4562.89035,1769.655627,2700.076274,3850.582342,3182.061975,3674.529476,3056.88822,2688.186754,3384.587531,3760.501708,3500.449012,2729.254547,3289.163096,4468.436846,3306.660023,3161.833739,3138.361259,3349.137721,3785.14747,2870.132606,2938.156391,4395.924114,3950.433502,2289.424813,3378.200211,3494.636405,3651.687941,1743.724918,5219.07591,2336.721958,3335.759603,4745.287355,4823.586646,2789.904976,3851.831537,4397.04647,2179.386656,5124.43106,2022.286995,3752.175728,4546.399919,3718.176403,5434.231983,3918.066236,4580.662886,2811.261816,2127.616239,4524.534554,5173.834791,3510.210482,3582.4307,3921.052808,3570.894363,4339.460903,4149.914542,3545.842639,3847.394675,5148.201085,5059.049018,4373.593117,1114.99712,4081.007571,3659.548065,5280.012624,2825.119918,4762.646408,1724.022136,3715.796954,4551.995315,5185.635948,3484.357254,5137.074696,4626.865999,2470.460338,3377.16139,229.9462141,3865.795593,3363.265779,3510.132268,3070.600319,4799.381325,3598.679138,2536.47703,2982.314225,2470.991324,123.9352163
pC2,Butyric Acid,C4 H8 O2,88.0517,1.06,107-92-6,68814.42531,64284.64009,74990.94724,61574.21521,61960.9707,51797.53862,51032.93433,66581.12196,44635.96977,48059.97374,66999.16845,45154.57862,51441.97983,92910.15412,161691.7338,69946.04097,54929.66615,87570.40296,63543.75585,93830.19902,72566.46241,49795.45565,42015.37916,49554.37869,75161.837,68948.37829,61210.94862,113808.1546,48817.08378,52244.56902,76174.79895,92713.51846,57814.77006,90462.24063,59067.94568,53050.53812,50611.53425,60758.28825,81139.11353,54067.07996,88656.65524,68728.70966,110770.8922,162883.0044,71369.31481,62681.69589,40380.20806,81867.64078,78351.00482,50374.63789,67980.46561,66598.974,57913.43238,63234.77418,89730.07198,102945.8362,95431.66273,53895.05615,70929.57537,59049.20408,65560.78026,91100.81644,90522.21322,102598.6258,64877.52312,45717.27753,53860.70097,121256.5082,163491.7014,104079.4088,171023.1073,52111.95517,46522.13633,63894.29261,77784.62312,60078.51336,264063.295,74218.13663,114514.695,70914.41557,67400.99422,108572.1035,67023.87644,56124.93168,51043.93826,93286.60529,46258.50528,61094.40144,99698.76305,88146.99766,54536.57241,78486.12551,52260.88203,117474.9741,46542.19303,11036.35677
pC3,Alanine,C3 H7 N O2,89.0474,6.12,56-41-7,196020.8481,219062.8704,202631.6512,196322.6057,166849.5921,164027.1401,148128.2459,233218.5762,165918.8941,196257.0082,178803.7285,98846.56935,201079.7201,171379.2732,157191.3915,157017.7428,185970.693,132944.6044,156825.7788,183351.6488,192539.9561,153125.7893,158775.5101,175202.5684,187580.2872,140605.4703,177830.1914,181014.3013,229881.1675,177698.2008,172842.211,183328.1601,177115.6563,188733.6833,168589.2369,217802.7701,219821.9021,160356.6821,198096.8837,192874.3861,169579.5087,190811.254,198653.3756,167669.7084,187750.5625,153638.4189,151492.6185,190397.919,166028.5643,222811.6803,165883.5163,168982.0749,171675.2708,115843.0657,128828.0347,177871.4638,131712.068,151128.0739,198344.1456,183059.4622,153623.4571,175472.3089,197795.0131,167794.1182,230136.6676,163595.2172,116916.9465,151404.7841,183543.3927,223091.3474,143026.9025,185070.7004,180262.5662,201868.529,213455.956,214904.6225,196938.5001,192499.717,191481.2901,206060.7984,185523.4062,162749.8191,199538.9881,170399.4881,182278.4699,33374.62312,174890.9576,240808.2224,226452.7671,165071.3961,157552.119,223729.0631,190634.7523,167454.6315,188498.4662,5985.938006
pC4,Sarcosine,C3 H7 N O2,89.0478,5.92,107-97-1,863183.7429,874715.8819,893615.722,771528.9759,714979.5598,698989.3051,615402.8978,877645.5839,796217.8556,816849.6862,635189.5332,56730.5464,634847.8556,573312.3316,516379.2273,786108.5952,429549.5339,568111.6546,617836.3613,772119.942,816469.2815,462322.0081,707106.8077,547267.5883,549439.678,544571.9923,692229.8542,780753.7733,797149.9032,662505.7122,656050.4271,604925.7497,632495.6531,604463.7508,731791.1263,816130.4618,874806.7233,546043.7129,567946.2783,557468.8361,572143.3903,716793.5837,710944.4871,672832.8811,461519.1527,479231.2838,620808.6868,620741.9327,519484.467,857794.771,758680.0723,817783.0069,868799.1694,113010.524,152760.7698,605059.5168,191972.1623,585909.6617,869669.5213,503002.3054,483171.8398,567521.5886,930439.5349,825322.0048,1019879.756,556280.0512,656993.3621,621125.6452,876062.5244,1026298.625,170297.5682,684158.7098,506207.4025,799030.6559,579591.6469,696993.1022,570590.8347,808835.9977,802328.3292,954161.4721,745441.4516,714372.1161,859044.7874,511813.6086,547958.307,75390.78849,743849.335,684534.8511,638770.779,506724.3514,555201.8852,669894.7291,489019.7577,594560.6377,682371.3728,7898.909594
pC5,N-Methyl-L-alanine,C4 H9 N O2,103.0633,5.3,3913-67-5,36304.42298,35404.1888,35955.38924,36275.79752,30893.81317,28778.79605,27555.85641,47257.13731,23701.38312,44192.20802,18316.64316,12927.7708,13492.13196,23944.10698,31175.93432,41391.71217,32619.25837,17174.99069,23218.67761,40579.28721,43092.65334,38266.62855,15406.56602,16853.38228,12058.29883,18253.17407,17346.9494,23298.50428,47533.75199,27440.9974,22778.14379,21988.80276,20884.70598,20969.73268,21295.11463,20897.47353,24203.62543,30834.82987,43287.62236,45778.708,59834.39215,41567.85479,21542.68311,37716.86677,34460.57153,25075.01364,23557.57715,27333.35283,17239.57247,30492.76566,17368.43393,29265.32034,28600.21335,17611.73606,23762.96188,16950.79543,10738.2577,28880.98776,67353.74047,52852.16092,61736.74676,67466.62884,30832.94364,32099.64215,30097.03166,19963.90164,16543.23021,17171.63138,23315.35375,22713.09082,16273.89823,22868.58023,26087.21069,43078.70048,35537.0011,107208.7995,18158.10567,31507.81676,25103.80841,21003.86447,23239.11226,20803.07689,44138.69566,40309.58056,44016.85695,6597.278705,42324.75921,23073.50013,43245.8152,25247.767,30107.3082,24926.70749,20063.65747,16011.00263,22050.56558,8449.058714
pC6,"N,N-Dimethylglycine",C4 H9 N O2,103.0633,5.3,1118-68-9,37399.87558,36073.7737,36602.47429,37487.85892,31728.92275,29104.26197,28511.48862,48171.97893,24859.56995,45240.5959,18589.74194,13838.80685,13772.07801,25095.64292,31660.57667,42307.02096,33793.75623,17403.18977,24150.0566,41628.08278,44204.06025,38689.80032,16380.86826,17165.12659,12586.48081,19089.74265,17784.09512,24437.40979,48372.60458,27928.47858,23151.23384,22688.40264,21455.4408,22099.60107,22430.33104,21953.54633,25214.51614,31605.36311,44382.53068,47139.6675,60534.47825,42557.7629,22493.98398,38650.89269,35175.71427,25535.04511,24711.63341,28115.17701,18056.47041,30943.97666,17874.28088,30170.25886,29291.68908,17956.59292,24452.48856,17446.67212,11719.77472,29583.70355,68329.89031,54110.0363,63025.79928,68828.27242,31681.7658,33433.13339,31308.78381,20681.12229,17155.50722,17345.36171,24117.28681,23432.56336,17137.56906,23451.78731,26574.41915,43781.27161,36156.04841,108785.1153,18815.71399,32617.14444,26020.23924,22158.10529,24035.76758,21849.29584,45248.76742,41156.03819,45352.94686,6901.882926,43261.49056,24011.45082,44266.55676,25892.7394,30651.51993,25822.58729,20791.98465,16725.00293,22380.28848,8832.46831
pC7,2-Aminobutyric Acid,C4 H9 N O2,103.0633,5.3,1492-24-6,36957.87929,35730.99761,36220.71266,37074.24916,30963.88402,28719.72845,27870.14283,47745.87506,24267.04897,44567.29974,18257.52488,13434.31273,13453.99059,24022.31766,31037.61212,41730.22707,33192.86488,17147.15027,23649.37458,41113.81518,43893.88793,38335.25289,15935.68068,16630.80745,12421.72117,18473.55213,17304.81854,23904.53766,47788.1768,27462.4294,22782.64243,22188.10761,20744.79215,21318.14797,21716.01278,21283.97409,24871.12171,31375.18818,44023.69801,46473.38718,60191.46767,42211.01633,21766.00617,38311.58446,34555.11057,24546.63368,24148.99176,27394.69461,17381.40889,30585.94668,17398.27311,29903.42389,28781.73432,17337.54243,24220.34853,17150.19297,11437.88447,29269.48288,67470.32619,53550.48183,62205.20203,67823.35919,31041.31536,32895.75433,30600.39106,20436.33658,16793.14009,16775.17219,23640.62232,22872.60233,16477.43952,22832.14191,26068.40781,43487.38218,35455.44961,107868.7102,18130.96655,32097.08691,25502.31808,21549.78551,23586.55089,21234.95645,44870.728,40731.88575,44989.24472,6687.174741,42506.39129,23517.83114,43727.72774,25733.026,30426.21446,25024.01339,19964.4634,16517.30864,22151.39423,8300.587094
pC8,BAIBA,C4 H9 N O2,103.0633,6.78,144-90-1,40258.26328,40403.7933,39500.23473,34927.24685,28357.0175,28796.22275,33503.63908,41032.40614,34661.76588,29772.36138,31639.79026,51285.24202,34318.006,36787.69469,36226.81822,30891.05535,39200.90688,19426.32177,31952.2377,32506.77744,39799.31126,40326.29584,31310.01205,44244.52591,39007.17668,28751.83718,39659.67797,54244.94749,43794.91846,38234.17292,28365.09022,35117.46503,30446.25392,26123.36818,34589.05418,41441.622,33135.55474,32845.46325,30713.59521,28668.09902,37495.29697,26402.20816,46636.10518,51429.20318,42751.71698,32662.12321,32159.16027,37281.25556,25990.35486,69988.14832,32824.16662,31944.08706,26332.7629,198815.6478,66430.87564,30273.36914,44380.3137,33152.29984,29600.39762,38973.46082,36647.86096,49047.95266,32820.27886,27519.68175,33238.01337,44293.83254,29116.2269,38247.5777,32014.60075,36786.70366,52297.353,42551.79091,40472.0423,29833.06656,41641.0931,29379.4228,40907.14385,41442.77647,43788.13407,51812.03818,39700.9155,39522.19706,34071.35555,34970.2594,25123.87897,7034.021481,31327.21275,45835.39462,43548.37529,39012.18913,41085.96555,26206.15445,43450.75791,38668.26825,31390.12589,9878.761515
pC9,GABA,C4 H9 N O2,103.0633,6.78,56-12-2,39875.59541,39974.98741,39157.96781,34363.87873,27920.54302,27910.54327,32965.37443,40395.42573,34253.94296,29164.13153,31370.63694,50932.28455,33847.4474,36137.89937,35433.74554,30307.86539,38645.53146,19217.64552,30953.4207,32328.51698,39246.34218,40053.46021,30862.35695,43915.98057,38717.05189,27943.40312,39386.55607,53856.98092,43223.09911,37788.8536,28140.35388,34475.73022,29929.7043,25984.97693,33854.95627,41049.32099,32939.65715,32526.16559,30424.37684,27999.85258,37105.94672,25945.16682,46170.1627,50634.90374,42277.56136,31851.19655,31566.80263,36584.76267,25531.19762,69579.82237,32316.58275,31715.8112,25751.06647,198300.3458,65452.54728,30044.23305,43440.94512,32000.44385,29475.9916,38439.1023,35892.8898,48475.60286,32446.97218,27096.75021,32208.02576,43557.59539,28737.75001,37730.74514,31472.8931,36322.97473,51642.14349,41892.59609,39859.00803,28952.12687,41157.84596,28642.24391,40714.33686,40792.91626,43333.35582,51188.28611,39154.16549,38934.56071,33632.65509,34432.18142,24683.45233,6576.913716,30812.98631,45319.83421,42922.11354,38523.25881,40568.54777,25895.64299,43224.86314,38456.11974,30740.66959,9160.805106
pC10,Choline,C5 H13 N O,103.0995,6.01,62-49-7,36862051.64,37521308.35,37612504.99,35229015.1,31618669.68,30183834.63,29564905.03,32905346.52,43010439.74,27494064.28,24193741.6,35205797.56,24148456.91,19811235.94,31870277.79,34405097.81,24704015.91,24729562.38,25819832.84,35592641.78,41298152.21,23235884.88,38321816.69,20089906.79,23961302.5,30460241.96,23387105.46,33334547.73,30143491.09,35477259.84,30546599.87,25558825.45,26722725.67,20113315.59,41250599.1,30901233.29,33458219.59,31992092.38,27299365.12,19205495.66,33394197.41,29617551.34,31911077.55,57083113.7,24272024.23,29579732.16,33792426.67,25881062.1,35751209.29,36854971.11,42773834.42,49748912.58,47480224.52,43039007.81,53443633,18952217.97,42322516.75,25208212.87,39521204.88,22071822.67,21460239.12,28509441.86,42529572.45,46574417.23,46911156.99,21918311.97,38965654.69,24905364.8,37789005.76,35967716.18,38850947.2,18501973.28,20240030.11,28329096.15,18942098.95,30177668.56,21800017.9,33010476.63,43219497.57,31873879.12,29534567.96,31572904.57,38599467.63,27892662.03,21727538.45,9135301.83,33954139.81,31948729,23807648.12,35483105.9,28100601.57,14142037.11,20637932.1,31064156.08,31700892.06,66342.7571
