Cmpnd_short,Cmpnd_full,Formula,Mass,RT,CAS_ID
pC1,Glycine,C2 H5 N O2,75.0321,6.42,56-40-6
pC2,Butyric Acid,C4 H8 O2,88.0517,1.06,107-92-6
pC3,Alanine,C3 H7 N O2,89.0474,6.12,56-41-7
pC4,Sarcosine,C3 H7 N O2,89.0478,5.92,107-97-1
pC5,N-Methyl-L-alanine,C4 H9 N O2,103.0633,5.3,3913-67-5
pC6,"N,N-Dimethylglycine",C4 H9 N O2,103.0633,5.3,1118-68-9
pC7,2-Aminobutyric Acid,C4 H9 N O2,103.0633,5.3,1492-24-6
pC8,BAIBA,C4 H9 N O2,103.0633,6.78,144-90-1
pC9,GABA,C4 H9 N O2,103.0633,6.78,56-12-2
pC10,Choline,C5 H13 N O,103.0995,6.01,62-49-7
pC11,Serine,C3 H7 N O3,105.0427,6.73,56-45-1
pC12,Diethanolamine,C4 H11 N O2,105.0787,6.56,111-42-2
pC13,Hypotaurine,C2 H7 N O2 S,109.0198,5.91,300-84-5
pC14,Cytosine,C4 H5 N3 O,111.0435,2.18,71-30-7
pC15,Uracil,C4 H4 N2 O2,112.0274,1.2,66-22-8
pC16,Creatinine,C4 H7 N3 O,113.0591,1.77,60-27-5
pC17,"5,6-Dihydrouracil",C4 H6 N2 O2,114.0422,0.78,504-07-4
pC18,Proline,C5 H9 N O2,115.0634,4.87,147-85-3
pC19,Guanidinoacetic Acid,C3 H7 N3 O2,117.0537,6.25,352-97-6
pC20,Valine,C5 H11 N O2,117.0789,4.56,72-18-4
pC21,Betaine,C5 H11 N O2,117.079,3.88,107-43-7
pC22,Threonine,C4 H9 N O3,119.0575,6.04,72-19-5
pC23,Nicotinamide,C6 H6 N2 O,122.0481,1.02,98-92-0
pC24,Taurine,C2 H7 N O3 S,125.0147,4.36,107-35-7
pC25,4-Imidazoleacetic Acid,C5 H6 N2 O2,126.0424,4.59,645-65-8
pC26,Thymine,C5 H6 N2 O2,126.043,1.18,65-71-4
pC27,Pipecolinic Acid,C6 H11 N O2,129.0794,4.84,3105-95-1
pC28,Ketoleucine,C6 H10 O3,130.061,0.78,816-66-0
pC29,Acetylputrescine,C6 H14 N2 O,130.1106,7.47,5699-41-2
pC30,5-Aminolevulinic Acid,C5 H9 N O3,131.0583,5.93,106-60-5
pC31,cis-4-Hydroxyproline,C5 H9 N O3,131.0583,5.93,2584-71-6
pC32,Creatine,C4 H9 N3 O2,131.0691,6.13,57-00-1
pC33,Leucine,C6 H13 N O2,131.0947,3.26,61-90-5
pC34,Isoleucine,C6 H13 N O2,131.0947,3.67,73-32-5
pC35,Asparagine,C4 H8 N2 O3,132.0534,6.72,70-47-3
pC36,Ornithine,C5 H12 N2 O2,132.09,11.38,70-26-8
pC37,Aspartic Acid,C4 H7 N O4,133.0376,6.69,56-84-8
pC38,Adenine,C5 H5 N5,135.0545,1.62,73-24-5
pC39,Hypoxanthine,C5 H4 N4 O,136.0387,1.71,68-94-0
pC40,N-Methylnicotinate,C7 H7 N O2,137.0477,4.31,535-83-1
pC41,Phenylethanolamine,C8 H11 N O,137.0841,0.98,7568-93-6
pC42,Urocanic Acid,C6 H6 N2 O2,138.0429,2.61,104-98-3
pC43,O-Phosphoethanolamine,C2 H8 N O4 P,141.0193,8.99,1071-23-4
pC44,Deoxycarnitine,C7 H15 N O2,145.1102,7.04,407-64-7
pC45,Glutamine,C5 H10 N2 O3,146.069,6.67,56-85-9
pC46,Lysine,C6 H14 N2 O2,146.1056,12.29,56-87-1
pC47,N-Acetylserine,C5 H9 N O4,147.0524,2.57,16354-58-8
pC48,Glutamic Acid,C5 H9 N O4,147.0531,6.57,56-86-0
pC49,Methionine,C5 H11 N O2 S,149.0511,4,63-68-3
pC50,Guanine,C5 H5 N5 O,151.0495,2.5,73-40-5
pC51,Xanthine,C5 H4 N4 O2,152.0337,2.01,69-89-6
pC52,3-Sulfinoalanine,C3 H7 N O4 S,153.0085,6.03,1115-65-7
pC53,N(4)-Acetylcytosine,C6 H7 N3 O2,153.0539,1.61,14631-20-0
pC54,Histidine,C6 H9 N3 O2,155.0696,7.08,71-00-1
pC55,Allantoin,C4 H6 N4 O3,158.0438,1.91,97-59-6
pC56,Methyl-L-Lysine,C7 H16 N2 O2,160.1212,12.48,1188-07-4
pC57,2-Aminoadipic Acid,C6 H11 N O4,161.0688,6.92,542-32-5
pC58,Carnitine,C7 H15 N O3,161.105,6.36,541-15-1
pC59,Phenylalanine,C9 H11 N O2,165.0789,3.01,63-91-2
pC60,Pyridoxal,C8 H9 N O3,167.0581,1.3,66-72-8
pC61,3-Methylhistidine,C7 H11 N3 O2,169.0853,6.84,368-16-1
pC62,Dihydroxyacetone-phosphate,C3 H7 O6 P,169.9981,7.7,57-04-5
pC63,Glycerol 2-Phosphate,C3 H9 O6 P,172.0136,7.46,17181-54-3
pC64,N-alpha-Acetylasparagine,C6 H10 N2 O4,174.0646,3.62,4033-40-3
pC65,Arginine,C6 H14 N4 O2,174.1118,12.22,74-79-3
pC66,N-Acetylaspartic Acid,C6 H9 N O5,175.0473,6.17,997-55-7
pC67,Citrulline,C6 H13 N3 O3,175.0961,7.17,372-75-8
pC68,Nicotinuric Acid,C8 H8 N2 O3,180.0564,3.02,583-08-4
pC69,Tyrosine,C9 H11 N O3,181.0737,4.65,60-18-4
pC70,D-Mannitol,C6 H14 O6,182.0771,4.65,69-65-8
pC71,Phosphocholine,C5 H14 N O4 P,183.0662,9.55,107-73-3
pC72,O-Phosphoserine,C3 H8 N O6 P,185.009,8.2,407-41-0
pC73,3-Phosphoglyceric Acid,C3 H7 O7 P,185.9883,8.64,80731-10-8
