"Compound Name","Formula","Mass","RT","CAS ID",n_mix3,n_mix4,n_mix5,n_mix6,n_mix7,n_mix8,n_mix9,n_set1_blue_546_R2,n_set1_blue_617_R4,n_set1_blue_618_R1,n_set1_blue_648_R3,n_set1_blue_669_L1,n_set1_blue_713_R2,n_set1_blue_773_R8,n_set1_gray_551_L2,n_set1_gray_573_R2,n_set1_gray_608_R3,n_set1_gray_796_L1,n_set1_gray_796_R5,n_set1_gray_843_L4,n_set1_gray_843_L5,n_set1_green_574_R1,n_set1_green_592_L3,n_set1_green_593_R1,n_set1_green_614_R4,n_set1_green_675_L6,n_set1_green_675_L9,n_set1_green_773_L2,n_set1_pink_670_L3,n_set1_pink_672_L1,n_set1_pink_686_R1,n_set1_pink_751_L1,n_set1_pink_754_L1,n_set1_pink_847_R2,n_set1_pink_847_R3,n_set1_purple_552_R5,n_set1_purple_552_R6,n_set1_purple_605_L3,n_set1_purple_608_L1,n_set1_purple_611_L4,n_set1_purple_621_L1,n_set1_purple_843_L7,n_set1_yellow_599_L3,n_set1_yellow_666_R2,n_set1_yellow_670_R3,n_set1_yellow_672_R5,n_set1_yellow_751_L3,n_set1_yellow_751_R4,n_set1_yellow_847_R6,n_set2_blue_561_L3,n_set2_blue_592_R4,n_set2_blue_617_L3,n_set2_blue_617_L4,n_set2_blue_669_L2,n_set2_blue_669_L4,n_set2_blue_675_R2,n_set2_blue_772_R1,n_set2_gray_551_R3,n_set2_gray_610_L2,n_set2_gray_611_L5,n_set2_gray_621_R1,n_set2_gray_621_R2,n_set2_gray_796_L2,n_set2_gray_796_R1,n_set2_gray_796_R4,n_set2_green_593_R3,n_set2_green_643_L1,n_set2_green_661_R2,n_set2_green_675_L1,n_set2_green_675_L3,n_set2_green_675_L7,n_set2_green_772_L2,n_set2_green_773_R7,n_set2_pink_670_L2,n_set2_pink_670_L5,n_set2_pink_670_L6,n_set2_pink_730_L3,n_set2_pink_730_R1,n_set2_pink_754_L3,n_set2_pink_847_L1,n_set2_purple_552_L1,n_set2_purple_552_R2,n_set2_purple_552_R4,n_set2_purple_573_R4,n_set2_purple_608_L4,n_set2_purple_610_R2,n_set2_purple_632_R1,n_set2_purple_843_L2,n_set2_yellow_599_R2,n_set2_yellow_670_R4,n_set2_yellow_672_R1,n_set2_yellow_672_R6,n_set2_yellow_686_R2,n_set2_yellow_752_L1,n_set2_yellow_753_R3,n_set2_yellow_847_L4,n_solv2,n_solv3,n_solv4
Glyoxylic Acid,C2 H2 O3,74.0008,1.36,298-12-4,811.334061965943,536.256694076538,758.063370399475,2602.31884705353,1716.38950227356,983.627960700988,897.260341987608,,5395.59029096985,264.296146240232,391.786601829527,121.425223388672,433.442874412534,113.866843688965,379.646883697511,3339.85815098572,,,398.439001846313,4872.01270413971,4392.1852406311,498.92058052063,1411.76553359985,115.254169197083,,718.436572303772,790.781708106995,1429.72853873444,2003.40514962006,2370.77291475677,539.646841773985,1867.66272958374,,242.95689125061,1734.55999490356,1774.45379039764,2976.50932722071,1949.40924065399,1383.19899872589,1311.83205877686,323.387798843384,2148.06629140472,,1787.67311199188,978.380009429934,119.181189880372,1863.50689769745,2558.7690067749,367.908613510133,461.727293472289,1039.27315771484,3079.42247794342,1634.94246524811,103.90169380188,,393.171617355346,133.616797332764,254.725708618163,473.334540763856,,59.1254519805906,,2960.00051251983,1813.39723473358,1072.02509437561,319.417166442871,,115.026143302918,,794.722150115964,1601.29175553894,,122.882742919922,725.28763807678,1706.00162094117,,,,838.35308078766,,1811.02333183289,1099.48140700531,881.287954788209,113.920956344605,1437.98252641297,151.872047271729,,3039.09997621268,1352.26961669922,563.798335151674,2057.43466100311,155.717894744874,,,,1773.1258990097,,,
Glycine,C2 H5 N O2,75.0323,6.72,56-40-6,3399.79481535339,2503.31110101318,2354.95780448913,4253.72104193114,4830.26721373748,2372.67379936982,1775.2184036255,2914.12534071351,4603.75502574158,5870.82350851441,1697.89438465118,,2423.86861727906,2153.00165882111,2825.60702887725,6168.13525975035,1088.40166996003,1624.79508617402,2256.69624438476,3844.71735507965,5678.85387326051,959.130421562201,4139.59647910308,1465.82603765106,1664.20881977081,1160.35825878144,3543.31228459168,3377.99403946686,3998.34080338287,3352.87687528991,4270.65082855987,1537.27070826722,1596.01529170989,2900.60304354859,4521.9877400055,2670.81403353882,6107.99711280824,900.295149467476,1456.62857756805,4807.50220874787,1047.29045347596,2808.86457195283,1288.03247882843,3618.35329331971,4016.82702728271,908.505033706663,1324.25560546875,4258.12162890625,1466.33101897431,3524.89948391724,4343.60311113738,4633.05190750886,2592.39445857237,,491.484649887087,1771.30047725678,112.54391921997,1583.5003909378,3468.40788096618,1505.27415664672,975.951353843689,1783.6680322647,4443.33709337615,6526.14228775024,4973.10073352051,1961.2437719574,1816.87739387512,2022.2201331787,1674.54898551178,5617.81807510376,5936.93311894226,,2086.0272251587,3142.36214353943,3476.62080545806,1630.85231624602,2513.06547505187,598.46691749573,3595.87546139525,1766.25954727173,4788.7926741333,4744.61354703521,1835.38003131103,1685.52541995238,2176.20448158264,2294.8432447586,,5459.41981434632,3332.91772775269,3519.57906292725,3281.49213510131,1799.97306716919,1361.0822944641,2156.1652665329,1348.53452422333,4259.65515843964,,,
Pyruvate,C3 H4 O3,88.0162,1.00,127-17-3,14220.6128376602,14514.7395056527,14875.6932599443,24918.4263819063,25126.4097070537,21459.3551535115,22509.5942327313,14154.8614162381,26892.6576731269,23354.6496462515,16891.5122837806,8799.5752318716,20425.4939329116,18205.872578064,14702.2949879303,27231.6995298204,14749.9068670763,28571.5269519653,22751.9237854862,26884.6656665101,22211.934282959,17664.3232877368,24654.9837342244,17346.8949688333,11887.5530802464,18530.2555483055,31564.247466067,18015.2065570221,17716.7108644195,26287.5924133642,19408.1337206056,22633.8898045347,15930.7892840347,15055.2805968914,22822.1778968363,14940.34810386,18438.7349669381,21910.9042572827,17662.9699091736,18003.0670204724,21141.6885659423,23773.1541760271,11902.4785196633,24928.3994399531,21940.1299227753,15465.5309356372,24901.8099812372,23149.3959289613,23036.5400351839,14082.3353854065,21265.6270175781,26686.7845842083,29026.9737517295,9346.06996764207,13061.7074462357,14165.0400349546,11477.724060014,11563.9766744007,21702.6869313715,13344.7322773571,15990.2853417512,17243.3837616103,27031.3150312149,29220.0316459291,19266.7890288975,13310.6579822682,13741.1878807681,17452.6842717362,14752.4144445671,27992.263500802,26922.84207794,9311.92065149457,17011.370921669,18835.7501138757,28106.9740663486,12877.4845540937,19264.4628119965,15476.8662495739,21612.1992798004,20025.4012875907,25921.4709305725,19016.1602198143,20592.1266327057,22090.9446787577,15236.3238994608,12547.21512369,1991.96784384364,27464.0537915282,18122.1403543614,17573.8019710609,23229.310293622,17856.607037622,10192.88738017,16787.0693696858,17992.071346683,21086.3353185,,,
Butyric Acid,C4 H8 O2,88.0528,1.29,107-92-6,1449.85082260132,2084.93545848084,1394.89684033966,4556.2320052042,3478.22464307695,2178.66701995087,2244.52155719757,1387.07402164459,7246.04513471985,4980.96974113935,777.491847450257,802.847891029358,971.125291099545,2620.35995304108,2971.97761663055,3868.77692799377,665.735243843078,10115.8979138031,5452.56152223968,5483.38316243958,8148.8287255249,2070.17453191376,1906.84391036987,1008.3170602951,775.700943161605,1493.17315387726,10598.3169601987,4106.65952444458,2296.11694814914,1754.22497624207,3849.52240386135,2053.03562454223,2433.84228357696,284.568588027954,7462.53304553276,2640.4811410141,4253.36292871738,2910.67279323578,1707.25516594649,2706.77523126221,2660.43947056749,1614.59759909254,1468.71134502411,7999.31501069457,3036.74272361756,1043.65473958587,611.862675857544,4300.68085292816,1847.55703901672,1403.44734519959,1517.60888214874,4332.08950878144,1147.03305763245,403.819554351806,467.582096290589,1780.86072436523,4627.76733027688,1214.80837895202,1051.61856658936,1191.97906599105,214.63965465152,685.340300714108,5648.55684400939,7011.09562464375,5486.27056305695,1107.15858598238,870.56390563965,1463.64596066284,4494.23324369657,6357.91591308593,2978.48683522009,675.066590766907,754.178698402408,1430.0925072937,1907.06869858599,470.144680557251,778.000112968446,235.96030406952,687.74944772339,6721.81268616486,2442.14616474915,2197.53821455616,1018.65794082642,1060.36918701154,1000.21703326166,228.276891174317,2627.46661988068,2592.63221585846,1818.3276409912,930.685417251586,6668.68126786107,725.5506081751,205.73342088318,351.492926263212,5475.41509777832,1591.10901133365,,126.457874347956,1054.98173428568
Sarcosine,C3 H7 N O2,89.0481,5.90,107-97-1,220917.179027725,207265.707064178,204899.124061935,222658.438944107,225545.261244628,181748.06547406,169508.969861404,237599.018066437,229959.914136063,249232.295256134,159840.989823975,11851.4646549301,161155.414464073,117888.955708771,141777.219193848,234091.326522629,120377.394378906,143331.309437546,161881.7017173,229888.638798042,271290.130266602,116574.626827339,232138.188078689,139944.595689254,149027.07653363,126004.489644028,172261.374428131,179598.499249603,184037.90726091,179352.872676804,190628.526622544,158123.898950791,159603.754562378,164940.637101738,198301.427496368,166912.879106491,334218.601514084,139091.132848091,135985.676262832,173510.794858429,155529.163080093,198903.549523712,147000.158181152,172985.704816589,122839.872191254,107848.875925987,157284.637389343,174970.840015137,126473.897709389,211576.617839813,206494.872101623,270280.100981888,234199.372744468,17556.681540123,52965.1210281907,139172.996242874,43439.9003761291,138546.073992279,230024.02404425,127428.622175949,110734.815656677,137878.708025032,257121.343433762,252778.923338852,236932.503436302,132936.077731461,175306.771965713,158944.459531143,142876.779039314,254419.769810165,268104.561440491,26144.7008048096,171111.286250221,120590.770206238,215525.022782898,130992.313879303,175440.547963783,134300.419388001,205670.93781427,171791.501172638,219117.619209732,205024.579765075,179841.108376343,234760.281934769,141783.762200745,151807.196618538,10835.7886357727,244030.5402668,149637.124710327,160207.400736511,144399.324435165,137147.188637268,138479.61279361,123219.976793686,141485.926844437,192251.585911301,233.609734573358,382.849672195441,432.396398162838
Alanine,C3 H7 N O2,89.0479,6.12,56-41-7,106580.911930771,101864.302541199,99460.4122172698,98976.0291160889,94392.2899431458,94143.5385044862,81186.5753171691,92010.7028962096,90977.0517700805,100080.943637802,63952.9455968323,51066.9495278703,72287.4484079742,58016.182871521,72047.8993709259,90472.3595016479,78811.7067337799,72253.8344322358,70774.447672165,106701.319743301,111327.062681717,73881.7421725615,90628.2116433105,61273.595606369,78679.3087952881,70747.6211245957,66988.6160116577,75636.4406296387,88937.9553775331,85049.4592594605,85958.5606553801,87092.8989339752,88473.8958819122,78480.8439304504,90743.7277559509,78534.2350789946,142115.744825836,80203.7570101777,86653.1169426422,81775.9024639586,95888.3701024246,95985.7839172822,73478.7123765335,86861.3794032287,71915.7233557433,74549.8369344787,74788.002208374,81466.8986323546,69269.1766927796,97524.4777032471,89847.1448000335,109944.27419902,98058.4767759094,38095.7525163955,82590.7433253784,75886.9084059144,70860.3559814834,76933.5006295624,91111.1465803832,69384.8139359894,63534.0648249969,69952.8135737152,108788.837693817,99978.678166626,95879.6326421204,66861.0504451981,77492.8983103789,70757.569637787,58288.8975611115,93983.1891212158,109871.529942887,48231.4328310243,76678.0431985933,67573.2806903991,98115.5675019837,72533.864783371,104071.654213959,72777.2319402315,92774.9528877869,77059.5602696228,88935.8863711701,91680.3422276916,83747.5587912902,84717.101092865,82929.9518027191,77418.6303737183,9337.91081707764,99935.5926246948,78217.2174696351,86606.0494434815,71797.05537854,71981.8352057191,75770.4076137848,86245.4989016724,73756.4355344696,93145.6074648743,161.397466102597,104.15482395172,480.24973255157
Beta-Alanine,C3 H7 N O2,89.0480,6.68,107-95-9,124351.846997452,118340.970528564,124080.598120071,120999.528844864,117803.450322067,109534.77537059,104507.477569977,111718.870839394,93305.3014505462,99367.8760615539,96185.6086362763,78963.222414421,110311.541923805,103780.708251587,84902.5657499542,118042.21530986,84795.3938123703,78029.44765448,76175.1922387009,104870.476827622,115447.148698608,129273.132260032,92470.2267176818,102038.464976707,71477.3742416763,70702.2527003021,83594.1522439651,94529.5230559387,143034.611679977,99206.0651042328,85499.8748157805,136042.112409691,143518.465306625,89296.9326602021,88096.9779063416,100075.838203117,138129.645355652,92802.2760766907,85954.3886484909,152260.752767853,94158.7925256882,98228.484998169,99940.8960323792,72297.9396695404,108794.366853821,93472.6020064164,131295.082518127,149283.937191071,64978.8808106461,103528.139041702,96031.3832140044,100044.476460175,82779.8267305984,62936.4651139984,103728.293027611,119714.205045929,84923.1709727173,83804.0936974258,96725.6463499297,102365.598209564,107589.903659653,109008.089210892,114730.077582489,95380.3766651611,93230.9404256897,94906.1788870086,105379.87607151,63598.912484314,116840.970903969,112771.544798279,109641.423129227,73992.8088512955,112888.392070328,123187.980637741,150123.172236694,134570.163945053,118535.150776825,113798.485834839,150136.625712357,77736.3882917861,107893.319498306,112895.260141479,105278.011033005,105519.996219475,79923.5937892151,76570.5600078507,1818.03225036621,122293.036478561,98280.8692981262,149278.206185578,103422.055367615,96632.0699364091,80177.3159913101,136873.309035545,71333.5276694717,92078.5138069917,234.541689682011,101.68531520844,398.245686996461
Lactic Acid,C3 H6 O3,90.0321,1.65,79-33-4,3462609.84665461,3307148.71003698,3247237.07515587,3706871.939418,3463155.19930079,3258384.61202092,3174118.22059549,4889217.65007742,4461984.90945899,5033798.18444039,2335239.59964827,312689.38445454,2321594.22929438,1341862.96313056,2128042.46095026,3876373.23389283,1447719.47763183,3405669.64309682,3878697.14821058,4467260.79641754,5178966.95983092,1356512.31526402,4372159.33705261,2734793.72926073,2062537.44344246,2413074.05428075,3356506.47722544,1822763.02846062,1537627.46681427,3348412.48140565,3667031.64745813,1641479.05705306,1312785.79196318,2781812.06059516,3250041.82122298,2360240.83846103,6415725.39215859,1795108.65744442,1705686.98434915,2097679.35138817,2352640.07260911,4239930.35969003,1740805.26262371,3015652.2289099,1152829.65038065,1506527.43909672,1745579.54628689,1562049.73559582,2588512.26187069,2197650.79613448,3716208.00997297,4922960.28760551,4732369.93929541,985830.982054945,2363472.68358677,2209932.19310725,468172.937215975,2579869.30245657,4472593.45415551,1775629.88759779,1650601.5806589,1331485.71243301,5334271.33982751,5693548.32089192,5176941.79583628,1476055.23584941,2425973.93816074,4332885.70587391,1511607.83840898,4376950.22489502,5099164.14354404,365620.054808932,2103271.13828163,1066580.93404122,3298999.39701143,783478.510530243,2495609.61614892,3089352.09416329,2082527.53757514,2852778.86088553,3515882.08481684,3426490.00034395,2252513.23644762,4453212.17188607,1334964.3218957,3022059.12771386,451704.97416622,4786559.63166821,1599614.72362446,1066754.05029517,2369785.97449935,2572457.22629127,3031594.99282395,1279615.3678054,2451308.64111395,3627474.91023758,9377.59195311094,9789.99855040319,20832.8654495298
Acetoacetic Acid,C4 H6 O3,102.0318,1.41,541-50-4,6629.20885250854,5477.84938418579,6155.44246639251,10629.1787063828,10769.2401395187,6051.24272615814,7100.17878341675,10190.7961302872,9113.48056491089,15122.5835875092,9179.22191856383,3152.04812948609,6006.05038375092,4128.74160253143,17282.0862020111,12810.6899471588,11561.9425548096,2001.20380463409,5117.1973059082,7448.68700731658,8870.40976908874,9971.8221696396,10268.1517641296,11037.5354029236,15768.6583207855,3968.29654327393,10342.5725014572,7227.1023438797,11689.0467910233,7886.36630562592,14144.3289437485,6252.89153472137,11351.3036306381,9782.75859737396,7661.33276851654,3990.86853553009,13518.8009630737,1965.77830867767,4829.44889311981,9321.2505592041,7541.97749021148,5786.13972055053,5636.97736354828,9341.19887830352,13185.2410354614,4244.32254974365,5079.85643897248,7569.95073312378,1540.46157685089,14660.689957489,9988.88315538024,12148.8556192398,3610.6058263092,5289.03189572143,7173.23630713654,7010.53044149017,8713.9056765213,5368.08993473816,8066.48752726745,9950.02669774628,12610.6344058685,13260.9403097458,8951.43515694427,10034.601288414,9342.101981987,6239.3555545044,6946.89348149871,4682.07758190918,7350.14389408111,12061.7186172485,10571.77982724,5247.48774000549,7074.93390390777,10651.3475654297,8251.79211740875,9545.35244475555,14203.8918970489,14921.9673426285,12168.8183419647,3059.69413253784,9136.11255386352,10983.5936327515,3310.10441099549,8565.308088974,9461.73321511078,11993.9671579285,1139.02159656525,10168.4986936264,9127.04448789215,11814.3474088898,10289.8426297684,5883.93398788452,11307.1129495239,6464.80404618836,4466.46404344178,8690.30551068879,,,
2-Ketobutyric Acid,C4 H6 O3,102.0320,5.29,600-18-0,92084.882353325,78549.6089467238,83487.8360055007,94670.3306970368,88833.2650411759,78192.1049089966,68680.5127553101,66147.4270732651,110083.921087654,86731.3024294891,72535.3901707,1199.78218494415,102142.199324509,54904.9938920822,48566.8574574584,79541.9256062622,79107.4739478607,65393.6418893661,92950.4756921236,74914.781000267,90475.7044818269,40128.6077172546,90878.9659890671,51141.3373300857,80208.4445405806,56183.9535271912,63615.0602185821,85421.0241548767,59060.1662777558,76680.6176108628,77146.8127962952,78136.2070947036,86121.7216953507,91154.6787418137,77204.1816505507,41831.8788465653,63939.8137847366,52372.0940140152,78886.7027272186,57563.6426828461,82861.7432821655,80097.3072155533,44966.4481605682,134170.186731384,71754.5446344147,47646.3433387832,79293.1137275849,71239.1000869293,90403.5700846864,60310.9065602418,71991.9143622971,147022.157881394,121509.515620308,2203.19848724365,10547.1732222977,25619.6183397446,9133.88179785156,25279.7824569321,73253.1641058731,48793.942532547,53419.632925209,69500.2007999039,87346.5905459595,88199.7245456391,87404.1541486511,51247.1607114028,52771.7071329574,87478.8676315307,23504.3839793397,105848.862052292,72840.9653320771,881.560572944638,69611.4444419021,57588.7830492553,119753.239292389,74858.0409691468,83952.2458750458,52436.00876902,115812.771727448,53517.2432968826,89962.8238756791,50175.3362630768,62771.9017625656,82691.7963696365,94949.0128393631,78529.5363733825,880.970633049011,86788.2592329559,86326.3490055466,76914.5719328843,52825.1833624192,59608.325729454,55032.0439334488,52985.8571529541,56670.5210183334,64252.998121292,,,
