,Experiment,Folate,Status,Linoleic Acid,9(S)-HODE,9(S)-HpODE,Mead Ethanolamide,Noladin,Docosatrienoic Acid (22:3 n-3),Xanthine,N-Carbamoyl-L-aspartic Acid,Deoxyuridine,Glycerol 1-Phosphate / Glycerol 3-Phosphate,Riboflavin,Pantothenic Acid,Deoxycytidine,N-Methylnicotinate,Methylglyoxal,Phosphocreatine,Cysteamine,ATP,UTP,NADP,CMP,Creatine,Aspartic Acid,Alanine,Sarcosine,Serine,Creatinine,Proline,Guanidinoacetic Acid,Valine,Isoleucine,Leucine,Asparagine,Lysine,Glutamic Acid,Methionine,Phenylalanine,Citrulline,Tyrosine,Tryptophan,5'-Methylthioadenosine,Glycine,GDP-Glucose,UDP-N-Acetylgalactosamine,UDP-N-Acetylglucosamine,Phosphatidylethanolamine(32:0),Pyridoxal,Pyridoxine,Protoporphyrin,NAD,Flavin adenine dinucleotide (FAD),2-Aminobutyric Acid,Taurine,GSSG,3-Aminoisobutyric Acid (BAIBA),Uracil,Thymine,Adenine,Hypoxanthine,Guanine,Thymidine,Cytidine,Uridine,2'-Deoxyguanosine,Adenosine,Inosine,Guanosine,UMP,Cytidine diphosphate (CDP),GDP,ADP-Ribose,Ophthalmic Acid,Cytosine,Retinoic Acid,Archidonoyl glycine,4-Pyridoxic Acid,Biotin,Phenylacetic Acid,4-Aminobutyric Acid (GABA),Ornithine,4-Guanidinobutyric Acid,Glutamine,Histidine,3-Methoxytyrosine,S-Adenosylhomocysteine (SAH),Threonine,O-Phosphoethanolamine,Hypotaurine,Glutathione,Orotic Acid,GMP,trans-4-Hydroxyproline,3-Sulfinoalanine,2-Aminoadipic Acid,N-Acetylglutamic Acid,Kynurenine,"15-deoxy-delta-12,14-Prostaglandin J2",5-Methyl-tetrahydrofolic acid (5-CH3-THF),4-Acetamidobutanoic Acid,Urocanic Acid,ADP,Allantoin,Quinolinic Acid,Putrescine,S-Adenosylmethionine (SAM),Deoxycarnitine,Phosphocholine,Glycerol-3-phosphocholine,Sphingosine,Sphingomyelin,Carnitine,Nicotinamide,Nicotinamide Mononucleotide,Choline,Betaine,GTP,Arginine,CTP,gamma-Linolenic Acid,PAF C18:1,Arachidonoyl-PAF,Spermidine,Trimethylamine N-oxide,D-Erythrose,D-Glyceraldehyde 3-phosphate (G3P),NADH,Acetylcarnitine,Butyrylcarnitine,Valerylcarnitine,L-Hexanoylcarnitine,3-Phosphoglyceroinositol,Tetradecanoylcarnitine,Hexadecenoylcarnitine,Palmitoylcarnitine,Linolenyl carnitine,Linoleyl carnitine,Oleoylcarnitine,Stearoylcarnitine,LysoPE(18:2),LysoPE(18:0),LysoPC(16:1),LysoPC(16:0),LysoPC(18:2),LysoPC(18:1),LysoPC(18:0),PC(34:2),PC(35:2),PC(36:4),PC(36:2),Cysteineglutathione disulfide,5-Methylcytidine,AMP,Succinoadenosine
Formula_cd_exp1,cd_exp1,info,info,C18 H32 O2,C18 H32 O3,C18 H32 O4,C22 H39 N O2,C23 H40 O3,C22 H38 O2,C5 H4 N4 O2,C5 H8 N2 O5,C9 H12 N2 O5,C3 H9 O6 P,C17 H20 N4 O6,C9 H17 N O5,C9 H13 N3 O4,C7 H7 N O2,C3 H4 O2,C4 H10 N3 O5 P,C2 H7 N S,C10 H16 N5 O13 P3,C9 H15 N2 O15 P3,C21 H28 N7 O17 P3,C9 H14 N3 O8 P,C4 H9 N3 O2,C4 H7 N O4,C3 H7 N O2,C3 H7 N O2,C3 H7 N O3,C4 H7 N3 O,C5 H9 N O2,C3 H7 N3 O2,C5 H11 N O2,C6 H13 N O2,C6 H13 N O2,C4 H8 N2 O3,C6 H14 N2 O2,C5 H9 N O4,C5 H11 N O2 S,C9 H11 N O2,C6 H13 N3 O3,C9 H11 N O3,C11 H12 N2 O2,C11 H15 N5 O3 S,C2 H5 N O2,C16 H25 N5 O16 P2,C17 H27 N3 O17 P2,C17 H27 N3 O17 P2,C37 H74 N O8 P,C8 H9 N O3,C8 H11 N O3,C34 H34 N4 O4,C21 H27 N7 O14 P2,C27 H33 N9 O15 P2,C4 H9 N O2,C2 H7 N O3 S,C20 H32 N6 O12 S2,C4 H9 N O2,C4 H4 N2 O2,C5 H6 N2 O2,C5 H5 N5,C5 H4 N4 O,C5 H5 N5 O,C10 H14 N2 O5,C9 H13 N3 O5,C9 H12 N2 O6,C10 H13 N5 O4,C10 H13 N5 O4,C10 H12 N4 O5,C10 H13 N5 O5,C9 H13 N2 O9 P,C9 H15 N3 O11 P2,C10 H15 N5 O11 P2,C15 H23 N5 O14 P2,C11 H19 N3 O6,C4 H5 N3 O,C20 H28 O2,C22 H35 N O3,C8 H9 N O4,C10 H16 N2 O3 S,C8 H8 O2,C4 H9 N O2,C5 H12 N2 O2,C5 H11 N3 O2,C5 H10 N2 O3,C6 H9 N3 O2,C10 H13 N O4,C14 H20 N6 O5 S,C4 H9 N O3,C2 H8 N O4 P,C2 H7 N O2 S,C10 H17 N3 O6 S,C5 H4 N2 O4,C10 H14 N5 O8 P,C5 H9 N O3,C3 H7 N O4 S,C6 H11 N O4,C7 H11 N O5,C10 H12 N2 O3,C20 H28 O3,C20 H25 N7 O6,C6 H11 N O3,C6 H6 N2 O2,C10 H15 N5 O10 P2,C4 H6 N4 O3,C7 H5 N O4,C4 H12 N2,C15 H22 N6 O5 S,C7 H15 N O2,C5 H14 N O4 P,C8 H20 N O6 P,C18 H37 N O2,C41 H83 N2 O6 P,C7 H15 N O3,C6 H6 N2 O,C11 H15 N2 O8 P,C5 H13 N O,C5 H11 N O2,C10 H16 N5 O14 P3,C6 H14 N4 O2,C9 H16 N3 O14 P3,C18 H30 O2,C28 H56 N O7 P,C44 H82 N O7 P,C7 H19 N3,C3 H9 N O,C4 H8 O4,C3 H7 O6 P,C21 H29 N7 O14 P2,C9 H17 N O4,C11 H21 N O4,C12 H23 N O4,C13 H25 N O4,C9 H19 O11 P,C21 H41 N O4,C23 H43 N O4,C23 H45 N O4,C25 H43 N O4,C25 H45 N O4,C25 H47 N O4,C25 H49 N O4,C23 H44 N O7 P,C23 H48 N O7 P,C24 H48 N O7 P,C24 H50 N O7 P,C26 H50 N O7 P,C26 H52 N O7 P,C26 H54 N O7 P,C42 H80 N O8 P,C43 H82 N O8 P,C44 H80 N O8 P,C44 H84 N O8 P,C13 H22 N4 O8 S2,C10 H15 N3 O5,C10 H14 N5 O7 P,C14 H17 N5 O8
Mass_cd_exp1,cd_exp1,info,info,280.237,296.233,312.224,349.296,364.3,334.285,152.032,176.047,228.074,172.013,376.142,219.11,227.086,137.048,72.022,211.036,77.025,506.996,483.969,743.077,323.053,131.066,133.037,89.046,89.045,105.042,113.056,115.06,117.063,117.075,131.094,131.094,132.05,146.105,147.049,149.05,165.079,175.094,181.073,204.09,297.087,75.028,605.073,607.08,607.08,691.509,167.063,169.071,562.259,663.106,785.161,103.063,125.01,612.152,103.062,112.026,126.042,135.054,136.043,151.048,242.091,243.086,244.068,267.098,267.096,268.084,283.093,324.033,403.02,443.021,559.067,289.128,111.043,300.201,361.258,183.05,244.091,136.046,103.063,132.089,145.086,146.065,155.069,211.085,384.119,119.058,141.017,109.015,307.083,156.016,363.058,131.056,153.008,161.065,189.069,208.088,316.202,459.185,145.069,138.05,427.03,158.042,167.024,88.1,398.137,145.109,183.066,257.102,299.283,730.595,161.104,122.046,334.05,103.1,117.079,522.993,174.112,482.985,278.217,549.373,767.579,145.157,75.067,120.043,169.997,665.12,203.114,231.148,245.162,259.177,334.066,371.302,397.317,399.335,421.313,423.33,425.346,427.362,477.281,481.315,493.312,495.329,519.328,521.344,523.36,757.561,771.582,781.561,785.592,426.09,257.102,347.063,383.108
RT_cd_exp1,cd_exp1,info,info,1.31,1.29,1.43,1.24,1.18,1.14,1.93,8.13,1.72,10.58,2.4,4.55,5.02,10.56,1.79,11.66,1.96,11.25,10.65,12.41,11.16,9.75,8.57,8.65,9.76,8.61,7.49,9.46,8.78,7.6,7.01,6.77,8.91,25.67,8.79,6.81,6.32,9.83,6.47,6.04,1.96,9.13,7.68,6.92,6.73,4.49,3.72,5.13,2.97,9.7,7.39,8.13,5.09,10.89,10.01,1.73,1.65,3.72,2.68,6.81,1.64,4.65,1.79,3.35,2.89,2.85,3.32,9.82,11.36,11.07,7.4,9,4.65,1.32,1.33,1.97,4.65,2.66,11.82,25.65,10.75,9.01,11.13,6.66,9.07,8.24,15.07,9.15,8.59,1.97,10.59,8.63,7.1,9.54,8.1,6.05,1.3,8.77,5.69,2.62,11.01,1.83,8.63,26.46,22.09,18.29,18.79,14.88,8.54,8.58,14.62,1.96,14.99,26.41,10.5,11.45,25.71,11.68,1.29,9.15,7.39,25.83,15.72,2.62,10.89,7.14,13.97,11.97,11.31,10.68,7.09,9.24,9.1,9.05,8.99,9,8.93,8.81,6.2,6.11,9.48,9.42,9.34,9.26,9.22,7.53,7.5,7.31,7.42,11.09,4.37,10.6,7.92
CAS_ID,cd_exp1,info,info,60-33-3,73543-67-6,29774-12-7,169232-04-6,222723-55-9,28845-86-5,69-89-6,13184-27-5,951-78-0,17989-41-2,83-88-5,137-08-6,951-77-9,535-83-1,78-98-8,67-07-2,60-23-1,56-65-5,63-39-8,53-59-8,63-37-6,57-00-1,56-84-8,56-41-7,107-97-1,56-45-1,60-27-5,147-85-3,352-97-6,72-18-4,73-32-5,61-90-5,70-47-3,56-87-1,56-86-0,63-68-3,63-91-2,372-75-8,60-18-4,73-22-3,2457-80-9,56-40-6,5750-57-2,7277-98-7,528-04-1,5681-36-7,66-72-8,65-23-6,553-12-8,53-84-9,146-14-5,1492-24-6,107-35-7,27025-41-8,144-90-1,66-22-8,65-71-4,73-24-5,68-94-0,73-40-5,50-89-5,65-46-3,58-96-8,961-07-9,58-61-7,58-63-9,118-00-3,58-97-9,63-38-7,146-91-8,20762-30-5,495-27-2,71-30-7,302-79-4,179113-91-8,82-82-6,58-85-5,103-82-2,56-12-2,70-26-8,463-00-3 ,56-85-9,71-00-1,7636-26-2,979-92-0,72-19-5,1071-23-4 ,300-84-5,70-18-8,65-86-1,85-32-5,51-35-4,1115-65-7,542-32-5,1188-37-0,2922-83-0,87893-55-8,134-35-0,3025-96-5,104-98-3,58-64-0,97-59-6,89-00-9,110-60-1,29908-03-0,407-64-7,107-73-3,28319-77-9,123-78-4,85187-10-6,541-15-1,98-92-0,1094-61-7,62-49-7,107-43-7,86-01-1,74-79-3,65-47-4,506-26-3,86288-90-1,86288-11-1,124-20-9,1184-78-7,583-50-6,591-57-1,59-68-4,5080-50-2,25576-40-6,00-00-003,22671-29-0,00-00-006,25597-07-3,00-00-009,2364-67-2,00-00-010,36816-10-1,38677-66-6,1976-27-8,00-00-011,00-00-012,00-00-014,00-00-015,00-00-017,00-00-018,00-00-019,8002-43-5,00-00-020,00-00-021,00-00-022,13081-14-6,2140-61-6,61-19-8,4542-23-8
p280_7,cd_exp1,2ppm,N wt/wt,57898.66793,206303.2253,93761.98037,418587.0501,7663.291397,68001.91959,36055.63953,122354.5952,172957.0971,2161.03549,9163.913531,1572545.045,23561.0502,8323.391277,6835.824611,786.7521016,6352.462564,97561.22349,3939.24808,1236.032803,45828.38982,22444870.48,1103804.911,4993306.228,856890.0221,1460044.104,312806.7516,21368533.78,65348.3187,6903342.993,5264254.499,5691304.95,1337920.167,2212548.359,10694482.78,2725403.286,5399083.663,35664.73425,3004259.175,950002.5923,721089.7539,562360.5318,12629.51008,183017.1213,306372.948,8649.82726,25948.93992,87168.3669,178455.1135,124069.5224,44445.63564,373838.1484,15892264.38,226520.6133,39411.51723,973057.5855,138590.8586,805205.0379,3407793.362,123230.6549,69800.44686,518408.0545,363918.0922,151539.0058,1975571.752,1055630.791,155152.2341,232868.7391,18369.33334,15813.71098,244358.8043,27425.04482,348932.0858,35068.67727,53670.1351,3614.687791,62327.14764,1791950.804,20117.47504,478685.1591,19909.61672,12674972.72,576105.4105,8747.531179,119090.2075,4559878.02,271805.0171,268860.9526,1483263.099,33340.41471,48286.70758,630227.3385,1422.013083,225242.273,26045.02567,98521.94777,147694.3246,6236.311997,8303.385011,394777.8343,242053.0538,162786.5224,12752.96393,102364.9278,97932.11512,190587.4336,10946836.49,6386690.226,93389.49262,22498.30863,8202737.878,2136632.068,371.8560279,21129446.57,9163891.561,631.6586627,4441035.367,2746.376061,81337.97096,29432.26173,522474.2324,96002.82309,62995.393,220276.3766,2606.534452,5411.666865,1451306.408,1930851.192,145932.5978,48536.78542,11711.60179,22095.82762,41848.31895,96504.16524,26268.51118,116980.7828,281849.2252,129678.8274,25772.36894,49790.80954,82101.34724,716071.4291,221461.4908,518311.1965,717215.3002,18178652.39,177536.7155,14187190.78,6467802.391,4021.776142,82418.41643,596585.9018,78038.83264
p320_6,cd_exp1,2ppm,N wt/wt,72912.71539,210291.3011,98336.40425,506090.1402,10411.17262,73464.03595,413.7780553,165459.2233,6837.798655,9531.623686,8595.253407,2162877.054,45250.51127,7885.415414,671.2744539,47757.59136,14149.24112,220209.6376,22482.57785,8338.709186,28819.29421,22234302.41,1149879.015,6683532.363,937788.1089,2042954.282,297343.5033,24738263.53,39985.50778,7915767.553,6257444.794,7879604.811,1399157.56,2324825.482,12785562.58,3503453.358,6317803.559,44023.49051,3558675.594,987201.8808,809684.2924,826800.8101,8473.289042,173598.3149,326222.8466,15936.87159,12242.46266,40540.44432,216377.4179,274922.0869,47164.21197,467472.878,18004718.32,229601.0858,44354.94281,134723.8166,15327.12467,1141468.596,1630810.958,147960.0984,,436555.4338,21357.27965,71922.75833,261604.4808,270926.0728,71236.98753,143132.7944,24367.51401,20548.25744,49227.78808,52272.08142,340036.4835,39292.43945,73340.18472,118.4171123,51251.98277,1416319.58,23575.42272,655684.1276,20989.59564,12485441.27,663246.2797,11548.75825,84618.40158,6506944.48,288435.3143,304596.2143,1846380.313,15268.38422,22860.25876,661113.6953,5070.336117,220888.256,34056.22552,118195.8714,161111.8629,6771.658304,6209.549109,449854.008,250475.6924,19985.47002,14012.07128,35642.12547,60928.82105,230857.9101,32476318.15,4541983.07,108833.7755,28220.20854,9474724.185,4201025.611,7652.418843,25315919.26,11959619.06,11036.55017,4519195.35,19054.80688,72158.01501,22509.10843,619952.4312,91305.32649,46937.40372,402859.4502,2154.397193,3123.785919,1469111.352,2129015.182,166406.7763,53193.19287,17355.88278,29001.58128,58669.26348,127745.3375,28199.53059,98006.70167,275018.5327,193944.5547,30003.6155,106518.3048,63924.17203,837493.9359,156244.7925,379041.4922,1162968.016,21896386.93,198471.3401,15161059.32,8379462.555,6502.376681,85065.09155,333533.0871,129229.309
p302_7,cd_exp1,2ppm,N wt/wt,57618.76483,126236.2147,22745.97759,484378.284,485.2713571,92017.14025,13571.96251,147510.2936,222009.2512,11930.29275,4223.78298,1484963.089,27951.04406,17964.01862,10469.9363,14717.59596,4256.965271,116724.9237,8451.672948,3746.126132,37714.69794,19914735.66,749761.7307,5215745.37,829125.9081,1374415.33,265052.0006,21302066.89,78649.43,7089952.502,5725049.306,7029318.678,1350026.502,1346904.614,9074133.51,3139545.818,5432686.689,28699.65937,2741235.212,849488.9035,421407.1206,837850.5773,9537.941381,153895.8337,288844.1609,14089.43965,35061.2327,89436.88922,147856.0527,223795.6299,52068.20031,505566.8156,15442431.18,228105.2501,42380.79121,1051187.447,69662.8938,734405.3743,2149394.854,141208.8764,27220.06977,273643.4797,246732.9709,72108.52745,529542.9114,473589.8108,91658.88133,216827.3032,15376.60741,15089.33304,67626.30571,39553.43929,239998.2003,9637.750166,46361.53876,44719.77468,31393.74865,398121.293,24618.26539,349293.3524,25795.28332,15127071.38,710329.4464,1164.821092,83511.38814,4615565.08,322278.5164,309235.6244,465816.8389,6456.213139,36466.16318,593145.9507,6321.762392,150892.9998,29603.8298,107203.5487,117735.6174,6591.181882,17919.2888,225750.5976,213415.5521,368979.8057,10747.29503,111720.9698,56448.3917,214169.8318,23998594.76,6360403.066,79781.61279,13766.40357,7313176.711,826358.6139,6500.370613,22260692.04,12973086.32,1910.598576,3109585.318,5944.102287,6668.742868,19870.06428,613631.8825,147656.5567,62162.69318,110229.114,3191.929107,8488.118687,1399254.818,2352735.025,145263.1776,57755.72443,18194.47325,22461.26256,48293.70693,93395.17486,22381.41873,117633.1863,295411.7771,147536.3171,19633.81921,65284.79968,45136.41826,491194.3188,114094.1756,273169.6498,680629.668,22004257.4,198445.2648,15114504.59,9065000.622,16726.77978,84635.47805,473224.9795,98704.33248
p366_3,cd_exp1,2ppm,N wt/wt,47442.79103,205554.5728,51569.46569,573213.2695,17143.22273,105299.2144,150714.9668,121455.3967,268955.3306,8696.881334,15157.56045,2299566.005,46398.29943,11730.98504,15763.05914,44017.32322,3153.022977,221768.0991,14919.97627,5823.338619,16700.84644,20871137.65,1375123.714,6143921.964,851365.9281,1718003.696,269036.4809,22429194.69,73214.67508,8216263.431,6342523.168,8060112.964,1681080.381,3025705.646,13470007.25,3573253.865,6603758.837,40279.71221,3694691.303,967239.0459,1003460.157,1247801.104,8044.277467,162095.902,272304.2674,31260.26886,52466.23688,41950.97043,151150.3707,323403.8221,64852.56002,296137.8835,16561243.84,280172.3342,47033.32902,1755042.455,136387.3189,1510224.337,4788765.25,137963.5949,62337.55364,772171.8625,1070977.474,98354.73697,187598.2303,322233.4312,74042.19411,84891.82279,17516.38049,20769.10592,58617.20842,32160.06293,483369.3459,59436.11954,72564.18578,10424.79929,90892.99743,2366245.621,24347.88696,715779.3557,25740.03859,15196826.47,815833.357,10797.66263,92138.34741,6058595.368,344708.0042,333258.9444,434646.2818,48618.0817,20627.66396,777157.2938,9373.354523,198902.7936,24403.69064,120440.0897,162305.8711,4145.021441,12536.26731,400888.8697,261247.7491,603370.7358,14429.80333,50824.21166,185272.4195,174391.0267,4917211.247,5617540.099,93045.41979,49108.3098,8912173.185,706057.7229,3509.063831,28239677.49,10221639.44,13302.45239,7091482.988,14133.61147,74909.68783,21904.52107,672926.9285,110399.5333,91286.22173,189490.826,1610.837855,4148.52758,1251545.704,896748.5077,127827.0759,39553.20812,20704.98717,38836.64605,53418.95668,119443.9762,14934.98501,51774.57426,177522.7265,135022.7595,26166.64468,91583.21103,62360.97761,834349.7419,172425.404,395543.1953,1360415.345,22242233.85,182571.4072,15692265.94,9487044.707,14369.45599,124824.8432,350099.3534,88554.0465
p414_2,cd_exp1,2ppm,N wt/wt,57852.52615,276314.7037,117735.6931,937691.3092,10477.73492,168231.945,17269.70299,123752.7767,22618.19402,3530.629008,1866.108883,407742.9102,14985.50729,11502.24854,2782.494716,52111.02983,4793.768321,152582.67,12311.75744,8895.154709,29772.228,16297694.57,1353545.415,3691417.515,644662.2535,908191.6181,190822.9595,18120095.16,69297.8028,2777848.467,2042672.835,2521276.297,623400.9168,560455.6956,10357237.7,1292569.607,2131500.983,33195.50847,1110016.856,304778.1611,650850.6518,923793.5755,3816.38241,169394.3229,295750.8688,22348.2612,11127.64674,40274.94214,69279.32457,210898.8155,57174.31343,195356.5995,14168007.09,216444.6834,59733.41585,193510.7447,48347.86478,494180.3513,1802552.239,58735.94601,17797.71085,128862.093,112435.0741,34832.61744,184087.055,375767.1033,56103.27253,150234.8677,17669.53247,12426.42602,83873.51309,38075.07777,91022.25319,109792.1335,116990.4026,1467.583119,12485.03515,910271.4777,35225.67126,256801.899,25541.05848,2885612.392,322126.2836,806.641065,88649.72811,2311981.511,265314.6614,395534.7019,625395.2736,20981.81826,23561.39994,338668.5056,804.923116,134561.4727,23365.43501,92701.22241,292296.9765,6994.476901,27485.72967,428690.9753,187154.7033,57194.95411,4530.476444,62563.25266,81928.55394,93999.96439,10482407.11,5317614.44,107849.1371,140883.3124,4698003.277,865228.9521,1969.313302,13161026.92,5904776.659,6293.880923,1502012.083,11459.66942,46164.34959,27494.36641,756324.1973,98521.92427,53807.26947,225935.7008,2688.566769,168.5489738,1110397.598,1138891.808,82670.21163,21112.39442,24078.16101,10480.65888,26510.20156,36739.29685,13853.88499,69936.26797,130373.388,400581.514,26504.05258,98778.78565,58839.97569,1027863.057,283220.7096,435913.9961,2057962.453,23877780.73,216451.2082,18854966.64,10009140.84,4255.725617,,289494.032,42837.50956
p254_6,cd_exp1,2ppm,A cd/cd,64833.05851,227247.8432,96685.15154,791839.8816,10212.5044,117553.3139,17518.57135,44140.80295,166623.3238,5068.732308,7969.701877,675426.2051,10342.41137,4351.885795,5780.718003,9004.107248,3759.551075,32463.39497,,,19003.14563,13863587.71,598990.3499,3534088.414,535038.433,790817.2623,242009.6677,15692579.81,13718.3532,3625624.713,3130603.311,4491773.278,645044.8437,690327.9527,6636839.506,1840898.846,3372321.325,20289.75995,1671088.303,526550.6056,414907.192,391137.8514,1279.684396,49872.09189,94825.00251,15941.95023,20172.36138,36732.56787,96251.93726,45276.21371,40814.56621,252196.5994,9609321.501,60920.21718,31821.30547,701060.4261,32773.2739,1074060.779,2760654.707,79718.80349,14089.63198,217593.6988,121715.0436,39426.23147,242036.2482,276815.4145,38724.6116,94039.26046,3120.483447,2420.895015,2328.191757,21247.04207,162511.8743,62858.2806,91575.6712,1230.601783,23945.98445,1302189.727,14073.11453,224577.724,18476.3236,5474419.426,280964.536,2151.678207,53343.13894,2559387.876,107374.6804,169146.3744,617657.973,15664.80904,18193.35314,377218.4487,626.9607191,84721.1752,1318.370165,55271.22563,142268.4213,5965.08367,8846.083211,261402.3619,70911.14921,184674.7053,10344.79659,50067.50089,39056.36933,82097.47204,4865271.985,1974034.523,80226.25446,60103.68403,3120238.215,1244422.73,1102.416744,21955258.07,5006872.572,,716101.6336,141.0922391,58131.31519,15418.51645,682217.9847,71423.54317,30294.35667,138969.4335,,446.6892633,561379.1835,812083.7084,81709.3058,25544.70687,7402.2719,22332.71988,68165.13247,280498.0791,39896.19205,281334.1927,776423.176,2240683.733,20144.65107,51013.46497,33772.02556,310649.1743,101228.2809,228471.2187,462495.623,20165167.95,193812.519,16703061.91,8018707.503,1627.240785,53860.95514,262095.1121,79189.07173
